fare,from_location,from_station,leaving_date,leaving_time,to_location,to_station,transfers,travelers
22,San Diego,Santa Fe Depot,3/4/2019,10:40,Anaheim,Anaheim Intermodal Center,0,
22,San Diego,Santa Fe Depot,3/4/2019,13:20,Anaheim,Anaheim Intermodal Center,0,
22,San Diego,Santa Fe Depot,3/4/2019,14:00,Anaheim,Anaheim Intermodal Center,0,
25,San Diego,Santa Fe Depot,3/4/2019,14:10,Anaheim,Anaheim Intermodal Center,0,
22,San Diego,Santa Fe Depot,3/4/2019,16:50,Anaheim,Anaheim Intermodal Center,0,
25,San Diego,Santa Fe Depot,3/4/2019,18:00,Anaheim,Anaheim Intermodal Center,0,
20,San Diego,Santa Fe Depot,3/4/2019,18:10,Anaheim,Anaheim Intermodal Center,0,
41,Las Vegas,Union Plaza,3/3/2019,7:20,Los Angeles,Union Station,0,
48,Las Vegas,Union Plaza,3/3/2019,10:20,Los Angeles,Union Station,0,
33,Las Vegas,Union Plaza,3/3/2019,11:50,Los Angeles,Union Station,0,
42,Las Vegas,Union Plaza,3/3/2019,17:00,Los Angeles,Union Station,0,
73,Sacramento,Sacramento Valley Station,3/11/2019,7:40,Long Beach,Downtown Station,1,
69,Sacramento,Sacramento Valley Station,3/11/2019,8:30,Long Beach,Downtown Station,1,
74,Sacramento,Sacramento Valley Station,3/11/2019,11:00,Long Beach,Downtown Station,1,
69,Sacramento,Sacramento Valley Station,3/11/2019,13:00,Long Beach,Downtown Station,1,
72,Sacramento,Sacramento Valley Station,3/11/2019,13:20,Long Beach,Downtown Station,1,
69,Sacramento,Sacramento Valley Station,3/11/2019,13:30,Long Beach,Downtown Station,1,
64,Sacramento,Sacramento Valley Station,3/11/2019,19:50,Long Beach,Downtown Station,1,
45,Las Vegas,Union Plaza,3/11/2019,7:10,Fresno,Fresno Station,0,
41,Las Vegas,Union Plaza,3/11/2019,7:50,Fresno,Fresno Station,0,
43,Las Vegas,Union Plaza,3/11/2019,11:20,Fresno,Fresno Station,0,
46,Las Vegas,Union Plaza,3/11/2019,12:20,Fresno,Fresno Station,0,
46,Las Vegas,Union Plaza,3/11/2019,14:00,Fresno,Fresno Station,0,
41,Las Vegas,Union Plaza,3/11/2019,14:10,Fresno,Fresno Station,0,
40,Las Vegas,Union Plaza,3/11/2019,14:50,Fresno,Fresno Station,0,
37,Las Vegas,Union Plaza,3/11/2019,15:40,Fresno,Fresno Station,0,
38,Las Vegas,Union Plaza,3/11/2019,16:00,Fresno,Fresno Station,0,
40,Las Vegas,Union Plaza,3/11/2019,16:20,Fresno,Fresno Station,0,
69,Long Beach,Downtown Station,3/6/2019,6:50,Sacramento,Sacramento Valley Station,1,
68,Long Beach,Downtown Station,3/6/2019,7:00,Sacramento,Sacramento Valley Station,1,
69,Long Beach,Downtown Station,3/6/2019,8:30,Sacramento,Sacramento Valley Station,1,
69,Long Beach,Downtown Station,3/6/2019,10:20,Sacramento,Sacramento Valley Station,1,
70,Long Beach,Downtown Station,3/6/2019,10:30,Sacramento,Sacramento Valley Station,1,
55,Long Beach,Downtown Station,3/6/2019,10:40,Sacramento,Sacramento Valley Station,1,
58,Long Beach,Downtown Station,3/6/2019,13:40,Sacramento,Sacramento Valley Station,1,
57,Long Beach,Downtown Station,3/6/2019,13:50,Sacramento,Sacramento Valley Station,1,
59,Long Beach,Downtown Station,3/6/2019,15:20,Sacramento,Sacramento Valley Station,1,
11,Long Beach,Downtown Station,3/6/2019,6:40,Los Angeles,Union Station,0,
12,Long Beach,Downtown Station,3/6/2019,7:40,Los Angeles,Union Station,0,
10,Long Beach,Downtown Station,3/6/2019,10:40,Los Angeles,Union Station,0,
12,Long Beach,Downtown Station,3/6/2019,11:30,Los Angeles,Union Station,0,
13,Long Beach,Downtown Station,3/6/2019,12:50,Los Angeles,Union Station,0,
11,Long Beach,Downtown Station,3/6/2019,13:40,Los Angeles,Union Station,0,
10,Long Beach,Downtown Station,3/6/2019,13:50,Los Angeles,Union Station,0,
13,Long Beach,Downtown Station,3/6/2019,15:20,Los Angeles,Union Station,0,
12,Long Beach,Downtown Station,3/6/2019,16:00,Los Angeles,Union Station,0,
12,Long Beach,Downtown Station,3/6/2019,16:30,Los Angeles,Union Station,0,
24,Long Beach,Downtown Station,3/6/2019,7:00,San Diego,Santa Fe Depot,0,
25,Long Beach,Downtown Station,3/6/2019,8:40,San Diego,Santa Fe Depot,0,
25,Long Beach,Downtown Station,3/6/2019,10:30,San Diego,Santa Fe Depot,0,
22,Long Beach,Downtown Station,3/6/2019,11:30,San Diego,Santa Fe Depot,0,
22,Long Beach,Downtown Station,3/6/2019,11:40,San Diego,Santa Fe Depot,0,
26,Long Beach,Downtown Station,3/6/2019,11:50,San Diego,Santa Fe Depot,0,
26,Long Beach,Downtown Station,3/6/2019,13:00,San Diego,Santa Fe Depot,0,
23,Long Beach,Downtown Station,3/6/2019,15:40,San Diego,Santa Fe Depot,0,
25,Long Beach,Downtown Station,3/6/2019,15:50,San Diego,Santa Fe Depot,0,
24,Long Beach,Downtown Station,3/6/2019,19:40,San Diego,Santa Fe Depot,0,
22,San Francisco,Salesforce Transit Center,3/12/2019,7:20,Sacramento,Sacramento Valley Station,0,
20,San Francisco,Salesforce Transit Center,3/12/2019,9:40,Sacramento,Sacramento Valley Station,0,
23,San Francisco,Salesforce Transit Center,3/12/2019,10:00,Sacramento,Sacramento Valley Station,0,
23,San Francisco,Salesforce Transit Center,3/12/2019,11:40,Sacramento,Sacramento Valley Station,0,
21,San Francisco,Salesforce Transit Center,3/12/2019,12:30,Sacramento,Sacramento Valley Station,0,
20,San Francisco,Salesforce Transit Center,3/12/2019,13:20,Sacramento,Sacramento Valley Station,0,
24,San Francisco,Salesforce Transit Center,3/12/2019,14:10,Sacramento,Sacramento Valley Station,0,
23,San Francisco,Salesforce Transit Center,3/12/2019,16:40,Sacramento,Sacramento Valley Station,0,
22,San Francisco,Salesforce Transit Center,3/12/2019,17:30,Sacramento,Sacramento Valley Station,0,
23,San Francisco,Salesforce Transit Center,3/12/2019,18:10,Sacramento,Sacramento Valley Station,0,
36,Fresno,Fresno Station,3/10/2019,7:00,San Francisco,Salesforce Transit Center,0,
33,Fresno,Fresno Station,3/10/2019,7:50,San Francisco,Salesforce Transit Center,0,
30,Fresno,Fresno Station,3/10/2019,9:00,San Francisco,Salesforce Transit Center,0,
32,Fresno,Fresno Station,3/10/2019,10:20,San Francisco,Salesforce Transit Center,0,
37,Fresno,Fresno Station,3/10/2019,11:20,San Francisco,Salesforce Transit Center,0,
30,Fresno,Fresno Station,3/10/2019,12:20,San Francisco,Salesforce Transit Center,0,
35,Fresno,Fresno Station,3/10/2019,13:10,San Francisco,Salesforce Transit Center,0,
30,Fresno,Fresno Station,3/10/2019,13:30,San Francisco,Salesforce Transit Center,0,
33,Fresno,Fresno Station,3/10/2019,16:50,San Francisco,Salesforce Transit Center,0,
50,San Diego,Santa Fe Depot,3/13/2019,7:40,San Francisco,Salesforce Transit Center,0,
53,San Diego,Santa Fe Depot,3/13/2019,10:00,San Francisco,Salesforce Transit Center,0,
48,San Diego,Santa Fe Depot,3/13/2019,11:40,San Francisco,Salesforce Transit Center,0,
56,San Diego,Santa Fe Depot,3/13/2019,14:00,San Francisco,Salesforce Transit Center,0,
50,San Diego,Santa Fe Depot,3/13/2019,16:20,San Francisco,Salesforce Transit Center,0,
62,San Diego,Santa Fe Depot,3/13/2019,17:10,San Francisco,Salesforce Transit Center,0,
21,New York,Port Authority Station,3/9/2019,7:40,Philadelphia,Intercity Terminal,0,
23,New York,Port Authority Station,3/9/2019,8:00,Philadelphia,Intercity Terminal,0,
21,New York,Port Authority Station,3/9/2019,11:30,Philadelphia,Intercity Terminal,0,
23,New York,Port Authority Station,3/9/2019,14:10,Philadelphia,Intercity Terminal,0,
24,New York,Port Authority Station,3/9/2019,16:30,Philadelphia,Intercity Terminal,0,
17,New York,Port Authority Station,3/9/2019,18:30,Philadelphia,Intercity Terminal,0,
22,New York,Port Authority Station,3/9/2019,19:40,Philadelphia,Intercity Terminal,0,
12,Anaheim,Anaheim Intermodal Center,3/6/2019,6:10,Los Angeles,Union Station,0,
12,Anaheim,Anaheim Intermodal Center,3/6/2019,8:40,Los Angeles,Union Station,0,
12,Anaheim,Anaheim Intermodal Center,3/6/2019,9:10,Los Angeles,Union Station,0,
13,Anaheim,Anaheim Intermodal Center,3/6/2019,11:20,Los Angeles,Union Station,0,
13,Anaheim,Anaheim Intermodal Center,3/6/2019,12:10,Los Angeles,Union Station,0,
13,Anaheim,Anaheim Intermodal Center,3/6/2019,13:30,Los Angeles,Union Station,0,
11,Anaheim,Anaheim Intermodal Center,3/6/2019,13:50,Los Angeles,Union Station,0,
13,Anaheim,Anaheim Intermodal Center,3/6/2019,16:10,Los Angeles,Union Station,0,
12,Anaheim,Anaheim Intermodal Center,3/6/2019,17:00,Los Angeles,Union Station,0,
12,Anaheim,Anaheim Intermodal Center,3/6/2019,17:20,Los Angeles,Union Station,0,
34,Anaheim,Anaheim Intermodal Center,3/3/2019,12:30,Las Vegas,Union Plaza,0,
41,Anaheim,Anaheim Intermodal Center,3/3/2019,14:50,Las Vegas,Union Plaza,0,
32,Anaheim,Anaheim Intermodal Center,3/3/2019,16:20,Las Vegas,Union Plaza,0,
44,Anaheim,Anaheim Intermodal Center,3/3/2019,17:20,Las Vegas,Union Plaza,0,
23,Anaheim,Anaheim Intermodal Center,3/3/2019,6:00,San Diego,Santa Fe Depot,0,
24,Anaheim,Anaheim Intermodal Center,3/3/2019,7:30,San Diego,Santa Fe Depot,0,
25,Anaheim,Anaheim Intermodal Center,3/3/2019,9:20,San Diego,Santa Fe Depot,0,
23,Anaheim,Anaheim Intermodal Center,3/3/2019,9:40,San Diego,Santa Fe Depot,0,
24,Anaheim,Anaheim Intermodal Center,3/3/2019,14:20,San Diego,Santa Fe Depot,0,
24,Anaheim,Anaheim Intermodal Center,3/3/2019,14:50,San Diego,Santa Fe Depot,0,
25,Anaheim,Anaheim Intermodal Center,3/3/2019,17:50,San Diego,Santa Fe Depot,0,
20,Anaheim,Anaheim Intermodal Center,3/3/2019,19:10,San Diego,Santa Fe Depot,0,
23,Anaheim,Anaheim Intermodal Center,3/3/2019,19:40,San Diego,Santa Fe Depot,0,
77,Sacramento,Sacramento Valley Station,3/6/2019,10:20,San Diego,Santa Fe Depot,1,
76,Sacramento,Sacramento Valley Station,3/6/2019,10:50,San Diego,Santa Fe Depot,1,
75,Sacramento,Sacramento Valley Station,3/6/2019,11:00,San Diego,Santa Fe Depot,1,
79,Sacramento,Sacramento Valley Station,3/6/2019,12:50,San Diego,Santa Fe Depot,1,
69,Sacramento,Sacramento Valley Station,3/6/2019,13:00,San Diego,Santa Fe Depot,1,
68,Sacramento,Sacramento Valley Station,3/6/2019,13:20,San Diego,Santa Fe Depot,1,
72,Sacramento,Sacramento Valley Station,3/6/2019,13:30,San Diego,Santa Fe Depot,1,
74,Sacramento,Sacramento Valley Station,3/6/2019,19:50,San Diego,Santa Fe Depot,1,
11,Long Beach,Downtown Station,3/10/2019,6:40,Los Angeles,Union Station,0,
14,Long Beach,Downtown Station,3/10/2019,7:40,Los Angeles,Union Station,0,
13,Long Beach,Downtown Station,3/10/2019,10:40,Los Angeles,Union Station,0,
11,Long Beach,Downtown Station,3/10/2019,11:30,Los Angeles,Union Station,0,
13,Long Beach,Downtown Station,3/10/2019,12:50,Los Angeles,Union Station,0,
13,Long Beach,Downtown Station,3/10/2019,13:40,Los Angeles,Union Station,0,
13,Long Beach,Downtown Station,3/10/2019,13:50,Los Angeles,Union Station,0,
11,Long Beach,Downtown Station,3/10/2019,15:20,Los Angeles,Union Station,0,
11,Long Beach,Downtown Station,3/10/2019,16:00,Los Angeles,Union Station,0,
13,Long Beach,Downtown Station,3/10/2019,16:30,Los Angeles,Union Station,0,
65,Sacramento,Sacramento Valley Station,3/14/2019,7:40,Long Beach,Downtown Station,1,
69,Sacramento,Sacramento Valley Station,3/14/2019,8:30,Long Beach,Downtown Station,1,
64,Sacramento,Sacramento Valley Station,3/14/2019,11:00,Long Beach,Downtown Station,1,
59,Sacramento,Sacramento Valley Station,3/14/2019,13:00,Long Beach,Downtown Station,1,
58,Sacramento,Sacramento Valley Station,3/14/2019,13:20,Long Beach,Downtown Station,1,
69,Sacramento,Sacramento Valley Station,3/14/2019,13:30,Long Beach,Downtown Station,1,
67,Sacramento,Sacramento Valley Station,3/14/2019,19:50,Long Beach,Downtown Station,1,
21,San Francisco,Salesforce Transit Center,3/9/2019,7:20,Sacramento,Sacramento Valley Station,0,
24,San Francisco,Salesforce Transit Center,3/9/2019,9:40,Sacramento,Sacramento Valley Station,0,
24,San Francisco,Salesforce Transit Center,3/9/2019,10:00,Sacramento,Sacramento Valley Station,0,
22,San Francisco,Salesforce Transit Center,3/9/2019,11:40,Sacramento,Sacramento Valley Station,0,
19,San Francisco,Salesforce Transit Center,3/9/2019,12:30,Sacramento,Sacramento Valley Station,0,
23,San Francisco,Salesforce Transit Center,3/9/2019,13:20,Sacramento,Sacramento Valley Station,0,
21,San Francisco,Salesforce Transit Center,3/9/2019,14:10,Sacramento,Sacramento Valley Station,0,
23,San Francisco,Salesforce Transit Center,3/9/2019,16:40,Sacramento,Sacramento Valley Station,0,
23,San Francisco,Salesforce Transit Center,3/9/2019,17:30,Sacramento,Sacramento Valley Station,0,
23,San Francisco,Salesforce Transit Center,3/9/2019,18:10,Sacramento,Sacramento Valley Station,0,
47,San Francisco,Salesforce Transit Center,3/9/2019,7:50,Long Beach,Downtown Station,0,
45,San Francisco,Salesforce Transit Center,3/9/2019,8:50,Long Beach,Downtown Station,0,
53,San Francisco,Salesforce Transit Center,3/9/2019,9:10,Long Beach,Downtown Station,0,
46,San Francisco,Salesforce Transit Center,3/9/2019,10:30,Long Beach,Downtown Station,0,
44,San Francisco,Salesforce Transit Center,3/9/2019,15:20,Long Beach,Downtown Station,0,
43,San Francisco,Salesforce Transit Center,3/9/2019,16:30,Long Beach,Downtown Station,0,
46,San Francisco,Salesforce Transit Center,3/9/2019,17:00,Long Beach,Downtown Station,0,
54,Long Beach,Downtown Station,3/8/2019,6:50,San Francisco,Salesforce Transit Center,0,
50,Long Beach,Downtown Station,3/8/2019,7:00,San Francisco,Salesforce Transit Center,0,
57,Long Beach,Downtown Station,3/8/2019,8:30,San Francisco,Salesforce Transit Center,0,
57,Long Beach,Downtown Station,3/8/2019,10:20,San Francisco,Salesforce Transit Center,0,
46,Long Beach,Downtown Station,3/8/2019,10:30,San Francisco,Salesforce Transit Center,0,
45,Long Beach,Downtown Station,3/8/2019,19:00,San Francisco,Salesforce Transit Center,0,
49,Long Beach,Downtown Station,3/8/2019,19:30,San Francisco,Salesforce Transit Center,0,
54,Long Beach,Downtown Station,3/12/2019,6:50,San Francisco,Salesforce Transit Center,0,
54,Long Beach,Downtown Station,3/12/2019,7:00,San Francisco,Salesforce Transit Center,0,
55,Long Beach,Downtown Station,3/12/2019,8:30,San Francisco,Salesforce Transit Center,0,
50,Long Beach,Downtown Station,3/12/2019,10:20,San Francisco,Salesforce Transit Center,0,
53,Long Beach,Downtown Station,3/12/2019,10:30,San Francisco,Salesforce Transit Center,0,
50,Long Beach,Downtown Station,3/12/2019,19:00,San Francisco,Salesforce Transit Center,0,
50,Long Beach,Downtown Station,3/12/2019,19:30,San Francisco,Salesforce Transit Center,0,
51,San Francisco,Salesforce Transit Center,3/12/2019,7:00,Los Angeles,Union Station,0,
47,San Francisco,Salesforce Transit Center,3/12/2019,7:40,Los Angeles,Union Station,0,
43,San Francisco,Salesforce Transit Center,3/12/2019,8:40,Los Angeles,Union Station,0,
48,San Francisco,Salesforce Transit Center,3/12/2019,8:50,Los Angeles,Union Station,0,
49,San Francisco,Salesforce Transit Center,3/12/2019,10:40,Los Angeles,Union Station,0,
50,San Francisco,Salesforce Transit Center,3/12/2019,11:10,Los Angeles,Union Station,0,
48,San Francisco,Salesforce Transit Center,3/12/2019,13:10,Los Angeles,Union Station,0,
46,San Francisco,Salesforce Transit Center,3/12/2019,14:10,Los Angeles,Union Station,0,
42,San Francisco,Salesforce Transit Center,3/12/2019,16:20,Los Angeles,Union Station,0,
49,San Francisco,Salesforce Transit Center,3/12/2019,17:50,Los Angeles,Union Station,0,
31,Philadelphia,Intercity Terminal,3/10/2019,7:30,Washington,Union Station,0,
31,Philadelphia,Intercity Terminal,3/10/2019,7:50,Washington,Union Station,0,
31,Philadelphia,Intercity Terminal,3/10/2019,8:20,Washington,Union Station,0,
30,Philadelphia,Intercity Terminal,3/10/2019,10:00,Washington,Union Station,0,
29,Philadelphia,Intercity Terminal,3/10/2019,10:50,Washington,Union Station,0,
34,Philadelphia,Intercity Terminal,3/10/2019,15:20,Washington,Union Station,0,
33,Philadelphia,Intercity Terminal,3/10/2019,16:50,Washington,Union Station,0,
29,Philadelphia,Intercity Terminal,3/10/2019,19:10,Washington,Union Station,0,
28,Los Angeles,Union Station,3/5/2019,7:40,San Diego,Santa Fe Depot,0,
30,Los Angeles,Union Station,3/5/2019,7:50,San Diego,Santa Fe Depot,0,
28,Los Angeles,Union Station,3/5/2019,9:20,San Diego,Santa Fe Depot,0,
27,Los Angeles,Union Station,3/5/2019,10:50,San Diego,Santa Fe Depot,0,
24,Los Angeles,Union Station,3/5/2019,11:20,San Diego,Santa Fe Depot,0,
24,Los Angeles,Union Station,3/5/2019,14:20,San Diego,Santa Fe Depot,0,
23,Los Angeles,Union Station,3/5/2019,15:00,San Diego,Santa Fe Depot,0,
24,Los Angeles,Union Station,3/5/2019,16:40,San Diego,Santa Fe Depot,0,
28,Los Angeles,Union Station,3/5/2019,16:50,San Diego,Santa Fe Depot,0,
25,Los Angeles,Union Station,3/5/2019,18:10,San Diego,Santa Fe Depot,0,
35,Las Vegas,Union Plaza,3/5/2019,14:00,Long Beach,Downtown Station,0,
35,Las Vegas,Union Plaza,3/5/2019,15:50,Long Beach,Downtown Station,0,
35,Las Vegas,Union Plaza,3/5/2019,18:00,Long Beach,Downtown Station,0,
41,Las Vegas,Union Plaza,3/5/2019,18:50,Long Beach,Downtown Station,0,
20,San Francisco,Salesforce Transit Center,3/5/2019,7:20,Sacramento,Sacramento Valley Station,0,
24,San Francisco,Salesforce Transit Center,3/5/2019,9:40,Sacramento,Sacramento Valley Station,0,
24,San Francisco,Salesforce Transit Center,3/5/2019,10:00,Sacramento,Sacramento Valley Station,0,
23,San Francisco,Salesforce Transit Center,3/5/2019,11:40,Sacramento,Sacramento Valley Station,0,
21,San Francisco,Salesforce Transit Center,3/5/2019,12:30,Sacramento,Sacramento Valley Station,0,
24,San Francisco,Salesforce Transit Center,3/5/2019,13:20,Sacramento,Sacramento Valley Station,0,
23,San Francisco,Salesforce Transit Center,3/5/2019,14:10,Sacramento,Sacramento Valley Station,0,
21,San Francisco,Salesforce Transit Center,3/5/2019,16:40,Sacramento,Sacramento Valley Station,0,
24,San Francisco,Salesforce Transit Center,3/5/2019,17:30,Sacramento,Sacramento Valley Station,0,
17,San Francisco,Salesforce Transit Center,3/5/2019,18:10,Sacramento,Sacramento Valley Station,0,
69,San Diego,Santa Fe Depot,3/13/2019,7:40,Sacramento,Sacramento Valley Station,1,
68,San Diego,Santa Fe Depot,3/13/2019,8:30,Sacramento,Sacramento Valley Station,1,
75,San Diego,Santa Fe Depot,3/13/2019,9:50,Sacramento,Sacramento Valley Station,1,
70,San Diego,Santa Fe Depot,3/13/2019,10:00,Sacramento,Sacramento Valley Station,1,
65,San Diego,Santa Fe Depot,3/13/2019,11:40,Sacramento,Sacramento Valley Station,1,
76,San Diego,Santa Fe Depot,3/13/2019,14:00,Sacramento,Sacramento Valley Station,1,
73,San Diego,Santa Fe Depot,3/7/2019,7:40,Sacramento,Sacramento Valley Station,1,
74,San Diego,Santa Fe Depot,3/7/2019,8:30,Sacramento,Sacramento Valley Station,1,
73,San Diego,Santa Fe Depot,3/7/2019,9:50,Sacramento,Sacramento Valley Station,1,
71,San Diego,Santa Fe Depot,3/7/2019,10:00,Sacramento,Sacramento Valley Station,1,
66,San Diego,Santa Fe Depot,3/7/2019,11:40,Sacramento,Sacramento Valley Station,1,
79,San Diego,Santa Fe Depot,3/7/2019,14:00,Sacramento,Sacramento Valley Station,1,
11,Los Angeles,Union Station,3/6/2019,7:00,Anaheim,Anaheim Intermodal Center,0,
10,Los Angeles,Union Station,3/6/2019,11:10,Anaheim,Anaheim Intermodal Center,0,
10,Los Angeles,Union Station,3/6/2019,13:30,Anaheim,Anaheim Intermodal Center,0,
13,Los Angeles,Union Station,3/6/2019,13:50,Anaheim,Anaheim Intermodal Center,0,
12,Los Angeles,Union Station,3/6/2019,15:00,Anaheim,Anaheim Intermodal Center,0,
13,Los Angeles,Union Station,3/6/2019,15:40,Anaheim,Anaheim Intermodal Center,0,
12,Los Angeles,Union Station,3/6/2019,15:50,Anaheim,Anaheim Intermodal Center,0,
14,Los Angeles,Union Station,3/6/2019,17:30,Anaheim,Anaheim Intermodal Center,0,
14,Los Angeles,Union Station,3/6/2019,18:30,Anaheim,Anaheim Intermodal Center,0,
13,Los Angeles,Union Station,3/6/2019,19:10,Anaheim,Anaheim Intermodal Center,0,
39,Anaheim,Anaheim Intermodal Center,3/13/2019,12:30,Las Vegas,Union Plaza,0,
41,Anaheim,Anaheim Intermodal Center,3/13/2019,14:50,Las Vegas,Union Plaza,0,
36,Anaheim,Anaheim Intermodal Center,3/13/2019,16:20,Las Vegas,Union Plaza,0,
36,Anaheim,Anaheim Intermodal Center,3/13/2019,17:20,Las Vegas,Union Plaza,0,
45,San Francisco,Salesforce Transit Center,3/12/2019,7:50,Long Beach,Downtown Station,0,
43,San Francisco,Salesforce Transit Center,3/12/2019,8:50,Long Beach,Downtown Station,0,
49,San Francisco,Salesforce Transit Center,3/12/2019,9:10,Long Beach,Downtown Station,0,
45,San Francisco,Salesforce Transit Center,3/12/2019,10:30,Long Beach,Downtown Station,0,
49,San Francisco,Salesforce Transit Center,3/12/2019,15:20,Long Beach,Downtown Station,0,
51,San Francisco,Salesforce Transit Center,3/12/2019,16:30,Long Beach,Downtown Station,0,
55,San Francisco,Salesforce Transit Center,3/12/2019,17:00,Long Beach,Downtown Station,0,
20,Long Beach,Downtown Station,3/14/2019,7:00,San Diego,Santa Fe Depot,0,
26,Long Beach,Downtown Station,3/14/2019,8:40,San Diego,Santa Fe Depot,0,
26,Long Beach,Downtown Station,3/14/2019,10:30,San Diego,Santa Fe Depot,0,
25,Long Beach,Downtown Station,3/14/2019,11:30,San Diego,Santa Fe Depot,0,
24,Long Beach,Downtown Station,3/14/2019,11:40,San Diego,Santa Fe Depot,0,
23,Long Beach,Downtown Station,3/14/2019,11:50,San Diego,Santa Fe Depot,0,
30,Long Beach,Downtown Station,3/14/2019,13:00,San Diego,Santa Fe Depot,0,
24,Long Beach,Downtown Station,3/14/2019,15:40,San Diego,Santa Fe Depot,0,
23,Long Beach,Downtown Station,3/14/2019,15:50,San Diego,Santa Fe Depot,0,
24,Long Beach,Downtown Station,3/14/2019,19:40,San Diego,Santa Fe Depot,0,
