category,departure_date,departure_time,from_city,from_station,num_passengers,price,to_city,to_station,additional_luggage
direct,3/7/2019,9:00,San Francisco,Transbay Terminal,,23,Sacramento,65th Light Rail Station,
direct,3/7/2019,9:10,San Francisco,Transbay Terminal,,24,Sacramento,65th Light Rail Station,
direct,3/7/2019,9:40,San Francisco,Transbay Terminal,,20,Sacramento,65th Light Rail Station,
direct,3/7/2019,10:10,San Francisco,Transbay Terminal,,23,Sacramento,65th Light Rail Station,
direct,3/7/2019,11:50,San Francisco,Transbay Terminal,,21,Sacramento,65th Light Rail Station,
direct,3/7/2019,13:50,San Francisco,Transbay Terminal,,21,Sacramento,65th Light Rail Station,
direct,3/7/2019,14:20,San Francisco,Transbay Terminal,,21,Sacramento,65th Light Rail Station,
direct,3/7/2019,15:50,San Francisco,Transbay Terminal,,20,Sacramento,65th Light Rail Station,
direct,3/8/2019,9:10,Long Beach,Downtown Station,,41,Las Vegas,Union Plaza,
direct,3/8/2019,10:00,Long Beach,Downtown Station,,39,Las Vegas,Union Plaza,
direct,3/8/2019,15:30,Long Beach,Downtown Station,,37,Las Vegas,Union Plaza,
direct,3/8/2019,17:50,Long Beach,Downtown Station,,39,Las Vegas,Union Plaza,
direct,3/13/2019,7:00,San Francisco,Transbay Terminal,,46,Long Beach,Downtown Station,
direct,3/13/2019,7:40,San Francisco,Transbay Terminal,,44,Long Beach,Downtown Station,
direct,3/13/2019,9:10,San Francisco,Transbay Terminal,,42,Long Beach,Downtown Station,
direct,3/13/2019,11:10,San Francisco,Transbay Terminal,,50,Long Beach,Downtown Station,
direct,3/13/2019,13:00,San Francisco,Transbay Terminal,,49,Long Beach,Downtown Station,
direct,3/13/2019,17:00,San Francisco,Transbay Terminal,,51,Long Beach,Downtown Station,
direct,3/13/2019,19:50,San Francisco,Transbay Terminal,,49,Long Beach,Downtown Station,
direct,3/2/2019,7:30,Seattle,Westlake Station,,31,Portland,SW Arthur & 1st,
direct,3/2/2019,9:00,Seattle,Westlake Station,,36,Portland,SW Arthur & 1st,
direct,3/2/2019,9:20,Seattle,Westlake Station,,31,Portland,SW Arthur & 1st,
direct,3/2/2019,9:30,Seattle,Westlake Station,,27,Portland,SW Arthur & 1st,
direct,3/2/2019,9:50,Seattle,Westlake Station,,28,Portland,SW Arthur & 1st,
direct,3/2/2019,12:10,Seattle,Westlake Station,,30,Portland,SW Arthur & 1st,
direct,3/2/2019,12:20,Seattle,Westlake Station,,31,Portland,SW Arthur & 1st,
direct,3/2/2019,18:30,Seattle,Westlake Station,,29,Portland,SW Arthur & 1st,
direct,3/14/2019,6:50,Los Angeles,North Hollywood Station,,14,Long Beach,Downtown Station,
direct,3/14/2019,8:20,Los Angeles,North Hollywood Station,,12,Long Beach,Downtown Station,
direct,3/14/2019,11:20,Los Angeles,North Hollywood Station,,14,Long Beach,Downtown Station,
direct,3/14/2019,12:10,Los Angeles,North Hollywood Station,,12,Long Beach,Downtown Station,
direct,3/14/2019,12:50,Los Angeles,North Hollywood Station,,11,Long Beach,Downtown Station,
direct,3/14/2019,13:30,Los Angeles,North Hollywood Station,,11,Long Beach,Downtown Station,
direct,3/14/2019,13:40,Los Angeles,North Hollywood Station,,12,Long Beach,Downtown Station,
direct,3/14/2019,14:00,Los Angeles,North Hollywood Station,,11,Long Beach,Downtown Station,
direct,3/14/2019,14:40,Los Angeles,North Hollywood Station,,10,Long Beach,Downtown Station,
direct,3/14/2019,15:20,Los Angeles,North Hollywood Station,,12,Long Beach,Downtown Station,
direct,3/11/2019,7:00,Portland,SW Arthur & 1st,,26,Seattle,Westlake Station,
direct,3/11/2019,11:20,Portland,SW Arthur & 1st,,28,Seattle,Westlake Station,
direct,3/11/2019,11:50,Portland,SW Arthur & 1st,,31,Seattle,Westlake Station,
direct,3/11/2019,12:20,Portland,SW Arthur & 1st,,30,Seattle,Westlake Station,
direct,3/11/2019,12:30,Portland,SW Arthur & 1st,,31,Seattle,Westlake Station,
direct,3/11/2019,12:40,Portland,SW Arthur & 1st,,27,Seattle,Westlake Station,
direct,3/11/2019,16:10,Portland,SW Arthur & 1st,,29,Seattle,Westlake Station,
direct,3/11/2019,17:30,Portland,SW Arthur & 1st,,32,Seattle,Westlake Station,
direct,3/11/2019,18:30,Portland,SW Arthur & 1st,,29,Seattle,Westlake Station,
direct,3/11/2019,19:00,Portland,SW Arthur & 1st,,34,Seattle,Westlake Station,
direct,3/13/2019,6:00,Los Angeles,North Hollywood Station,,12,Anaheim,Anaheim Bus Station,
direct,3/13/2019,6:40,Los Angeles,North Hollywood Station,,11,Anaheim,Anaheim Bus Station,
direct,3/13/2019,9:20,Los Angeles,North Hollywood Station,,13,Anaheim,Anaheim Bus Station,
direct,3/13/2019,10:40,Los Angeles,North Hollywood Station,,13,Anaheim,Anaheim Bus Station,
direct,3/13/2019,11:30,Los Angeles,North Hollywood Station,,10,Anaheim,Anaheim Bus Station,
direct,3/13/2019,14:00,Los Angeles,North Hollywood Station,,12,Anaheim,Anaheim Bus Station,
direct,3/13/2019,14:50,Los Angeles,North Hollywood Station,,13,Anaheim,Anaheim Bus Station,
direct,3/13/2019,15:00,Los Angeles,North Hollywood Station,,11,Anaheim,Anaheim Bus Station,
direct,3/13/2019,15:30,Los Angeles,North Hollywood Station,,13,Anaheim,Anaheim Bus Station,
direct,3/13/2019,15:40,Los Angeles,North Hollywood Station,,11,Anaheim,Anaheim Bus Station,
direct,3/13/2019,8:50,Anaheim,Anaheim Bus Station,,50,San Francisco,Transbay Terminal,
direct,3/13/2019,9:10,Anaheim,Anaheim Bus Station,,43,San Francisco,Transbay Terminal,
direct,3/13/2019,11:40,Anaheim,Anaheim Bus Station,,52,San Francisco,Transbay Terminal,
direct,3/13/2019,14:00,Anaheim,Anaheim Bus Station,,51,San Francisco,Transbay Terminal,
direct,3/13/2019,14:30,Anaheim,Anaheim Bus Station,,49,San Francisco,Transbay Terminal,
direct,3/13/2019,16:10,Anaheim,Anaheim Bus Station,,44,San Francisco,Transbay Terminal,
direct,3/13/2019,18:10,Anaheim,Anaheim Bus Station,,52,San Francisco,Transbay Terminal,
direct,3/13/2019,19:00,Anaheim,Anaheim Bus Station,,49,San Francisco,Transbay Terminal,
direct,3/8/2019,8:50,Anaheim,Anaheim Bus Station,,51,San Francisco,Transbay Terminal,
direct,3/8/2019,9:10,Anaheim,Anaheim Bus Station,,44,San Francisco,Transbay Terminal,
direct,3/8/2019,11:40,Anaheim,Anaheim Bus Station,,49,San Francisco,Transbay Terminal,
direct,3/8/2019,14:00,Anaheim,Anaheim Bus Station,,52,San Francisco,Transbay Terminal,
direct,3/8/2019,14:30,Anaheim,Anaheim Bus Station,,48,San Francisco,Transbay Terminal,
direct,3/8/2019,16:10,Anaheim,Anaheim Bus Station,,40,San Francisco,Transbay Terminal,
direct,3/8/2019,18:10,Anaheim,Anaheim Bus Station,,44,San Francisco,Transbay Terminal,
direct,3/8/2019,19:00,Anaheim,Anaheim Bus Station,,40,San Francisco,Transbay Terminal,
direct,3/11/2019,7:50,Fresno,2660 Tulare St,,40,Los Angeles,North Hollywood Station,
direct,3/11/2019,8:10,Fresno,2660 Tulare St,,33,Los Angeles,North Hollywood Station,
direct,3/11/2019,9:00,Fresno,2660 Tulare St,,40,Los Angeles,North Hollywood Station,
direct,3/11/2019,9:50,Fresno,2660 Tulare St,,31,Los Angeles,North Hollywood Station,
direct,3/11/2019,13:20,Fresno,2660 Tulare St,,38,Los Angeles,North Hollywood Station,
direct,3/11/2019,15:20,Fresno,2660 Tulare St,,43,Los Angeles,North Hollywood Station,
direct,3/11/2019,17:10,Fresno,2660 Tulare St,,35,Los Angeles,North Hollywood Station,
direct,3/11/2019,19:20,Fresno,2660 Tulare St,,35,Los Angeles,North Hollywood Station,
direct,3/1/2019,7:20,San Francisco,Transbay Terminal,,48,Anaheim,Anaheim Bus Station,
direct,3/1/2019,8:50,San Francisco,Transbay Terminal,,49,Anaheim,Anaheim Bus Station,
direct,3/1/2019,9:10,San Francisco,Transbay Terminal,,51,Anaheim,Anaheim Bus Station,
direct,3/1/2019,10:30,San Francisco,Transbay Terminal,,45,Anaheim,Anaheim Bus Station,
direct,3/1/2019,12:10,San Francisco,Transbay Terminal,,45,Anaheim,Anaheim Bus Station,
direct,3/1/2019,16:10,San Francisco,Transbay Terminal,,47,Anaheim,Anaheim Bus Station,
direct,3/1/2019,16:20,San Francisco,Transbay Terminal,,48,Anaheim,Anaheim Bus Station,
direct,3/1/2019,16:40,San Francisco,Transbay Terminal,,44,Anaheim,Anaheim Bus Station,
direct,3/8/2019,7:40,Sacramento,65th Light Rail Station,,24,San Francisco,Transbay Terminal,
direct,3/8/2019,7:50,Sacramento,65th Light Rail Station,,21,San Francisco,Transbay Terminal,
direct,3/8/2019,9:40,Sacramento,65th Light Rail Station,,21,San Francisco,Transbay Terminal,
direct,3/8/2019,12:10,Sacramento,65th Light Rail Station,,19,San Francisco,Transbay Terminal,
direct,3/8/2019,12:20,Sacramento,65th Light Rail Station,,22,San Francisco,Transbay Terminal,
direct,3/8/2019,13:00,Sacramento,65th Light Rail Station,,25,San Francisco,Transbay Terminal,
direct,3/8/2019,15:10,Sacramento,65th Light Rail Station,,24,San Francisco,Transbay Terminal,
direct,3/8/2019,15:20,Sacramento,65th Light Rail Station,,23,San Francisco,Transbay Terminal,
direct,3/8/2019,16:20,Sacramento,65th Light Rail Station,,22,San Francisco,Transbay Terminal,
direct,3/8/2019,16:40,Sacramento,65th Light Rail Station,,21,San Francisco,Transbay Terminal,
direct,3/9/2019,7:10,Vancouver,Pacific Central Station,,40,Portland,SW Arthur & 1st,
direct,3/9/2019,8:40,Vancouver,Pacific Central Station,,36,Portland,SW Arthur & 1st,
direct,3/9/2019,9:30,Vancouver,Pacific Central Station,,43,Portland,SW Arthur & 1st,
direct,3/9/2019,11:50,Vancouver,Pacific Central Station,,35,Portland,SW Arthur & 1st,
direct,3/9/2019,14:10,Vancouver,Pacific Central Station,,42,Portland,SW Arthur & 1st,
direct,3/9/2019,14:30,Vancouver,Pacific Central Station,,41,Portland,SW Arthur & 1st,
direct,3/9/2019,17:00,Vancouver,Pacific Central Station,,44,Portland,SW Arthur & 1st,
direct,3/9/2019,19:00,Vancouver,Pacific Central Station,,42,Portland,SW Arthur & 1st,
direct,3/10/2019,6:20,Fresno,2660 Tulare St,,28,Sacramento,65th Light Rail Station,
direct,3/10/2019,9:20,Fresno,2660 Tulare St,,27,Sacramento,65th Light Rail Station,
direct,3/10/2019,11:30,Fresno,2660 Tulare St,,36,Sacramento,65th Light Rail Station,
direct,3/10/2019,13:10,Fresno,2660 Tulare St,,26,Sacramento,65th Light Rail Station,
direct,3/10/2019,14:00,Fresno,2660 Tulare St,,34,Sacramento,65th Light Rail Station,
direct,3/10/2019,16:10,Fresno,2660 Tulare St,,31,Sacramento,65th Light Rail Station,
direct,3/4/2019,10:50,Fresno,2660 Tulare St,,36,San Francisco,Transbay Terminal,
direct,3/4/2019,12:40,Fresno,2660 Tulare St,,30,San Francisco,Transbay Terminal,
direct,3/4/2019,13:10,Fresno,2660 Tulare St,,27,San Francisco,Transbay Terminal,
direct,3/4/2019,13:30,Fresno,2660 Tulare St,,34,San Francisco,Transbay Terminal,
direct,3/4/2019,14:20,Fresno,2660 Tulare St,,36,San Francisco,Transbay Terminal,
direct,3/4/2019,14:40,Fresno,2660 Tulare St,,31,San Francisco,Transbay Terminal,
direct,3/4/2019,16:10,Fresno,2660 Tulare St,,27,San Francisco,Transbay Terminal,
direct,3/4/2019,19:40,Fresno,2660 Tulare St,,34,San Francisco,Transbay Terminal,
direct,3/4/2019,7:00,Portland,SW Arthur & 1st,,33,Seattle,Westlake Station,
direct,3/4/2019,11:20,Portland,SW Arthur & 1st,,32,Seattle,Westlake Station,
direct,3/4/2019,11:50,Portland,SW Arthur & 1st,,29,Seattle,Westlake Station,
direct,3/4/2019,12:20,Portland,SW Arthur & 1st,,32,Seattle,Westlake Station,
direct,3/4/2019,12:30,Portland,SW Arthur & 1st,,26,Seattle,Westlake Station,
direct,3/4/2019,12:40,Portland,SW Arthur & 1st,,27,Seattle,Westlake Station,
direct,3/4/2019,16:10,Portland,SW Arthur & 1st,,31,Seattle,Westlake Station,
direct,3/4/2019,17:30,Portland,SW Arthur & 1st,,29,Seattle,Westlake Station,
direct,3/4/2019,18:30,Portland,SW Arthur & 1st,,31,Seattle,Westlake Station,
direct,3/4/2019,19:00,Portland,SW Arthur & 1st,,26,Seattle,Westlake Station,
direct,3/6/2019,6:50,Long Beach,Downtown Station,,24,San Diego,El Cajon Bus Stop,
direct,3/6/2019,7:30,Long Beach,Downtown Station,,25,San Diego,El Cajon Bus Stop,
direct,3/6/2019,7:50,Long Beach,Downtown Station,,26,San Diego,El Cajon Bus Stop,
direct,3/6/2019,8:40,Long Beach,Downtown Station,,28,San Diego,El Cajon Bus Stop,
direct,3/6/2019,9:30,Long Beach,Downtown Station,,23,San Diego,El Cajon Bus Stop,
direct,3/6/2019,15:20,Long Beach,Downtown Station,,22,San Diego,El Cajon Bus Stop,
direct,3/6/2019,16:10,Long Beach,Downtown Station,,22,San Diego,El Cajon Bus Stop,
direct,3/6/2019,17:50,Long Beach,Downtown Station,,24,San Diego,El Cajon Bus Stop,
direct,3/6/2019,18:10,Long Beach,Downtown Station,,25,San Diego,El Cajon Bus Stop,
direct,3/4/2019,7:30,Seattle,Westlake Station,,28,Portland,SW Arthur & 1st,
direct,3/4/2019,9:00,Seattle,Westlake Station,,32,Portland,SW Arthur & 1st,
direct,3/4/2019,9:20,Seattle,Westlake Station,,31,Portland,SW Arthur & 1st,
direct,3/4/2019,9:30,Seattle,Westlake Station,,29,Portland,SW Arthur & 1st,
direct,3/4/2019,9:50,Seattle,Westlake Station,,28,Portland,SW Arthur & 1st,
direct,3/4/2019,12:10,Seattle,Westlake Station,,26,Portland,SW Arthur & 1st,
direct,3/4/2019,12:20,Seattle,Westlake Station,,29,Portland,SW Arthur & 1st,
direct,3/4/2019,18:30,Seattle,Westlake Station,,32,Portland,SW Arthur & 1st,
one-stop,3/9/2019,7:10,Sacramento,65th Light Rail Station,,67,San Diego,El Cajon Bus Stop,
one-stop,3/9/2019,7:40,Sacramento,65th Light Rail Station,,62,San Diego,El Cajon Bus Stop,
one-stop,3/9/2019,7:50,Sacramento,65th Light Rail Station,,64,San Diego,El Cajon Bus Stop,
one-stop,3/9/2019,9:40,Sacramento,65th Light Rail Station,,59,San Diego,El Cajon Bus Stop,
one-stop,3/9/2019,10:50,Sacramento,65th Light Rail Station,,60,San Diego,El Cajon Bus Stop,
one-stop,3/9/2019,16:20,Sacramento,65th Light Rail Station,,61,San Diego,El Cajon Bus Stop,
one-stop,3/9/2019,16:40,Sacramento,65th Light Rail Station,,58,San Diego,El Cajon Bus Stop,
one-stop,3/14/2019,7:10,Sacramento,65th Light Rail Station,,65,San Diego,El Cajon Bus Stop,
one-stop,3/14/2019,7:40,Sacramento,65th Light Rail Station,,65,San Diego,El Cajon Bus Stop,
one-stop,3/14/2019,7:50,Sacramento,65th Light Rail Station,,64,San Diego,El Cajon Bus Stop,
one-stop,3/14/2019,9:40,Sacramento,65th Light Rail Station,,59,San Diego,El Cajon Bus Stop,
one-stop,3/14/2019,10:50,Sacramento,65th Light Rail Station,,67,San Diego,El Cajon Bus Stop,
one-stop,3/14/2019,16:20,Sacramento,65th Light Rail Station,,61,San Diego,El Cajon Bus Stop,
direct,3/3/2019,6:00,Long Beach,Downtown Station,,11,Los Angeles,North Hollywood Station,
direct,3/3/2019,6:20,Long Beach,Downtown Station,,12,Los Angeles,North Hollywood Station,
direct,3/3/2019,6:50,Long Beach,Downtown Station,,10,Los Angeles,North Hollywood Station,
direct,3/3/2019,8:10,Long Beach,Downtown Station,,10,Los Angeles,North Hollywood Station,
direct,3/3/2019,8:20,Long Beach,Downtown Station,,12,Los Angeles,North Hollywood Station,
direct,3/3/2019,9:40,Long Beach,Downtown Station,,12,Los Angeles,North Hollywood Station,
direct,3/3/2019,9:50,Long Beach,Downtown Station,,13,Los Angeles,North Hollywood Station,
direct,3/3/2019,11:00,Long Beach,Downtown Station,,12,Los Angeles,North Hollywood Station,
direct,3/3/2019,12:20,Long Beach,Downtown Station,,12,Los Angeles,North Hollywood Station,
direct,3/3/2019,13:00,Long Beach,Downtown Station,,11,Los Angeles,North Hollywood Station,
direct,3/7/2019,7:00,San Francisco,Transbay Terminal,,31,Fresno,2660 Tulare St,
direct,3/7/2019,7:10,San Francisco,Transbay Terminal,,36,Fresno,2660 Tulare St,
direct,3/7/2019,8:20,San Francisco,Transbay Terminal,,34,Fresno,2660 Tulare St,
direct,3/7/2019,13:00,San Francisco,Transbay Terminal,,28,Fresno,2660 Tulare St,
direct,3/7/2019,15:20,San Francisco,Transbay Terminal,,42,Fresno,2660 Tulare St,
direct,3/7/2019,16:10,San Francisco,Transbay Terminal,,32,Fresno,2660 Tulare St,
direct,3/7/2019,18:20,San Francisco,Transbay Terminal,,34,Fresno,2660 Tulare St,
direct,3/7/2019,18:40,San Francisco,Transbay Terminal,,34,Fresno,2660 Tulare St,
direct,3/7/2019,19:30,San Francisco,Transbay Terminal,,34,Fresno,2660 Tulare St,
direct,3/8/2019,9:00,Philadelphia,10th and Filbert,,23,New York,Penn Station,
direct,3/8/2019,10:10,Philadelphia,10th and Filbert,,24,New York,Penn Station,
direct,3/8/2019,12:30,Philadelphia,10th and Filbert,,21,New York,Penn Station,
direct,3/8/2019,13:10,Philadelphia,10th and Filbert,,24,New York,Penn Station,
direct,3/8/2019,13:50,Philadelphia,10th and Filbert,,23,New York,Penn Station,
direct,3/8/2019,18:00,Philadelphia,10th and Filbert,,23,New York,Penn Station,
direct,3/6/2019,6:00,Long Beach,Downtown Station,,13,Los Angeles,North Hollywood Station,
direct,3/6/2019,6:20,Long Beach,Downtown Station,,11,Los Angeles,North Hollywood Station,
direct,3/6/2019,6:50,Long Beach,Downtown Station,,13,Los Angeles,North Hollywood Station,
direct,3/6/2019,8:10,Long Beach,Downtown Station,,12,Los Angeles,North Hollywood Station,
direct,3/6/2019,8:20,Long Beach,Downtown Station,,10,Los Angeles,North Hollywood Station,
direct,3/6/2019,9:40,Long Beach,Downtown Station,,12,Los Angeles,North Hollywood Station,
direct,3/6/2019,9:50,Long Beach,Downtown Station,,11,Los Angeles,North Hollywood Station,
direct,3/6/2019,11:00,Long Beach,Downtown Station,,12,Los Angeles,North Hollywood Station,
direct,3/6/2019,12:20,Long Beach,Downtown Station,,12,Los Angeles,North Hollywood Station,
direct,3/6/2019,13:00,Long Beach,Downtown Station,,12,Los Angeles,North Hollywood Station,
direct,3/14/2019,6:00,San Francisco,Transbay Terminal,,22,Sacramento,65th Light Rail Station,
direct,3/14/2019,8:10,San Francisco,Transbay Terminal,,22,Sacramento,65th Light Rail Station,
direct,3/14/2019,9:00,San Francisco,Transbay Terminal,,19,Sacramento,65th Light Rail Station,
direct,3/14/2019,9:10,San Francisco,Transbay Terminal,,23,Sacramento,65th Light Rail Station,
direct,3/14/2019,9:40,San Francisco,Transbay Terminal,,24,Sacramento,65th Light Rail Station,
direct,3/14/2019,10:10,San Francisco,Transbay Terminal,,26,Sacramento,65th Light Rail Station,
direct,3/14/2019,11:50,San Francisco,Transbay Terminal,,22,Sacramento,65th Light Rail Station,
direct,3/14/2019,13:50,San Francisco,Transbay Terminal,,19,Sacramento,65th Light Rail Station,
direct,3/14/2019,14:20,San Francisco,Transbay Terminal,,23,Sacramento,65th Light Rail Station,
direct,3/14/2019,15:50,San Francisco,Transbay Terminal,,21,Sacramento,65th Light Rail Station,
direct,3/1/2019,7:00,Portland,SW Arthur & 1st,,28,Seattle,Westlake Station,
direct,3/1/2019,11:20,Portland,SW Arthur & 1st,,30,Seattle,Westlake Station,
direct,3/1/2019,11:50,Portland,SW Arthur & 1st,,33,Seattle,Westlake Station,
direct,3/1/2019,12:20,Portland,SW Arthur & 1st,,30,Seattle,Westlake Station,
direct,3/1/2019,12:30,Portland,SW Arthur & 1st,,31,Seattle,Westlake Station,
direct,3/1/2019,12:40,Portland,SW Arthur & 1st,,25,Seattle,Westlake Station,
direct,3/1/2019,16:10,Portland,SW Arthur & 1st,,32,Seattle,Westlake Station,
direct,3/1/2019,17:30,Portland,SW Arthur & 1st,,28,Seattle,Westlake Station,
direct,3/1/2019,18:30,Portland,SW Arthur & 1st,,32,Seattle,Westlake Station,
direct,3/1/2019,19:00,Portland,SW Arthur & 1st,,28,Seattle,Westlake Station,
direct,3/10/2019,7:40,Sacramento,65th Light Rail Station,,24,San Francisco,Transbay Terminal,
direct,3/10/2019,7:50,Sacramento,65th Light Rail Station,,24,San Francisco,Transbay Terminal,
direct,3/10/2019,9:40,Sacramento,65th Light Rail Station,,23,San Francisco,Transbay Terminal,
direct,3/10/2019,12:10,Sacramento,65th Light Rail Station,,22,San Francisco,Transbay Terminal,
direct,3/10/2019,12:20,Sacramento,65th Light Rail Station,,22,San Francisco,Transbay Terminal,
direct,3/10/2019,13:00,Sacramento,65th Light Rail Station,,22,San Francisco,Transbay Terminal,
direct,3/10/2019,15:10,Sacramento,65th Light Rail Station,,26,San Francisco,Transbay Terminal,
direct,3/10/2019,15:20,Sacramento,65th Light Rail Station,,22,San Francisco,Transbay Terminal,
direct,3/10/2019,16:20,Sacramento,65th Light Rail Station,,24,San Francisco,Transbay Terminal,
direct,3/10/2019,16:40,Sacramento,65th Light Rail Station,,23,San Francisco,Transbay Terminal,
direct,3/1/2019,6:20,Long Beach,Downtown Station,,52,San Francisco,Transbay Terminal,
direct,3/1/2019,10:00,Long Beach,Downtown Station,,54,San Francisco,Transbay Terminal,
direct,3/1/2019,10:40,Long Beach,Downtown Station,,52,San Francisco,Transbay Terminal,
direct,3/1/2019,13:40,Long Beach,Downtown Station,,50,San Francisco,Transbay Terminal,
