amount,payment_method,private_visibility,receiver
105,,False,Svetlana
126,,False,Tom
71,,True,Peter
16,,False,Jerry
18,,True,Victoria
112,,False,Tom
39,,False,Emma
106,,True,Yumi
86,,True,Svetlana
99,,True,Bob
115,,False,Emma
4,,False,Isabella
13,,False,Jerry
59,,False,Isabella
159,,True,Tom
45,,False,Jerry
167,,False,Yumi
130,,False,Diego
134,,False,Mary
30,,False,Amelia
17,,False,Jerry
188,,False,Peter
32,,False,Svetlana
115,,True,Mahmoud
120,,True,Yumi
52,,True,Emma
149,,False,Peter
105,,True,Svetlana
170,,True,Wilson
115,,False,Tom
124,,False,Victoria
106,,False,Margaret
77,,False,Svetlana
128,,True,Amelia
124,,False,Amelia
104,,True,Mary
43,,False,Tom
96,,False,Svetlana
50,,True,Yumi
128,,False,Svetlana
68,,False,Svetlana
40,,False,Diego
145,,False,Mary
180,,True,Wilson
30,,True,Jerry
150,,True,Tom
75,,False,Emma
65,,True,Rachel
65,,False,Victoria
109,,False,Amelia
52,,False,Emma
198,,False,Mahmoud
158,debit card,False,Victoria
36,app balance,False,Bob
33,app balance,True,Tom
106,app balance,True,Rachel
63,app balance,False,Rachel
7,app balance,False,Peter
173,app balance,True,Victoria
132,app balance,False,Margaret
111,debit card,False,Peter
38,debit card,False,Amelia
180,debit card,False,Mahmoud
84,app balance,False,Yumi
139,app balance,True,Victoria
119,debit card,False,Peter
132,debit card,False,Margaret
179,debit card,False,Tom
123,debit card,False,Isabella
44,debit card,False,Mary
125,credit card,True,Wilson
45,credit card,False,Isabella
11,credit card,False,Mary
25,credit card,False,Yumi
68,credit card,False,Margaret
174,credit card,False,Mary
55,credit card,False,Rachel
118,app balance,True,Mahmoud
116,app balance,False,Bob
64,app balance,False,Jerry
18,debit card,True,Mahmoud
117,debit card,False,Wilson
32,credit card,False,Victoria
15,credit card,False,Yumi
98,credit card,False,Jerry
121,app balance,False,Isabella
111,credit card,False,Margaret
3,credit card,False,Victoria
75,credit card,False,Rachel
148,credit card,False,Bob
58,credit card,False,Svetlana
49,debit card,False,Margaret
120,app balance,False,Emma
153,app balance,False,Svetlana
72,app balance,False,Mary
24,app balance,False,Peter
72,app balance,False,Amelia
134,debit card,False,Mary
31,debit card,False,Svetlana
96,debit card,False,Peter
176,debit card,False,Margaret
149,debit card,False,Victoria
149,debit card,True,Mahmoud
155,app balance,False,Yumi
47,app balance,False,Mary
82,debit card,False,Wilson
116,credit card,False,Mary
131,app balance,False,Wilson
171,credit card,True,Victoria
169,credit card,True,Jerry
100,app balance,False,Mary
152,credit card,True,Emma
77,app balance,False,Diego
25,app balance,False,Yumi
168,app balance,False,Mary
79,app balance,False,Margaret
74,credit card,False,Isabella
82,credit card,False,Jerry
50,credit card,True,Emma
126,app balance,False,Amelia
119,app balance,False,Diego
121,app balance,False,Mary
132,debit card,False,Wilson
89,app balance,False,Margaret
116,debit card,False,Emma
43,credit card,True,Mahmoud
93,credit card,True,Wilson
17,debit card,True,Svetlana
90,debit card,False,Mahmoud
18,credit card,False,Margaret
129,debit card,False,Emma
141,debit card,False,Margaret
127,debit card,True,Diego
97,debit card,False,Victoria
10,credit card,False,Margaret
121,credit card,False,Amelia
85,credit card,False,Mary
97,credit card,False,Rachel
51,debit card,False,Wilson
104,app balance,False,Jerry
62,app balance,False,Amelia
114,app balance,True,Isabella
122,credit card,False,Diego
