car_name,car_type,city,end_date,pickup_location,pickup_time,price_per_day,start_date,add_insurance
Alfa Romeo Stelvio,SUV,Las Vegas,2019-03-14,Union Plaza,16:30,38.00,2019-03-13,
Buick Regal Sportback,Sedan,Las Vegas,2019-03-14,McCarran International Airport,16:30,33.00,2019-03-13,
Dodge Charger,Sedan,Las Vegas,2019-03-14,McCarran International Airport,16:30,30.00,2019-03-13,
Fiat Panda,Hatchback,Las Vegas,2019-03-14,Union Plaza,16:30,27.00,2019-03-13,
Ford Focus,Hatchback,Las Vegas,2019-03-14,McCarran International Airport,16:30,31.00,2019-03-13,
Hyundai Ioniq,Sedan,Las Vegas,2019-03-14,McCarran International Airport,16:30,34.00,2019-03-13,
Jaguar F-Pace,SUV,Las Vegas,2019-03-14,McCarran International Airport,16:30,38.00,2019-03-13,
Mazda 3,Hatchback,Las Vegas,2019-03-14,McCarran International Airport,16:30,20.00,2019-03-13,
Renault Clio,Hatchback,Las Vegas,2019-03-14,Union Plaza,16:30,25.00,2019-03-13,
SEAT Cordoba,Sedan,Las Vegas,2019-03-14,McCarran International Airport,16:30,31.00,2019-03-13,
Audi A8,Sedan,Anaheim,2019-03-06,Anaheim Intermodal Center,14:00,32.00,2019-03-03,
Citroen C5,SUV,Anaheim,2019-03-06,John Wayne Airport,14:00,50.00,2019-03-03,
Dacia Duster,SUV,Anaheim,2019-03-06,John Wayne Airport,14:00,44.00,2019-03-03,
Dodge Charger,Sedan,Anaheim,2019-03-06,John Wayne Airport,14:00,26.00,2019-03-03,
Ford Focus,Hatchback,Anaheim,2019-03-06,Anaheim Intermodal Center,14:00,22.00,2019-03-03,
Kia Ceed,Hatchback,Anaheim,2019-03-06,John Wayne Airport,14:00,29.00,2019-03-03,
Lexus GS,Sedan,Anaheim,2019-03-06,John Wayne Airport,14:00,29.00,2019-03-03,
Mazda CX-5,SUV,Anaheim,2019-03-06,Anaheim Intermodal Center,14:00,51.00,2019-03-03,
Nissan Qashqai,Hatchback,Anaheim,2019-03-06,Anaheim Intermodal Center,14:00,22.00,2019-03-03,
Renault Clio,Hatchback,Anaheim,2019-03-06,John Wayne Airport,14:00,30.00,2019-03-03,
Alfa Romeo Stelvio,SUV,Las Vegas,2019-03-12,Union Plaza,17:00,43.00,2019-03-06,
Jaguar F-Pace,SUV,Las Vegas,2019-03-12,Union Plaza,17:00,36.00,2019-03-06,
Skoda Kodiaq,SUV,Las Vegas,2019-03-12,McCarran International Airport,17:00,38.00,2019-03-06,
Suzuki Grand Vitara,SUV,Las Vegas,2019-03-12,McCarran International Airport,17:00,44.00,2019-03-06,
Alfa Romeo Stelvio,SUV,Seattle,2019-03-13,King Street Station,14:00,36.00,2019-03-11,
Buick Regal Sportback,Sedan,Seattle,2019-03-13,Seattle-Tacoma International Airport,14:00,41.00,2019-03-11,
Citroen C5,SUV,Seattle,2019-03-13,Seattle-Tacoma International Airport,14:00,40.00,2019-03-11,
GMC Terrain,SUV,Seattle,2019-03-13,Seattle-Tacoma International Airport,14:00,43.00,2019-03-11,
Hyundai Ioniq,Sedan,Seattle,2019-03-13,Seattle-Tacoma International Airport,14:00,33.00,2019-03-11,
Jaguar F-Pace,SUV,Seattle,2019-03-13,Seattle-Tacoma International Airport,14:00,46.00,2019-03-11,
Kia Ceed,Hatchback,Seattle,2019-03-13,Seattle-Tacoma International Airport,14:00,24.00,2019-03-11,
Nissan Qashqai,Hatchback,Seattle,2019-03-13,Seattle-Tacoma International Airport,14:00,29.00,2019-03-11,
Peugeot 208,Hatchback,Seattle,2019-03-13,King Street Station,14:00,32.00,2019-03-11,
Renault Clio,Hatchback,Seattle,2019-03-13,Seattle-Tacoma International Airport,14:00,30.00,2019-03-11,
Alfa Romeo Stelvio,SUV,Portland,2019-03-09,Portland Bus Station,15:00,47.00,2019-03-05,
Dacia Duster,SUV,Portland,2019-03-09,Union Station,15:00,35.00,2019-03-05,
GMC Terrain,SUV,Portland,2019-03-09,PDX International Airport,15:00,45.00,2019-03-05,
Jaguar F-Pace,SUV,Portland,2019-03-09,PDX International Airport,15:00,44.00,2019-03-05,
Audi A8,Sedan,Anaheim,2019-03-13,Anaheim Intermodal Center,12:00,31.00,2019-03-11,
Citroen C5,SUV,Anaheim,2019-03-13,John Wayne Airport,12:00,45.00,2019-03-11,
Dacia Duster,SUV,Anaheim,2019-03-13,John Wayne Airport,12:00,37.00,2019-03-11,
Dodge Charger,Sedan,Anaheim,2019-03-13,John Wayne Airport,12:00,34.00,2019-03-11,
Ford Focus,Hatchback,Anaheim,2019-03-13,Anaheim Intermodal Center,12:00,25.00,2019-03-11,
Kia Ceed,Hatchback,Anaheim,2019-03-13,John Wayne Airport,12:00,29.00,2019-03-11,
Lexus GS,Sedan,Anaheim,2019-03-13,John Wayne Airport,12:00,38.00,2019-03-11,
Mazda CX-5,SUV,Anaheim,2019-03-13,Anaheim Intermodal Center,12:00,44.00,2019-03-11,
Nissan Qashqai,Hatchback,Anaheim,2019-03-13,Anaheim Intermodal Center,12:00,22.00,2019-03-11,
Renault Clio,Hatchback,Anaheim,2019-03-13,John Wayne Airport,12:00,25.00,2019-03-11,
Buick Regal Sportback,Sedan,Sacramento,2019-03-09,Sacramento Valley Station,14:00,29.00,2019-03-07,
Citroen C5,SUV,Sacramento,2019-03-09,SMF International Airport,14:00,45.00,2019-03-07,
Fiat Panda,Hatchback,Sacramento,2019-03-09,SMF International Airport,14:00,29.00,2019-03-07,
Hyundai Ioniq,Sedan,Sacramento,2019-03-09,Sacramento Valley Station,14:00,32.00,2019-03-07,
Jaguar F-Pace,SUV,Sacramento,2019-03-09,SMF International Airport,14:00,40.00,2019-03-07,
Kia Ceed,Hatchback,Sacramento,2019-03-09,Sacramento Valley Station,14:00,24.00,2019-03-07,
Nissan Qashqai,Hatchback,Sacramento,2019-03-09,Sacramento Valley Station,14:00,22.00,2019-03-07,
Renault Clio,Hatchback,Sacramento,2019-03-09,SMF International Airport,14:00,26.00,2019-03-07,
SEAT Leon,Hatchback,Sacramento,2019-03-09,Sacramento Valley Station,14:00,27.00,2019-03-07,
Skoda Octavia,Sedan,Sacramento,2019-03-09,SMF International Airport,14:00,36.00,2019-03-07,
Buick Regal Sportback,Sedan,Seattle,2019-03-09,Seattle-Tacoma International Airport,14:00,34.00,2019-03-06,
Hyundai Ioniq,Sedan,Seattle,2019-03-09,Seattle-Tacoma International Airport,14:00,32.00,2019-03-06,
Skoda Octavia,Sedan,Seattle,2019-03-09,King Street Station,14:00,30.00,2019-03-06,
Subaru Impreza,Sedan,Seattle,2019-03-09,King Street Station,14:00,36.00,2019-03-06,
Volvo S90,Sedan,Seattle,2019-03-09,King Street Station,14:00,33.00,2019-03-06,
Buick Regal Sportback,Sedan,Portland,2019-03-08,PDX International Airport,11:00,32.00,2019-03-05,
Dacia Duster,SUV,Portland,2019-03-08,Union Station,11:00,38.00,2019-03-05,
Dodge Charger,Sedan,Portland,2019-03-08,PDX International Airport,11:00,34.00,2019-03-05,
GMC Terrain,SUV,Portland,2019-03-08,PDX International Airport,11:00,42.00,2019-03-05,
Hyundai Ioniq,Sedan,Portland,2019-03-08,Union Station,11:00,29.00,2019-03-05,
Jaguar F-Pace,SUV,Portland,2019-03-08,PDX International Airport,11:00,44.00,2019-03-05,
Kia Ceed,Hatchback,Portland,2019-03-08,PDX International Airport,11:00,24.00,2019-03-05,
Nissan Qashqai,Hatchback,Portland,2019-03-08,PDX International Airport,11:00,31.00,2019-03-05,
Renault Clio,Hatchback,Portland,2019-03-08,Union Station,11:00,27.00,2019-03-05,
SEAT Cordoba,Sedan,Portland,2019-03-08,PDX International Airport,11:00,36.00,2019-03-05,
Alfa Romeo Stelvio,SUV,Chicago,2019-03-04,Chicago Union Station,19:00,35.00,2019-03-01,
Audi A8,Sedan,Chicago,2019-03-04,Chicago Union Station,19:00,31.00,2019-03-01,
Buick Regal Sportback,Sedan,Chicago,2019-03-04,O'Hare International Airport,19:00,36.00,2019-03-01,
Citroen C5,SUV,Chicago,2019-03-04,O'Hare International Airport,19:00,41.00,2019-03-01,
Dacia Duster,SUV,Chicago,2019-03-04,O'Hare International Airport,19:00,49.00,2019-03-01,
Dodge Charger,Sedan,Chicago,2019-03-04,Chicago Union Station,19:00,28.00,2019-03-01,
Fiat Panda,Hatchback,Chicago,2019-03-04,O'Hare International Airport,19:00,28.00,2019-03-01,
Ford Focus,Hatchback,Chicago,2019-03-04,Chicago Union Station,19:00,23.00,2019-03-01,
GMC Terrain,SUV,Chicago,2019-03-04,Chicago Union Station,19:00,42.00,2019-03-01,
Hyundai Ioniq,Sedan,Chicago,2019-03-04,O'Hare International Airport,19:00,36.00,2019-03-01,
Dodge Charger,Sedan,San Francisco,2019-03-08,Salesforce Transit Center,13:30,32.00,2019-03-04,
Fiat Panda,Hatchback,San Francisco,2019-03-08,SFO International Airport,13:30,28.00,2019-03-04,
Hyundai Ioniq,Sedan,San Francisco,2019-03-08,Salesforce Transit Center,13:30,31.00,2019-03-04,
Kia Ceed,Hatchback,San Francisco,2019-03-08,SFO International Airport,13:30,30.00,2019-03-04,
Mazda 3,Hatchback,San Francisco,2019-03-08,Salesforce Transit Center,13:30,27.00,2019-03-04,
Mitsubishi Outlander,SUV,San Francisco,2019-03-08,Salesforce Transit Center,13:30,46.00,2019-03-04,
Peugeot 208,Hatchback,San Francisco,2019-03-08,Salesforce Transit Center,13:30,26.00,2019-03-04,
Skoda Octavia,Sedan,San Francisco,2019-03-08,SFO International Airport,13:30,35.00,2019-03-04,
Subaru Impreza,Sedan,San Francisco,2019-03-08,SFO International Airport,13:30,40.00,2019-03-04,
Suzuki Grand Vitara,SUV,San Francisco,2019-03-08,SFO International Airport,13:30,36.00,2019-03-04,
Alfa Romeo Stelvio,SUV,Long Beach,2019-03-07,Downtown Station,11:00,38.00,2019-03-04,
Alfa Romeo Stelvio,SUV,Washington,2019-03-10,Dulles International Airport,12:30,49.00,2019-03-06,
Buick Regal Sportback,Sedan,Washington,2019-03-10,Union Station,12:30,33.00,2019-03-06,
Dodge Charger,Sedan,Washington,2019-03-10,Union Station,12:30,33.00,2019-03-06,
Hyundai Ioniq,Sedan,Washington,2019-03-10,Dulles International Airport,12:30,33.00,2019-03-06,
Kia Ceed,Hatchback,Washington,2019-03-10,Dulles International Airport,12:30,24.00,2019-03-06,
Mitsubishi Outlander,SUV,Washington,2019-03-10,Union Station,12:30,42.00,2019-03-06,
Nissan Qashqai,Hatchback,Washington,2019-03-10,Dulles International Airport,12:30,24.00,2019-03-06,
Renault Clio,Hatchback,Washington,2019-03-10,Union Station,12:30,20.00,2019-03-06,
SEAT Cordoba,Sedan,Washington,2019-03-10,Dulles International Airport,12:30,36.00,2019-03-06,
SEAT Leon,Hatchback,Washington,2019-03-10,Union Station,12:30,23.00,2019-03-06,
Dacia Duster,SUV,Fresno,2019-03-12,Fresno Yosemite International Airport,10:00,43.00,2019-03-11,
Dodge Charger,Sedan,Fresno,2019-03-12,Fresno Yosemite International Airport,10:00,35.00,2019-03-11,
Ford Focus,Hatchback,Fresno,2019-03-12,Fresno Yosemite International Airport,10:00,29.00,2019-03-11,
Peugeot 208,Hatchback,Fresno,2019-03-12,Fresno Yosemite International Airport,10:00,29.00,2019-03-11,
Renault Clio,Hatchback,Fresno,2019-03-12,Fresno Yosemite International Airport,10:00,23.00,2019-03-11,
SEAT Cordoba,Sedan,Fresno,2019-03-12,Fresno Yosemite International Airport,10:00,30.00,2019-03-11,
SEAT Leon,Hatchback,Fresno,2019-03-12,Fresno Yosemite International Airport,10:00,26.00,2019-03-11,
Volvo S90,Sedan,Fresno,2019-03-12,Fresno Yosemite International Airport,10:00,35.00,2019-03-11,
Audi A8,Sedan,Paris,2019-03-05,Charles de Gaulle International Airport,18:30,37.00,2019-03-03,
Citroen C5,SUV,Paris,2019-03-05,Orly International Airport,18:30,45.00,2019-03-03,
Dacia Duster,SUV,Paris,2019-03-05,Charles de Gaulle International Airport,18:30,49.00,2019-03-03,
Fiat Panda,Hatchback,Paris,2019-03-05,Orly International Airport,18:30,32.00,2019-03-03,
Hyundai Ioniq,Sedan,Paris,2019-03-05,Charles de Gaulle International Airport,18:30,33.00,2019-03-03,
Kia Ceed,Hatchback,Paris,2019-03-05,Orly International Airport,18:30,30.00,2019-03-03,
Mazda CX-5,SUV,Paris,2019-03-05,Orly International Airport,18:30,43.00,2019-03-03,
Mitsubishi Outlander,SUV,Paris,2019-03-05,Orly International Airport,18:30,51.00,2019-03-03,
Peugeot 208,Hatchback,Paris,2019-03-05,Charles de Gaulle International Airport,18:30,27.00,2019-03-03,
SEAT Cordoba,Sedan,Paris,2019-03-05,Charles de Gaulle International Airport,18:30,35.00,2019-03-03,
Mazda CX-5,SUV,,2019-03-05,Orly International Airport,18:30,43.00,2019-03-03,False
Buick Regal Sportback,Sedan,Philadelphia,2019-03-11,PHL International Airport,15:30,31.00,2019-03-10,
Citroen C5,SUV,Philadelphia,2019-03-11,PHL International Airport,15:30,42.00,2019-03-10,
Dodge Charger,Sedan,Philadelphia,2019-03-11,Intercity Terminal,15:30,29.00,2019-03-10,
Fiat Panda,Hatchback,Philadelphia,2019-03-11,Intercity Terminal,15:30,27.00,2019-03-10,
GMC Terrain,SUV,Philadelphia,2019-03-11,PHL International Airport,15:30,38.00,2019-03-10,
Hyundai Ioniq,Sedan,Philadelphia,2019-03-11,30th Street Station,15:30,28.00,2019-03-10,
Kia Ceed,Hatchback,Philadelphia,2019-03-11,PHL International Airport,15:30,31.00,2019-03-10,
Lexus GS,Sedan,Philadelphia,2019-03-11,30th Street Station,15:30,30.00,2019-03-10,
Mitsubishi Outlander,SUV,Philadelphia,2019-03-11,Intercity Terminal,15:30,37.00,2019-03-10,
Renault Clio,Hatchback,Philadelphia,2019-03-11,PHL International Airport,15:30,29.00,2019-03-10,
Skoda Octavia,Sedan,,2019-03-11,PHL International Airport,15:30,46.00,2019-03-10,True
Audi A8,Sedan,Anaheim,2019-03-14,Anaheim Intermodal Center,20:00,33.00,2019-03-13,
Dodge Charger,Sedan,Anaheim,2019-03-14,Anaheim Intermodal Center,20:00,37.00,2019-03-13,
Ford Focus,Hatchback,Anaheim,2019-03-14,Anaheim Intermodal Center,20:00,26.00,2019-03-13,
Mazda CX-5,SUV,Anaheim,2019-03-14,Anaheim Intermodal Center,20:00,38.00,2019-03-13,
Nissan Qashqai,Hatchback,Anaheim,2019-03-14,Anaheim Intermodal Center,20:00,21.00,2019-03-13,
SEAT Leon,Hatchback,Anaheim,2019-03-14,Anaheim Intermodal Center,20:00,23.00,2019-03-13,
Subaru Impreza,Sedan,Anaheim,2019-03-14,Anaheim Intermodal Center,20:00,25.00,2019-03-13,
Volvo S90,Sedan,Anaheim,2019-03-14,Anaheim Intermodal Center,20:00,30.00,2019-03-13,
Dodge Charger,Sedan,,2019-03-14,Anaheim Intermodal Center,20:00,37.00,2019-03-13,False
Kia Ceed,Hatchback,Rio de Janeiro,2019-03-11,Galeao International Airport,19:30,29.00,2019-03-04,
Kia Ceed,Hatchback,,2019-03-11,Galeao International Airport,19:30,29.00,2019-03-04,False
Alfa Romeo Stelvio,SUV,Las Vegas,2019-03-14,Union Plaza,14:00,44.00,2019-03-11,
Buick Regal Sportback,Sedan,Las Vegas,2019-03-14,McCarran International Airport,14:00,32.00,2019-03-11,
Dodge Charger,Sedan,Las Vegas,2019-03-14,McCarran International Airport,14:00,34.00,2019-03-11,
Fiat Panda,Hatchback,Las Vegas,2019-03-14,Union Plaza,14:00,30.00,2019-03-11,
Ford Focus,Hatchback,Las Vegas,2019-03-14,McCarran International Airport,14:00,24.00,2019-03-11,
Hyundai Ioniq,Sedan,Las Vegas,2019-03-14,McCarran International Airport,14:00,36.00,2019-03-11,
Jaguar F-Pace,SUV,Las Vegas,2019-03-14,McCarran International Airport,14:00,45.00,2019-03-11,
Mazda 3,Hatchback,Las Vegas,2019-03-14,McCarran International Airport,14:00,30.00,2019-03-11,
Renault Clio,Hatchback,Las Vegas,2019-03-14,Union Plaza,14:00,25.00,2019-03-11,
SEAT Cordoba,Sedan,Las Vegas,2019-03-14,McCarran International Airport,14:00,40.00,2019-03-11,
Alfa Romeo Stelvio,SUV,,2019-03-14,Union Plaza,14:00,58.00,2019-03-11,True
Alfa Romeo Stelvio,SUV,Washington,2019-03-06,Dulles International Airport,16:30,40.00,2019-03-02,
Buick Regal Sportback,Sedan,Washington,2019-03-06,Union Station,16:30,32.00,2019-03-02,
Dodge Charger,Sedan,Washington,2019-03-06,Union Station,16:30,34.00,2019-03-02,
Hyundai Ioniq,Sedan,Washington,2019-03-06,Dulles International Airport,16:30,39.00,2019-03-02,
Kia Ceed,Hatchback,Washington,2019-03-06,Dulles International Airport,16:30,27.00,2019-03-02,
Mitsubishi Outlander,SUV,Washington,2019-03-06,Union Station,16:30,38.00,2019-03-02,
Nissan Qashqai,Hatchback,Washington,2019-03-06,Dulles International Airport,16:30,31.00,2019-03-02,
Renault Clio,Hatchback,Washington,2019-03-06,Union Station,16:30,32.00,2019-03-02,
SEAT Cordoba,Sedan,Washington,2019-03-06,Dulles International Airport,16:30,30.00,2019-03-02,
SEAT Leon,Hatchback,Washington,2019-03-06,Union Station,16:30,26.00,2019-03-02,
Suzuki Grand Vitara,SUV,,2019-03-06,Dulles International Airport,16:30,45.00,2019-03-02,False
Audi A8,Sedan,New York,2019-03-08,JFK International Airport,18:30,34.00,2019-03-06,
Buick Regal Sportback,Sedan,New York,2019-03-08,Grand Central Station,18:30,28.00,2019-03-06,
Lexus GS,Sedan,New York,2019-03-08,Grand Central Station,18:30,31.00,2019-03-06,
Skoda Octavia,Sedan,New York,2019-03-08,Grand Central Station,18:30,35.00,2019-03-06,
Subaru Impreza,Sedan,New York,2019-03-08,Grand Central Station,18:30,30.00,2019-03-06,
Audi A8,Sedan,,2019-03-08,JFK International Airport,18:30,34.00,2019-03-06,False
Dodge Charger,Sedan,Sydney,2019-03-05,Kingsford Smith International Airport,17:00,37.00,2019-03-04,
Ford Focus,Hatchback,Sydney,2019-03-05,Kingsford Smith International Airport,17:00,28.00,2019-03-04,
Kia Ceed,Hatchback,Sydney,2019-03-05,Kingsford Smith International Airport,17:00,30.00,2019-03-04,
Mazda CX-5,SUV,Sydney,2019-03-05,Kingsford Smith International Airport,17:00,40.00,2019-03-04,
Nissan Qashqai,Hatchback,Sydney,2019-03-05,Kingsford Smith International Airport,17:00,28.00,2019-03-04,
Skoda Octavia,Sedan,Sydney,2019-03-05,Kingsford Smith International Airport,17:00,31.00,2019-03-04,
Kia Ceed,Hatchback,,2019-03-05,Kingsford Smith International Airport,17:00,30.00,2019-03-04,False
Fiat Panda,Hatchback,Fresno,2019-03-06,Fresno Station,15:30,27.00,2019-03-02,
Ford Focus,Hatchback,Fresno,2019-03-06,Fresno Yosemite International Airport,15:30,22.00,2019-03-02,
Nissan Qashqai,Hatchback,Fresno,2019-03-06,Fresno Station,15:30,24.00,2019-03-02,
Peugeot 208,Hatchback,Fresno,2019-03-06,Fresno Yosemite International Airport,15:30,24.00,2019-03-02,
Renault Clio,Hatchback,Fresno,2019-03-06,Fresno Yosemite International Airport,15:30,26.00,2019-03-02,
SEAT Leon,Hatchback,Fresno,2019-03-06,Fresno Yosemite International Airport,15:30,27.00,2019-03-02,
Nissan Qashqai,Hatchback,,2019-03-06,Fresno Station,15:30,24.00,2019-03-02,False
Skoda Kodiaq,SUV,Warsaw,2019-03-12,Warsaw Chopin Airport,16:30,48.00,2019-03-07,
Skoda Kodiaq,SUV,,2019-03-12,Warsaw Chopin Airport,16:30,48.00,2019-03-07,False
Citroen C5,SUV,Philadelphia,2019-03-14,PHL International Airport,15:00,40.00,2019-03-08,
Dodge Charger,Sedan,Philadelphia,2019-03-14,Intercity Terminal,15:00,30.00,2019-03-08,
Kia Ceed,Hatchback,Philadelphia,2019-03-14,30th Street Station,15:00,23.00,2019-03-08,
Lexus GS,Sedan,Philadelphia,2019-03-14,Intercity Terminal,15:00,30.00,2019-03-08,
Mitsubishi Outlander,SUV,Philadelphia,2019-03-14,Intercity Terminal,15:00,37.00,2019-03-08,
Skoda Kodiaq,SUV,Philadelphia,2019-03-14,PHL International Airport,15:00,37.00,2019-03-08,
Skoda Octavia,Sedan,Philadelphia,2019-03-14,Intercity Terminal,15:00,29.00,2019-03-08,
Vauxhaull Astra,Hatchback,Philadelphia,2019-03-14,Intercity Terminal,15:00,23.00,2019-03-08,
Volvo S90,Sedan,Philadelphia,2019-03-14,PHL International Airport,15:00,37.00,2019-03-08,
Skoda Octavia,Sedan,,2019-03-14,Intercity Terminal,15:00,29.00,2019-03-08,False
Audi A8,Sedan,Los Angeles,2019-03-14,LAX International Airport,14:00,33.00,2019-03-13,
Buick Regal Sportback,Sedan,Los Angeles,2019-03-14,LAX International Airport,14:00,34.00,2019-03-13,
Dodge Charger,Sedan,Los Angeles,2019-03-14,Union Station,14:00,30.00,2019-03-13,
Fiat Panda,Hatchback,Los Angeles,2019-03-14,LAX International Airport,14:00,29.00,2019-03-13,
GMC Terrain,SUV,Los Angeles,2019-03-14,LAX International Airport,14:00,45.00,2019-03-13,
Hyundai Ioniq,Sedan,Los Angeles,2019-03-14,LAX International Airport,14:00,38.00,2019-03-13,
Kia Ceed,Hatchback,Los Angeles,2019-03-14,LAX International Airport,14:00,31.00,2019-03-13,
Lexus GS,Sedan,Los Angeles,2019-03-14,LAX International Airport,14:00,28.00,2019-03-13,
Mazda 3,Hatchback,Los Angeles,2019-03-14,LAX International Airport,14:00,27.00,2019-03-13,
Mitsubishi Outlander,SUV,Los Angeles,2019-03-14,Union Station,14:00,42.00,2019-03-13,
Hyundai Ioniq,Sedan,,2019-03-14,LAX International Airport,14:00,38.00,2019-03-13,False
