average_rating,city,doctor_name,phone_number,street_address,type,appointment_date,appointment_time
5,San Francisco,"Dr. Steven H. Sloan, MD",415-379-9900,929 Clay Street Suite 501,ENT Specialist,,
5,San Francisco,Dr.Tipton Dale L MD Inc,415-621-6191,45 Castro Street #210,ENT Specialist,,
4,San Francisco,"Katherine Yung, M.D.",415-839-8639,1825 4th Street,ENT Specialist,,
3.7,San Francisco,Kim Theresa B MD,415-362-5443,450 Sutter Street #933,ENT Specialist,,
5,,"Aaron Tward, M.D.",415-353-2757,2380 Sutter Street,ENT Specialist,,
5,Santa Rosa,Alchemy John MD,707-576-7000,"Sonoma Ave, # 44, 1820 Doctors Park Drive",General Practitioner,,
3.7,Santa Rosa,Bastoni Kelly A MD,707-393-4044,1550 Gateway Boulevard,General Practitioner,,
4.5,Santa Rosa,Bloom David-James MD,707-575-3500,3325 Chanate Rd,General Practitioner,,
5,Santa Rosa,"Caroline G. Hellings, M.D.",707-541-7700,131B Stony Circle #1600,General Practitioner,,
5,Santa Rosa,"Dr. Anthony K. Boyce, DO",707-571-4320,401 Bicentennial Way,General Practitioner,,
5,Santa Rosa,"Dr. April M. Hurley, MD",707-528-4968,131-B Stony Circle #1600,General Practitioner,,
5,Santa Rosa,"Dr. Ele Lozares-Lewis, MD",707-303-3611,510 Doyle Park Drive,General Practitioner,,
5,Santa Rosa,"Dr. Enrique Sanchez Mendez, MD",707-547-2220,3569 Round Barn Circle,General Practitioner,,
5,Santa Rosa,"Dr. John W. Alchemy, MD",707-483-4346,15400 Los Gatos Boulevard #2,General Practitioner,,
5,Santa Rosa,"Dr. John W. Nimtz, MD",707-522-1800,3883 Airway Drive #202,General Practitioner,,
5,,Alchemy John MD,707-576-7000,"Sonoma Ave, # 44, 1820 Doctors Park Drive",General Practitioner,,
5,Los Altos,Berman Skin Institute,650-325-6000,321 Middlefield Road # 245,Dermatologist,,
4,Los Altos,California Skin Institute,650-917-7711,701 E El Camino Real 3rd Floor,Dermatologist,,
5,Los Altos,Vossough Slavosh MD,650-949-2388,851 Fremont Avenue #112,Dermatologist,,
4.7,Campbell,Age Defying Dermatology,408-369-4214,3803 South Bascom Avenue #200,Dermatologist,,
5,Campbell,"Amelia K. Hausauer, MD",408-559-7177,3803 South Bascom Avenue #100,Dermatologist,,
5,,"Amelia K. Hausauer, MD",408-559-7177,3803 South Bascom Avenue #100,Dermatologist,,
3.7,,Bastoni Kelly A MD,707-393-4044,1550 Gateway Boulevard,General Practitioner,,
5,Brentwood,"Lance Gibson, MD",925-308-8112,2400 Balfour Road Suite 120,General Practitioner,,
5,Brentwood,Muir Family Physicians,925-513-9495,3707 Sunset Lane,General Practitioner,,
5,Los Gatos,Chen M Dwight MD,408-523-3900,360 Dardanelli Lane #2d,Gynecologist,,
5,Los Gatos,"Dr. Linda A. Teagle, MD",408-370-1331,777 Knowles Drive,Gynecologist,,
5,Los Gatos,Eleanor Martinez MD FACOG,408-374-6299,320 Dardanelli Lane,Gynecologist,,
4.6,Los Gatos,"For Women By Women: Rosanne Mayhew, MD",408-871-1885,555 Knowles Drive Suite 109,Gynecologist,,
5,Los Gatos,"Gerald E. Trobough, MD",408-356-0431,15151 National Avenue,Gynecologist,,
5,Los Gatos,"Jennifer Conwell, MD",408-356-8569,15151 National Avenue,Gynecologist,,
4.2,Los Gatos,"OB-GYN Women Physicians Assoc. Inc: Nilima Parekhji, MD, FACOG",408-358-1881,15195 National Avenue #207,Gynecologist,,
4.3,Los Gatos,Vital Health Endometriosis Center- Dr. Andrew Cook,408-358-2511,14830 Los Gatos Boulevard #300,Gynecologist,,
5,,Chen M Dwight MD,408-523-3900,360 Dardanelli Lane #2d,Gynecologist,,
5,San Francisco,"Alan B. Scott, M.D.",415-923-3120,2100 Webster Street suite 214,Ophthalmologist,,
5,San Francisco,"Alejandra de Alba, M.D.",415-353-2800,291 Geary Street #700,Ophthalmologist,,
5,San Francisco,"Ali A. Zaidi, M.D.",415-923-3007,2100 Webster Street #214,Ophthalmologist,,
5,San Francisco,"Ayman Naseri, M.D.",415-514-8200,3838 California Street #100,Ophthalmologist,,
3.3,San Francisco,Bert Melvyn MD,415-834-1444,165 Rowland Way #207,Ophthalmologist,,
4.9,San Francisco,DILYS J. BART MD,415-751-7700,909 Hyde Street #530,Ophthalmologist,,
4.4,San Francisco,Daniel F Goodman Md,415-474-3333,8 Koret Way,Ophthalmologist,,
5,San Francisco,"Dr. Kevin Tan, MD",415-982-2020,3300 Webster Street,Ophthalmologist,,
4.3,San Francisco,Gary L Aguilar MD,415-776-7456,490 Post Street #933,Ophthalmologist,,
5,San Francisco,Hirabayashi Dean R MD,415-362-3364,711 Van Ness Avenue #310,Ophthalmologist,,
5,,"Alejandra de Alba, M.D.",415-353-2800,291 Geary Street #700,Ophthalmologist,,
5,San Rafael,Dr. Elizabeth Olle,415-444-2940,2645 Ocean Avenue #303,General Practitioner,,
5,San Rafael,"Elson Haas, M.D.",415-472-7636,750 Las Gallinas Avenue # 106,General Practitioner,,
5,San Rafael,Hass Frederick J MD,415-507-9557,3490 California Street #200,General Practitioner,,
5,,Dr. Elizabeth Olle,415-444-2940,2645 Ocean Avenue #303,General Practitioner,,
3.6,Healdsburg,Andolsen Richard J MD,707-433-7013,300 Mason Street,General Practitioner,,
5,Healdsburg,"Dr. Patricia W. Kulawiak, MD",707-431-1427,421 March Avenue D,General Practitioner,,
5,Healdsburg,Healdsburg Primary Care: Wilson Locke MD,707-433-3383,421-b March Avenue,General Practitioner,,
5,Healdsburg,James F Carroll Inc,707-433-0347,1312 Prentice Drive,General Practitioner,,
5,Healdsburg,Vargas R Steven MD,707-433-5511,465 March Avenue # A,General Practitioner,,
3.6,,Andolsen Richard J MD,707-433-7013,300 Mason Street,General Practitioner,,
5,,"Avril Swan, MD",415-642-0333,1286 Sanchez Street a,General Practitioner,,
5,Berkeley,"Avis E. Logan, M.D.",510-985-5020,3100 San Pablo Avenue Suite 310,General Practitioner,,
4.6,Berkeley,Berkeley Family Practice Med: Goo Julie MD,810-848-4924,400 North McDowell Boulevard,General Practitioner,,
5,Berkeley,Berkeley Family Practice Medical: Zaman Aysha MD,510-841-1647,3000 Colby Street #201,General Practitioner,,
5,Berkeley,"Dr. Catherine Jiam Seagren, MD",510-204-8110,500 San Pablo Avenue #300,General Practitioner,,
5,Berkeley,Dr. Frank Lucido,510-848-0958,2636 Telegraph Avenue # A,General Practitioner,,
5,Berkeley,"Dr. Jeffrey A. Mandel, MD",510-869-5250,21297 Foothill Boulevard Ste 201,General Practitioner,,
3.7,Berkeley,"Dr. Timothy A. Fitzer, MD",510-848-4924,2610 Woolsey Street,General Practitioner,,
5,Berkeley,"Grant W. Wang, M.D.",510-843-0804,2300 Durant Avenue,General Practitioner,,
5,Berkeley,Hedelman Elizabeth MD,510-643-2997,3100 Telegraph Avenue #2109,General Practitioner,,
4,Berkeley,"Roxanne C. Fiscella, M.D.",510-843-0692,2500 Milvia Street,General Practitioner,,
5,,"Avis E. Logan, M.D.",510-985-5020,3100 San Pablo Avenue Suite 310,General Practitioner,,
4.3,Walnut Creek,Berman Skin Institute,925-932-3800,355 Lennon Lane Suite 255,Dermatologist,,
5,Walnut Creek,"Dr. Sandra Bendeck, MD",925-817-5600,770 San Ramon Valley Boulevard,Dermatologist,,
4.2,Walnut Creek,Golden State Dermatology,925-945-7005,2255 Ygnacio Valley Road Suite B-1,Dermatologist,,
3.7,Walnut Creek,"Hina Ahmad, MD",925-932-7704,2255 Ygnacio Valley Road Suite B-1,Dermatologist,,
5,,"Dr. Sandra Bendeck, MD",925-817-5600,770 San Ramon Valley Boulevard,Dermatologist,,
4.3,San Jose,Alta Eye Care,408-502-6188,1085 West El Camino Real Level 2,Ophthalmologist,,
4.2,San Jose,Chen Howard MD,408-937-0928,200 Jose Figueres Avenue #240,Ophthalmologist,,
3.6,San Jose,"Contreras Claudio S, MD",408-971-2020,2100 Forest Avenue # 105,Ophthalmologist,,
4.3,San Jose,"Dr. Craig S. Bindi, MD",408-296-1010,431 Monterey Avenue Ste 3,Ophthalmologist,,
5,San Jose,Dr. Edward J. Saub,408-358-5300,344 East Hamilton Avenue,Ophthalmologist,,
4.6,San Jose,"Dr. Krikor Barsoumian, MD",405-559-1710,2449 South King Road #10,Ophthalmologist,,
4,San Jose,"Dr. Randal Pham MD, MS, FACS",408-295-1201,2110 Forest Avenue suite b,Ophthalmologist,,
4,San Jose,Dr. Randal Pham at Aesthetic & Refractive Surgery Medical Center,408-998-1818,2186 Geary Boulevard STE 312,Ophthalmologist,,
5,San Jose,"Dr.Barry Y.P. Fung,M.D.",408-238-1978,989 Story Road #8063,Ophthalmologist,,
4.7,San Jose,Eye Consultants of Silicon Valley,408-295-3433,2110 Forest Avenue,Ophthalmologist,,
3.6,,"Contreras Claudio S, MD",408-971-2020,2100 Forest Avenue # 105,Ophthalmologist,,
5,Lafayette,"Dr. Steven G. Pascal, MD",925-283-8400,5980 Stoneridge Drive #117,Ophthalmologist,,
5,,"Dr. Steven G. Pascal, MD",925-283-8400,5980 Stoneridge Drive #117,Ophthalmologist,,
5,Oakland,Dermatology: UCSF Benioff Children's Hospital Oakland,510-428-3304,3300 Webster Street,Dermatologist,,
5,Oakland,Dr. David Paslin,510-652-8091,460 34th Street,Dermatologist,,
4.2,Oakland,Dr. Lesley M. Plotke,510-452-2811,2320 Woolsey Street Suite 202,Dermatologist,,
5,Oakland,"Tomi Wall, M.D.",510-763-2662,39210 State Street #218,Dermatologist,,
5,Gilroy,"Dr. Faith R. Protsman, MD",408-846-6444,9360 North Name Uno,General Practitioner,,
4,Gilroy,"Dr. Gunjan Mittal, MD",408-846-8101,10440 South De Anza Boulevard Ste D6,General Practitioner,,
5,Gilroy,"Dr. Jocelyn G. Lim, DO",408-842-1544,9360 No Name Uno suite 125,General Practitioner,,
4.9,Gilroy,Dr. Joseph C. Barbara,408-842-0278,8833 Monterey Road H,General Practitioner,,
5,Gilroy,"Dr. Keith S. Rayburn, MD",888-334-1000,7475 Camino Arroyo,General Practitioner,,
4.6,Gilroy,"Dr. Peter R. Coelho, MD",408-707-0234,10353 Torre Avenue,General Practitioner,,
5,Gilroy,"Dr. Roger F. Lucero, MD",408-842-2229,9460 No Name Uno #115,General Practitioner,,
5,Gilroy,"Smitha Kumar, MD",408-842-3133,9460 No Name Uno #115,General Practitioner,,
4,,"Dr. Gunjan Mittal, MD",408-846-8101,10440 South De Anza Boulevard Ste D6,General Practitioner,,
4.8,Oakland,"Carla Stelling, MD",510-275-7492,3300 Webster Street #1200,Gynecologist,,
5,Oakland,"Dr. Frank O. Brown III, MD",510-632-5000,9925 International Boulevard #2,Gynecologist,,
5,Oakland,Dr. Ruth Olweny,415-866-7932,280 West MacArthur Boulevard,Gynecologist,,
5,Oakland,"Eve F. Zaritsky, M.D.",510-752-1000,3779 Piedmont Avenue,Gynecologist,,
5,Oakland,"Madgy Girgis, MD",510-893-1700,365 Hawthorne Avenue #301,Gynecologist,,
4.4,Oakland,"Yvette Gentry, MD",510-653-0846,3300 Webster Street #1200,Gynecologist,,
4.8,,"Carla Stelling, MD",510-275-7492,3300 Webster Street #1200,Gynecologist,,
4,San Jose,Access Health,408-729-7690,301 Old San Francisco Road Level 2,General Practitioner,,
4.2,San Jose,Benson Frederick P MD,408-224-6236,6950 Santa Teresa Boulevard,General Practitioner,,
5,San Jose,Darith Khay Inc,408-254-4100,3030 Alum Rock Avenue,General Practitioner,,
3.4,San Jose,Deepa Ramachandran MD,408-335-7640,15425 Los Gatos Boulevard #120,General Practitioner,,
4.2,San Jose,"Denise Babin, M.D.",209-833-2345,"795 El Camino Real Jamplis Building, Level 1",General Practitioner,,
5,San Jose,Dohn Richard,408-356-8672,221 East Hacienda Avenue b,General Practitioner,,
5,San Jose,Doll Robert L MD,408-972-6050,260 International Circle,General Practitioner,,
4.2,San Jose,Dr James Luu - Immigration Physical Exam Doctor,408-963-7351,260 International Circle,General Practitioner,,
5,San Jose,Dr. Arbella Sarkis,408-560-9900,16400 Lark Avenue #150,General Practitioner,,
5,San Jose,"Dr. Graciela Lopez, MD",408-918-2600,200 Jose Figueres Avenue # 325,General Practitioner,,
4,,Access Health,408-729-7690,301 Old San Francisco Road Level 2,General Practitioner,,
5,Larkspur,"Dr. Janet Bodle, MD",415-860-5875,3838 California Street #601,General Practitioner,,
5,Larkspur,"Dr. Oliver S. Osborn, MD",415-924-1214,1660 Geary Boulevard,General Practitioner,,
5,Larkspur,"First Med Marin: Barry Landfield, MD",415-461-3500,6301 3rd Street,General Practitioner,,
4,,Aura Skin Spa,415-788-3800,450 Sutter Street #2340,Dermatologist,,
3.9,Cupertino,"John Chiu, M.D.",408-863-0709,700 West Parr Avenue,General Practitioner,,
3.4,Cupertino,Manjul Patwardhan MD. Prof. Corporation,408-725-1777,996 South King Road,General Practitioner,,
4.6,Cupertino,"Marc Iwahashi MD, FAAFP",408-253-5811,200 Jose Figueres Avenue # 315,General Practitioner,,
4.2,Cupertino,Zitman Sheldon A MD,408-996-9339,6475 Camden Avenue #105,General Practitioner,,
4.8,,"Clifford Chew, MD",415-433-7945,45 Castro Street,ENT Specialist,,
3.6,Mountain View,"Daniel J. Beers, MD",650-961-2585,525 South Drive #101,Ophthalmologist,,
3.3,Mountain View,"Dr. Peter S. Levin, MD",650-964-9600,1174 Castro Street #112,Ophthalmologist,,
4.7,Mountain View,"Jay Bansal, MD",650-966-0900,4906 El Camino Real B,Ophthalmologist,,
5,Mountain View,"Rahul N. Khurana, MD",650-988-7480,"2224, 1800 Sullivan Avenue # 410",Ophthalmologist,,
4.7,,"Jay Bansal, MD",650-966-0900,4906 El Camino Real B,Ophthalmologist,,
5,Palo Alto,Bay Area House Call Physicians,650-384-0986,701 E El Camino Real 2nd Floor,General Practitioner,,
4,Palo Alto,Byrne Eileen MD,650-321-4121,550 Hamilton Avenue # 329,General Practitioner,,
5,Palo Alto,"Christina Palmer, M.D.",209-951-7873,2690 South White Road # 200,General Practitioner,,
5,Palo Alto,"Dr. Jimmy Chen, MD",650-723-6963,211 Quarry Road Suite 102,General Practitioner,,
4.2,Palo Alto,"Dr. Richard D. Lee, MD",650-289-0110,1150 Veterans Boulevard,General Practitioner,,
5,Palo Alto,"Erica E. Weirich, M.D.",650-614-3299,455 Grand Avenue,General Practitioner,,
5,Palo Alto,Evaleen Kay Jones,650-736-5211,321 Middlefield Road,General Practitioner,,
4,Palo Alto,"Jennifer S. Falk, M.D.",650-853-2984,"795 El Camino Real Jamplis Building, Level 1",General Practitioner,,
5,Palo Alto,Killebrew Frances Kru MD,650-327-8717,1 Baywood Avenue #10,General Practitioner,,
5,Palo Alto,Mali A. Mann MD,650-325-8762,900 Welch Road #208,General Practitioner,,
5,,Bay Area House Call Physicians,650-384-0986,701 E El Camino Real 2nd Floor,General Practitioner,,
4.9,Los Altos,"Brown Peter, MD",650-941-4545,877 West Fremont Avenue unit n1,General Practitioner,,
5,Los Altos,D Graeme Shaw Md,650-474-2130 ext. 4,"5050 West El Camino Real # 110, Los Altos, California 94022, United States",General Practitioner,,
5,Los Altos,"Dr. Milagros T. Buenviaje, MD",650-988-0828,1704 Miramonte Avenue,General Practitioner,,
5,Los Altos,"Melissa Stenberg, M.D.",209-257-1726,2734 East El Camino Real,General Practitioner,,
5,Los Altos,"Patricia Weltz, Do",650-482-9898,795 Willow Rd # 334,General Practitioner,,
5,Los Altos,"Shiv Jain, M.D.",650-254-5200,370 Distel Circle,General Practitioner,,
3.3,Sebastopol,"Dr. Gregory P. Rosa, MD",707-823-7616,652 Petaluma Avenue Suite B,General Practitioner,,
3.7,Sebastopol,Family Practice Associates: Davidson Nancy A MD,707-823-5341,678 Petaluma Avenue,General Practitioner,,
5,Sebastopol,Fichman David K MD,707-829-1811,6 Tarman Drive,General Practitioner,,
5,Sebastopol,Pitzen Roger J MD,707-823-3210,6800 Palm Avenue # A,General Practitioner,,
4.3,Sebastopol,Whisman Kathleen MD,707-823-6997,652 Petaluma Avenue ste b,General Practitioner,,
3.3,,"Dr. Gregory P. Rosa, MD",707-823-7616,652 Petaluma Avenue Suite B,General Practitioner,,
4,Gilroy,"James A. Watson, MD",408-842-6500,8833 Monterey Road,Gynecologist,,
4,,"James A. Watson, MD",408-842-6500,8833 Monterey Road,Gynecologist,,
5,Pleasant Hill,"Dr. Chika Akera, MD",925-363-2000,2500 Alhambra Avenue,General Practitioner,,
4.7,Pleasant Hill,Harpole Jr B Patrick MD,925-680-8700,2481 Pacheco Street,General Practitioner,,
5,Pleasant Hill,Jolin Patrick V MD,925-689-4010,5161 Clayton Road # C1,General Practitioner,,
5,Pleasant Hill,"Nicolas Makhoul, MD",925-674-4721,2700 Grant Street Suite 200,General Practitioner,,
4,Pleasant Hill,"Tara Tarantino, DO",925-682-2401,401 Gregory Lane Suite 104,General Practitioner,,
5,,Jolin Patrick V MD,925-689-4010,5161 Clayton Road # C1,General Practitioner,,
4.5,Daly City,"Dr. Ruth E. Hoddinott, MD",650-301-0500,795 El Camino Real,General Practitioner,,
5,Daly City,Kini Divya MD,650-755-2192,"795 El Camino Real Jamplis Building, Level 1",General Practitioner,,
3.7,Daly City,Medicus: Carrillo Lornalyn J MD,650-994-0459,1800 Sullivan Avenue,General Practitioner,,
3.8,Daly City,North East Medical Services (NEMS) - Eastmoor,650-550-3923,40 North San Mateo Drive,General Practitioner,,
5,Daly City,Wilson John w MD,650-994-9093,270 Perkins Street,General Practitioner,,
5,San Jose,"Anjali Tate, M.D.",510-845-8035,2400 Samaritan Drive #105,Gynecologist,,
5,San Jose,"Dr. Ali A. Zaki, MD",408-272-2252,200 Jose Figueres Avenue #490,Gynecologist,,
3.5,San Jose,"Dr. Phuong T. Nguyen, MD, FACOG",408-296-2496,210 North Jackson Avenue #10,Gynecologist,,
5,San Jose,"Dr. Ruth Yemane, MD",408-358-1888,2400 Samaritan Drive,Gynecologist,,
4.9,San Jose,"Dr. Smriti Nalwa, MD",408-271-6500,455 Oconnor Drive,Gynecologist,,
4.7,San Jose,Faryno Violetta MD,408-288-9933,2577 Samaritan Drive #720B,Gynecologist,,
5,San Jose,Genesis Clinica De La Mujer,408-258-3724,244 North Jackson Avenue suite 209,Gynecologist,,
4.2,San Jose,Lakshmi Vatsan MD,650-666-0033,1299 Water Lily Way #90,Gynecologist,,
4.6,San Jose,"Lelanya B. Kearns, M.D.",408-357-1480,2585 Samaritan Drive,Gynecologist,,
5,San Jose,"Mahari, Sofia MD",408-885-5000,750 South Bascom Avenue,Gynecologist,,
3.9,San Jose,"Advanced Dermatology & Skin Surgery, George Hsieh, M.D.",408-217-1905,4155 Moorpark Avenue #3,Dermatologist,,
4.7,San Jose,Britz Marie B MD,408-294-3202,2074 Forest Avenue # 1,Dermatologist,,
4.3,San Jose,California Skin Institute,408-281-9606,393 Blossom Hill Road #290,Dermatologist,,
4.5,San Jose,Dr. Anthony J. Badame,408-297-4200,2025 Forest Avenue #9,Dermatologist,,
5,San Jose,"Dr. Sara L. Colby, MD",408-369-5600,2420 Samaritan Drive,Dermatologist,,
4,,Byrne Eileen MD,650-321-4121,550 Hamilton Avenue # 329,General Practitioner,,
5,,"Dr. Ali A. Zaki, MD",408-272-2252,200 Jose Figueres Avenue #490,Gynecologist,,
5,Burlingame,Claudio A Bet Inc,650-692-1296,211 Quarry Road,General Practitioner,,
5,Burlingame,"Dr. Aaron M. Roland, MD",650-259-5840,329 Primrose Road,General Practitioner,,
5,Burlingame,"Radhika Varma, M.D.",650-652-8500,1501 Trousdale Drive #4,General Practitioner,,
5,Burlingame,"Susan Runyan, MD, MPH",650-288-1200,590 Forest Avenue,General Practitioner,,
5,,Claudio A Bet Inc,650-692-1296,211 Quarry Road,General Practitioner,,
5,,Contra-Costa Regional Med Center: Cominos Eve D MD,925-370-5000,2500 Alhambra Avenue,General Practitioner,,
5,Napa,"Dr. Kathleen M. Healey, MD",707-251-3608,1701 4th Street Suite 120,ENT Specialist,,
5,,"Dr. Kathleen M. Healey, MD",707-251-3608,1701 4th Street Suite 120,ENT Specialist,,
4.4,Benicia,"Clifford Hoffman DO, MPH Family Doctor",707-750-5944,1179 North McDowell Boulevard,General Practitioner,,
3.4,Benicia,Family Health Center of Benicia,707-745-0711,1440 Military West # 101,General Practitioner,,
5,Benicia,Hill D L Do,707-745-3785,831 East 2nd Street #103,General Practitioner,,
4.4,,"Clifford Hoffman DO, MPH Family Doctor",707-750-5944,1179 North McDowell Boulevard,General Practitioner,,
5,Albany,"Nina R. Birnbaum, M.D.",510-524-0861,500 San Pablo Avenue,General Practitioner,,
3.8,Albany,"Rebecca Clyde, M.D.",510-204-8130,12 Camino Encinas,General Practitioner,,
5,Albany,Shapiro Marcey MD,510-525-2200,5915 B Hollis Street,General Practitioner,,
5,Albany,Sutter East Bay Med Foundation: Whinnery Catherine MD,510-524-1580,1152 Solano Avenue # A,General Practitioner,,
5,,"Nina R. Birnbaum, M.D.",510-524-0861,500 San Pablo Avenue,General Practitioner,,
4,Milpitas,"Dr. Hoang M. Duong, MD",408-263-6073,991 County Highway G4 STE 104,Dermatologist,,
3.2,Milpitas,Dr. Sunil S. Dhawan,408-957-7676,995 County Highway G4 #111,Dermatologist,,
4,Milpitas,Malhotra Neema MD,408-945-0300,1113 South Park Victoria Drive,Dermatologist,,
4,,"Dr. Hoang M. Duong, MD",408-263-6073,991 County Highway G4 STE 104,Dermatologist,,
5,Antioch,Antioch Family Practice: Copeland John W MD,925-778-7233,3440 Hillcrest Avenue Suite 150,General Practitioner,,
