actors,director,genre,movie_name,price,subtitle_language
Jeffrey Sayre,Morton DaCosta,Comedy,Auntie Mame,7,None
Laura Pizzirani,Matteo Garrone,Drama,Dogman,5,English
Lena Headey,Stephen Merchant,Sports,Fighting with My Family,3,Mandarin
Nick Frost,Stephen Merchant,Sports,Fighting with My Family,6,None
Paul Davis,Morton DaCosta,Comedy,Auntie Mame,4,None
Harry Fleer,George Sidney,Romance,Viva Las Vegas,5,Spanish
Penelope Mitchell,Neil Marshall,Fantasy,Hellboy,8,Spanish
Chris Lovick,Harry Elfont,Comedy,Josie and the Pussycats,7,None
Matt Walsh,Laura Steinel,Comedy,Family,3,None
Rome Flynn,Tyler Perry,Comedy,A Madea Family Funeral,6,None
P. J. Byrne,Peter Farrelly,Comedy,Green Book,6,None
Doris Day,Michael Gordon,Romance,Pillow Talk,3,Spanish
Doris Day,Michael Gordon,Romance,Pillow Talk,7,Mandarin
Stuart Lilley,Harry Elfont,Comedy,Josie and the Pussycats,6,None
Elsa Palmer,Alfred Hitchcock,Drama,The Man Who Knew Too Much,5,None
Coral Browne,Morton DaCosta,Comedy,Auntie Mame,3,None
Missi Pyle,Harry Elfont,Comedy,Josie and the Pussycats,4,English
Thomas Martin,Morton DaCosta,Comedy,Auntie Mame,4,None
Dimiter Marinov,Peter Farrelly,Comedy,Green Book,3,None
Lela Bliss,Morton DaCosta,Comedy,Auntie Mame,3,Mandarin
Reuben Greene,Elaine May,Mafia,Mikey and Nicky,6,Mandarin
Ruairi O'Connor,Max Minghella,Musical,Teen Spirit,8,None
Johnny Myers,Iain Softley,Drama,Hackers,4,Spanish
Johnny Myers,Iain Softley,Drama,Hackers,8,English
Mark Lee,Eric Khoo,Drama,Ramen Shop,8,Mandarin
Bruce Willis,Martin Scorsese,Biographical,Shine a Light,4,Spanish
Harry Shannon,Orson Welles,Mystery,Citizen Kane,4,Spanish
Leslie Nielsen,Ronald Neame,Adventure,The Poseidon Adventure,7,None
Sally Hershberger,Harry Elfont,Comedy,Josie and the Pussycats,6,Spanish
Bob Hastings,Ronald Neame,Adventure,The Poseidon Adventure,7,None
Rebecca Staab,Roxann Dawson,Biographical,Breakthrough,5,Mandarin
Ex-Det. Sergt. Bishop,Alfred Hitchcock,Crime,Blackmail - Cinemix Par Chloe,4,None
James Stewart,Alfred Hitchcock,Drama,The Man Who Knew Too Much,3,None
Anna Katharina Schimrigk,James Kent,War,The Aftermath,4,None
Mahershala Ali,Peter Farrelly,Comedy,Green Book,7,None
Claire Tran,Claire Denis,Drama,High Life,5,English
Judith Hofmann,Simon Jaquemet,Drama,The Innocent,3,Mandarin
Seiko Matsuda,Eric Khoo,Drama,Ramen Shop,5,None
Quentin Kenihan,George Miller,Fantasy,Mad Max: Fury Road,7,None
Buddy Guy,Martin Scorsese,Biographical,Shine a Light,7,None
Wendell Pierce,Iain Softley,Drama,Hackers,8,None
Tone Bell,Tina Gordon,Comedy,Little,5,Spanish
Gregory Gaye,Morton DaCosta,Comedy,Auntie Mame,7,None
Giancarlo Porcacchia,Matteo Garrone,Drama,Dogman,6,Spanish
Michael Buffer,Tim Burton,Fantasy,Dumbo,7,None
Shira Haas,Garth Davis,Drama,Mary Magdalene,7,None
Samuel L. Jackson,Anna Boden,Adventure,Captain Marvel,6,English
Enuka Okuma,Harry Elfont,Comedy,Josie and the Pussycats,5,English
Enuka Okuma,Harry Elfont,Comedy,Josie and the Pussycats,8,Mandarin
Lee Patrick,Michael Gordon,Romance,Pillow Talk,4,Mandarin
Milton Frome,Alfred Hitchcock,Drama,The Man Who Knew Too Much,7,None
Shayn Solberg,Harry Elfont,Comedy,Josie and the Pussycats,6,None
Claude de Martino,Harry Elfont,Comedy,Josie and the Pussycats,8,None
Kevin Bergsma,Harry Elfont,Comedy,Josie and the Pussycats,8,Spanish
David Brown,Justin Kelly,Biographical,JT LeRoy,8,English
Robert Kazinsky,Anna Boden,Adventure,Captain Marvel,3,None
Selma Blair,Jenny Gage,Romance,After,3,Spanish
Randall Park,Jonathan Levine,Comedy,Long Shot,3,None
Alexis Bobrinskoy,Alfred Hitchcock,Drama,The Man Who Knew Too Much,8,Mandarin
Laurence Herder,Stanley Kubrick,Comedy,Dr. Strangelove,3,Mandarin
Vince Pisani,Tina Gordon,Comedy,Little,7,None
Jeanette Aw,Eric Khoo,Drama,Ramen Shop,3,English
Jeanette Aw,Eric Khoo,Drama,Ramen Shop,5,Spanish
