address,check_in_date,check_out_date,has_laundry_service,number_of_adults,phone_number,rating,total_price,where_to
"1 Place de la Sorbonne, 75005",,,TRUE,,+33 1 46 34 14 80,4.5,4200,Paris
"1 Rue Daunou, 75002",,,TRUE,,+33 1 42 61 70 41,4.2,252,Paris
"1 Rue de Libourne, 75012",,,TRUE,,+33 1 44 67 34 00,4.4,80,Paris
"1 Rue de Lourmel, 75015",,,FALSE,,+33 1 45 78 17 12,3.7,1302,Paris
"1-5 Passage Ruelle, 75018",,,TRUE,,+33 1 42 05 20 00,4.1,576,Paris
"1-7 Rue Jean Richepin, 75016",,,FALSE,,+33 1 44 30 10 00,4.1,3410,Paris
"10 Place Charles Dullin, 75018",,,TRUE,,+33 1 42 57 14 55,4.1,1224,Paris
"10 Place de Mexico, 75116",,,TRUE,,+33 1 56 90 40 04,4.3,2560,Paris
"10 Rue Bernard Buffet, 75017",,,TRUE,,+33 1 40 25 20 20,3.6,1425,Paris
"10 Rue Gager-Gabillot, 75015",,,FALSE,,+33 1 44 19 29 29,3.4,2464,Paris
1095 Market Street,,,TRUE,,+1 415-829-0000,3.7,1218,San Francisco
"1100 Market Street Hotel Entrance is at, 45 McAllister Street",,,TRUE,,+1 415-735-7777,4.4,3348,San Francisco
111 Mason Street,,,TRUE,,+1 415-771-1200,3.6,576,San Francisco
12 4th Street,,,TRUE,,+1 415-348-1111,4.3,4896,San Francisco
"1206, 155 Steuart Street",,,TRUE,,+1 415-495-2100,4.2,1200,San Francisco
138 King Street,,,TRUE,,+1 415-200-4977,4.5,3712,San Francisco
1800 Sutter Street,,,TRUE,,+1 888-822-8666,4.3,1344,San Francisco
2222 Market Street,,,TRUE,,+1 415-621-8212,4.4,408,San Francisco
2237 Mason Street,,,TRUE,,+1 800-352-7366,4.4,186,San Francisco
2620 Jones Street,,,TRUE,,+1 800-228-8408,4.3,1440,San Francisco
1000 1st Avenue,,,TRUE,,+1 206-957-1000,4.5,928,Seattle
1006 Spring Street,,,FALSE,,+1 206-583-6453,3.9,840,Seattle
1011 Pike Street,,,TRUE,,+1 206-682-8282,4.2,2280,Seattle
1016 Republican Street,,,FALSE,,+1 206-708-8200,4.1,2610,Seattle
1046 1st Avenue South,,,TRUE,,+1 206-204-9800,4.3,4400,Seattle
105 Pike Street,,,TRUE,,+1 206-340-1222,4.4,3300,Seattle
110 Stewart Street,,,TRUE,,+1 206-623-4600,4.4,920,Seattle
1100 5th Avenue,,,TRUE,,+1 800-853-3914,4.4,2760,Seattle
1101 4th Avenue,,,TRUE,,+1 206-621-1770,4.5,6300,Seattle
1112 4th Avenue,,,TRUE,,+1 206-264-6000,4.4,2640,Seattle
1635 8th Avenue,,,FALSE,,+1 206-695-1234,4.5,936,Seattle
1815 Terry Avenue,,,TRUE,,+1 206-388-1000,4.5,828,Seattle
2000 4th Avenue,,,TRUE,,+1 206-448-8600,4.5,288,Seattle
2423 1st Avenue,,,FALSE,,+1 206-448-4721,4.5,50,Seattle
255 South King Street,,,TRUE,,+1 206-859-4400,4.5,198,Seattle
3926 Aurora Avenue North,,,TRUE,,+1 206-632-1015,4.5,2448,Seattle
4501 12th Avenue Northeast,,,TRUE,,+1 206-322-8887,4.5,3168,Seattle
700 3rd Avenue,,,TRUE,,+1 206-340-0340,4.5,4096,Seattle
1635 8th Avenue,,,FALSE,,+1 206-695-1234,4.5,5520,Seattle
100 Greenwich Street,,,TRUE,,+1 917-409-0800,4.4,312,New York
102 West 57th Street,,,TRUE,,+1 212-379-0103,4.5,252,New York
"102-05 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-565-8900,3.9,3645,New York
"102-40 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-672-6600,4.1,1344,New York
103 Waverly Place,,,FALSE,,+1 800-222-0418,4.4,600,New York
1033 6th Avenue,,,TRUE,,+1 212-768-0007,4.2,837,New York
"104-04 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 877-270-1412,4,1350,New York
108 West 24th Street,,,TRUE,,+1 212-414-1000,4.2,138,New York
"1080 Broadway, Brooklyn",,,FALSE,,+1 718-715-4850,4,2250,New York
109 West 45th Street,,,FALSE,,+1 212-730-9444,4,3060,New York
100 Greenwich Street,,,TRUE,,+1 917-409-0800,4.4,1125,New York
102 West 57th Street,,,TRUE,,+1 212-379-0103,4.5,1860,New York
"102-40 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-672-6600,4.1,3720,New York
1033 6th Avenue,,,TRUE,,+1 212-768-0007,4.2,1380,New York
"104-04 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 877-270-1412,4,3705,New York
108 West 24th Street,,,TRUE,,+1 212-414-1000,4.2,1020,New York
11 East 31st Street,,,TRUE,,+1 212-806-7000,4.4,1740,New York
11 Howard Street,,,TRUE,,+1 212-235-1111,4.3,2400,New York
"11-01 43rd Avenue, Long Island City",,,TRUE,,+1 212-319-7000,4,5580,New York
"1100 Market Street Hotel Entrance is at, 45 McAllister Street",,,TRUE,,+1 415-735-7777,4.3,855,San Francisco
138 King Street,,,TRUE,,+1 415-200-4977,4.3,1280,San Francisco
2222 Market Street,,,TRUE,,+1 415-621-8212,4.3,3740,San Francisco
2237 Mason Street,,,TRUE,,+1 800-352-7366,4.3,2275,San Francisco
312 Mason Street,,,TRUE,,+1 415-788-5604,4.3,4860,San Francisco
440 Post Street,,,TRUE,,+1 415-397-3510,4.3,4680,San Francisco
494 Broadway,,,TRUE,,+1 415-834-1000,4.3,285,San Francisco
495 Jefferson Street,,,TRUE,,+1 415-563-0800,4.3,2160,San Francisco
750 Sutter Street,,,TRUE,,+1 415-345-3200,4.3,4140,San Francisco
"1100 Market Street Hotel Entrance is at, 45 McAllister Street",,,TRUE,,+1 415-735-7777,4.3,5040,San Francisco
100 Greenwich Street,,,TRUE,,+1 917-409-0800,4.4,93,New York
"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,TRUE,,+1 718-512-0248,4.2,396,New York
102 West 57th Street,,,TRUE,,+1 212-379-0103,4.5,3888,New York
"102-05 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-565-8900,3.9,1863,New York
"102-40 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-672-6600,4.1,1296,New York
103 Waverly Place,,,FALSE,,+1 800-222-0418,4.4,816,New York
1033 6th Avenue,,,TRUE,,+1 212-768-0007,4.2,1386,New York
"104-04 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 877-270-1412,4,5280,New York
108 West 24th Street,,,TRUE,,+1 212-414-1000,4.2,3600,New York
"1080 Broadway, Brooklyn",,,FALSE,,+1 718-715-4850,4,2100,New York
100 Greenwich Street,,,TRUE,,+1 917-409-0800,4.4,648,New York
100 Greenwich Street,,,TRUE,,+1 917-409-0800,4.3,93,New York
102 West 57th Street,,,TRUE,,+1 212-379-0103,4.3,3888,New York
103 Waverly Place,,,FALSE,,+1 800-222-0418,4.3,816,New York
11 East 31st Street,,,TRUE,,+1 212-806-7000,4.3,744,New York
"111 North 12th Street, Brooklyn",,,TRUE,,+1 718-631-8400,4.3,840,New York
114 East 32nd Street,,,TRUE,,+1 212-603-9000,4.3,4080,New York
120 East 39th Street,,,TRUE,,+1 212-686-1600,4.3,480,New York
120 West 41st Street,,,TRUE,,+1 888-559-5862,4.3,2496,New York
123 West 28th Street,,,FALSE,,+1 212-244-4477,4.3,3168,New York
123 West 44th Street,,,TRUE,,+1 212-764-5700,4.3,2160,New York
"1 Place de la Sorbonne, 75005",,,TRUE,,+33 1 46 34 14 80,4.3,4200,Paris
"1 Rue de Libourne, 75012",,,TRUE,,+33 1 44 67 34 00,4.3,80,Paris
"10 Rue de Passy, 75016",,,TRUE,,+33 1 45 25 55 66,4.3,4095,Paris
"11 Rue des Gravilliers, 75003",,,TRUE,,+33 1 44 54 13 13,4.3,4620,Paris
"12 Rue de Marignan, 75008",,,TRUE,,+33 1 40 76 34 56,4.3,725,Paris
"14 Rue Beaujon, 75008",,,TRUE,,+33 1 53 89 50 50,4.3,475,Paris
"15 Rue Boissy d'Anglas, 75008",,,TRUE,,+33 1 44 94 14 14,4.3,2080,Paris
"15 Rue Edouard Manet, 75013",,,TRUE,,+33 1 45 86 35 99,4.3,1040,Paris
"166 Boulevard Berthier, 75017",,,TRUE,,+33 1 42 67 70 16,4.3,504,Paris
"18 Rue du Cirque, 75008",,,TRUE,,+33 1 43 87 10 10,4.3,5760,Paris
"1 Rue de Libourne, 75012",,,TRUE,,+33 1 44 67 34 00,4.3,5200,Paris
10044 Pacific Mesa Boulevard,,,TRUE,,+1 858-597-0500,4.5,3360,San Diego
1047 Fifth Avenue,,,TRUE,,+1 619-515-3000,4.4,1680,San Diego
11025 Vista Sorrento Parkway,,,TRUE,,+1 858-523-0500,4.3,432,San Diego
11520 West Bernardo Court,,,TRUE,,+1 858-451-6600,4.1,966,San Diego
11915 El Camino Real,,,TRUE,,+1 858-481-5900,4.2,3393,San Diego
11920 El Camino Real,,,TRUE,,+1 858-792-5557,4.2,324,San Diego
1333 Hotel Circle South,,,TRUE,,+1 619-297-2231,4.4,1700,San Diego
1355 North Harbor Drive,,,TRUE,,+1 619-232-3861,4,1764,San Diego
1370 Sunset Cliffs Boulevard,,,FALSE,,+1 619-224-0443,4.4,741,San Diego
1404 Vacation Road,,,TRUE,,+1 858-240-4913,4.3,1056,San Diego
10044 Pacific Mesa Boulevard,,,TRUE,,+1 858-597-0500,4.1,3360,San Diego
1047 Fifth Avenue,,,TRUE,,+1 619-515-3000,4.1,1680,San Diego
11025 Vista Sorrento Parkway,,,TRUE,,+1 858-523-0500,4.1,432,San Diego
11915 El Camino Real,,,TRUE,,+1 858-481-5900,4.1,3393,San Diego
11920 El Camino Real,,,TRUE,,+1 858-792-5557,4.1,324,San Diego
1333 Hotel Circle South,,,TRUE,,+1 619-297-2231,4.1,1700,San Diego
1370 Sunset Cliffs Boulevard,,,FALSE,,+1 619-224-0443,4.1,741,San Diego
1404 Vacation Road,,,TRUE,,+1 858-240-4913,4.1,1056,San Diego
1410 Rosecrans Street,,,FALSE,,+1 619-226-6100,4.1,5760,San Diego
10 East Thomas Road,,,TRUE,,+1 602-222-1111,4.1,2325,Phoenix
10838 North 25th Avenue,,,TRUE,,+1 602-997-8800,4.1,1224,Phoenix
1101 North 44th Street,,,TRUE,,+1 800-228-9290,4.1,2100,Phoenix
132 South Central Avenue,,,TRUE,,+1 602-603-2000,4.1,1740,Phoenix
15 East Monroe Street,,,TRUE,,+1 602-343-0006,4.1,1200,Phoenix
2 East Jefferson Street,,,TRUE,,+1 877-488-1908,4.1,5040,Phoenix
2335 West Pinnacle Peak Road,,,TRUE,,+1 623-879-8800,4.1,2940,Phoenix
2435 South 47th Street,,,TRUE,,+1 480-894-1600,4.1,1500,Phoenix
2520 North Central Avenue,,,TRUE,,+1 602-716-9900,4.1,2040,Phoenix
2532 West Peoria Avenue,,,TRUE,,+1 602-943-2341,4.1,1824,Phoenix
10 East Thomas Road,,,TRUE,,+1 602-222-1111,4.1,2835,Phoenix
"1 Columbia Court, Baulkham Hills New South Wales 2153, Australia",,,TRUE,,+61 2 9634 9634,4.1,624,Sydney
1 Hosking Place,,,TRUE,,+61 1300 633 462,3.6,4032,Sydney
"1 Kensington Street, Chippendale New South Wales 2008, Australia",,,TRUE,,+61 2 8277 8277,4.2,7425,Sydney
"1 Kingsway, Cronulla New South Wales 2230, Australia",,,TRUE,,+61 2 8536 3600,3.9,2376,Sydney
"1 Salisbury Road, Castle Hill New South Wales 2154, Australia",,,TRUE,,+61 2 9680 3800,4.4,468,Sydney
"10 Atchison Street, St Leonards New South Wales 2065, Australia",,,TRUE,,+61 2 8425 0400,4.4,4992,Sydney
"10 Brown Street, Chatswood New South Wales 2067, Australia",,,FALSE,,+61 131517,3.8,6300,Sydney
10 Byfield St Macquarie Park,,,TRUE,,+61 2 9428 9500,4.3,2400,Sydney
"100 Bayswater Road, Rushcutters Bay New South Wales 2011, Australia",,,TRUE,,+61 2 8353 8988,4.1,4320,Sydney
"100 Marsden Street, Parramatta New South Wales 2150, Australia",,,FALSE,,+61 2 9633 9898,4.4,1224,Sydney
"1, Jalan 2/142a, Taman Len Seng, 56000 Kuala Lumpur, Wilayah Persekutuan",,,TRUE,,+60 3-9100 1133,3.8,132,Kuala Lumpur
"1, Jalan Pantai Baharu, Jaya Tower 3, 59200 Kuala Lumpur, Wilayah Persekutuan",,,TRUE,,+60 3-2298 1888,4.2,290,Kuala Lumpur
"10, Jalan Binjai, Kuala Lumpur, 50450",,,TRUE,,+60 3-7490 3333,4.3,5824,Kuala Lumpur
"10, Jalan Tun Sambanthan, Brickfields, 50470",,,TRUE,,+60 3-2273 1222,3.8,4290,Kuala Lumpur
"10, Lorong P Ramlee, Kuala Lumpur, 50250",,,TRUE,,+60 3-2726 6788,4.3,2916,Kuala Lumpur
"1020, Jalan Sultan Ismail, 50250",,,TRUE,,+60 3-2168 1688,4.6,1920,Kuala Lumpur
"12, Jalan Raja Laut, Chow Kit, 50350",,,TRUE,,+60 3-2614 8000,3.6,1860,Kuala Lumpur
"120, Jalan Pudu, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan",,,TRUE,,+60 3-2143 5000,3.7,990,Kuala Lumpur
"120, Jalan Raja Abdullah, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan",,,TRUE,,+60 3-2603 1999,4.3,3456,Kuala Lumpur
"121, Jalan Ampang, Kuala Lumpur, 50450",,,TRUE,,+60 3-2786 8888,4.6,1000,Kuala Lumpur
"10, Jalan Binjai, Kuala Lumpur, 50450",,,TRUE,,+60 3-7490 3333,4.3,3120,Kuala Lumpur
1 Addington Street,,,TRUE,,+44 333 400 6116,4.3,2976,London
1 Baffin Way,,,TRUE,,+44 20 7517 1100,4.1,1080,London
1 Connaught Road,,,FALSE,,+44 871 984 6290,3.7,1044,London
1 Duke's Road,,,FALSE,,+44 871 527 8656,4.1,2349,London
1 Ham Yard,,,TRUE,,+44 20 3642 2000,4.5,1120,London
1 Harrow Place,,,FALSE,,+44 871 984 6190,3.6,2720,London
1 King's Cross Road,,,TRUE,,+44 20 7833 3900,4.1,864,London
1 Lancaster Gate,,,TRUE,,+44 20 7262 5022,3.8,1512,London
1 Leicester Square,,,FALSE,,+44 20 3953 4200,4.4,1360,London
1 Seething Lane,,,TRUE,,+44 20 7702 2020,4.5,3720,London
10 East Thomas Road,,,TRUE,,+1 602-222-1111,4.6,2325,Phoenix
10210 North 26th Drive,,,FALSE,,+1 602-861-3900,3.8,480,Phoenix
10838 North 25th Avenue,,,TRUE,,+1 602-997-8800,4.3,1008,Phoenix
1101 North 44th Street,,,TRUE,,+1 800-228-9290,4.3,2100,Phoenix
12027 North 28th Drive,,,TRUE,,+1 602-548-6000,3.8,936,Phoenix
132 South Central Avenue,,,TRUE,,+1 602-603-2000,4.6,1740,Phoenix
15 East Monroe Street,,,TRUE,,+1 602-343-0006,4.4,2160,Phoenix
2 East Jefferson Street,,,TRUE,,+1 877-488-1908,4.5,5040,Phoenix
212 West Osborn Road,,,TRUE,,+1 800-922-5548,3.3,540,Phoenix
2333 East Thomas Road,,,TRUE,,+1 602-957-1910,3.9,198,Phoenix
1 Addington Street,,,TRUE,,+44 333 400 6116,4.3,2772,London
1 Baffin Way,,,TRUE,,+44 20 7517 1100,4.1,2640,London
1 Connaught Road,,,FALSE,,+44 871 984 6290,3.7,2625,London
1 Duke's Road,,,FALSE,,+44 871 527 8656,4.1,2772,London
1 Ham Yard,,,TRUE,,+44 20 3642 2000,4.5,115,London
1 Harrow Place,,,FALSE,,+44 871 984 6190,3.6,560,London
1 King's Cross Road,,,TRUE,,+44 20 7833 3900,4.1,232,London
1 Lancaster Gate,,,TRUE,,+44 20 7262 5022,3.8,264,London
1 Leicester Square,,,FALSE,,+44 20 3953 4200,4.4,560,London
1 Seething Lane,,,TRUE,,+44 20 7702 2020,4.5,4928,London
1 Baffin Way,,,TRUE,,+44 20 7517 1100,4.1,720,London
1 Addington Street,,,TRUE,,+44 333 400 6116,4.2,2772,London
1 Ham Yard,,,TRUE,,+44 20 3642 2000,4.2,115,London
1 Leicester Square,,,FALSE,,+44 20 3953 4200,4.2,560,London
1 Seething Lane,,,TRUE,,+44 20 7702 2020,4.2,4928,London
1 Suffolk Place,,,TRUE,,+44 20 7470 4000,4.2,720,London
1 Waterview Drive,,,TRUE,,+44 20 8463 6868,4.2,3456,London
1-13 Kings Hall Mews,,,FALSE,,+44 871 527 9480,4.2,1044,London
"1-15, Templeton Place",,,TRUE,,+44 20 7598 8700,4.2,4608,London
1-2 Dorset Rise,,,FALSE,,+44 871 527 9362,4.2,1218,London
"1-2, Serjeant's Inn",,,TRUE,,+44 20 3004 4141,4.2,880,London
10 Berners Street,,,TRUE,,+44 20 7781 0000,4.2,6720,London
10 Godliman Street,,,TRUE,,+44 20 7074 1000,4.2,210,London
10 Harrington Road,,,TRUE,,+44 20 7589 5895,4.2,350,London
1 Seething Lane,,,TRUE,,+44 20 7702 2020,4.2,620,London
1 Logan Square,,,TRUE,,+1 215-963-1500,4.4,3915,Philadelphia
1001 Intrepid Avenue,,,TRUE,,+1 215-644-9200,4.5,432,Philadelphia
101 North Broad Street,,,TRUE,,+1 215-607-2020,4.4,3240,Philadelphia
1100 Arch Street,,,TRUE,,+1 215-923-0100,4,3465,Philadelphia
120 South 17th Street,,,TRUE,,+1 215-569-8300,4.5,608,Philadelphia
1200 Arch Street,,,TRUE,,+1 215-627-1850,4.3,960,Philadelphia
1301 Race Street,,,TRUE,,+1 215-665-9100,4.2,2016,Philadelphia
1305 Walnut Street,,,TRUE,,+1 215-735-9300,4.1,936,Philadelphia
1421 Arch Street,,,TRUE,,+1 215-422-8200,4.3,1408,Philadelphia
1800 Market Street,,,TRUE,,+1 800-766-3782,4.3,5280,Philadelphia
1 Logan Square,,,TRUE,,+1 215-963-1500,4.4,3220,Philadelphia
1020 South Figueroa Street,,,TRUE,,+1 213-748-1291,4.2,360,Los Angeles
10320 West Olympic Boulevard,,,TRUE,,+1 310-556-2777,4.2,270,Los Angeles
10740 Wilshire Boulevard,,,TRUE,,+1 310-475-8711,4.4,2800,Los Angeles
"111 South Gaffey Street, San Pedro, California 90731, United States",,,TRUE,,+1 310-514-1414,4.2,2304,Los Angeles
1133 Vine Street,,,TRUE,,+1 323-952-6900,4.3,324,Los Angeles
"11350 Burbank Boulevard, North Hollywood, CA 91601, USA",,,TRUE,,+1 818-821-8031,4.4,2240,Los Angeles
115 South Fairfax Avenue,,,TRUE,,+1 323-937-3930,4.4,1932,Los Angeles
1150 South Beverly Drive,,,TRUE,,+1 310-553-6561,4.2,1368,Los Angeles
1177 South Beverly Drive,,,TRUE,,+1 310-228-4100,4.3,4485,Los Angeles
1224 Beverwil Drive,,,TRUE,,+1 310-277-2800,4.4,912,Los Angeles
10740 Wilshire Boulevard,,,TRUE,,+1 310-475-8711,4.4,1496,Los Angeles
"1 Place de la Sorbonne, 75005",,,TRUE,,+33 1 46 34 14 80,4.5,2480,Paris
"1 Rue Daunou, 75002",,,TRUE,,+33 1 42 61 70 41,4.2,504,Paris
"1 Rue de Libourne, 75012",,,TRUE,,+33 1 44 67 34 00,4.4,3168,Paris
"1 Rue de Lourmel, 75015",,,FALSE,,+33 1 45 78 17 12,3.7,525,Paris
"1-5 Passage Ruelle, 75018",,,TRUE,,+33 1 42 05 20 00,4.1,828,Paris
"1-7 Rue Jean Richepin, 75016",,,FALSE,,+33 1 44 30 10 00,4.1,2600,Paris
"10 Place Charles Dullin, 75018",,,TRUE,,+33 1 42 57 14 55,4.1,4212,Paris
"10 Place de Mexico, 75116",,,TRUE,,+33 1 56 90 40 04,4.3,720,Paris
"10 Rue Bernard Buffet, 75017",,,TRUE,,+33 1 40 25 20 20,3.6,504,Paris
"10 Rue Gager-Gabillot, 75015",,,FALSE,,+33 1 44 19 29 29,3.4,1500,Paris
"1 Columbia Court, Baulkham Hills New South Wales 2153, Australia",,,TRUE,,+61 2 9634 9634,3.9,624,Sydney
"1 Kensington Street, Chippendale New South Wales 2008, Australia",,,TRUE,,+61 2 8277 8277,3.9,840,Sydney
