address,area,furnished,number_of_baths,number_of_beds,pets_allowed,phone_number,property_name,rent,visit_date
1326 East Cotati Avenue #124,Rohnert Park,FALSE,1,2,TRUE,707-615-1187,Park Club Apartments,2850,
7425 Camino Colegio # 61,Rohnert Park,FALSE,1,2,FALSE,707-792-0669,Park Meadows Apartments,2550,
5121 Dowdell Avenue,Rohnert Park,FALSE,1,2,FALSE,707-820-2962,The Reserve At Rohnert Park,3050,
4757 Snyder Lane,,TRUE,1,2,TRUE,707-584-3522,Americana Apartment Homes,4000,
1001 Beethoven Common,Fremont,FALSE,3,4,FALSE,510-797-1800,Alborada Apartments,5100,
3500 Pennsylvania Avenue # 101,Fremont,TRUE,3,4,FALSE,510-943-8264,Birchwood Apartments,4700,
38900 Blacow Road,Fremont,FALSE,3,4,TRUE,510-797-5980,Carrington Apartments,5050,
37811 Fremont Boulevard,Fremont,FALSE,3,4,TRUE,510-797-4520,Fremont Arms,5200,
4261 Stevenson Boulevard,Fremont,FALSE,3,4,FALSE,510-656-8201,Fremont Manor,5050,
36707 San Pedro Drive,Fremont,FALSE,3,4,FALSE,510-792-6340,Garden Village Apartments,5150,
4262 Central Avenue,Fremont,FALSE,3,4,FALSE,510-793-4336,Glenhaven Apartments,5100,
4444 Central Avenue,Fremont,FALSE,3,4,FALSE,510-792-1161,Glenmills Apartments,5200,
3355 Pennsylvania Avenue #13,Fremont,FALSE,3,4,FALSE,510-792-4983,Hastings East Apartments,5000,
4261 Stevenson Boulevard,Fremont,FALSE,3,4,TRUE,510-656-8200,Lincoln Glen,5100,
40001 Fremont Boulevard,Fremont,TRUE,3,3,TRUE,510-455-8815,Boulevard,4250,
38900 Blacow Road,Fremont,FALSE,3,3,TRUE,510-797-5980,Carrington Apartments,5050,
37811 Fremont Boulevard,Fremont,FALSE,3,3,TRUE,510-797-4520,Fremont Arms,5200,
41342 Roberts Avenue,Fremont,FALSE,3,3,TRUE,510-657-9766,Granada Apartments,3900,
4261 Stevenson Boulevard,Fremont,FALSE,3,3,TRUE,510-656-8200,Lincoln Glen,5100,
42010 Blacow Road,Fremont,FALSE,3,3,TRUE,510-657-2020,Minutetogo,4350,
1401 Red Hawk Circle,Fremont,FALSE,3,3,TRUE,510-494-9500,Mission Peaks,4150,
1301 Stevenson Boulevard,Fremont,FALSE,2,3,TRUE,510-713-1808,Park Vista Apartments,3550,
3330 Country Drive,Fremont,TRUE,3,3,TRUE,510-792-7817,Parkview Apartments,4750,
39548 Fremont Boulevard,Fremont,FALSE,3,3,TRUE,510-657-4244,Pasatiempo Apartments,4750,
40001 Fremont Boulevard,,TRUE,3,3,TRUE,510-455-8815,Boulevard,4250,
859 University Avenue,Los Gatos,FALSE,3,2,TRUE,408-395-1222,Casa Vasona Garden Apartments,4850,
20 East Main Street,Los Gatos,FALSE,3,2,TRUE,408-831-7797,El Gato Penthouse,4050,
226 Edelen Avenue,Los Gatos,FALSE,2,2,FALSE,408-313-1017,Los Gatos Heights Llc,3950,
517 Blossom Hill Road,Los Gatos,FALSE,1,2,TRUE,408-358-2900,Los Gatos Oaks Apartments,2350,
570 University Avenue # 1,Los Gatos,FALSE,2,2,FALSE,408-395-6244,Tamarack Apartments,3850,
105 Forrest Avenue,Los Gatos,FALSE,2,2,FALSE,408-354-7514,Three Oaks Apartments,3650,
107 Oak Rim Court,Los Gatos,FALSE,2,2,FALSE,408-358-1541,Twelve Oaks Apartments,2850,
100 Oak Rim Way # 24,Los Gatos,FALSE,1,2,TRUE,408-358-3066,Valley Oaks Apartments,2500,
626 West Parr Avenue,Los Gatos,FALSE,1,2,FALSE,408-370-9410,Villa Vasona Apartments,2700,
14225 Lora Drive,Los Gatos,FALSE,2,2,FALSE,408-378-9472,Wedgewood Manor,3050,
859 University Avenue,Los Gatos,FALSE,2,2,TRUE,408-395-1222,Casa Vasona Garden Apartments,4850,
20 East Main Street,Los Gatos,FALSE,2,2,TRUE,408-831-7797,El Gato Penthouse,4050,
100 Oak Rim Way # 24,Los Gatos,FALSE,2,2,TRUE,408-358-3066,Valley Oaks Apartments,2850,
20 East Main Street,,FALSE,2,2,TRUE,408-831-7797,El Gato Penthouse,4050,
1546 Maurice Lane,San Jose,FALSE,1,2,FALSE,408-818-0710,888 Golden Saratoga-Cupertino Apartment Homes,2300,
1290 San Tomas Aquino Road,San Jose,TRUE,3,2,FALSE,408-984-8888,Aegena,4900,
73 North Keeble Avenue,San Jose,FALSE,2,2,FALSE,408-998-7266,Alameda Gardens Apartments,3600,
947 Branham Lane # C,San Jose,TRUE,2,2,FALSE,408-265-4808,Almaden Garden Apartments,3100,
2415 Rinconada Drive,San Jose,FALSE,3,2,FALSE,408-516-4212,Almaden House,4850,
978 Almaden Lake Drive,San Jose,FALSE,2,2,FALSE,408-323-8020,Almaden Lake Apartments,3250,
1543 Ambergrove Drive,San Jose,FALSE,2,2,FALSE,408-453-8011,Amberwood Apartments,3550,
1585 Marburg Way # 4,San Jose,FALSE,3,2,TRUE,408-926-3999,Ann Darling Apartments,3950,
5822 Charlotte Drive,San Jose,TRUE,3,2,TRUE,408-226-5822,Anton La Moraga Apartments,4850,
1582 Kooser Road,San Jose,FALSE,3,2,FALSE,408-448-1288,Arbor Apartments,4250,
1546 Maurice Lane,,FALSE,3,2,FALSE,408-818-0710,888 Golden Saratoga-Cupertino Apartment Homes,4450,
2290 California Street,Mountain View,TRUE,1,1,TRUE,650-965-8290,Arbors At Mountain View,5100,
1335 Montecito Avenue # 1,Mountain View,FALSE,1,1,TRUE,650-940-1909,Barkley Square Apartments,5200,
302 Easy Street,Mountain View,TRUE,1,1,TRUE,650-968-3830,Chateau Apartments,1500,
210 Easy Street,Mountain View,FALSE,1,1,TRUE,650-961-2975,Fernmar Apartments,2350,
375 Oaktree Drive,Mountain View,FALSE,1,1,TRUE,650-390-9450,Ginzton Terrace,3500,
1970 Latham Street,Mountain View,FALSE,1,1,TRUE,650-961-6135,Latham Court Apartments,1950,
870 East El Camino Real,Mountain View,TRUE,1,1,TRUE,650-967-1424,Reserve At Mountain View Apartments,5000,
1901 Rock Street,Mountain View,FALSE,1,1,TRUE,650-964-6100,Riverstone Town Homes,2700,
460 North Shoreline Boulevard,Mountain View,FALSE,1,1,TRUE,650-966-1328,Shorebreeze Apartments,3850,
505 Central Avenue,Mountain View,FALSE,1,1,TRUE,650-968-8384,Shoreline Village Apartments,3550,
2290 California Street,,TRUE,1,1,TRUE,650-965-8290,Arbors At Mountain View,5100,
831 Gale Drive,Campbell,FALSE,1,1,TRUE,408-374-3500,Appletree Apartments,4050,
240 Hollis Avenue,Campbell,TRUE,1,1,TRUE,866-573-8123,La Mancha Apartments,2850,
3685 South Bascom Avenue,Campbell,TRUE,1,1,TRUE,408-377-9360,Pebble Creek,4000,
35 Union Avenue # 10,Campbell,TRUE,1,1,TRUE,408-377-6707,Pruneyard Garden Apartments,1950,
150 West Rincon Avenue,Campbell,FALSE,1,1,TRUE,408-871-1333,Rincon Gables Apartments,5150,
1510 South Bascom Avenue,Campbell,FALSE,1,1,TRUE,408-377-6900,River Walk Apartments,1800,
275 Union Avenue,Campbell,FALSE,1,1,TRUE,408-898-4572,The Commons,1950,
999 West Hamilton Avenue,Campbell,TRUE,1,1,TRUE,408-796-4545,The Greenery Apartments Homes,5250,
377 Union Avenue,Campbell,FALSE,1,1,TRUE,408-559-7422,Union Manor Apartments,4950,
831 Gale Drive,,FALSE,1,1,TRUE,408-374-3500,Appletree Apartments,4050,
766 1st Street,Gilroy,FALSE,1,1,FALSE,408-847-3818,Mission Park,2000,
181 Pierce Street,Gilroy,FALSE,3,1,TRUE,408-842-6341,Park View Apartments,5050,
500 Ioof Avenue,Gilroy,TRUE,2,1,FALSE,408-842-4457,Plaza Vasquez,3950,
9355 Monterey Road,Gilroy,FALSE,1,1,FALSE,408-848-6400,Sobrato Transitional Apartments,1900,
181 Pierce Street,Gilroy,FALSE,1,1,TRUE,408-842-6341,Park View Apartments,5050,
500 Ioof Avenue,Gilroy,TRUE,1,1,FALSE,408-842-4457,Plaza Vasquez,3950,
181 Pierce Street,,FALSE,1,1,TRUE,408-842-6341,Park View Apartments,5050,
1282 Mattox Road,Hayward,FALSE,3,1,FALSE,510-886-0385,Alpine Vista Apartments,4850,
24660 Amador Street,Hayward,FALSE,1,1,FALSE,510-849-6628,Amador Apartments,1900,
25173 Cypress Avenue,Hayward,FALSE,1,1,TRUE,510-782-8753,Amador Royal,1900,
26100 Gading Road,Hayward,FALSE,3,1,TRUE,510-785-3281,Amberwood Garden Apartments,5150,
31108 Brae Burn Avenue,Hayward,TRUE,3,1,FALSE,510-471-7075,Baywood Apartments,4700,
22800 Meridian Drive,Hayward,TRUE,3,1,FALSE,510-455-8869,City Centre,4900,
25200 Carlos Bee Boulevard,Hayward,FALSE,1,1,FALSE,510-822-2617,City View,2650,
25100 Cypress Avenue,Hayward,TRUE,1,1,FALSE,510-887-4406,Cypress Glen,2750,
24955 Cypress Avenue,Hayward,FALSE,3,1,FALSE,510-732-9432,Cypress House Apartments,4950,
25221 Cypress Avenue,Hayward,FALSE,2,1,TRUE,510-781-0217,Cypress Point Villas,2950,
1282 Mattox Road,Hayward,FALSE,3,3,FALSE,510-886-0385,Alpine Vista Apartments,4850,
24660 Amador Street,Hayward,FALSE,3,3,FALSE,510-849-6628,Amador Apartments,4250,
26100 Gading Road,Hayward,FALSE,3,3,TRUE,510-785-3281,Amberwood Garden Apartments,5150,
31108 Brae Burn Avenue,Hayward,TRUE,3,3,FALSE,510-471-7075,Baywood Apartments,4700,
22800 Meridian Drive,Hayward,TRUE,3,3,FALSE,510-455-8869,City Centre,4900,
25200 Carlos Bee Boulevard,Hayward,FALSE,2,3,FALSE,510-822-2617,City View,3600,
25100 Cypress Avenue,Hayward,TRUE,3,3,FALSE,510-887-4406,Cypress Glen,3900,
24955 Cypress Avenue,Hayward,FALSE,3,3,FALSE,510-732-9432,Cypress House Apartments,4950,
29596 Dixon Street # 60,Hayward,FALSE,3,3,FALSE,510-537-4705,Dixon Apartments,4800,
26100 Gading Road,,FALSE,3,3,TRUE,510-785-3281,Amberwood Garden Apartments,5000,
624 Avalon Avenue,Santa Rosa,FALSE,2,1,TRUE,707-620-5076,Avalon Apartments,3550,
825 Russell Avenue,Santa Rosa,FALSE,2,1,TRUE,707-577-0262,Bicentennial Apartments,2800,
3329 Claremont Court,Santa Rosa,TRUE,2,1,TRUE,707-578-1313,Brookside East Apartments,2950,
2807 Yulupa Avenue,Santa Rosa,FALSE,1,1,TRUE,707-527-0128,Country Club Apartments,1950,
1130 4th Street,Santa Rosa,FALSE,1,1,TRUE,707-544-1400,Creekside Park Apartments,1750,
850 Russell Avenue,Santa Rosa,FALSE,3,1,TRUE,707-542-2883,Del Nido Apartments,3950,
2322 Maher Drive #5,Santa Rosa,FALSE,2,1,TRUE,707-542-2004,Fairway Arms Apartments,2750,
6401 Montecito Boulevard # 29,Santa Rosa,FALSE,1,1,TRUE,707-539-6148,Garden Court Apartments,2350,
3076 Marlow Road,Santa Rosa,TRUE,1,1,TRUE,707-579-5081,Marlow Apartments,2300,
"Leasing Office, 6600 Montecito Boulevard",Santa Rosa,FALSE,2,1,TRUE,707-538-1516,Montecito Pines Apartments,3150,
825 Russell Avenue,,FALSE,1,1,TRUE,707-577-0262,Bicentennial Apartments,2350,
73 North Keeble Avenue,,FALSE,2,2,FALSE,408-998-7266,Alameda Gardens Apartments,3600,
1400 A Street,Antioch,FALSE,1,1,TRUE,925-706-0874,Antioch Rivertown Senior Housing,2850,
4900 Canada Valley Road,Antioch,FALSE,3,1,TRUE,925-754-2900,Bella Rose Apartments,4050,
1600 Buchanan Road,Antioch,FALSE,3,1,TRUE,925-750-8811,Buchanan Gardens,4250,
5100 Vista Grande Dr,Antioch,FALSE,1,1,TRUE,925-755-4141,Cross Pointe,1950,
3001 Kodiak Street,Antioch,FALSE,3,1,TRUE,925-754-3733,Hillcrest View Apartments,5250,
1015 Fitzuren Road #7,Antioch,FALSE,2,1,TRUE,925-978-9772,Magnolia Apartments,3500,
2200 Sycamore Drive,Antioch,FALSE,2,1,TRUE,925-754-4488,Riverstone Apartments,3000,
2201 San Jose Drive,Antioch,TRUE,3,1,TRUE,925-779-9999,Runaway Bay,4450,
4900 Canada Valley Road,,FALSE,3,1,TRUE,925-754-2900,Bella Rose Apartments,4050,
1300 Rumrill Boulevard,San Pablo,FALSE,2,3,TRUE,510-232-6651,Rumrill Garden Apartments,3800,
1300 Rumrill Boulevard,,FALSE,2,3,TRUE,510-232-6651,Rumrill Garden Apartments,3800,
1001 Beethoven Common,Fremont,FALSE,3,2,FALSE,510-797-1800,Alborada Apartments,5100,
34050 Westchester Terrace,Fremont,FALSE,1,2,FALSE,510-794-9981,Amber Court,2550,
4445 Stevenson Boulevard,Fremont,TRUE,2,2,FALSE,510-657-1133,Americana Apartments,3100,
3500 Pennsylvania Avenue # 101,Fremont,TRUE,3,2,FALSE,510-943-8264,Birchwood Apartments,4700,
40001 Fremont Boulevard,Fremont,TRUE,1,2,TRUE,510-455-8815,Boulevard,2600,
4200 Bay Street,Fremont,TRUE,2,2,FALSE,510-455-8813,Briarwood At Central Park,2950,
36163 Fremont Boulevard,Fremont,FALSE,2,2,FALSE,510-793-1621,Brookvale Chateau,3600,
38900 Blacow Road,Fremont,FALSE,1,2,TRUE,510-797-5980,Carrington Apartments,2750,
4101 Eggers Drive # 16,Fremont,FALSE,2,2,TRUE,510-796-4064,Case Verde Apartment,3200,
41299 Paseo Padre Parkway,Fremont,TRUE,3,2,FALSE,510-651-1040,Century Village Apartments,4100,
1001 Beethoven Common,Fremont,FALSE,2,2,FALSE,510-797-1800,Alborada Apartments,5100,
34050 Westchester Terrace,Fremont,FALSE,2,2,FALSE,510-794-9981,Amber Court,4300,
3500 Pennsylvania Avenue # 101,Fremont,TRUE,2,2,FALSE,510-943-8264,Birchwood Apartments,4700,
40001 Fremont Boulevard,Fremont,TRUE,2,2,TRUE,510-455-8815,Boulevard,4250,
38900 Blacow Road,Fremont,FALSE,2,2,TRUE,510-797-5980,Carrington Apartments,5050,
41299 Paseo Padre Parkway,Fremont,TRUE,2,2,FALSE,510-651-1040,Century Village Apartments,4100,
4445 Stevenson Boulevard,,TRUE,2,2,FALSE,510-657-1133,Americana Apartments,2700,
1580 Clayton Road # 1,Concord,FALSE,1,2,FALSE,925-827-3700,Casa Pino Condos,2800,
1688 Clayton Road,Concord,FALSE,3,2,FALSE,925-671-3845,City Walk Apartment Homes,5150,
5255 Clayton Road,Concord,FALSE,3,2,TRUE,855-957-1118,Clayton Creek Apartments,3950,
1711 Detroit Avenue,Concord,FALSE,2,2,FALSE,925-686-6868,Courtyard Apartments,3900,
4902 Clayton Road,Concord,FALSE,2,2,TRUE,925-405-6881,Diablo Terrace Apartments,3150,
3620 Clayton Road # 101,Concord,FALSE,1,2,TRUE,925-682-9661,Greentree Terrace Apartments,2450,
1032 Mohr Lane,Concord,FALSE,2,2,TRUE,925-687-8460,Hidden Creek Town Homes,3200,
3066 Willow Pass Road,Concord,TRUE,3,2,TRUE,925-691-5974,Kona Kai Village Apartments,4350,
1500 Ellis Street,Concord,FALSE,2,2,TRUE,925-680-5250,Lakeshore Apartment Homes,4000,
1530 Ellis Street,Concord,FALSE,3,2,TRUE,925-521-8333,Lakeshore Apartments,4350,
5255 Clayton Road,,FALSE,3,2,TRUE,855-957-1118,Clayton Creek Apartments,3950,
1260 Hopkins Street,Berkeley,FALSE,3,3,FALSE,510-526-3267,Hopkins Park Apartments,4750,
1425 Oregon Street,Berkeley,FALSE,3,3,FALSE,510-848-8554,Oregon Park Senior Apartments,3950,
1615 Russell Street # 101A,Berkeley,FALSE,2,3,TRUE,510-540-0382,Rosewood Manor Apartments,3550,
2017 Stuart Street,Berkeley,FALSE,3,3,FALSE,510-841-4595,Savo Island Cooperative Homes,4950,
2017 Stuart Street,,FALSE,3,3,FALSE,510-841-4595,Savo Island Cooperative Homes,4000,
3543 Brook Street,Lafayette,FALSE,3,3,TRUE,925-283-8332,Bookstreet Park Apartments,5150,
3263 Mount Diablo Court,Lafayette,FALSE,2,3,TRUE,925-287-1188,Lafayette Commons Apartments,3800,
