address,category,date,has_seating_outdoors,has_vegetarian_options,location,number_of_seats,phone_number,price_range,rating,restaurant_name,time
69 North San Pedro Street,American,,TRUE,FALSE,San Jose,,408-287-6969,moderate,4.3,Firehouse No.1 Gastropub,
230 Jackson Street,American,,FALSE,FALSE,San Jose,,408-279-4888,moderate,4.3,Hukilau,
1238 Lincoln Avenue,American,,TRUE,TRUE,San Jose,,408-998-1440,moderate,4.4,John's Of Willow Glen,
1339 Pearl Street,Japanese,,FALSE,FALSE,Napa,,707-294-2049,pricey,4.5,Kenzo,
821 Coombs Street,Japanese,,FALSE,TRUE,Napa,,707-254-9464,pricey,4.5,Miminashi,
610 Main Street,Japanese,,TRUE,TRUE,Napa,,707-252-1600,ultra high-end,4.3,Morimoto Napa,
3206 Jefferson Street,Japanese,,TRUE,FALSE,Napa,,707-226-2996,moderate,4.1,Sushi Haku,
1011 Blossom Hill Road,Steakhouse,,FALSE,TRUE,San Jose,,408-266-6602,moderate,4.1,Black Angus Steakhouse,
355 Santana Row,Steakhouse,,FALSE,FALSE,San Jose,,408-423-5400,moderate,4.2,Citrus Restaurant,
402 Toyon Avenue,Steakhouse,,FALSE,FALSE,San Jose,,408-272-1512,moderate,3.8,Drying Shed,
334 Santana Row #1000,Steakhouse,,TRUE,FALSE,San Jose,,408-244-1180,pricey,4.2,Lb Steak,
170 South Market Street,Steakhouse,,TRUE,FALSE,San Jose,,408-283-7200,pricey,3.9,Mccormick & Schmick's Seafood & Steaks,
4130 North 1st Street,Steakhouse,,TRUE,TRUE,San Jose,,669-900-1829,moderate,4.3,Rok Steakhouse & Grill,
2050 Gateway Place,Steakhouse,,FALSE,FALSE,San Jose,,408-437-2170,pricey,4.1,Spencer's For Steaks And Chops,
399 Silicon Valley Boulevard,Steakhouse,,FALSE,FALSE,San Jose,,408-972-1961,moderate,3.3,Summit Steakhouse & Saloon,
172 South Market Street,Steakhouse,,TRUE,TRUE,San Jose,,408-294-2244,moderate,4.3,The Grill On The Alley,
1433 Taraval,Asian,,FALSE,FALSE,San Francisco,,415-731-5515,cheap,4,8 Immortals Restaurant,
298 Gough Street,Asian,,FALSE,TRUE,San Francisco,,415-863-9335,moderate,3.7,Bai Thong Thai,
(between 2nd & 3rd Ave),Asian,,FALSE,FALSE,San Francisco,,415-474-5569,moderate,4.4,Burmese Kitchen,
320 3rd Street,Asian,,FALSE,TRUE,San Francisco,,415-979-9946,moderate,4.1,Chaat Corner,
1030 Irving Street,Asian,,FALSE,TRUE,San Francisco,,415-731-8110,moderate,4,Chang's Kitchen Restaurant,
2436 Clement Street,Asian,,FALSE,TRUE,San Francisco,,415-751-0505,cheap,3.5,India Clay Oven,
1537 Ocean Avenue,Asian,,FALSE,TRUE,San Francisco,,415-452-9618,cheap,4.3,Jo Jo's Cafe,
1426 Fillmore Street,Asian,,FALSE,TRUE,San Francisco,,415-563-8882,moderate,4.2,King Lee's Chinese Restaurant,
1700 Laguna Street,Asian,,FALSE,FALSE,San Francisco,,415-474-2866,ultra high-end,4.5,Kiss Seafood,
1449 Lombard Street,Korean,,FALSE,TRUE,San Francisco,,415-292-2368,moderate,3.6,Aato,
711 Geary Street,Korean,,FALSE,FALSE,San Francisco,,415-525-4985,moderate,4.6,Barnzu,
1825 Post Street,Korean,,FALSE,FALSE,San Francisco,,415-872-9868,moderate,4.1,Beque Bbq Grill,
4128 Geary Boulevard,Korean,,FALSE,FALSE,San Francisco,,415-387-7991,moderate,4.4,Brothers Restaurant,
662 Commercial Street,Korean,,FALSE,FALSE,San Francisco,,415-398-2838,moderate,4.4,City View Restaurant,
631 O'Farrell Street #94,Korean,,FALSE,FALSE,San Francisco,,415-776-1898,moderate,3.8,Dong Baek,
1802 Balboa Street,Korean,,FALSE,FALSE,San Francisco,,415-752-4447,moderate,4.4,Han Il Kwan,
5322 Geary Boulevard,Korean,,FALSE,FALSE,San Francisco,,415-668-8836,moderate,4.2,Hong Kong Lounge,
4516 Mission Street,Korean,,FALSE,TRUE,San Francisco,,415-859-7111,cheap,4.3,Hwaro,
1705 Buchanan Street,Korean,,FALSE,FALSE,San Francisco,,415-929-1471,moderate,3.9,Playground,
2033 Camden Avenue # F3,Chinese,,FALSE,TRUE,San Jose,,408-377-8310,moderate,4.3,Chef Li,
5813 Cottle Road,Chinese,,FALSE,TRUE,San Jose,,408-226-3666,moderate,4.4,China Delight,
80 Senter Road,Chinese,,FALSE,TRUE,San Jose,,408-225-9101,moderate,4.1,China Station Restaurant,
9 North Market Street,Chinese,,FALSE,TRUE,San Jose,,408-280-6688,moderate,3.9,China Wok Restaurant,
3082 Landess Avenue,Chinese,,FALSE,FALSE,San Jose,,408-945-1380,moderate,4.1,Golden Garlic,
5152 Moorpark Avenue #30,Chinese,,FALSE,FALSE,San Jose,,408-873-9982,moderate,4.4,Hunan Impression,
1715 Lundy Avenue,Chinese,,FALSE,TRUE,San Jose,,408-437-2499,moderate,4.1,Ma's Restaurant,
5560 Santa Teresa Boulevard,Chinese,,FALSE,TRUE,San Jose,,408-281-8898,moderate,4.3,Mandarin Gourmet Restaurant,
5400 Monterey Road,Chinese,,FALSE,FALSE,San Jose,,408-281-3838,moderate,4.1,Ocean Delight,
925 Blossom Hill Road #1515,Chinese,,TRUE,TRUE,San Jose,,408-960-2940,moderate,3.7,P.f. Chang's,
1760 Polk Street,American,,FALSE,FALSE,San Francisco,,415-359-1212,pricey,4.4,1760,
25 Lusk Street,American,,FALSE,TRUE,San Francisco,,415-495-5875,pricey,4.4,25 Lusk,
919 Cortland Avenue,American,,FALSE,TRUE,San Francisco,,415-814-3709,pricey,4.6,3rd Cousin,
1722 Sacramento Street,American,,FALSE,FALSE,San Francisco,,(415) 567-5432,ultra high-end,4.6,Acquerello,
2293 Mission Street,American,,FALSE,FALSE,San Francisco,,415-872-9409,moderate,4.5,Alba Ray's,
786 Bush Street,American,,FALSE,FALSE,San Francisco,,415-829-2737,moderate,4.2,Aliment,
648 Bush Street,American,,FALSE,TRUE,San Francisco,,650-627-4303,moderate,4.3,All Spice,
1420 Market Street,American,,FALSE,FALSE,San Francisco,,415-590-2585,pricey,4.3,Alta Ca,
1001 Guerrero Street,American,,FALSE,FALSE,San Francisco,,415-875-9810,ultra high-end,4.5,Aster,
1001 Alameda de las Pulgas,Japanese,,FALSE,TRUE,Belmont,,650-592-1878,moderate,4.2,Sushi Kuu,
550 Masonic Way,Japanese,,FALSE,FALSE,Belmont,,650-593-2291,moderate,4.2,Sushi Lover,
139 Petaluma Boulevard North B,Tapas,,TRUE,TRUE,Petaluma,,707-776-4631,moderate,4.3,Speakeasy,
25 Broadway,Thai,,FALSE,TRUE,Fairfax,,415-453-5967,moderate,4.2,Siam Lotus,
865 Market Street,American,,FALSE,TRUE,San Francisco,,415-977-5155,moderate,4.3,Bazille,
2362 Market Street,American,,TRUE,TRUE,San Francisco,,415-431-5000,moderate,4.3,Catch,
471 Haight Street,American,,FALSE,TRUE,San Francisco,,415-793-9016,cheap,5,Chaparral,
1198 Folsom Street,American,,FALSE,TRUE,San Francisco,,415-556-4901,moderate,4.1,Citizen's Band,
5 Embarcadero Center,American,,FALSE,TRUE,San Francisco,,415-291-6581,moderate,3.7,Eclipse Kitchen & Bar,
2298 Market Street,American,,TRUE,TRUE,San Francisco,,415-549-3765,cheap,4,Flore On Market,
4485 Stevens Creek Boulevard,Mexican,,FALSE,TRUE,Santa Clara,,408-248-3113,cheap,4.3,El Amigo Burrito,
2280 El Camino Real,Mexican,,FALSE,FALSE,Santa Clara,,408-247-0990,moderate,4,La Paloma,
3149 Mission College Boulevard,Mexican,,FALSE,FALSE,Santa Clara,,408-588-9865,moderate,3.8,Mexicali Grill,
3935 Freedom Circle,Mexican,,TRUE,FALSE,Santa Clara,,408-496-6597,moderate,4.1,Pedro's,
2752 Augustine Drive #110,Mexican,,TRUE,TRUE,Santa Clara,,408-333-9750,moderate,4.2,Puesto Santa Clara,
3540 Blackhawk Plaza Circle,American,,TRUE,TRUE,Danville,,925-736-4295,pricey,4.1,Blackhawk Grille,
416 Sycamore Valley Road,American,,TRUE,FALSE,Danville,,925-838-7611,moderate,4.3,Dana's,
750 Camino Ramon,American,,FALSE,TRUE,Danville,,925-314-0974,pricey,4.6,Esin Restaurant & Bar,
331 Hartz Avenue,American,,TRUE,FALSE,Danville,,925-208-1758,moderate,4.5,Revel Kitchen & Bar,
10088 North Wolfe Road #120,Neapolitan,,TRUE,TRUE,Cupertino,,408-863-0308,moderate,4.3,Doppio Zero,
550 Stanford Shopping Center,American,,FALSE,TRUE,Palo Alto,,650-688-2614,moderate,4.1,Bazille,
420 Ramona Street,American,,FALSE,FALSE,Palo Alto,,650-656-8180,moderate,4.5,Bird Dog,
2363 Birch Street,American,,TRUE,FALSE,Palo Alto,,650-327-0284,moderate,4.3,Bistro Elan,
445 California Avenue,American,,TRUE,TRUE,Palo Alto,,650-326-8640,moderate,4.1,Cafe Brioche,
3398 El Camino Real,American,,FALSE,FALSE,Palo Alto,,650-493-6787,moderate,4.2,Cibo Restaurant & Bar,
271 University Avenue,American,,TRUE,TRUE,Palo Alto,,650-322-7509,moderate,4.2,Local Union 271,
140 University Avenue,American,,FALSE,FALSE,Palo Alto,,650-321-3514,moderate,4.2,Palo Alto Grill,
565 Bryant Street,American,,TRUE,FALSE,Palo Alto,,650-521-0651,moderate,4.5,Zola Restaurant,
150 East Santa Clara Street,Take-out,,FALSE,TRUE,San Jose,,408-286-7500,moderate,4.3,4th St Pizza Co,
1200 El Paseo de Saratoga,Take-out,,TRUE,TRUE,San Jose,,408-378-0778,moderate,3.8,Mimi's Cafe,
1170 North Capitol Avenue,Take-out,,FALSE,TRUE,San Jose,,408-926-7133,moderate,3.8,Mountain Mike's Pizza,
2226 Eastridge Loop,Take-out,,FALSE,TRUE,San Jose,,408-274-2287,moderate,4.2,Olive Garden Italian Restaurant,
301 East 4th Avenue,Asian,,FALSE,FALSE,San Mateo,,925-408-4891,moderate,4.4,Izakaya Ginji,
168 East 4th Avenue,Asian,,FALSE,TRUE,San Mateo,,650-345-9168,moderate,4,Little Sichuan Restaurant,
112 South B Street,Asian,,FALSE,FALSE,San Mateo,,650-558-8969,moderate,4.2,Old Town Sushi,
120 West 25th Avenue,Asian,,FALSE,TRUE,San Mateo,,650-487-8414,moderate,4.3,Tannourine,
173 East 4th Avenue,Asian,,TRUE,TRUE,San Mateo,,650-342-6451,moderate,3.9,Thonglor Thai Bistro,
420 Market Place,Pakistani,,FALSE,TRUE,San Ramon,,925-244-1559,moderate,3.8,Cafe Tandoor,
725 South Fair Oaks Avenue,Indian,,FALSE,TRUE,Sunnyvale,,408-774-1540,moderate,3.8,Arka Indian Restaurant,
544 Lawrence Expressway,Indian,,FALSE,TRUE,Sunnyvale,,408-735-7448,moderate,3,Madhuban Indian Cuisine,
685 East El Camino Real,Indian,,FALSE,TRUE,Sunnyvale,,408-310-3111,moderate,4.1,Ulavacharu,
20 South Santa Cruz Avenue,Chinese,,FALSE,TRUE,Los Gatos,,408-395-2373,moderate,3.7,Jasmine Chinese Cuisine,
14107 South Winchester Boulevard,Chinese,,FALSE,TRUE,Los Gatos,,408-370-2032,moderate,4.4,Yeung Shing,
1848 Portola Avenue,Steakhouse,,TRUE,TRUE,Livermore,,925-456-7100,moderate,3.7,Castle Rock Restaurant,
504 Center Street,Take-out,,FALSE,TRUE,Moraga,,925-377-6453,moderate,3.9,Mountain Mike's Pizza,
46 Wharf Road,Vegetarian,,TRUE,FALSE,Bolinas,,415-868-2298,moderate,4.2,Coast Cafe,
1690 Locust Street,Seafood,,FALSE,FALSE,Walnut Creek,,925-378-7924,moderate,4.1,Andy's Sushi,
313 North Civic Drive,Seafood,,FALSE,FALSE,Walnut Creek,,925-930-8811,moderate,4.6,House Of Sake,
2131 North Broadway,Seafood,,FALSE,TRUE,Walnut Creek,,925-932-1112,moderate,4.3,Miraku,
1502 Sunnyvale Avenue,Seafood,,FALSE,TRUE,Walnut Creek,,925-932-9540,moderate,4.3,Nama Sushi & Teriyaki,
1532 North Main Street,Greek,,FALSE,TRUE,Walnut Creek,,925-891-4700,moderate,4.2,Opa Authentic Greek Cuisine Walnut Creek,
341 California Avenue,Italian,,TRUE,TRUE,Palo Alto,,650-473-9616,pricey,4.4,Italico Restaurant,
700 Welch Road,Italian,,TRUE,TRUE,Palo Alto,,650-646-3477,pricey,4.4,Vina Enoteca,
601 Old County Road,Indian,,TRUE,TRUE,San Carlos,,650-401-6564,moderate,4,Kamakshi's Kitchen Restaurant,
1143 San Carlos Avenue,Indian,,FALSE,TRUE,San Carlos,,650-593-4269,moderate,4.2,Saffron Indian Bistro,
1890 West San Carlos Street,Asian,,FALSE,FALSE,San Jose,,408-239-3149,cheap,3.6,China Garden Restaurant,
1001 Story Road,Asian,,FALSE,FALSE,San Jose,,408-286-6668,moderate,3.8,Dynasty,
6471-10 Almaden Expressway,Asian,,FALSE,TRUE,San Jose,,408-927-8773,moderate,4.6,Elements Restaurant,
1705 Branham Lane b3,Asian,,FALSE,TRUE,San Jose,,408-978-3536,cheap,3.9,Golden Rice Bowl,
1080 Saratoga Avenue,Asian,,FALSE,FALSE,San Jose,,408-246-9550,moderate,4.3,May Flower Restaurant,
211 South 1st Street,Asian,,TRUE,FALSE,San Jose,,408-282-8850,moderate,4.2,Mosaic Inside The Four Points By Sheraton Hotel,
170 South Market Street,Asian,,FALSE,TRUE,San Jose,,408-287-1648,moderate,0,Pagoda Lounge,
3082 Story Road,Asian,,FALSE,FALSE,San Jose,,408-251-9590,moderate,4,Phu Lam Chinese Restaurant,
3695 Union Avenue,Asian,,FALSE,TRUE,San Jose,,408-377-2222,moderate,3.9,Rangoli,
377 Santana Row #1000,Asian,,TRUE,TRUE,San Jose,,408-247-8880,moderate,4,Sino,
310 Baldwin Avenue,Italian,,FALSE,TRUE,San Mateo,,650-342-3100,moderate,4.2,Capellini Restaurant,
180 West 25th Avenue,Italian,,FALSE,FALSE,San Mateo,,650-341-8877,moderate,4.4,La Lanterna,
109 West 25th Avenue,Italian,,FALSE,FALSE,San Mateo,,650-574-1256,moderate,4.1,Luceti's,
139 South B Street,Italian,,FALSE,TRUE,San Mateo,,650-579-6021,moderate,3.9,Osteria Coppa - Permanently Closed,
223 East 4th Avenue,Italian,,TRUE,TRUE,San Mateo,,650-375-0818,pricey,4.5,Pausa Bar & Cookery,
147 East 3rd Avenue,Italian,,FALSE,FALSE,San Mateo,,650-685-6151,moderate,4.6,Vespucci,
181 East 4th Avenue,American,,TRUE,FALSE,San Mateo,,650-558-8401,moderate,4.3,Central Park Bistro,
1700 Coyote Point Drive,American,,TRUE,FALSE,San Mateo,,650-522-7526,pricey,4.3,Poplar Creek Grill,
60 East 3rd Avenue,American,,FALSE,FALSE,San Mateo,,650-579-5911,pricey,4.5,Porterhouse,
4000 South El Camino Real,American,,FALSE,TRUE,San Mateo,,650-212-2643,moderate,4.1,Qube Bar & Grill,
601 Van Ness Avenue,Japanese,,FALSE,TRUE,San Francisco,,415-292-9997,moderate,3.5,2g Japanese Brasserie,
3339 Steiner Street,Japanese,,FALSE,TRUE,San Francisco,,415-567-4903,moderate,4.4,Ace Wasabi Rock-n-roll Sushi,
431 Bush Street,Japanese,,FALSE,FALSE,San Francisco,,415-397-3218,pricey,4.5,Akiko's Restaurant,
1634 Bush Street,Japanese,,FALSE,TRUE,San Francisco,,415-800-8498,moderate,4.6,Akira Japanese Restaurant,
22 Peace Plz #510,Japanese,,FALSE,FALSE,San Francisco,,415-292-4886,pricey,4.6,An Japanese Restaurant,
5041 Geary Boulevard,Japanese,,FALSE,FALSE,San Francisco,,415-221-6255,moderate,4.6,Ariake,
2170 Bryant Street,Japanese,,FALSE,FALSE,San Francisco,,415-285-3848,moderate,4.1,Blowfish Sushi,
2850 21st Street,Japanese,,FALSE,FALSE,San Francisco,,415-872-9332,moderate,4.6,"Bon, Nene",
301 West Portal Avenue,Japanese,,FALSE,FALSE,San Francisco,,415-564-6360,moderate,4.3,Fuji Japanese Restaurant,
1234 Noriega Street,Japanese,,FALSE,FALSE,San Francisco,,415-665-1772,cheap,4.4,Fujiyama-ya,
1830 Fourth Street,Japanese,,TRUE,TRUE,Berkeley,,510-845-8100,pricey,4.5,Iyasare,
2441 Dwight Way,Japanese,,TRUE,TRUE,Berkeley,,510-848-5260,moderate,4,Joshu-ya Brasserie,
1695 Solano Avenue,Japanese,,FALSE,TRUE,Berkeley,,510-524-1286,cheap,3.8,Miyuki Japanese Restaurant,
325 Main Street,Greek,,TRUE,TRUE,Los Altos,,650-209-5340,moderate,4.1,Opa! Los Altos,
1000 6th Avenue,Italian,,FALSE,FALSE,Belmont,,650-591-4156,moderate,3.2,Caprinos,
968 Ralston Avenue,Italian,,FALSE,FALSE,Belmont,,650-620-9103,moderate,4.4,Divino Ristorante,
1910 Ralston Avenue,Italian,,FALSE,FALSE,Belmont,,650-637-0611,moderate,4.5,Vivace Ristorante,
776 Arguello Boulevard,Japanese,,FALSE,FALSE,San Francisco,,415-387-8882,cheap,4.7,Okina Sushi,
393 Bay Street,Japanese,,FALSE,TRUE,San Francisco,,415-829-7668,cheap,4.2,There Sushi Bar & Restaurant,
850 Holloway Avenue,Japanese,,FALSE,TRUE,San Francisco,,415-333-2889,cheap,3.6,Yama Sushi,
5800 Hollis Street,American,,TRUE,TRUE,Emeryville,,510-595-1000,moderate,4.3,The Bureau 510,
600 Ralston Avenue,Seafood,,FALSE,FALSE,Belmont,,650-593-1832,moderate,4.1,China Village Seafood Restaurant,
938 Villa Street,French,,FALSE,FALSE,Mountain View,,650-964-7466,ultra high-end,4.5,Chez Tj,
186 Castro Street,French,,TRUE,FALSE,Mountain View,,650-968-2300,moderate,4.2,La Fontaine,
21021 Geyserville Avenue,Italian,,TRUE,FALSE,Geyserville,,707-814-0111,moderate,4.6,Diavola Pizzeria & Salumeria,
542 A Mason Street,Seafood,,FALSE,FALSE,San Francisco,,415-989-8218,pricey,4.3,Akiko's Sushi Bar,
803 Fillmore Street,Seafood,,FALSE,FALSE,San Francisco,,415-440-2828,moderate,4.2,Alamo Square Seafood Grill,
8 Fishermans Wharf,Seafood,,FALSE,FALSE,San Francisco,,415-673-0183,moderate,4,Alioto's,
83 Minna Street,Seafood,,FALSE,FALSE,San Francisco,,415-501-9100,pricey,4.2,Anchor & Hope,
615 Jackson Street,Seafood,,FALSE,FALSE,San Francisco,,415-757-0120,moderate,4.2,Begoni Bistro,
318 Columbus Avenue,Seafood,,FALSE,FALSE,San Francisco,,415-757-0569,moderate,4.6,Betty Lou's Seafood & Grill,
1814 Clement Street,Seafood,,FALSE,FALSE,San Francisco,,415-387-2441,moderate,4.1,Blue Fin Sushi & Lounge,
88 Belden Place,Seafood,,FALSE,FALSE,San Francisco,,415-593-8000,moderate,4.1,Brindisi Cucina Di Mare,
574 Green Street,Seafood,,FALSE,FALSE,San Francisco,,415-981-1251,moderate,4.2,Caffe Sport,
203 Pier 39,Seafood,,FALSE,FALSE,San Francisco,,415-434-2722,pricey,4.1,Crab House At Pier 39,
156 Castro Street,Japanese,,FALSE,TRUE,Mountain View,,650-386-6821,moderate,4.1,Bushido,
1943 West El Camino Real,Japanese,,FALSE,FALSE,Mountain View,,650-965-8301,moderate,4.5,Gochi Japanese Fusion Tapas,
1040 North Rengstorff Avenue,Japanese,,FALSE,FALSE,Mountain View,,650-988-8686,moderate,4.1,Hanabi Sushi,
570 North Shoreline Boulevard J,Japanese,,FALSE,FALSE,Mountain View,,650-967-6166,cheap,4.4,Momoya Sushi,
743 West Dana Street,Japanese,,FALSE,FALSE,Mountain View,,650-903-9668,moderate,4.2,Niji Sushi,
152 Castro Street,Japanese,,FALSE,FALSE,Mountain View,,650-428-0888,moderate,4.4,Ramen Izakaya Yu-gen,
357 Castro Street #3a,Japanese,,TRUE,TRUE,Mountain View,,650-961-9086,moderate,4,Rumble Fish,
506 Showers Drive,Japanese,,FALSE,TRUE,Mountain View,,650-948-8388,moderate,4.1,Sushi 88 & Ramen,
534 Irving Street,Thai,,FALSE,TRUE,San Francisco,,415-379-4505,moderate,4.3,Baan Thai House & Wine Bar,
1175 Folsom Street,Thai,,FALSE,TRUE,San Francisco,,415-552-8999,moderate,4.2,Basil,
272 Claremont Boulevard,Thai,,FALSE,FALSE,San Francisco,,415-999-0345,moderate,4.3,Chaiya Thai Restaurant,
3226 Geary Boulevard,Thai,,FALSE,TRUE,San Francisco,,415-379-4549,moderate,4.6,Derm Restaurant,
710 Florida Street,Thai,,FALSE,TRUE,San Francisco,,415-814-2920,moderate,4.5,Farmhouse Kitchen Thai Cuisine,
901 Larkin Street,Thai,,FALSE,TRUE,San Francisco,,415-441-8038,moderate,4.3,House Of Thai,
1826 Buchanan Street,Thai,,FALSE,TRUE,San Francisco,,415-292-9027,moderate,4.4,Jitlada Thai Cuisine,
55 Cyril Magnin Street,Thai,,FALSE,TRUE,San Francisco,,415-362-7456,pricey,4.3,Kin Khao,
415 Brannan Street,Thai,,FALSE,TRUE,San Francisco,,415-369-0008,moderate,3.9,Koh Samui & The Monkey,
3214 16th Street,Thai,,FALSE,TRUE,San Francisco,,415-913-7886,moderate,4.1,Krua Thai,
345 Healdsburg Avenue,American,,TRUE,FALSE,Healdsburg,,707-433-2337,moderate,4.4,Bear Republic Brewing Co,
29 North Street,American,,TRUE,FALSE,Healdsburg,,707-473-8030,pricey,4.5,Chalkboard,
131 North Street,American,,TRUE,FALSE,Healdsburg,,707-723-4646,ultra high-end,4.7,Singlethread Farm - Restaurant - Inn,
109 Plaza Street,American,,FALSE,FALSE,Healdsburg,,707-473-8580,pricey,4.7,The Brass Rabbit,
344 Center Street,American,,FALSE,FALSE,Healdsburg,,707-473-0946,ultra high-end,4.8,Valette,
87 East San Fernando Street,Mexican,,TRUE,FALSE,San Jose,,408-293-4321,moderate,4,Chacho's,
5305 Almaden Expressway,Mexican,,FALSE,FALSE,San Jose,,408-266-1815,moderate,3.9,Chevys Fresh Mex,
543 Coleman Avenue,Mexican,,FALSE,FALSE,San Jose,,408-275-9340,moderate,4,Chili's Grill & Bar,
337 Santana Row #1125,Mexican,,FALSE,FALSE,San Jose,,408-260-7082,moderate,3.8,Consuelo Mexican Bistro,
7090 Santa Teresa Boulevard,Mexican,,TRUE,FALSE,San Jose,,408-365-9500,moderate,4.2,El Amigo,
5440 Thornwood Drive #1,Mexican,,FALSE,FALSE,San Jose,,408-227-1752,moderate,4.1,El Tule,
3088 Monterey Road,Mexican,,FALSE,FALSE,San Jose,,408-225-3080,moderate,3.6,Jess's Place,
1616 Almaden Road,Mexican,,FALSE,FALSE,San Jose,,408-320-2651,moderate,4,La Hacienda,
1495 The Alameda,Mexican,,TRUE,TRUE,San Jose,,408-320-2654,moderate,4.5,Luna Mexican Kitchen,
1860 The Alameda,Mexican,,FALSE,FALSE,San Jose,,408-841-3304,moderate,3.8,Mango's Mexican Grill,
3284 El Camino Real,Tapas,,FALSE,FALSE,Santa Clara,,408-249-9999,moderate,4.1,Dae Bak,
1998 Homestead Road #113,Tapas,,FALSE,FALSE,Santa Clara,,408-216-9805,moderate,4.5,Tapas Tokki,
716 Magnolia Avenue,Seafood,,FALSE,FALSE,Millbrae,,650-697-4004,moderate,4.1,Little Whale Seafood,
108 Park Place,Seafood,,FALSE,FALSE,Millbrae,,650-636-4105,cheap,4.4,One Piece Sushi,
