genre,location,movie_name,price,show_type,street_address,theater_name,show_date,show_time,number_of_tickets
Musical,Santa Clara,Teen Spirit,12,3d,3111 Mission College Boulevard,AMC Mercado 20,,,
Fantasy,Santa Clara,Dumbo,7,imax,3111 Mission College Boulevard,AMC Mercado 20,3/2/2019,17:00,
Fantasy,Morgan Hill,Hellboy,17,imax,750 Tennant Station,CineLux Tennant Station Stadium 11,,,
Fantasy,Morgan Hill,Hellboy,17,imax,750 Tennant Station,CineLux Tennant Station Stadium 11,3/2/2019,17:30,
Adventure,Petaluma,Captain Marvel,24,imax,200 C Street,Boulevard 14 Cinema,,,
Comedy,Petaluma,Little,19,imax,200 C Street,Boulevard 14 Cinema,,,
Comedy,Petaluma,Little,19,imax,200 C Street,Boulevard 14 Cinema,3/2/2019,15:30,
Drama,Sebastopol,Hackers,11,regular,6868 McKinley Street,Rialto Cinemas,,,
Drama,Sebastopol,High Life,10,imax,6868 McKinley Street,Rialto Cinemas,,,
Drama,Sebastopol,Sunset,19,imax,6868 McKinley Street,Rialto Cinemas,,,
Drama,Sebastopol,The Best of Enemies,18,imax,6868 McKinley Street,Rialto Cinemas,,,
Drama,Sebastopol,Wild Nights with Emily,11,3d,6868 McKinley Street,Rialto Cinemas,,,
Drama,Sebastopol,Wild Nights with Emily,11,3d,6868 McKinley Street,Rialto Cinemas,3/5/2019,21:30,
Romance,Livermore,After,8,3d,2490 First Street,Livermore 13 Cinema,,,
Biographical,Livermore,Breakthrough,9,imax,2490 First Street,Livermore 13 Cinema,,,
Adventure,Livermore,Captain Marvel,10,imax,2490 First Street,Livermore 13 Cinema,,,
Drama,Livermore,High Life,23,3d,1722 First Street,Vine Cinema & Alehouse,,,
Comedy,Livermore,Missing Link,24,imax,2490 First Street,Livermore 13 Cinema,,,
Adventure,Livermore,Shazam!,24,imax,2490 First Street,Livermore 13 Cinema,,,
Romance,Livermore,Viva Las Vegas,10,regular,1722 First Street,Vine Cinema & Alehouse,,,
Adventure,Livermore,Captain Marvel,10,imax,2490 First Street,Livermore 13 Cinema,3/5/2019,21:00,
Animation,Fremont,How to Train Your Dragon: The Hidden World,20,imax,43917 Pacific Commons Boulevard,Century at Pacific Commons & XD,,,
Comedy,Fremont,Little,7,imax,43917 Pacific Commons Boulevard,Century at Pacific Commons & XD,,,
Thriller,Fremont,Pet Sematary,7,imax,43917 Pacific Commons Boulevard,Century at Pacific Commons & XD,,,
Adventure,Fremont,Shazam!,21,imax,43917 Pacific Commons Boulevard,Century at Pacific Commons & XD,,,
Adventure,Fremont,Shazam!,21,imax,43917 Pacific Commons Boulevard,Century at Pacific Commons & XD,3/8/2019,22:30,
Adventure,San Jose,Captain Marvel,12,regular,2190 Eastridge Loop,AMC Eastridge 15,,,
Biographical,San Francisco,JT LeRoy,16,regular,3117 16th St,Roxie Theater,,,
Biographical,San Francisco,JT LeRoy,16,regular,3117 16th St,Roxie Theater,3/3/2019,19:00,
Biographical,Oakland,Breakthrough,16,regular,100 Washington Street,Regal Cinemas Jack London 9,,,
Comedy,Oakland,Dr. Strangelove,23,regular,474 24th Street,The New Parkway Theater,,,
Sports,Oakland,Fighting with My Family,16,3d,474 24th Street,The New Parkway Theater,,,
Comedy,Oakland,Gloria Bell,11,imax,474 24th Street,The New Parkway Theater,,,
Animation,Oakland,How to Train Your Dragon: The Hidden World,8,regular,474 24th Street,The New Parkway Theater,,,
Comedy,Oakland,Little,16,regular,100 Washington Street,Regal Cinemas Jack London 9,,,
Drama,Oakland,Red Joan,10,imax,5133,Landmark's Piedmont Theatre,,,
Adventure,Oakland,Shazam!,13,3d,3200 Grand Avenue,Grand Lake Theatre,,,
Comedy,Oakland,Stockholm,21,regular,474 24th Street,The New Parkway Theater,,,
Drama,Oakland,The Best of Enemies,5,3d,100 Washington Street,Regal Cinemas Jack London 9,,,
Drama,Oakland,Red Joan,10,imax,5133,Landmark's Piedmont Theatre,3/7/2019,21:30,
Crime,San Francisco,Ash Is Purest White,14,imax,1 Embarcadero Center,Landmark's Embarcadero Center Cinema,,,
Comedy,San Francisco,Gloria Bell,9,imax,1 Embarcadero Center,Landmark's Embarcadero Center Cinema,,,
Documentary,San Francisco,Knock Down The House,15,imax,1 Embarcadero Center,Landmark's Embarcadero Center Cinema,,,
Documentary,San Francisco,Knock Down The House,15,imax,1 Embarcadero Center,Landmark's Embarcadero Center Cinema,3/8/2019,21:30,
Fantasy,San Francisco,Penguin Highway,15,3d,3117 16th St,Roxie Theater,,,
Drama,San Francisco,Suburban Birds,8,regular,3117 16th St,Roxie Theater,,,
Drama,San Francisco,Supa Modo,20,imax,3117 16th St,Roxie Theater,,,
Drama,San Francisco,The Innocent,18,regular,3117 16th St,Roxie Theater,,,
Fantasy,San Francisco,Penguin Highway,15,3d,3117 16th St,Roxie Theater,3/9/2019,21:30,
Romance,Livermore,After,8,3d,2490 First Street,Livermore 13 Cinema,3/2/2019,15:30,
Romance,Union City,After,18,3d,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
Biographical,Union City,Breakthrough,17,3d,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
Adventure,Union City,Captain Marvel,12,imax,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
Fantasy,Union City,Dumbo,9,regular,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
Fantasy,Union City,Hellboy,23,3d,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
Thriller,Union City,Hotel Mumbai,8,regular,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
Comedy,Union City,Little,10,regular,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
Comedy,Union City,Missing Link,13,3d,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
Thriller,Union City,Pet Sematary,10,3d,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
Adventure,Union City,Shazam!,15,imax,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
Horror,Union City,The Curse of La Llorona,16,imax,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
Horror,Union City,The Curse of La Llorona,16,imax,32100 Union Landing Boulevard,Century 25 Union Landing & XD,3/7/2019,21:30,
Mystery,San Francisco,Body Double,14,regular,2550 Mission Street,Alamo Drafthouse Cinema,,,
Adventure,San Francisco,Captain Marvel,21,regular,835 Market Street,Century San Francisco Centre 9 & XD,,,
Mystery,San Francisco,Citizen Kane,20,3d,3290 Sacramento Street,Vogue Theatre,,,
Drama,San Francisco,Dogman,18,3d,601 Van Ness Avenue,Landmark's Opera Plaza Cinema,,,
Fantasy,San Francisco,Dumbo,15,imax,135 4th Street Suite 3000,AMC Metreon 16,,,
Comedy,San Francisco,Family,12,regular,501 Buckingham Way,United Artists Stonestown Twin,,,
Comedy,San Francisco,Gloria Bell,16,imax,601 Van Ness Avenue,Landmark's Opera Plaza Cinema,,,
Fantasy,San Francisco,Hellboy,22,imax,835 Market Street,Century San Francisco Centre 9 & XD,,,
Thriller,San Francisco,Hotel Mumbai,10,imax,2340 Chestnut Street,Presidio Theatre,,,
Crime,San Francisco,Ash Is Purest White,15,regular,3290 Sacramento Street,Vogue Theatre,,,
Fantasy,San Francisco,Hellboy,24,regular,2149 Chestnut Street,Marina Theatre,,,
Mafia,San Francisco,Mikey and Nicky,15,regular,2550 Mission Street,Alamo Drafthouse Cinema,,,
Romance,San Francisco,Say Anything,23,regular,2550 Mission Street,Alamo Drafthouse Cinema,3/1/2019,19:00,
Biographical,Brentwood,Breakthrough,18,regular,2525 Sand Creek Road,AMC Brentwood 14,,,
Adventure,Brentwood,Captain Marvel,12,3d,2525 Sand Creek Road,AMC Brentwood 14,,,
Fantasy,Brentwood,Dumbo,17,3d,641 1st Street,CineLux Delta Cinema Saver,,,
Fantasy,Brentwood,Hellboy,14,3d,2525 Sand Creek Road,AMC Brentwood 14,,,
Comedy,Brentwood,Little,25,regular,2525 Sand Creek Road,AMC Brentwood 14,,,
Comedy,Brentwood,Long Shot,6,3d,2525 Sand Creek Road,AMC Brentwood 14,,,
Comedy,Brentwood,Missing Link,6,3d,2525 Sand Creek Road,AMC Brentwood 14,,,
Thriller,Brentwood,Pet Sematary,13,3d,2525 Sand Creek Road,AMC Brentwood 14,,,
Adventure,Brentwood,Shazam!,18,imax,641 1st Street,CineLux Delta Cinema Saver,,,
Horror,Brentwood,The Curse of La Llorona,19,3d,2525 Sand Creek Road,AMC Brentwood 14,,,
Fantasy,Brentwood,Dumbo,8,imax,2525 Sand Creek Road,AMC Brentwood 14,,,
Adventure,Brentwood,Shazam!,18,imax,641 1st Street,CineLux Delta Cinema Saver,3/2/2019,16:00,
Adventure,Brentwood,Shazam!,13,imax,2525 Sand Creek Road,AMC Brentwood 14,3/2/2019,18:00,
Comedy,Petaluma,Missing Link,12,3d,200 C Street,Boulevard 14 Cinema,,,
Adventure,Petaluma,Shazam!,25,3d,200 C Street,Boulevard 14 Cinema,,,
Horror,Petaluma,The Curse of La Llorona,21,3d,200 C Street,Boulevard 14 Cinema,,,
Adventure,Petaluma,Shazam!,25,3d,200 C Street,Boulevard 14 Cinema,3/4/2019,20:30,
Romance,Livermore,Viva Las Vegas,10,regular,1722 First Street,Vine Cinema & Alehouse,3/2/2019,19:00,
Biographical,San Bruno,Breakthrough,19,imax,1188 El Camino Real 4th Floor,Century at Tanforan & XD,,,
Adventure,San Bruno,Captain Marvel,7,regular,1188 El Camino Real 4th Floor,Century at Tanforan & XD,,,
Fantasy,San Bruno,Dumbo,19,3d,1188 El Camino Real 4th Floor,Century at Tanforan & XD,,,
Animation,San Bruno,How to Train Your Dragon: The Hidden World,9,3d,1188 El Camino Real 4th Floor,Century at Tanforan & XD,,,
Comedy,San Bruno,Little,19,regular,1188 El Camino Real 4th Floor,Century at Tanforan & XD,,,
Comedy,San Bruno,Missing Link,8,imax,1188 El Camino Real 4th Floor,Century at Tanforan & XD,,,
Adventure,San Bruno,Shazam!,25,regular,1188 El Camino Real 4th Floor,Century at Tanforan & XD,,,
Musical,San Bruno,Teen Spirit,18,imax,1188 El Camino Real 4th Floor,Century at Tanforan & XD,,,
Adventure,San Bruno,Captain Marvel,7,regular,1188 El Camino Real 4th Floor,Century at Tanforan & XD,3/2/2019,22:30,
Adventure,Walnut Creek,Captain Marvel,7,regular,1201 Locust Street,Century Walnut Creek 14 & XD,,,
Comedy,Walnut Creek,Little,23,regular,1201 Locust Street,Century Walnut Creek 14 & XD,,,
Comedy,Walnut Creek,Missing Link,17,imax,1201 Locust Street,Century Walnut Creek 14 & XD,,,
Adventure,Walnut Creek,Shazam!,16,imax,1201 Locust Street,Century Walnut Creek 14 & XD,,,
Horror,Walnut Creek,The Curse of La Llorona,24,3d,1201 Locust Street,Century Walnut Creek 14 & XD,,,
Adventure,Walnut Creek,Captain Marvel,7,regular,1201 Locust Street,Century Walnut Creek 14 & XD,3/2/2019,22:30,
Comedy,San Jose,Little,23,3d,925 Blossom Hill Road Suite 2000,Century 20 Oakridge & XD,,,
Comedy,San Jose,Little,23,3d,925 Blossom Hill Road Suite 2000,Century 20 Oakridge & XD,3/5/2019,21:30,
Comedy,San Jose,A Madea Family Funeral,10,regular,3630 Hillcap Avenue,West Wind Capitol Drive-In,,,
Romance,San Jose,After,22,imax,925 Blossom Hill Road Suite 2000,Century 20 Oakridge & XD,,,
Drama,San Jose,Dogman,15,regular,288 South 2nd Street,3 Below Theaters And Lounge,,,
Fantasy,San Jose,Dumbo,13,imax,3088 Olsen Drive,Cinemark USA,,,
Fantasy,San Jose,Hellboy,17,imax,2306 Almaden Road,CineLux Almaden Cinema,,,
Comedy,San Jose,Long Shot,22,imax,2190 Eastridge Loop,AMC Eastridge 15,,,
Adventure,San Jose,Captain Marvel,11,imax,700 El Paseo de Saratoga,AMC Saratoga 14,,,
Comedy,San Jose,Long Shot,22,imax,2190 Eastridge Loop,AMC Eastridge 15,3/9/2019,22:00,
Comedy,Union City,Little,10,regular,32100 Union Landing Boulevard,Century 25 Union Landing & XD,3/5/2019,22:30,
Biographical,Morgan Hill,Breakthrough,23,regular,750 Tennant Station,CineLux Tennant Station Stadium 11,,,
Adventure,Morgan Hill,Captain Marvel,9,regular,750 Tennant Station,CineLux Tennant Station Stadium 11,,,
Fantasy,Morgan Hill,Dumbo,13,regular,750 Tennant Station,CineLux Tennant Station Stadium 11,,,
Thriller,Morgan Hill,Pet Sematary,15,imax,750 Tennant Station,CineLux Tennant Station Stadium 11,,,
Adventure,Morgan Hill,Shazam!,6,regular,750 Tennant Station,CineLux Tennant Station Stadium 11,,,
Biographical,Morgan Hill,Breakthrough,23,regular,750 Tennant Station,CineLux Tennant Station Stadium 11,3/3/2019,22:00,
Fantasy,Campbell,Dumbo,14,imax,1875 South Bascom Avenue,Pruneyard Dine-In Cinemas,,,
Fantasy,Campbell,Hellboy,13,imax,1875 South Bascom Avenue,Pruneyard Dine-In Cinemas,3/2/2019,15:30,
Comedy,Petaluma,Missing Link,12,3d,200 C Street,Boulevard 14 Cinema,3/4/2019,11:30,
Romance,Santa Rosa,After,9,regular,85 Santa Rosa Avenue,Roxy Stadium 14,,,
Fantasy,Santa Rosa,Dumbo,9,3d,409 Aviation Boulevard,Airport Stadium 12,,,
Fantasy,Santa Rosa,Hellboy,17,regular,620 3rd Street,3rd Street Cinema,,,
Drama,Santa Rosa,High Life,15,imax,551 Summerfield Road,Summerfield Cinemas,,,
Animation,Santa Rosa,How to Train Your Dragon: The Hidden World,18,3d,620 3rd Street,3rd Street Cinema,,,
Comedy,Santa Rosa,Little,6,3d,409 Aviation Boulevard,Airport Stadium 12,,,
Thriller,Santa Rosa,Pet Sematary,9,3d,85 Santa Rosa Avenue,Roxy Stadium 14,,,
Horror,Santa Rosa,The Curse of La Llorona,9,regular,409 Aviation Boulevard,Airport Stadium 12,,,
Comedy,Santa Rosa,The Upside,9,3d,620 3rd Street,3rd Street Cinema,,,
Drama,Santa Rosa,Wild Nights with Emily,11,imax,551 Summerfield Road,Summerfield Cinemas,,,
Comedy,Santa Rosa,The Upside,9,3d,620 3rd Street,3rd Street Cinema,3/1/2019,20:30,
Adventure,Brentwood,Shazam!,13,imax,2525 Sand Creek Road,AMC Brentwood 14,,,
Comedy,San Bruno,Little,19,regular,1188 El Camino Real 4th Floor,Century at Tanforan & XD,3/5/2019,23:00,
Thriller,Santa Clara,Pet Sematary,11,3d,3111 Mission College Boulevard,AMC Mercado 20,3/1/2019,20:30,
Comedy,Sonoma,Little,22,regular,4451,Sonoma Cinema,,,
Comedy,Sonoma,Long Shot,8,regular,4451,Sonoma Cinema,,,
Thriller,Sonoma,Pet Sematary,6,3d,4451,Sonoma Cinema,,,
Adventure,Sonoma,Shazam!,12,3d,4451,Sonoma Cinema,,,
Adventure,Sonoma,Shazam!,12,3d,4451,Sonoma Cinema,3/5/2019,19:00,
Horror,Berkeley,The Curse of La Llorona,15,regular,2274 Shattuck Avenue,United Artists Berkeley 7,,,
Horror,Berkeley,The Curse of La Llorona,15,regular,2274 Shattuck Avenue,United Artists Berkeley 7,3/1/2019,22:00,
Comedy,Brentwood,Missing Link,6,3d,2525 Sand Creek Road,AMC Brentwood 14,3/1/2019,16:30,
Comedy,Brentwood,Missing Link,6,3d,2525 Sand Creek Road,AMC Brentwood 14,3/2/2019,15:30,
Comedy,Larkspur,Auntie Mame,7,regular,549 Magnolia Avenue,Lark Theater,,,
Adventure,Larkspur,Captain Marvel,8,imax,500 Larkspur Landing Circle,Century Larkspur,,,
Biographical,Larkspur,Shine a Light,16,regular,549 Magnolia Avenue,Lark Theater,,,
Horror,Larkspur,The Curse of La Llorona,20,imax,500 Larkspur Landing Circle,Century Larkspur,,,
Documentary,Larkspur,The Invisibles,15,3d,549 Magnolia Avenue,Lark Theater,,,
Drama,Larkspur,Transit,10,3d,549 Magnolia Avenue,Lark Theater,,,
Biographical,Larkspur,Shine a Light,16,regular,549 Magnolia Avenue,Lark Theater,3/1/2019,19:30,
Thriller,Union City,Pet Sematary,10,3d,32100 Union Landing Boulevard,Century 25 Union Landing & XD,3/2/2019,17:00,
Fantasy,Campbell,Hellboy,13,imax,1875 South Bascom Avenue,Pruneyard Dine-In Cinemas,,,
Horror,Campbell,The Curse of La Llorona,10,imax,1875 South Bascom Avenue,Pruneyard Dine-In Cinemas,,,
Comedy,Oakland,Stockholm,21,regular,474 24th Street,The New Parkway Theater,3/7/2019,21:00,
Drama,Sebastopol,Hackers,11,regular,6868 McKinley Street,Rialto Cinemas,3/7/2019,19:30,
Biographical,Newark,Breakthrough,24,regular,400 Newpark Mall,AMC NewPark 12,,,
Adventure,Newark,Captain Marvel,13,3d,400 Newpark Mall,AMC NewPark 12,,,
Fantasy,Newark,Dumbo,10,imax,400 Newpark Mall,AMC NewPark 12,,,
Fantasy,Newark,Hellboy,19,imax,400 Newpark Mall,AMC NewPark 12,,,
Comedy,Newark,Little,14,imax,400 Newpark Mall,AMC NewPark 12,,,
Comedy,Newark,Missing Link,17,3d,400 Newpark Mall,AMC NewPark 12,,,
Thriller,Newark,Pet Sematary,23,regular,400 Newpark Mall,AMC NewPark 12,,,
Adventure,Newark,Shazam!,18,regular,400 Newpark Mall,AMC NewPark 12,,,
Horror,Newark,The Curse of La Llorona,16,imax,400 Newpark Mall,AMC NewPark 12,,,
Thriller,Newark,Pet Sematary,23,regular,400 Newpark Mall,AMC NewPark 12,3/2/2019,16:00,
Adventure,Daly City,Shazam!,22,regular,1901 Junipero Serra Boulevard,Century 20 Daly City & XD,,,
Adventure,Daly City,Shazam!,22,regular,1901 Junipero Serra Boulevard,Century 20 Daly City & XD,3/4/2019,22:30,
Romance,Vallejo,After,13,regular,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,,,
Biographical,Vallejo,Breakthrough,19,3d,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,,,
Adventure,Vallejo,Captain Marvel,23,3d,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,,,
Fantasy,Vallejo,Dumbo,19,imax,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,,,
Fantasy,Vallejo,Hellboy,25,imax,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,,,
Adventure,Vallejo,Shazam!,7,regular,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,,,
Adventure,Vallejo,Captain Marvel,23,3d,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,3/2/2019,22:30,
Comedy,Oakland,Little,16,regular,100 Washington Street,Regal Cinemas Jack London 9,3/1/2019,22:00,
Fantasy,Emeryville,Dumbo,25,regular,5614 Bay Street Suite 220,AMC Bay Street 16,,,
Comedy,Emeryville,Family,21,regular,5614 Bay Street Suite 220,AMC Bay Street 16,,,
Comedy,Emeryville,Little,22,imax,5614 Bay Street Suite 220,AMC Bay Street 16,,,
Comedy,Emeryville,Missing Link,15,imax,5614 Bay Street Suite 220,AMC Bay Street 16,,,
Thriller,Emeryville,Pet Sematary,22,3d,5614 Bay Street Suite 220,AMC Bay Street 16,,,
Adventure,Emeryville,Shazam!,7,imax,5614 Bay Street Suite 220,AMC Bay Street 16,,,
Musical,Emeryville,Teen Spirit,12,imax,5614 Bay Street Suite 220,AMC Bay Street 16,,,
Musical,Emeryville,Teen Spirit,12,imax,5614 Bay Street Suite 220,AMC Bay Street 16,3/1/2019,22:00,
Mystery,San Francisco,Body Double,14,regular,2550 Mission Street,Alamo Drafthouse Cinema,3/15/2019,21:30,
Comedy,Walnut Creek,Little,23,regular,1201 Locust Street,Century Walnut Creek 14 & XD,3/5/2019,22:00,
Comedy,Oakland,Gloria Bell,11,imax,474 24th Street,The New Parkway Theater,3/9/2019,16:00,
Romance,Pleasant Hill,After,19,regular,125 Crescent Drive,Century 16 Downtown,,,
Thriller,Pleasant Hill,Hotel Mumbai,7,3d,125 Crescent Drive,Century 16 Downtown,,,
Comedy,Pleasant Hill,Little,8,3d,125 Crescent Drive,Century 16 Downtown,,,
Thriller,Pleasant Hill,Pet Sematary,25,regular,125 Crescent Drive,Century 16 Downtown,,,
Horror,Pleasant Hill,The Curse of La Llorona,15,regular,125 Crescent Drive,Century 16 Downtown,,,
Comedy,Pleasant Hill,Little,8,3d,125 Crescent Drive,Century 16 Downtown,3/2/2019,21:30,
Comedy,Brentwood,Long Shot,6,3d,2525 Sand Creek Road,AMC Brentwood 14,3/1/2019,19:00,
Fantasy,Union City,Hellboy,23,3d,32100 Union Landing Boulevard,Century 25 Union Landing & XD,3/9/2019,21:00,
Adventure,Berkeley,Captain Marvel,12,imax,2274 Shattuck Avenue,United Artists Berkeley 7,,,
Fantasy,Berkeley,Dumbo,20,imax,2230 Shattuck Avenue,Landmark's Shattuck Cinemas,,,
Fantasy,Berkeley,Hellboy,17,3d,2274 Shattuck Avenue,United Artists Berkeley 7,,,
Thriller,Berkeley,Hotel Mumbai,6,3d,Shattuck Avenue,Landmark's California Theatre,,,
Drama,Berkeley,Little Woods,21,3d,2230 Shattuck Avenue,Landmark's Shattuck Cinemas,,,
Drama,Berkeley,Transit,23,3d,2230 Shattuck Avenue,Landmark's Shattuck Cinemas,,,
Adventure,Berkeley,Captain Marvel,12,imax,2274 Shattuck Avenue,United Artists Berkeley 7,3/1/2019,22:00,
Adventure,Novato,Captain Marvel,9,imax,44 Rowland Way,Century Rowland Plaza,,,
Adventure,Novato,Captain Marvel,9,imax,44 Rowland Way,Century Rowland Plaza,3/1/2019,22:00,
Biographical,San Ramon,Breakthrough,21,imax,1603,Regal Cinemas Crow Canyon 6,,,
Adventure,San Ramon,Captain Marvel,22,imax,1603,Regal Cinemas Crow Canyon 6,,,
Fantasy,San Ramon,Dumbo,15,3d,6000 Bollinger Canyon Road Suite 2300,THE LOT City Center,,,
Fantasy,San Ramon,Hellboy,24,regular,1603,Regal Cinemas Crow Canyon 6,,,
Comedy,San Ramon,Little,19,imax,6000 Bollinger Canyon Road Suite 2300,THE LOT City Center,,,
Comedy,San Ramon,Missing Link,22,3d,6000 Bollinger Canyon Road Suite 2300,THE LOT City Center,,,
Adventure,San Ramon,Shazam!,22,3d,1603,Regal Cinemas Crow Canyon 6,,,
Musical,San Ramon,Teen Spirit,18,3d,6000 Bollinger Canyon Road Suite 2300,THE LOT City Center,,,
Horror,San Ramon,The Curse of La Llorona,21,3d,1603,Regal Cinemas Crow Canyon 6,,,
Fantasy,San Ramon,Hellboy,24,3d,6000 Bollinger Canyon Road Suite 2300,THE LOT City Center,,,
Musical,San Ramon,Teen Spirit,18,3d,6000 Bollinger Canyon Road Suite 2300,THE LOT City Center,3/2/2019,17:00,
Adventure,Morgan Hill,Captain Marvel,9,regular,750 Tennant Station,CineLux Tennant Station Stadium 11,3/7/2019,20:30,
Fantasy,Cloverdale,Hellboy,19,3d,121 East 1st Street,The Clover Theater,,,
Fantasy,Cloverdale,Hellboy,19,3d,121 East 1st Street,The Clover Theater,3/2/2019,20:00,
Fantasy,San Jose,Dumbo,5,regular,2306 Almaden Road,CineLux Almaden Cinema,,,
Biographical,San Bruno,Breakthrough,19,imax,1188 El Camino Real 4th Floor,Century at Tanforan & XD,3/8/2019,21:30,
Horror,San Ramon,The Curse of La Llorona,11,3d,6000 Bollinger Canyon Road Suite 2300,THE LOT City Center,3/2/2019,16:30,
Horror,San Ramon,The Curse of La Llorona,21,3d,1603,Regal Cinemas Crow Canyon 6,3/2/2019,21:30,
Comedy,San Francisco,Family,12,regular,501 Buckingham Way,United Artists Stonestown Twin,3/2/2019,19:00,
Crime,San Francisco,Ash Is Purest White,14,imax,1 Embarcadero Center,Landmark's Embarcadero Center Cinema,3/2/2019,21:00,
Fantasy,San Ramon,Dumbo,15,3d,6000 Bollinger Canyon Road Suite 2300,THE LOT City Center,3/5/2019,11:00,
Fantasy,Union City,Dumbo,9,regular,32100 Union Landing Boulevard,Century 25 Union Landing & XD,3/2/2019,17:00,
War,San Francisco,The Aftermath,13,imax,501 Buckingham Way,United Artists Stonestown Twin,,,
War,San Francisco,The Aftermath,13,imax,501 Buckingham Way,United Artists Stonestown Twin,3/1/2019,19:00,
Comedy,Oakland,Dr. Strangelove,23,regular,474 24th Street,The New Parkway Theater,3/10/2019,22:30,
Fantasy,Vallejo,Hellboy,25,imax,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,3/2/2019,13:30,
Fantasy,Vallejo,Hellboy,25,imax,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,3/1/2019,22:30,
Drama,San Jose,Mary Magdalene,24,imax,288 South 2nd Street,3 Below Theaters And Lounge,,,
Drama,San Jose,The Mustang,15,imax,3088 Olsen Drive,Cinemark USA,,,
Drama,San Jose,The Mustang,15,imax,3088 Olsen Drive,Cinemark USA,3/2/2019,15:00,
Fantasy,Vacaville,Dumbo,22,3d,531 Davis Street,Brenden Vacaville 16,,,
Fantasy,Vacaville,Hellboy,15,regular,531 Davis Street,Brenden Vacaville 16,,,
Adventure,Vacaville,Shazam!,21,regular,531 Davis Street,Brenden Vacaville 16,,,
Drama,Albany,Red Joan,15,regular,1115 Solano Avenue,Landmark's Albany Twin,,,
Drama,Albany,Red Joan,15,regular,1115 Solano Avenue,Landmark's Albany Twin,3/5/2019,19:00,
Crime,San Francisco,Ash Is Purest White,15,regular,3290 Sacramento Street,Vogue Theatre,3/2/2019,16:30,
Drama,Menlo Park,Red Joan,10,3d,949 El Camino Real,Landmark's Guild Theatre,,,
Drama,Menlo Park,Red Joan,10,3d,949 El Camino Real,Landmark's Guild Theatre,3/9/2019,19:00,
Drama,Menlo Park,Red Joan,10,3d,949 El Camino Real,Landmark's Guild Theatre,3/4/2019,21:30,
Mystery,San Francisco,Citizen Kane,20,3d,3290 Sacramento Street,Vogue Theatre,3/2/2019,19:30,
