album,artist,genre,song_name,playback_device
Big A Presents One Chance Riddim,Shenseea,Reggae,Time Up,kitchen speaker
Purgatory,Tyler Childers,Country,White House Road,
Purgatory,Tyler Childers,Country,White House Road,TV
A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,kitchen speaker
Purgatory,Tyler Childers,Country,White House Road,bedroom speaker
The Beginning,Sammielz,Reggae,Let Us Be,kitchen speaker
Forever,Popcaan,Reggae,Silence,
Forever,Popcaan,Reggae,Wine For Me,
Forever,Popcaan,Reggae,Silence,kitchen speaker
One More Light,Linkin Park,Electropop,Battle Symphony,
One More Light,Linkin Park,Electropop,Good Goodbye,
One More Light,Linkin Park,Electropop,Nobody Can Save Me,
One More Light,Linkin Park,Electropop,One More Light,
One More Light,Linkin Park,Electropop,Good Goodbye,kitchen speaker
Blonde,Frank Ocean,Pop,Ivy,bedroom speaker
Late Nights And Longnecks,Justin Moore,Country,Jesus And Jack Daniels,
Genesis,Mark Petrie,Classical,Kara Kul,
Foundation,Shatta Wale,Reggae,Shatta Movement,
Night Visions,Imagine Dragons,Rock,Radioactive,
Muse Box,Madilyn Bailey,Pop,Titanium,
Khayali,Tamer Ashor,Pop,Mahzouz,
Late Nights And Longnecks,Justin Moore,Country,Jesus And Jack Daniels,bedroom speaker
Enredados,Alan Menken,Soundtracks,Kingdom Dance,
Enredados,Alan Menken,Soundtracks,Kingdom Dance,kitchen speaker
K,Kozoria,Rock,Worst Ends,
Expectations,Hayley Kiyoko,Pop,Curious,bedroom speaker
Mirrorwriting,Jamie Woon,Electronica,Lady Luck,
The King Of Limbs,Radiohead,Electronica,Lotus Flower,
Thinking In Textures,Nick Murphy,Electronica,No Diggity,
Presence,Petit Biscuit,Electronica,Sunset Lover,
Singular Act I,Sabrina Carpenter,Pop,Paris,
Singular Act I,Sabrina Carpenter,Pop,Sue Me,
Singular Act I,Sabrina Carpenter,Pop,Paris,bedroom speaker
Sick Boy,The Chainsmokers,Pop,Everybody Hates Me,
Sick Boy,The Chainsmokers,Pop,Hope,
Sick Boy,The Chainsmokers,Pop,Sick Boy,
Sick Boy,The Chainsmokers,Pop,Side Effects,
Sick Boy,The Chainsmokers,Pop,Somebody,
Sick Boy,The Chainsmokers,Pop,Everybody Hates Me,kitchen speaker
Home State,Jordan Davis,Country,Take It From Me,
Home State,Jordan Davis,Country,Take It From Me,kitchen speaker
No Line Signal Likhat Ba,Shashi Lal Yadav,Country,Naya Naya Penhi Salwarba,
No Line Signal Likhat Ba,Shashi Lal Yadav,Country,Naya Naya Penhi Salwarba,TV
The End Is Where We Begin,Thousand Foot Krutch,Rock,Be Somebody,bedroom speaker
Evolution,Disturbed,Rock,No More,
Narrated For You,Alec Benjamin,Pop,Boy In The Bubble,
Narrated For You,Alec Benjamin,Pop,Gotta Be A Reason,
Narrated For You,Alec Benjamin,Pop,If I Killed Someone For You,
Narrated For You,Alec Benjamin,Pop,If We Have Each Other,
Narrated For You,Alec Benjamin,Pop,Let Me Down Slowly,
Narrated For You,Alec Benjamin,Pop,Outrunning Karma,
Narrated For You,Alec Benjamin,Pop,The Water Fountain,
Narrated For You,Alec Benjamin,Pop,Gotta Be A Reason,bedroom speaker
Stars Dance,Selena Gomez,Pop,Love Will Remember,
Stars Dance,Selena Gomez,Pop,Love Will Remember,kitchen speaker
Speak Now,Taylor Swift,Pop,The Story Of Us,
Loud,Rihanna,Pop,California King Bed,kitchen speaker
Free Spirit,Khalid,Pop,Better,
Free Spirit,Khalid,Pop,Better,kitchen speaker
California Sunrise,Jon Pardi,Country,Head Over Boots,TV
A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Always Remember Us This Way,TV
Shatter Me,Lindsey Stirling,Pop,Roundtable Rival,
Shatter Me,Lindsey Stirling,Pop,Shatter Me,
Shatter Me,Lindsey Stirling,Pop,Roundtable Rival,kitchen speaker
Assume Form,James Blake,Pop,Barefoot In The Park,
Assume Form,James Blake,Pop,Mile High,
Amos,Michael Ray,Country,One That Got Away,
Overthinking,Shy Martin,Pop,Lose You Too,
The Descent,Kevin Macleod,Soundtracks,Nerves,
The Devil You Know,Blues Saraceno,Rock,The Devil You Know,
The New Classic,Iggy Azalea,Pop,Change Your Life,
The Getaway,Red Hot Chili Peppers,Pop,Go Robot,
Wonders,The Piano Guys,Classical,Let It Go,
Icarus Falls,Zayn Malik,Pop,Still Got Time,
Amos,Michael Ray,Country,One That Got Away,kitchen speaker
Forbidden,Todrick Hall,Pop,Dem Beats,
Speak Now,Taylor Swift,Pop,The Story Of Us,kitchen speaker
Purple Reign,Future,Soundtracks,Wicked,
Purple Reign,Future,Soundtracks,Wicked,kitchen speaker
Center Point Road,Thomas Rhett,Country,Look What God Gave Her,
Center Point Road,Thomas Rhett,Country,Look What God Gave Her,kitchen speaker
Handwritten,Shawn Mendes,Pop,Never Be Alone,bedroom speaker
Pitch Perfect,Anna Kendrick,Soundtracks,Cups,
Sunset Season,Conan Gray,Pop,Generation Why,
My Everything,Ariana Grande,Pop,Break Free,
Avril Lavigne,Avril Lavigne,Pop,Rock N Roll,
Infestissumam,Ghost,Metal,Year Zero,
Sunset Season,Conan Gray,Pop,Generation Why,kitchen speaker
Halcyon,Ellie Goulding,Pop,Burn,
Halcyon,Ellie Goulding,Pop,Burn,bedroom speaker
Halcyon Days,Ellie Goulding,Pop,Beating Heart,
Halcyon Days,Ellie Goulding,Pop,Beating Heart,kitchen speaker
Battleground,The Wanted,Pop,Glad You Came,
Battleground,The Wanted,Pop,Glad You Came,kitchen speaker
Fly,Karolina Protsenko,Pop,Let Me Love You,kitchen speaker
The Getaway,Red Hot Chili Peppers,Pop,Sick Love,
Cry Pretty,Carrie Underwood,Pop,The Champion,
Inna,Inna,Pop,Bad Boys,
Cheap Smell,Sharon Kovacs,Pop,Cheap Smell,
Good Company,The Dead South,Folk,Banjo Odyssey,
The First Time,Kelsea Ballerini,Country,Peter Pan,
Crooked Teeth,Papa Roach,Rock,Help,
El Hombre,El Alfa,Latin,Suave,
El Hombre,El Alfa,Latin,Suave,TV
Blonde,Frank Ocean,Pop,Ivy,TV
World Cry,Jah Cure,Reggae,Before I Leave,bedroom speaker
The Last Stand,Sabaton,Metal,The Lost Battalion,
The Getaway,Red Hot Chili Peppers,Pop,Dark Necessities,
Visions,Grimes,Electropop,Oblivion,
Maren Morris,Maren Morris,Country,My Church,
The Last Stand,Sabaton,Metal,Shiroyama,
Salam,Harris J,Pop,Salam Alaikum,
The Getaway,Red Hot Chili Peppers,Pop,Dark Necessities,TV
Handwritten,Shawn Mendes,Pop,Aftertaste,bedroom speaker
Pop Food,Jack Stauber,Pop,Oh Klahoma,bedroom speaker
Creeker,Upchurch,Rock,Pond Creek Road,
The Gaza Don,Vybz Kartel,Dancehall,Summer Time,
Expectations,Hayley Kiyoko,Pop,Let It Be,kitchen speaker
Texoma Shore,Blake Shelton,Country,I Lived It,
Bringing Back The Sunshine,Blake Shelton,Country,Sangria,
Texoma Shore,Blake Shelton,Country,I Lived It,TV
El Hombre,El Alfa,Latin,Suave,kitchen speaker
Oak Island,Our Last Night,Metalcore,Same Old War,bedroom speaker
Harry Styles,Harry Styles,Rock,Kiwi,
Yours,Isak Danielson,Pop,Broken,
Your Name,Radwimps,Soundtracks,Nandemonaiya,
Glory Sound Prep,Jon Bellion,Pop,Stupid Deep,
Waves,Iakopo,Reggae,Never Letting Go,
Waves,Iakopo,Reggae,Never Letting Go,TV
Spectrum,Westlife,Pop,Better Man,
Spectrum,Westlife,Pop,Hello My Love,
Spectrum,Westlife,Pop,Better Man,bedroom speaker
Kuntry,Jawga Boyz,Country,All The Girls Wanna Ride,bedroom speaker
Purpose,Justin Bieber,Pop,Sorry,
Purpose,Justin Bieber,Pop,Sorry,kitchen speaker
Illuminate,Shawn Mendes,Pop,Bad Reputation,kitchen speaker
Happy Endings,Old Dominion,Country,Written In Sand,
The Martin Garrix Experience,Martin Garrix,House,No Sleep,
Icona Pop,Icona Pop,Electropop,I Love It,
Pass The Jar,Zac Brown Band,Country,Colder Weather,
Dangerous Woman,Ariana Grande,Pop,Let Me Love You,kitchen speaker
Who You Are,Jessie J,Pop,Mamma Knows Best,bedroom speaker
Cold Water,Major Lazer,Electropop,Cold Water,
Badlands,Halsey,Electropop,Colors,
Lady Wood,Tove Lo,Electropop,Cool Girl,
Badlands,Halsey,Electropop,Gasoline,
Badlands,Halsey,Electropop,Ghost,
Melodrama,Lorde,Electropop,Supercut,
Melodrama,Lorde,Electropop,Supercut,bedroom speaker
When Was The Last Time,Darius Rucker,Country,If I Told You,
When Was The Last Time,Darius Rucker,Country,If I Told You,kitchen speaker
Trench,Twenty One Pilots,Indietronica,Neon Gravestones,
Slow Air,Still Corners,Pop,Black Lagoon,
Enjoy Yourself,Billy Currington,Country,Let Me Down Easy,
Maza Mar Liya Dhori Ke Niche,Shailesh Premi,Country,Lahnga Lasar Ke,
Built On Glass,Nick Murphy,Electronica,Gold,bedroom speaker
Eric Ethridge,Eric Ethridge,Country,If You Met Me First,
Ember,Breaking Benjamin,Rock,Tourniquet,
Cuz I Love You,Lizzo,Pop,Tempo,
Cuz I Love You,Lizzo,Pop,Tempo,bedroom speaker
Handwritten,Shawn Mendes,Pop,Aftertaste,kitchen speaker
Black Widow,In This Moment,Metalcore,Sick Like Me,kitchen speaker
Love Songs From A Lolita,Maty Noyes,Pop,New Friends,
Love Songs From A Lolita,Maty Noyes,Pop,New Friends,bedroom speaker
Unapologetically,Kelsea Ballerini,Country,Miss Me More,
Unapologetically,Kelsea Ballerini,Country,Miss Me More,bedroom speaker
Assume Form,James Blake,Pop,Mile High,bedroom speaker
Harry Styles,Harry Styles,Rock,Two Ghosts,
The Satanist,Behemoth,Metal,O Father O Satan O Sun,
This Is Acting,Sia,Pop,Move Your Body,
Origins,Shallow Side,Rock,Try To Fight It,
Unleashed Beyond,Skillet,Rock,The Resistance,
The New Classic,Iggy Azalea,Pop,Black Widow,
The New Classic,Iggy Azalea,Pop,Bounce,
The New Classic,Iggy Azalea,Pop,Black Widow,kitchen speaker
V,Adam Levine,Pop,Lost Stars,TV
Intuition,Tyler Shaw,Pop,With You,
Climate Change,Pitbull,Pop,Options,
Climate Change,Pitbull,Pop,Options,bedroom speaker
Melting,Nico Cartosio,Classical,Cocaine March,
Elements,Ludovico Einaudi,Classical,Elements,
Limitless,The Piano Guys,Classical,Epiphany,
Nightsky,Tracey Chattaway,Classical,Nightsky,
Limitless,The Piano Guys,Classical,Perfect,
Limitless,The Piano Guys,Classical,Epiphany,bedroom speaker
Magic,Ben Rector,Pop,Love Like This,
Transmissions,Starset,Rock,It Has Begun,
Nayutan Sei Kara No Buttai Y,Nayutalien,Rock,Planet Loop,
Last Daze Of Summer,Maleek Berry,Africa,Kontrol,
So Mi Like It,Spice,Reggae,So Mi Like It,
Golden Hour,Kacey Musgraves,Country,Slow Burn,bedroom speaker
Happiness Begins,Jonas Brothers,Pop,Sucker,kitchen speaker
My Kinda Party,Jason Aldean,Country,Dirt Road Anthem,
Rearview Town,Jason Aldean,Country,Girl Like You,
Rearview Town,Jason Aldean,Country,Rearview Town,
Rearview Town,Jason Aldean,Country,Ride All Night,
Rearview Town,Jason Aldean,Country,You Make It Easy,
Badlands,Halsey,Electropop,Control,kitchen speaker
Icarus Falls,Zayn Malik,Pop,Satisfaction,
Bittersweet,Brunettes Shoot Blondes,Rock,Knock Knock,
Joytime,Marshmello,House,Find Me,kitchen speaker
Count Me In,Rebelution,Reggae,Roots Reggae Music,
Count Me In,Rebelution,Reggae,Roots Reggae Music,kitchen speaker
Random Access Memories,Daft Punk,Punk,Get Lucky,
Random Access Memories,Daft Punk,Punk,Get Lucky,bedroom speaker
Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Express,
Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Show Me How You Burlesque,
Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Tough Lover,
Witness,Katy Perry,Pop,Hey Hey Hey,
Witness,Katy Perry,Pop,Hey Hey Hey,TV
Current Mood,Dustin Lynch,Country,Small Town Boy,
Lindsey Stirling,Lindsey Stirling,Pop,Elements,
Sing To Me Instead,Ben Platt,Pop,Ease My Mind,
So Good,Zara Larsson,Pop,I Would Like,
So Good,Zara Larsson,Pop,I Would Like,bedroom speaker
Always In Between,Jess Glynne,Pop,Thursday,
Kris Jones,Kris Jones,Country,Tennessee Whiskey,
Me And My Broken Heart,Push Baby,Pop,Me And My Broken Heart,
Expectations,Hayley Kiyoko,Pop,Curious,TV
Cloud Nine,Kygo,Downtempo,Carry Me,
Cloud Nine,Kygo,Downtempo,Raging,kitchen speaker
Superman,Arash,Pop,One Day,TV
Heart Miles,Jai Waetford,Pop,Shy,
Heart Miles,Jai Waetford,Pop,Shy,kitchen speaker
Evolution,Disturbed,Rock,Are You Ready,kitchen speaker
Bu Muhabbat,Shahzoda,Pop,Chicco,
Bu Muhabbat,Shahzoda,Pop,Chicco,bedroom speaker
Dedicated,Carly Rae Jepsen,Pop,Now That I Found You,
Dedicated,Carly Rae Jepsen,Pop,Now That I Found You,TV
Philharmonics,Agnes Obel,Folk,Riverside,
Philharmonics,Agnes Obel,Folk,Riverside,bedroom speaker
Glory Sound Prep,Jon Bellion,Pop,Stupid Deep,kitchen speaker
This Is Acting,Sia,Pop,Bird Set Free,
The Greatest,Sia,Pop,The Greatest,
This Is Acting,Sia,Pop,Bird Set Free,bedroom speaker
Party Never Ends,Inna,Pop,In Your Eyes,
Party Never Ends,Inna,Pop,In Your Eyes,kitchen speaker
Stronger,Sara Evans,Country,A Little Bit Stronger,kitchen speaker
Sing To Me Instead,Ben Platt,Pop,Bad Habit,
One More Light,Linkin Park,Electropop,Battle Symphony,bedroom speaker
