album,artist,genre,song_name,year,playback_device
Mercury Lane,Jimmie Allen,Country,Best Shot,2018,Kitchen speaker
Crooked Teeth,Papa Roach,Metal,Born For Greatness,2017,
Meliora,Ghost,Metal,Cirice,2015,
Anesthetic,Mark Morton,Metal,Cross Off,2019,
Prequelle,Ghost,Metal,Dance Macabre,2018,
No More Hollywood Endings,Battle Beast,Metal,Eden,2019,
The Hunting Party,Linkin Park,Metal,Final Masquerade,2014,
Got Your Six,Five Finger Death Punch,Metal,I Apologize,2015,
Judas,Fozzy,Metal,Judas,2017,
Maximalism,Amaranthe,Metal,Maximize,2016,
Heroes,Sabaton,Metal,Night Witches,2014,
Meliora,Ghost,Metal,Cirice,2015,TV
Crooked Teeth,Papa Roach,Rock,Help,2017,
Crooked Teeth,Papa Roach,Rock,Help,2017,TV
Different World,Alan Walker,Pop,Alone,2010,
Narsha,Narsha,Pop,Bbi Ri Bba Bba,2010,
Born Free,Kid Rock,Rock,Born Free,2010,
Halfway To Heaven,Brantley Gilbert,Country,Bottoms Up,2010,
Cannibal,Kesha,Pop,Cannibal,2010,
Pass The Jar,Zac Brown Band,Country,Colder Weather,2010,
My Kinda Party,Jason Aldean,Country,Dirt Road Anthem,2010,
Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Express,2010,
Battleground,The Wanted,Pop,Glad You Came,2010,
Different World,Alan Walker,Pop,Alone,2010,Bedroom speaker
Magic,Ben Rector,Pop,Love Like This,2018,
Flicker,Niall Horan,Pop,On The Loose,2017,
Coming Home,Kristin Chenoweth,Pop,Maybe This Time,2014,
Cryptic,Billy Watman,Pop,Bohemian Rhapsody,2018,
Outlaw Soul,Tyler Wood,Country,Still Ridin Shotgun,2014,
Pop Evil,Pop Evil,Metalcore,Be Legendary,2018,
Visions,Grimes,Electropop,Oblivion,2012,
Globalization,Pitbull,Pop,Fireball,2014,
Joytime,Marshmello,House,Keep It Mello,2015,
Your Name,Radwimps,Soundtracks,Nandemonaiya,2016,
Magic,Ben Rector,Pop,Love Like This,2018,Kitchen speaker
Black Widow,In This Moment,Metalcore,Sick Like Me,2014,
The First Time,Kelsea Ballerini,Pop,Yeah Boy,2014,
A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Before I Cry,2018,
Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Tough Lover,2010,
Melting,Nico Cartosio,Classical,Cocaine March,2019,
Firestone,Kygo,Downtempo,Firestone,2014,
Evolution,Disturbed,Rock,Are You Ready,2018,
Radh,Mohammed Al Salem,Pop,Qalb Qalb Party,2016,
Pumped Up Kicks,Foster The People,Indie,Pumped Up Kicks,2010,
A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Before I Cry,2018,TV
Oxford,Connar Moon,Folk,Annie,2018,
Oxford,Connar Moon,Folk,Annie,2018,TV
A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Look What I Found,2018,
Gotta Be Me,Cody Johnson,Country,With You I Am,2016,
Anchor,Mindy Gledhill,Pop,I Do Adore,2010,
Tomahawk Technique,Sean Paul,Reggae,How Deep Is Your Love,2012,
Thank You,Meghan Trainor,Pop,Kindly Calm Me Down,2016,
Euphoria,Enrique Iglesias,Pop,Heartbeat,2010,
Golden Hour,Kacey Musgraves,Country,Slow Burn,2018,
Dzieciom,Lao Che,Rock,Wojenka,2015,
A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Look What I Found,2018,Bedroom speaker
Joanne,Lady Gaga,Pop,John Wayne,2016,
Outsider,Three Days Grace,Rock,The Mountain,2018,
Welcome Reality,Nero,Dubstep,Promises,2010,
Assume Form,James Blake,Pop,Mile High,2019,
Party Rock Mansion,Redfoo,Pop,New Thang,2014,
Torches,Foster The People,Indie,Houdini,2011,
V,Adam Levine,Pop,Lost Stars,2014,
Hero,Maren Morris,Country,Rich,2016,
Title,Meghan Trainor,Pop,All About That Bass,2012,Bedroom speaker
Telling All My Secrets,Mitchell Tenpenny,Country,Drunk Me,2018,
After The Landslide,Matt Simons,Pop,Open Up,2019,
Elevate,Big Time Rush,Pop,Windows Down,2011,
Sex Pop,Alex Angel,Pop,Sex Pop,2019,
Brave Enough,Lindsey Stirling,House,Lost Girls,2016,
If I Know Me,Morgan Wallen,Country,The Way I Talk,2016,
Free Spirit,Khalid,Pop,Better,2018,
Telling All My Secrets,Mitchell Tenpenny,Country,Drunk Me,2018,Kitchen speaker
All The Little Lights,Passenger,Pop,Let Her Go,2010,
All The Little Lights,Passenger,Pop,Let Her Go,2010,Kitchen speaker
Lifers,Cody Jinks,Country,Must Be The Whiskey,2018,
Bigger,Sugarland,Country,Babe,2017,
Bigger,Sugarland,Country,Babe,2017,Bedroom speaker
My Everything,Ariana Grande,Pop,Be My Baby,2014,
My Everything,Ariana Grande,Pop,Best Mistake,2014,
The New Classic,Iggy Azalea,Pop,Black Widow,2014,
Nick Jonas,Nick Jonas,Pop,Chains,2014,
Quarter,Witwisit Hiranyawongkul,Pop,Fortunately I Met You,2014,
Pink Elephant,Russell Vitale,Pop,Goodbye,2014,
Dangerous Woman,Ariana Grande,Pop,Into You,2014,
Get Weird,Little Mix,Pop,Love Me Like You,2014,
My Everything,Ariana Grande,Pop,Be My Baby,2014,TV
Badlands,Halsey,Electropop,Colors,2015,
Badlands,Halsey,Electropop,Control,2015,
Badlands,Halsey,Electropop,Gasoline,2015,
Badlands,Halsey,Electropop,Ghost,2014,
Badlands,Halsey,Electropop,Hurricane,2014,
Badlands,Halsey,Electropop,Colors,2015,TV
We Need To Talk,Taylor Parks,Pop,I Want You,2019,
Safe Haven,Ruth B,Pop,Superficial Love,2015,
Redneck Crazy,Tyler Farr,Country,Redneck Crazy,2013,
Sick Boy,The Chainsmokers,Pop,Sick Boy,2018,
Stories,Avicii,Pop,Broken Arrows,2015,
Tell Me You Love Me,Cheat Codes,Pop,No Promises,2017,
Kill The Lights,Luke Bryan,Country,Strip It Down,2015,
Love Crimes,Super Sako,Pop,Mi Gna,2016,
La La Land,La La Land Cast,Soundtracks,Another Day Of Sun,2016,
Illuminate,Shawn Mendes,Pop,Bad Reputation,2016,
Dangerous Woman,Ariana Grande,Pop,Be Alright,2016,
Joytime,Marshmello,House,Blocks,2016,
Yours,Russell Dickerson,Country,Blue Tacoma,2016,
It Feel Good,Konshens,Reggae,Bruk Off Yuh Back,2016,
Cloud Nine,Kygo,Downtempo,Carry Me,2016,
Bollywood Monsoon Special,Meet Bros,South Asia,Cham Cham,2016,
Cold Water,Major Lazer,Electropop,Cold Water,2016,
King Of The Dancehall,Vybz Kartel,Reggae,Colouring This Life,2016,
La La Land,La La Land Cast,Soundtracks,Another Day Of Sun,2016,Kitchen speaker
The King Of Limbs,Radiohead,Electronica,Lotus Flower,2011,
Born This Way,Lady Gaga,Pop,Born This Way,2011,
Rearview Town,Jason Aldean,Country,Ride All Night,2018,
Cloud Nine,Kygo,Downtempo,Raging,2016,
Nayutan Sei Kara No Buttai Y,Nayutalien,Rock,Planet Loop,2016,
Handwritten,Shawn Mendes,Pop,Never Be Alone,2015,
Expectations,Bebe Rexha,Pop,I Got You,2010,
Rearview Town,Jason Aldean,Country,Girl Like You,2018,
Summer Anthems,Common Kings,Reggae,No Other Love,2013,
Illuminate,Shawn Mendes,Pop,Mercy,2010,
Handwritten,Shawn Mendes,Pop,Stitches,2015,
Illuminate,Shawn Mendes,Pop,Treat You Better,2016,
Handwritten,Shawn Mendes,Pop,Aftertaste,2015,Bedroom speaker
The End Is Where We Begin,Thousand Foot Krutch,Rock,Be Somebody,2012,
Transmissions,Starset,Rock,Carnivore,2013,
The End Is Where We Begin,Thousand Foot Krutch,Rock,Courtesy Call,2012,
Your Name,Radwimps,Rock,Dream Lantern,2016,
Sex Rock,Alex Angel,Rock,Easy World,2018,
Erase The Pain,Palisades,Rock,Erase The Pain,2018,
After Laughter,Paramore,Rock,Hard Times,2017,
Meliora,Ghost,Rock,He Is,2015,
The Story,Fivefold,Rock,Lost Within,2012,
Night Visions,Imagine Dragons,Rock,Radioactive,2012,
The Tattva Trip,Suraj Mani,Rock,The Tattva Trip,2012,
Origins,Shallow Side,Rock,Try To Fight It,2012,
The End Is Where We Begin,Thousand Foot Krutch,Rock,Courtesy Call,2012,Kitchen speaker
Summer House,Concorde,Pop,Just Kiss Her,2012,
Last Year Was Complicated,Nick Jonas,Pop,Under You,2016,
Lee Brice,Lee Brice,Country,Rumor,2017,
Chapters,Yuna,Pop,Crush,2016,
Beauty Marks,Ciara,Pop,Thinkin Bout You,2019,
Glory,Britney Spears,Pop,Slumber Party,2016,
Icarus Falls,Zayn Malik,Pop,Let Me,2018,
The Awakening,Onlap,Rock,The Awakening,2011,
Heroes,Sabaton,Metal,No Bullets Fly,2014,
Men Halati,Farfashah,Pop,Ouf Menuh Qalbi,2018,
Charice,Jake Zyrus,Pop,Pyramid,2010,
Amma Kanakku,Srinisha,South Asia,Maths Tough,2016,
Lindsey Stirling,Lindsey Stirling,Pop,Electric Daisy Violin,2011,
This Is Acting,Sia,Pop,Unstoppable,2016,
Elements,Ludovico Einaudi,Classical,Night,2015,
Fly,Karolina Protsenko,Pop,Girls Like You,2018,
Charice,Jake Zyrus,Pop,Pyramid,2010,Kitchen speaker
A Soe Htae Ka A Kaung,Kaung Kaung,Pop,Pyaw Nay Par,2018,
Only Love,Jordan Smith,Pop,Only Love,2018,
Ready,Ruel,Pop,Younger,2018,
Icarus Falls,Zayn Malik,Pop,Still Got Time,2017,
The Last Stand,Sabaton,Metal,The Lost Battalion,2016,
Icarus Falls,Zayn Malik,Pop,Satisfaction,2018,
A Soe Htae Ka A Kaung,Kaung Kaung,Pop,Pyaw Nay Par,2018,Kitchen speaker
Maza Mar Liya Dhori Ke Niche,Shailesh Premi,Country,Lahnga Lasar Ke,2019,
Maza Mar Liya Dhori Ke Niche,Shailesh Premi,Country,Lahnga Lasar Ke,2019,Kitchen speaker
The Mountain,Dierks Bentley,Country,Burning Man,2018,
Icarus Falls,Zayn Malik,Pop,Good Years,2018,
Flicker,Niall Horan,Folk,Slow Hands,2017,
Overthinking,Shy Martin,Pop,Lose You Too,2018,
Icona Pop,Icona Pop,Electropop,I Love It,2012,
Sick Boy,The Chainsmokers,Pop,Side Effects,2018,
Contraband,Madcon,Pop,Glow,2010,
The Mountain,Dierks Bentley,Country,Burning Man,2018,Kitchen speaker
My Everything,Ariana Grande,Pop,One Last Time,2014,
Lindsey Stirling,Lindsey Stirling,Pop,Crystallize,2012,
Wake Up Dreaming,Stephanie Mabey,Pop,The Zombie Song,2012,
One More Light,Linkin Park,Electropop,Battle Symphony,2017,
The Last Stand,Sabaton,Metal,Shiroyama,2016,
Love Town,Kolohe Kai,Reggae,First True Love,2011,
The Good Parts,Andy Grammer,Pop,Fresh Eyes,2016,
Dangerous Woman,Ariana Grande,Pop,Focus,2015,
My Everything,Ariana Grande,Pop,One Last Time,2014,Kitchen speaker
Last Daze Of Summer,Maleek Berry,Africa,Kontrol,2016,
Pop Food,Jack Stauber,Pop,Oh Klahoma,2017,
Yours,Russell Dickerson,Country,Yours,2015,
Sucker Punch,Sigrid,Pop,Business Dinners,2019,
It Goes Like This,Thomas Rhett,Country,It Goes Like This,2013,
Foundation,Shatta Wale,Reggae,Shatta Movement,2015,
La La Land,La La Land Cast,Soundtracks,Another Day Of Sun,2016,Bedroom speaker
Kaleidoscope Dream,Miguel,Pop,Adorn,2012,Bedroom speaker
Unapologetically,Kelsea Ballerini,Country,Miss Me More,2017,
Eric Ethridge,Eric Ethridge,Country,If You Met Me First,2018,
Dedicated,Carly Rae Jepsen,Pop,Now That I Found You,2019,
Purgatory,Tyler Childers,Country,White House Road,2016,
Thank You Happy Birthday,Cage The Elephant,Rock,Shake Me Down,2011,
Kuntry,Jawga Boyz,Country,All The Girls Wanna Ride,2011,
Slow Air,Still Corners,Pop,Black Lagoon,2018,
Bloom,Troye Sivan,Pop,Bloom,2018,
Narrated For You,Alec Benjamin,Pop,Boy In The Bubble,2018,
Piano Songs,Froggy Fresh,Pop,Boyfriend,2018,
Yours,Isak Danielson,Pop,Broken,2018,
Dzieciom,Lao Che,Rock,Wojenka,2015,Kitchen speaker
Mirrorwriting,Jamie Woon,Electronica,Lady Luck,2011,
The Martin Garrix Experience,Martin Garrix,House,Latency,2018,
Sex Rock,Alex Angel,Rock,My Donna,2018,
King Of Everything,Jinjer,Metal,Pisces,2016,
Undefined,Simply Three,Rock,Rain,2017,
Loser,Sasha Sloan,Pop,Older,2018,
Sing To Me Instead,Ben Platt,Pop,Ease My Mind,2019,
The Present Tense,Courier,Pop,San Francisco,2016,
A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Heal Me,2018,
Mirrorwriting,Jamie Woon,Electronica,Lady Luck,2011,Kitchen speaker
Gravity,Jason Chen,Pop,Best Friend,2011,
Gravity,Jason Chen,Pop,Music Never Sleeps,2011,
Gravity,Jason Chen,Pop,Best Friend,2011,Bedroom speaker
Happiness,Hurts,Pop,Wonderful Life,2010,
Happiness,Hurts,Pop,Wonderful Life,2010,Kitchen speaker
Avril Lavigne,Avril Lavigne,Pop,Hello Kitty,2013,
If I Know Me,Morgan Wallen,Country,Whiskey Glasses,2016,
You Should Be Here,Cole Swindell,Country,You Should Be Here,2015,
One More Light,Linkin Park,Electropop,Good Goodbye,2017,
Halcyon Days,Ellie Goulding,Pop,How Long Will I Love You,2010,
A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,2018,TV
Evolution,Disturbed,Rock,No More,2018,
Limitless,The Piano Guys,Classical,Perfect,2017,
Loud,Rihanna,Pop,California King Bed,2011,
Assume Form,James Blake,Pop,Barefoot In The Park,2019,
Narrated For You,Alec Benjamin,Pop,If I Killed Someone For You,2018,
Arcadia,Eurielle,Pop,Hate Me,2015,
The New Classic,Iggy Azalea,Pop,Work,2013,
Evolution,Disturbed,Rock,No More,2018,Kitchen speaker
Desperate Man,Eric Church,Country,Some Of It,2018,
So Good,Zara Larsson,Pop,I Would Like,2016,
Nightsky,Tracey Chattaway,Classical,Nightsky,2015,
Brett Young,Brett Young,Country,Like I Loved You,2017,
World Cry,Jah Cure,Reggae,Before I Leave,2010,Kitchen speaker
Loser,Sasha Sloan,Pop,Older,2018,Kitchen speaker
Magic,Ben Rector,Pop,Love Like This,2018,TV
Ruin Your Party,Scotty Sire,Pop,Take Me Away,2018,
Ruin Your Party,Scotty Sire,Pop,Take Me Away,2018,Bedroom speaker
Winter Collection,Sivik,Pop,High,2015,
Singular Act I,Sabrina Carpenter,Pop,Paris,2018,
Alkaline Masterpiece,Alkaline,Reggae,Pretty Girl Team,2017,
Bu Muhabbat,Shahzoda,Pop,Chicco,2013,
Raabta,Arijit Singh,South Asia,Ik Vaari Aa,2017,
The New Classic,Iggy Azalea,Pop,Bounce,2013,
The New Classic,Iggy Azalea,Pop,Change Your Life,2013,
The New Classic,Iggy Azalea,Pop,Black Widow,2014,Kitchen speaker
Stars Dance,Selena Gomez,Pop,Love Will Remember,2013,
For You,Selena Gomez,Pop,The Heart Wants What It Wants,2014,
Stars Dance,Selena Gomez,Pop,Love Will Remember,2013,TV
Holy Hell,Architects,Metal,Royal Beggars,2018,
Sick Boy,The Chainsmokers,Pop,Hope,2018,
Singular Act I,Sabrina Carpenter,Pop,Sue Me,2018,
You Know I Know,Olly Murs,Pop,Moves,2018,
Old Diary,La Min Phyu,Pop,Stage Show,2018,
Icarus Falls,Zayn Malik,Pop,Dusk Till Dawn,2017,
Love Yourself,Justin Bieber,Pop,Love Yourself,2015,
Purpose,Justin Bieber,Pop,Sorry,2010,
Journals,Justin Bieber,Pop,All That Matters,2013,Bedroom speaker
Kamayanbaghi,Hoba Hoba Spirit,Rock,Mchat,2018,
Joytime,Marshmello,House,Summer,2015,
My Everything,Ariana Grande,Pop,Break Free,2011,
The Beginning,Sammielz,Reggae,Let Us Be,2014,
Always In Between,Jess Glynne,Pop,Thursday,2018,
Kiss,Carly Rae Jepsen,Pop,Call Me Maybe,2011,
Dark Horse,Devin Dawson,Country,All On Me,2017,
Voicenotes,Charlie Puth,Pop,Attention,2017,
Love Always,Shane Filan,Pop,Beautiful In White,2017,
Pop Food,Jack Stauber,Pop,Buttercup,2017,
Odisea,Ozuna,Latin,El Farsante,2017,
Holo,Limbo,Pop,Airplane Mode,2017,Kitchen speaker
Infestissumam,Ghost,Metal,Year Zero,2013,
Caroline,Citizen Soldier,Rock,Let It Burn,2017,
Peace Of Mind,Rebelution,Reggae,So High,2011,
Barefoot Blue Jean Night,Jake Owen,Country,Alone With You,2011,
Bangarang,Skrillex,Soundtracks,Bangarang,2011,
Halcyon Days,Ellie Goulding,Pop,Beating Heart,2011,
Born This Way,Lady Gaga,Pop,Bloody Mary,2011,
Kuntry,Jawga Boyz,Country,All The Girls Wanna Ride,2011,TV
Bringing Back The Sunshine,Blake Shelton,Country,Sangria,2014,
Desperate Man,Eric Church,Country,Desperate Man,2018,
Tell Me You Love Me,Demi Lovato,Pop,Tell Me You Love Me,2017,
Instant Regrets,Instant Regrets,Rock,Instant Regret,2018,
Sucker Punch,Sigrid,Pop,Sucker Punch,2018,
Nine Track Mind,Charlie Puth,Pop,Dangerously,2016,
Contraband,Madcon,Pop,Glow,2010,Kitchen speaker
The Pains Of Growing,Alessia Cara,Pop,Out Of Love,2018,
The Pains Of Growing,Alessia Cara,Pop,Trust My Lonely,2018,
The Pains Of Growing,Alessia Cara,Pop,Trust My Lonely,2018,Kitchen speaker
Southeastern,Jason Isbell,Alternative Country,Cover Me Up,2013,
Southeastern,Jason Isbell,Alternative Country,Cover Me Up,2013,Bedroom speaker
Anesthetic,Mark Morton,Metal,Cross Off,2019,TV
Pure Heroine,Lorde,Electropop,Buzzcut Season,2013,
A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Always Remember Us This Way,2018,
Kiss,Carly Rae Jepsen,Pop,Call Me Maybe,2011,TV
Shoft El Ayam,Amr Diab,Middle Eastern,Ana Mosh Anani,2014,
Double Vision,Prince Royce,Pop,Back It Up,2015,
Pure Heroine,Lorde,Electropop,Team,2013,
Speak Now,Taylor Swift,Pop,The Story Of Us,2010,
Shatter Me,Lindsey Stirling,Pop,Shatter Me,2014,
Talk That Talk,Rihanna,Pop,Talk That Talk,2011,
Mint,Alice Merton,Pop,Why So Serious,2018,
Shoft El Ayam,Amr Diab,Middle Eastern,Ana Mosh Anani,2014,TV
After The Landslide,Matt Simons,Pop,Open Up,2019,Kitchen speaker
The Last Stand,Sabaton,Metal,Winged Hussars,2016,
The Last Stand,Sabaton,Metal,Shiroyama,2016,Kitchen speaker
Halcyon,Ellie Goulding,Pop,Burn,2012,
Maren Morris,Maren Morris,Country,My Church,2016,
Ana Keteer,Sherine,Pop,Ya Layali,2014,
Covers,Alec Chambers,Pop,Without Me,2018,
Black Widow,In This Moment,Metalcore,Big Bad Wolf,2014,
Evolution,Disturbed,Rock,No More,2018,Bedroom speaker
The End Is Where We Begin,Thousand Foot Krutch,Rock,Be Somebody,2012,Kitchen speaker
Narrated For You,Alec Benjamin,Pop,Gotta Be A Reason,2018,
Happiness Begins,Jonas Brothers,Pop,Sucker,2019,
True Believers,Darius Rucker,Country,Wagon Wheel,2013,
Thinking In Textures,Nick Murphy,Electronica,No Diggity,2012,
Honky Tonk Time Machine,George Strait,Country,Codigo,2018,
Try Again,Cindy Santos,Latin,Baby Sexy,2018,
Icarus Falls,Zayn Malik,Pop,There You Are,2018,
Icarus Falls,Zayn Malik,Pop,Let Me,2018,Bedroom speaker
Vessel,Twenty One Pilots,Pop,Fake You Out,2012,
Trench,Twenty One Pilots,Indietronica,Neon Gravestones,2018,
Vessel,Twenty One Pilots,Pop,Truce,2012,
Vessel,Twenty One Pilots,Pop,Fake You Out,2012,Kitchen speaker
Superman,Arash,Pop,One Day,2014,
The Bright Side,Lenka,Pop,Blue Skies,2015,
Unapologetic,Rihanna,Pop,Pour It Up,2012,
Unapologetic,Rihanna,Pop,Stay,2012,
Unapologetic,Rihanna,Pop,What Now,2012,
Unapologetic,Rihanna,Pop,Pour It Up,2012,TV
Pure Heroine,Lorde,Electropop,Tennis Court,2013,
Black Widow,In This Moment,Metalcore,Sex Metal Barbie,2014,
Blood,In This Moment,Metalcore,Whore,2012,
Mahandini,Dewa Budjana,Pop,Hyang Giri,2018,
You Get What You Give,Zac Brown Band,Country,Knee Deep,2010,
Big A Presents One Chance Riddim,Shenseea,Reggae,Time Up,2017,
Dedicated,Carly Rae Jepsen,Pop,Now That I Found You,2019,Bedroom speaker
When Was The Last Time,Darius Rucker,Country,If I Told You,2017,
When Was The Last Time,Darius Rucker,Country,If I Told You,2017,Kitchen speaker
Seventh Heaven,Ryutaro Nakahara,Anime,Din Don Dan,2015,
Summer Anthems,Common Kings,Reggae,No Other Love,2013,Kitchen speaker
Enredados,Alan Menken,Soundtracks,Kingdom Dance,2010,
My Dream,Karolina Protsenko,Pop,Despacito,2018,
Beautiful World,Connie Talbot,Pop,Count On Me,2012,
Elevate,Big Time Rush,Pop,Windows Down,2011,TV
A Star Is Born Soundtrack,Bradley Cooper,Soundtracks,Alibi,2018,
It Feel Good,Konshens,Reggae,Turn Me On,2017,
Red,Dia Frampton,Pop,Walk Away,2011,
Meliora,Ghost,Metal,Cirice,2015,Bedroom speaker
Kaleidoscope Dream,Miguel,Pop,Adorn,2012,TV
Spectrum,Westlife,Pop,Hello My Love,2019,
Happy Endings,Old Dominion,Country,Hotel Key,2017,
Ayo,Wizkid,Africa,Ojuelegba,2014,
Glory,Britney Spears,Pop,Slumber Party,2016,Bedroom speaker
Loud,Rihanna,Reggae,Man Down,2010,
Waves,Iakopo,Reggae,Never Letting Go,2019,
Dolla Van Riddim,Busy Signal,Reggae,Dolla Van,2018,
The Martin Garrix Experience,Martin Garrix,House,Ocean,2018,
Dance Again,Jennifer Lopez,Pop,Dance Again,2012,
Glory Sound Prep,Jon Bellion,Pop,Stupid Deep,2018,
Loud,Rihanna,Reggae,Man Down,2010,TV
Center Point Road,Thomas Rhett,Country,Look What God Gave Her,2019,
Happy Endings,Old Dominion,Country,Written In Sand,2017,
Raise Vibration,Lenny Kravitz,Rock,Low,2018,
Philharmonics,Agnes Obel,Folk,Riverside,2010,
Crazy,Ornette,Pop,Crazy,2011,
Center Point Road,Thomas Rhett,Country,Look What God Gave Her,2019,TV
California Sunrise,Jon Pardi,Country,Head Over Boots,2015,
Love Songs From A Lolita,Maty Noyes,Pop,New Friends,2018,
Limitless,The Piano Guys,Classical,Epiphany,2018,
Swim,Dan Snaith,Electropop,Sun,2010,
Night Train,Jason Aldean,Country,When She Says Baby,2012,
California Sunrise,Jon Pardi,Country,Head Over Boots,2015,TV
Euphoria,Enrique Iglesias,Pop,I Like It,2010,
Euphoria,Enrique Iglesias,Pop,Heartbeat,2010,Kitchen speaker
Cheap Smell,Sharon Kovacs,Pop,Cheap Smell,2018,
The Shocking Miss Emerald,Caro Emerald,Pop,Tangled Up,2013,
My Darkest Days,My Darkest Days,Rock,Porn Star Dancing,2010,
Odisea,Ozuna,Latin,El Farsante,2017,TV
The Satanist,Behemoth,Metal,O Father O Satan O Sun,2014,
Heroes,Sabaton,Metal,Night Witches,2014,TV
If I Know Me,Morgan Wallen,Country,Up Down,2018,
Sick Boy,The Chainsmokers,Pop,Everybody Hates Me,2018,
Sick Boy,The Chainsmokers,Pop,Somebody,2018,
Sick Boy,The Chainsmokers,Pop,Everybody Hates Me,2018,Bedroom speaker
Confident,Demi Lovato,Pop,Stone Cold,2015,
Confident,Demi Lovato,Pop,Stone Cold,2015,TV
This Is Acting,Sia,Pop,Bird Set Free,2015,
Expectations,Bebe Rexha,Pop,Knees,2018,
Sing To Me Instead,Ben Platt,Pop,Temporary Love,2019,
Blood,In This Moment,Metalcore,Adrenalize,2012,
Blood,In This Moment,Metalcore,Blood,2012,
Blood,In This Moment,Metalcore,Adrenalize,2012,TV
Lazy Genius,Ayo Jay,Reggae,Let Him Go,2018,
California Sunrise,Jon Pardi,Country,Night Shift,2016,
Awake,Illenium,Dubstep,Free Fall,2017,
Current Mood,Dustin Lynch,Country,Small Town Boy,2017,
Lazy Genius,Ayo Jay,Reggae,Let Him Go,2018,TV
Higher,Albert Posis,Pop,Serendipity,2012,
Jade Eagleson,Jade Eagleson,Country,Got Your Name On It,2018,
V,Adam Levine,Pop,Lost Stars,2014,TV
Where We Come From,Popcaan,Reggae,Addicted,2014,
Shatter Me,Lindsey Stirling,Pop,Roundtable Rival,2014,
Blues Of Desperation,Joe Bonamassa,Blues,Drive,2016,
Your Name,Radwimps,Soundtracks,Sparkle,2016,
Beautiful World,Connie Talbot,Pop,Count On Me,2012,Kitchen speaker
Expectations,Hayley Kiyoko,Pop,What I Need,2018,
Cry Pretty,Carrie Underwood,Pop,The Champion,2018,
Thank You,Meghan Trainor,Pop,Kindly Calm Me Down,2016,TV
Bloom,Troye Sivan,Pop,Lucky Strike,2018,
Sunset Season,Conan Gray,Pop,Generation Why,2018,
Good Company,The Dead South,Folk,Banjo Odyssey,2013,
Avril Lavigne,Avril Lavigne,Pop,Let Me Go,2013,
The Black,Asking Alexandria,Metalcore,The Black,2016,
Home State,Jordan Davis,Country,Singles You Up,2017,
Desperate Man,Eric Church,Country,Some Of It,2018,Bedroom speaker
Sing To Me Instead,Ben Platt,Pop,Bad Habit,2019,
Spectrum,Westlife,Pop,Better Man,2019,
Honky Tonk Time Machine,George Strait,Country,Every Little Honky Tonk Bar,2019,
Sing To Me Instead,Ben Platt,Pop,Grow As We Go,2019,
Sing To Me Instead,Ben Platt,Pop,Bad Habit,2019,Bedroom speaker
Frozen,Josh Gad,Soundtracks,In Summer,2013,
