location,number_of_rooms,phone_number,place_name,price_per_night,smoking_allowed,star_rating,street_address,check_in_date,stay_length
Seattle,,+1 206-596-2302,Even Hotel Seattle Downtown - Lake Union,138,FALSE,3,527 Fairview Avenue North,,
Seattle,,+1 206-448-9444,Executive Inn By The Space Needle,87,FALSE,3,200 Taylor Avenue North,,
Seattle,,+1 206-282-2600,Four Points By Sheraton Downtown Seattle Center,288,FALSE,3,601 Roy Street,,
Seattle,,+1 206-634-2000,Graduate Seattle,189,FALSE,3,4507 Brooklyn Avenue Northeast,,
Seattle,,+1 206-282-7700,Hampton Inn & Suites Seattle-Downtown,228,FALSE,3,700 5th Avenue North,,
Seattle,,+1 206-467-7770,Hilton Garden Inn Seattle Downtown,234,FALSE,3,1821 Boren Avenue,,
Seattle,,+1 206-624-0500,Hilton Seattle,261,FALSE,3,1301 6th Avenue,,
New York,,+1 212-235-1111,11 Howard,66,TRUE,3,11 Howard Street,,
New York,,+1 718-631-5900,Adria Hotel & Conference Center,210,TRUE,3,"221-17 Northern Boulevard, Bayside",,
New York,,+1 212-749-4000,Aloft Harlem,111,FALSE,3,2296 Frederick Douglass Boulevard,,
New York,,+1 718-433-9305,Aloft Long Island City-Manhattan View,252,FALSE,3,"27-45 Jackson Avenue, Long Island City, NY 11101, USA",,
New York,,+1 212-513-0003,Aloft Manhattan Downtown - Financial District,78,FALSE,3,49-53 Ann Street,,
New York,,+1 718-256-3833,Aloft New York Brooklyn,234,FALSE,3,"216 Duffield Street, Brooklyn, NY 11201, USA",,
New York,,+1 718-512-0248,Aloft New York Laguardia Airport,225,FALSE,3,"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,
New York,,+1 212-247-5000,Ameritania At Times Square,174,FALSE,3,230 West 54th Street #5502,,
New York,,+1 212-459-1000,Amsterdam Court Hotel,198,TRUE,3,226 West 50th Street,,
New York,,+1 212-245-7000,Belvedere Hotel,63,FALSE,3,319 West 48th Street,,
London,,+44 20 7402 0281,Abbey Court Hotel (Hyde Park),174,TRUE,3,Sussex Gardens,,
London,,+44 20 7834 0205,Airways Hotel London Victoria,270,TRUE,3,29-31 Saint George's Drive,,
London,,+44 20 3953 4251,Assembly Hotel London,216,TRUE,3,27 - 31 Charing Cross Road,,
London,,+44 20 7221 2220,Berjaya Eden Park Hotel,132,TRUE,3,35-39 Inverness Terrace,,
London,,+44 333 003 4239,Best Western Mornington Hotel,456,TRUE,4,12 Lancaster Gate,,
London,,+44 333 003 5239,Best Western Swiss Cottage Hotel,306,TRUE,3,4 Adamson Road,,
London,,+44 871 222 0042,Britannia International Hotel,288,TRUE,4,Marsh Wall,,
London,,+44 20 7262 0537,Central London Budget Hotel,124,TRUE,2,12 Westbourne Street,,
London,,+44 20 7233 6636,Comfort Inn Victoria London,225,TRUE,3,18-24 Belgrave Road,,
Delhi,,+91 11 4565 0000,Aloft New Delhi Aerocity,110,FALSE,5,"5B IGI T3 Road Delhi, Aerocity, New Delhi",,
Delhi,,+91 11 4903 1234,Andaz Delhi - A Concept By Hyatt,175,FALSE,5,"Asset No.1, Aerocity, New Delhi",,
Delhi,,+91 11 4122 5666,Bloomrooms @ New Delhi Railway Station,117,TRUE,3,"Railway Station, 8591, Arakashan Road, opp. New Delhi, Paharganj, New Delhi",,
Delhi,,+91 11 4103 4591,Calista Resort,81,TRUE,3,"37/2-4 Old, National Highway 48, Kapas Hera, New Delhi",,
Delhi,,+91 11 4110 2222,Crowne Plaza New Delhi Mayur Vihar Noida,88,TRUE,4,"13 B, District Centre, Mayur Vihar, New Delhi",,
Delhi,,+91 11 4646 2000,Crowne Plaza New Delhi Okhla,120,TRUE,5,"Plot No 1, Community Center, Okhla Phase I, New Delhi",,
Delhi,,+91 124 419 6666,Fortune Select Global - Hotel In Gurgaon,468,TRUE,4,"Global Arcade, Mehrauli-Gurgaon Road, Gurugram, Haryana 122002, India",,
Delhi,,+91 11 6604 0000,"Four Points By Sheraton New Delhi, Airport Highway",264,FALSE,4,"Plot no 9, National Highway - 8, Samalka, New Delhi",,
Delhi,,+91 11 2326 1000,Haveli Dharampura,256,TRUE,4,"2293, Dharampura, Gali Gulian, Jama Masjid, Chandni Chowk, Old",,
Delhi,,+91 11 3919 1919,Hilton Garden Inn New Delhi/Saket,432,TRUE,4,"A4, DLF Place, Saket District Centre, New Delhi",,
Delhi,,+91 11 4565 0000,Aloft New Delhi Aerocity,420,FALSE,5,"5B IGI T3 Road Delhi, Aerocity, New Delhi",,
Delhi,,+91 11 4903 1234,Andaz Delhi - A Concept By Hyatt,340,FALSE,5,"Asset No.1, Aerocity, New Delhi",,
Delhi,,+91 11 4122 5666,Bloomrooms @ New Delhi Railway Station,225,TRUE,3,"Railway Station, 8591, Arakashan Road, opp. New Delhi, Paharganj, New Delhi",,
Delhi,,+91 11 4103 4591,Calista Resort,234,TRUE,3,"37/2-4 Old, National Highway 48, Kapas Hera, New Delhi",,
Delhi,,+91 11 4110 2222,Crowne Plaza New Delhi Mayur Vihar Noida,216,TRUE,4,"13 B, District Centre, Mayur Vihar, New Delhi",,
Delhi,,+91 11 4646 2000,Crowne Plaza New Delhi Okhla,370,TRUE,5,"Plot No 1, Community Center, Okhla Phase I, New Delhi",,
Sydney,,+61 2 9265 8888,1831 Boutique Hotel,225,TRUE,3,631-635 George Street,,
Sydney,,+61 2 9102 2828,28 Hotel Sydney,312,FALSE,4,"28 Regent Street, Chippendale New South Wales 2008, Australia",,
Sydney,,+61 2 9011 5757,57 Hotel,272,FALSE,4,"57 Foveaux Street, Surry Hills New South Wales 2010, Australia",,
Sydney,,+61 2 9300 4800,Adina Apartment Hotel Bondi Beach Sydney,408,FALSE,4,"69/73 Hall Street, Bondi Beach New South Wales 2026, Australia",,
Sydney,,+61 2 9578 6000,Adina Apartment Hotel Coogee Sydney,84,FALSE,4,"183 Coogee Bay Road, Coogee New South Wales 2034, Australia",,
Sydney,,+61 2 9381 2000,Adina Apartment Hotel Sydney Airport,132,FALSE,4,"17 Bourke Road, Mascot New South Wales 2020, Australia",,
Sydney,,+61 2 8396 9800,Adina Apartment Hotel Sydney Central,252,FALSE,4,"2 Lee Street, Haymarket New South Wales 2000, Australia",,
Sydney,,+61 2 9249 7000,Adina Apartment Hotel Sydney Darling Harbour,432,TRUE,4,55 Shelley Street,,
Sydney,,+61 2 8302 1000,Adina Apartment Hotel Sydney Surry Hills,124,TRUE,4,"359 Crown Street, Surry Hills New South Wales 2010, Australia",,
Sydney,,+61 2 9274 0000,Adina Apartment Hotel Sydney Town Hall,276,FALSE,4,511 Kent Street,,
London,,+44 20 7247 3313,Arbor City Hotel,222,FALSE,3,12-20 Osborn Street,,
London,,+44 20 7402 5447,Ascot Hyde Park Hotel,198,FALSE,3,11 Craven Road,,
London,,+44 20 7636 4133,Astor Court Hotel,261,FALSE,3,"20 Hallam Street, Oxford Circus",,
London,,+44 20 7244 5700,Avni Kensington Hotel,84,FALSE,3,40-44 Harrington Gardens,,
London,,+44 20 7727 8621,Bayswater Inn Hotel,234,FALSE,3,8-16 Prince's Square,,
Los Angeles,,+1 323-852-7000,Ac Hotel By Marriott Beverly Hills,75,FALSE,3,6399 Wilshire Boulevard,,
Los Angeles,,+1 818-997-7676,Airtel Plaza Hotel,270,FALSE,3,"7277 Valjean Avenue, Van Nuys, California 91406, United States",,
Los Angeles,,+1 818-765-2900,Best Western Burbank Airport Inn,96,FALSE,3,"7615 Lankershim Boulevard, North Hollywood, California 91605, United States",,
Los Angeles,,+1 310-514-1414,Best Western Plus San Pedro Hotel & Suites,198,FALSE,3,"111 South Gaffey Street, San Pedro, CA 90731, USA",,
Los Angeles,,+1 310-556-2777,Courtyard By Marriott Los Angeles Century City/Beverly Hills,243,FALSE,3,10320 West Olympic Boulevard,,
Los Angeles,,+1 213-443-9222,Courtyard By Marriott Los Angeles L.A. Live,216,FALSE,3,901 West Olympic Boulevard,,
Los Angeles,,+1 310-649-1400,Courtyard By Marriott Los Angeles Lax/Century Boulevard,162,FALSE,3,6161 West Century Boulevard,,
Los Angeles,,+1 818-981-5400,Courtyard By Marriott Los Angeles Sherman Oaks,324,FALSE,3,"15433 Ventura Boulevard, Sherman Oaks, CA 91403, USA",,
Los Angeles,,+1 310-519-8200,Crowne Plaza Los Angeles Harbor Hotel,252,FALSE,3,"601 South Palos Verdes Street, San Pedro, California 90731, United States",,
Los Angeles,,+1 310-514-3344,Doubletree By Hilton Hotel San Pedro - Port Of Los Angeles,234,FALSE,3,"2800 Via Cabrillo-Marina, San Pedro, CA 90731, USA",,
Chicago,,+1 312-981-6600,Ac Hotel By Marriott Chicago Downtown,324,FALSE,3,630 North Rush Street,,
Chicago,,+1 312-894-0800,Acme Hotel Company,180,TRUE,3,15 East Ohio Street,,
Chicago,,+1 312-661-1000,Aloft Chicago Downtown River North,75,FALSE,3,515 North Clark Street,,
Chicago,,+1 312-429-6600,Aloft Chicago Mag Mile,252,FALSE,3,243 East Ontario Street,,
Chicago,,+1 312-467-0800,Best Western River North Hotel,198,FALSE,3,125 West Ohio Street,,
Chicago,,+1 773-288-5800,Chicago Lake Shore Hotel,198,TRUE,3,4900B South Lake Shore Drive #3250,,
Chicago,,+1 312-491-1234,Chicago Marriott At Medical District/Uic,63,FALSE,3,"625 South Ashland Avenue At, West Harrison Street",,
Chicago,,+1 773-693-4444,Chicago Marriott O'Hare,84,FALSE,3,8535 West Higgins Road,,
Chicago,,+1 312-225-7000,Chicago South Loop Hotel,180,TRUE,3,11 West 26th Street,,
Chicago,,+1 312-776-2509,Comfort Suites Michigan Avenue - Loop,117,FALSE,3,320 North Michigan Avenue,,
Washington D.C.,,+1 202-337-6620,Arc The. Hotel Washington D.C.,180,FALSE,3,"824 New Hampshire Avenue Northwest, Washington, DC 20037, USA",,
Washington D.C.,,+1 202-299-1188,"Cambria Hotel Washington, D.C. Convention Center",60,FALSE,3,"899 O Street Northwest, Washington, DC 20001, USA",,
Washington D.C.,,+1 202-543-6000,Capitol Hill Hotel,96,FALSE,3,"200 C Street Southeast, Washington, DC 20003, USA",,
Washington D.C.,,+1 202-463-6400,"Club Quarters Hotel In Washington, D.C.",138,FALSE,3,"839 17th Street Northwest, Washington, District of Columbia 20006, United States",,
Washington D.C.,,+1 202-682-5300,Comfort Inn Downtown Dc/Convention Center,156,FALSE,2,"1201 13th Street Northwest, Washington, District of Columbia 20005, United States",,
Washington D.C.,,+1 202-479-0027,Courtyard By Marriott Washington Capitol Hill/Navy Yard,189,FALSE,3,"140 L Street Southeast, Washington, DC 20003, USA",,
Washington D.C.,,+1 202-589-1800,Courtyard By Marriott Washington Downtown/Convention Center,225,FALSE,3,"901 L Street Northwest, Washington, DC 20001, USA",,
Washington D.C.,,+1 202-332-9300,"Courtyard By Marriott Washington, Dc/Dupont Circle",234,FALSE,3,"1900 Connecticut Avenue Northwest, Washington, DC 20009, USA",,
Washington D.C.,,+1 202-296-5700,"Courtyard By Marriott Washington, Dc/Foggy Bottom",189,FALSE,3,"515 20th Street Northwest, Washington, DC 20006, USA",,
Washington D.C.,,+1 202-244-5600,Days Inn By Wyndham Washington Dc/Connecticut Avenue,120,FALSE,2,"4400 Connecticut Avenue Northwest, Washington, District of Columbia 20008, United States",,
London,,+44 20 7581 0103,Astor Hyde Park Hostel,90,FALSE,1,191 Queen's Gate,,
London,,+44 20 7834 3077,Astor Victoria Hostel,48,FALSE,1,"Victoria Hotel, 71 Belgrave Road",,
London,,+44 20 7183 9400,Clink261,90,FALSE,1,261-265 Grays Inn Road,,
London,,+44 20 7706 9911,Easyhotel London Paddington,23,FALSE,1,10 Norfolk Place,,
London,,+44 20 7834 1379,Easyhotel London Victoria,60,FALSE,1,34-40 Belgrave Road,,
London,,+44 20 7456 0400,Point A Hotel London - Liverpool Street,102,FALSE,1,13-15 Folgate Street,,
London,,+44 20 7633 9317,Point A Hotel London - Westminster,84,FALSE,1,118-120 Westminster Bridge Road,,
London,,+44 20 7229 0000,Smart Hyde Park Inn Hostel,22,FALSE,1,48-50 Inverness Terrace,,
London,,+44 20 7262 8684,Smart Hyde Park View Hostel,93,FALSE,1,16 Leinster Terrace,,
Los Angeles,,+1 323-469-2500,Banana Bungalow Hollywood,21,TRUE,1,"5920 Hollywood Boulevard, Hollywood, California 90028, United States",,
Los Angeles,,+1 323-851-1800,Best Western Hollywood Plaza Inn,168,FALSE,2,"2011 North Highland Avenue, Hollywood, CA 90068, USA",,
Los Angeles,,+1 310-834-3400,Best Western Los Angeles Worldport Hotel,210,FALSE,2,"1402 West Pacific Coast Highway, Wilmington, CA 90744, USA",,
Los Angeles,,+1 323-464-5181,Best Western Plus Hollywood Hills Hotel,80,FALSE,2,"6141 Franklin Avenue, Hollywood, California 90028, United States",,
Los Angeles,,+1 310-553-6561,Beverly Hills Marriott,152,FALSE,4,1150 South Beverly Drive,,
Los Angeles,,+1 800-947-7666,Beverly Laurel Motor Hotel,120,TRUE,2,8018 Beverly Boulevard,,
Anaheim,,+1 714-635-8070,Alamo Inn & Suites,52,FALSE,2,1140 West Katella Avenue,,
Anaheim,,+1 714-772-5050,Anaheim Desert Inn And Suites,150,FALSE,2,1600 South Harbor Boulevard,,
Anaheim,,+1 714-774-0950,Anaheim Executive Inn,92,TRUE,2,1800 Lincoln Avenue,,
Anaheim,,+1 714-778-6565,Anaheim Islander Inn And Suites,156,FALSE,2,424 West Katella Avenue,,
Anaheim,,+1 714-778-1700,Anaheim Majestic Garden Hotel,207,FALSE,3,900 South Disneyland Drive,,
Anaheim,,+1 714-782-7600,Anaheim Portofino Inn & Suites,111,FALSE,3,1831 South Harbor Boulevard,,
Anaheim,,+1 714-634-2106,Ayres Hotel Anaheim,243,TRUE,3,2550 East Katella Avenue,,
Anaheim,,+1 714-774-1050,Best Western Plus Anaheim Inn,279,FALSE,3,1630 South Harbor Boulevard,,
Anaheim,,+1 714-776-4800,Best Western Plus Park Place Inn - Mini Suites,132,FALSE,3,1544 South Harbor Boulevard,,
Anaheim,,+1 714-776-0140,Best Western Plus Pavilions,76,FALSE,1,1176 West Katella Avenue,,
Washington D.C.,,+1 202-299-1188,"Cambria Hotel Washington, D.C. Convention Center",204,FALSE,3,"899 O Street Northwest, Washington, DC 20001, USA",,
Washington D.C.,,+1 202-543-6000,Capitol Hill Hotel,261,FALSE,3,"200 C Street Southeast, Washington, DC 20003, USA",,
Chicago,,+1 773-929-5380,Chicago Getaway Hostel,105,FALSE,1,616 West Arlington Place,,
Chicago,,+1 312-521-8000,Soho House Chicago,102,FALSE,1,113-125 North Green Street,,
London,,+44 20 7702 2020,Apex City Of London Hotel,296,FALSE,4,1 Seething Lane,,
London,,+44 20 7562 3030,Apex London Wall Hotel,348,FALSE,4,7-9 Copthall Avenue,,
London,,+44 20 3004 4141,Apex Temple Court Hotel,276,FALSE,4,"1-2, Serjeant's Inn",,
Nairobi,,+254 719 096000,Crowne Plaza Nairobi,240,FALSE,4,"Kenya Road, Upper Hill",,
Nairobi,,+254 709 090000,Doubletree By Hilton Nairobi Hurlingham,240,FALSE,4,Ngong Lane Ngong Road,,
Nairobi,,+254 709 760000,Four Points By Sheraton Nairobi Airport,136,FALSE,4,"9042/1044 Tower Avenue Jomo Kenyatta Intl Airport, Kenya",,
Nairobi,,+254 20 4075000,Hilton Garden Inn Nairobi Airport,200,FALSE,4,Jomo Kenyatta International Airport Mombasa Road,,
Nairobi,,+254 709 548000,MoVenpick Hotel & Residences Nairobi,312,TRUE,4,Mkungu Close,,
Nairobi,,+254 709 498000,Park Inn By Radisson Nairobi Westlands,312,FALSE,4,Waiyaki Way,,
Nairobi,,+254 709 111000,Sarova Panafric - Hotel In Nairobi,300,TRUE,4,Along Valley Road,,
Nairobi,,+254 709 240000,Tamarind Tree Hotel,168,TRUE,4,"Nairobi, Kenya",,
Nairobi,,+254 20 7250000,Trademark Hotel,324,TRUE,4,Limuru Road,,
New York,,+1 347-696-2500,1 Hotel Brooklyn Bridge,465,TRUE,5,"60 Furman Street, Brooklyn",,
New York,,+1 212-703-2001,1 Hotel Central Park,510,TRUE,5,1414 6th Avenue,,
New York,,+1 212-204-3000,6 Columbus - Central Park Hotel,176,TRUE,4,308 West 58th Street,,
New York,,+1 212-398-2700,Ac Hotel New York Times Square,276,FALSE,4,260 West 40th Street,,
New York,,+1 212-679-2222,Ace Hotel,396,FALSE,4,20 West 29th Street,,
New York,,+1 646-744-3100,Aka Central Park,324,FALSE,4,42 West 58th Street,,
New York,,+1 212-752-8888,Aka Sutton Place,104,TRUE,4,330 East 56th Street,,
New York,,+1 212-764-5700,Aka Times Square,120,FALSE,4,123 West 44th Street,,
Rio de Janeiro,,+55 21 2548-0011,Atlantico Copacabana Hotel,174,FALSE,2,"Rua Siqueira Campos, 90 - Copacabana",,
Rio de Janeiro,,+55 21 3609-3500,Best Western Plus Copacabana Design Hotel,120,FALSE,4,"Rua Barata Ribeiro, 173 - Copacabana",,
Rio de Janeiro,,+55 21 2257-1990,Clh Suites Copacabana Domingos Ferreira,342,TRUE,3,"Rua Domingos Ferreira, 71 - Copacabana",,
Rio de Janeiro,,+55 21 3202-9450,Copa Sul Hotel,78,FALSE,3,"Avenida Nossa Senhora de Copacabana, 1284 - Copacabana",,
Rio de Janeiro,,+55 800 600 0995,Everest Rio Hotel,248,TRUE,4,"Rua Prudente de Morais, 1117 - Ipanema",,
Rio de Janeiro,,+55 21 2526-6600,Granada Hotel,96,TRUE,3,"Avenida Gomes Freire, 530 - Centro",,
Rio de Janeiro,,+55 21 2153-1800,Grand Mercure Rio De Janeiro Riocentro,145,FALSE,5,"Avenida Salvador Allende, 6555 - Barra da Tijuca",,
Rio de Janeiro,,+55 21 3348-1000,Hilton Barra Rio De Janeiro,260,TRUE,5,"Avenida Embaixador Abelardo Bueno, 1430",,
Rio de Janeiro,,+55 21 2042-2730,Hotel Atlantico Tower,210,TRUE,3,"Rua Visconde de Inhauma, 95 - Centro",,
Rio de Janeiro,,+55 21 2548-6252,Hotel Bandeirantes,108,FALSE,3,"Rua Barata Ribeiro, 548 - Copacabana",,
Rio de Janeiro,,+55 21 3218-1150,Hotel Ibis Copacabana Posto 2,162,FALSE,3,"Rua Ministro Viveiros de Castro, 134 - Copacabana",,
Rio de Janeiro,,+55 21 3289-9999,Hotel Regina,342,FALSE,3,"Rua Ferreira Viana, 29 - Flamengo",,
Rio de Janeiro,,+55 21 2125-0200,Hotel Savoy Othon,342,FALSE,3,"Avenida Nossa Senhora de Copacabana, 995 - Copacabana",,
Rio de Janeiro,,+55 21 3721-2900,Ibis Copacabana Posto 5,105,FALSE,3,"Rua Xavier da Silveira, 82 - Copacabana",,
Rio de Janeiro,,+55 21 3721-7500,Ibis Rio De Janeiro Barra Da Tijuca,324,FALSE,3,"Avenida Gilberto Amado, 41 - Barra da Tijuca",,
San Diego,,+1 858-488-0551,Bahia Resort Hotel,144,FALSE,3,998 West Mission Bay Drive,,
San Diego,,+1 619-275-5700,Best Western Mission Bay,50,FALSE,2,2575 Clairemont Drive,,
San Diego,,+1 619-233-7500,Best Western Plus Bayside Inn,225,TRUE,3,555 West Ash Street,,
San Diego,,+1 619-298-4707,Best Western Plus Hacienda Hotel Old Town,144,FALSE,3,4041 Harney Street,,
San Diego,,+1 619-222-0561,Best Western Plus Island Palms Hotel & Marina,108,FALSE,3,2051 Shelter Island Drive,,
San Diego,,+1 858-578-6600,Best Western San Diego/Miramar Hotel,88,FALSE,2,9310 Kearny Mesa Road,,
San Diego,,+1 619-291-1300,Best Western Seven Seas,225,FALSE,3,411 Hotel Circle South,,
San Diego,,+1 619-224-3254,Best Western Yacht Harbor Hotel,58,FALSE,2,5005 North Harbor Drive,,
San Diego,,+1 858-488-4700,Blue Sea Beach Hotel,93,FALSE,3,707 Pacific Beach Drive,,
San Diego,,+1 858-488-1081,Catamaran Resort Hotel And Spa,200,FALSE,4,3999 Mission Boulevard,,
Chicago,,+1 312-764-1919,Ace Hotel Chicago,96,FALSE,4,311 North Morgan Street,,
Chicago,,+1 312-787-3700,Ambassador Chicago,176,FALSE,4,1301 North State Parkway,,
Chicago,,+1 312-787-6000,Cambria Hotel Chicago Magnificent Mile,128,FALSE,4,166 East Superior Street,,
Chicago,,+1 312-940-3552,Chicago Athletic Association,144,TRUE,4,12 South Michigan Avenue,,
Chicago,,+1 312-836-0100,Chicago Marriott Downtown Magnificent Mile,444,FALSE,4,540 North Michigan Avenue,,
Chicago,,+1 312-829-5000,Crowne Plaza Chicago West Loop,468,FALSE,4,25 South Halsted Street,,
Chicago,,+1 773-686-8000,Hilton Chicago O'Hare Airport,152,FALSE,4,10000 West O'Hare Avenue,,
Chicago,,+1 312-664-1100,Hilton Chicago/Magnificent Mile Suites,120,FALSE,4,198 East Delaware Place,,
Chicago,,+1 312-915-0000,"Hotel Emc2, Autograph Collection",92,TRUE,4,228 East Ontario Street,,
Chicago,,+1 312-447-3440,Hotel Felix,136,TRUE,4,111 West Huron Street,,
Kuala Lumpur,,+60 3-2268 3888,Alila Bangsar,250,FALSE,5,"East Side, 58, Jalan Ang Seng, Brickfields, 50470",,
Kuala Lumpur,,+60 3-2723 1188,Aloft Kuala Lumpur Sentral,88,FALSE,4,"No. 5, Jalan Stesen Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan",,
Kuala Lumpur,,+60 3-2141 2000,Alpha Genesis Hotel,144,TRUE,3,"45, Tengkat Tong Shin, Bukit Bintang, 50200 Kuala Lumpur, Wilayah Persekutuan",,
Kuala Lumpur,,+60 3-2026 6060,Ancasa Hotel & Spa Kuala Lumpur,81,TRUE,3,"Jalan Tun Tan Cheng Lock, City Centre, 50500 Kuala Lumpur, Wilayah Persekutuan",,
Kuala Lumpur,,+60 3-2078 0988,Arenaa Star Hotel,180,FALSE,3,"49-51, Jalan Hang Lekiu, 50100",,
Kuala Lumpur,,+60 3-2113 1888,Banyan Tree Kuala Lumpur,310,TRUE,5,"2, Jalan Conlay, 50450 Kuala Lumpur, Wilayah Persekutuan",,
Kuala Lumpur,,+60 3-2386 0888,Capri By Fraser Kuala Lumpur,112,TRUE,4,"5, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur, Wilayah Persekutuan",,
Kuala Lumpur,,+60 3-2143 1111,Ceria Hotel Bukit Bintang,132,TRUE,2,"270, Jalan Changkat Thambi Dollah, Pudu, 55100 Wilayah Persekutuan, Wilayah Persekutuan",,
Kuala Lumpur,,+60 3-2693 2999,Citin Hotel Masjid Jamek,111,TRUE,3,"33, Jalan Melayu, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan",,
Kuala Lumpur,,+60 3-2296 1188,Cititel Mid Valley,144,TRUE,3,"Lingkaran Syed Putra, Mid Valley City, 59200",,
Sacramento,,+1 916-929-7900,Courtyard By Marriott Sacramento Cal Expo,102,FALSE,3,1782 Tribute Road,,
Sacramento,,+1 916-455-6800,Courtyard By Marriott Sacramento Midtown,180,FALSE,3,4422 Y Street,,
Sacramento,,+1 916-929-8855,Doubletree By Hilton Hotel Sacramento,90,FALSE,3,2001 Point West Way,,
Sacramento,,+1 916-326-5000,Embassy Suites By Hilton Sacramento Riverfront Promenade,126,FALSE,3,100 Capitol Mall,,
Sacramento,,+1 916-263-9000,Four Points By Sheraton Sacramento International Airport,156,FALSE,3,4900 Duckhorn Drive,,
