account_balance,account_type,recipient_account_type,recipient_name,transfer_amount,transfer_time
,savings,checking,Li,1180,3
5749.54,savings,,,,
,savings,checking,uncle Richard,1750,3
16643.56,savings,,,,
,savings,checking,Philip,570,3
10829.39,savings,,,,
,savings,savings,Philip,420,3
20175.62,checking,,,,
11493.88,savings,,,,
,savings,checking,Jasbir,470,3
7326.66,checking,,,,
,checking,savings,Justin,530,3
20166.46,savings,,,,
6243.11,checking,,,,
,checking,checking,aunt Jenny,1110,1
18012.69,checking,,,,
,checking,checking,Grace,1790,1
14774.69,savings,,,,
,savings,checking,Li,1760,3
8844.18,savings,,,,
,savings,savings,Jasbir,900,3
20252.51,savings,,,,
13950.55,checking,,,,
,checking,checking,Philip,690,1
4134.4,savings,,,,
,savings,checking,Yumi,1170,3
22666.15,savings,,,,
,savings,checking,Jasbir,1400,3
16313.89,savings,,,,
,savings,checking,uncle Richard,310,3
7807.23,savings,,,,
,savings,savings,Yumi,1290,3
5137.56,checking,,,,
,checking,checking,Mahmoud,470,1
497.32,savings,,,,
,savings,savings,Dad,20,3
18149.68,savings,,,,
6335.8,checking,,,,
,checking,checking,Kagiso,1380,1
6628.55,savings,,,,
20583.82,checking,,,,
,checking,checking,Li,50,1
20155.29,checking,,,,
,checking,savings,Grace,1760,3
3136.7,savings,,,,
4418.53,checking,,,,
,checking,checking,Diego,850,1
10041.51,savings,,,,
,savings,checking,Yumi,350,3
8771.23,savings,,,,
,savings,checking,Philip,1310,3
23377.57,savings,,,,
,savings,savings,Li,370,3
15559.71,checking,,,,
,checking,checking,Philip,140,1
21133.64,savings,,,,
,savings,checking,Dad,160,3
2238.63,savings,,,,
22602.19,checking,,,,
,checking,checking,Justin,570,1
21117.84,savings,,,,
,savings,savings,Mom,120,3
2832.14,checking,,,,
,checking,checking,Jasbir,710,1
18657.31,savings,,,,
13506.79,checking,,,,
,checking,checking,Jasbir,1440,1
16950.67,savings,,,,
20612.43,checking,,,,
,checking,savings,Kagiso,850,3
21836.31,checking,,,,
,checking,savings,Mahmoud,1670,3
13216.83,checking,,,,
8553.56,checking,,,,
,checking,checking,Mom,70,1
18615.73,checking,,,,
24763.56,savings,,,,
,savings,checking,Mahmoud,1100,3
15914.54,checking,,,,
17894.32,savings,,,,
,savings,dontcare,Li,1790,3
13536.44,savings,,,,
,savings,checking,Diego,260,3
24198.26,checking,,,,
,checking,checking,Mahmoud,1680,1
12439.68,checking,,,,
,checking,savings,uncle Richard,180,3
6062.88,savings,,,,
,savings,checking,aunt Jenny,700,3
12949.69,checking,,,,
,checking,checking,Philip,180,1
17789.89,checking,,,,
,checking,checking,uncle Richard,1200,1
1679.63,checking,,,,
,checking,checking,Mahmoud,320,1
1623.37,checking,,,,
,checking,checking,Grace,1570,1
10960.26,checking,,,,
,checking,checking,Grace,1340,1
15034.68,checking,,,,
8675.83,savings,,,,
,savings,checking,Grace,1420,3
3884.66,savings,,,,
,savings,checking,Svetlana,460,3
2958.74,savings,,,,
16859.66,checking,,,,
,checking,checking,Grace,1300,1
3242.52,checking,,,,
,checking,checking,Philip,1120,1
14723.59,savings,,,,
,savings,savings,Mahmoud,610,3
7060.62,savings,,,,
,savings,checking,aunt Jenny,990,3
3261.87,checking,,,,
13277.3,savings,,,,
,savings,checking,Khadija,370,3
20098.57,checking,,,,
21121.14,savings,,,,
4882.28,savings,,,,
22113.27,checking,,,,
5733.4,savings,,,,
1578.32,savings,,,,
16373.1,savings,,,,
9809.25,checking,,,,
18072.89,savings,,,,
15745.67,checking,,,,
12349.37,checking,,,,
15286.6,savings,,,,
16691.67,checking,,,,
14578.25,savings,,,,
569.2,savings,,,,
6572.13,savings,,,,
5575.67,checking,,,,
18625.71,checking,,,,
18891.31,savings,,,,
4693.21,savings,,,,
9475.45,checking,,,,
1652.11,checking,,,,
7272.81,savings,,,,
12685.85,savings,,,,
13966.6,checking,,,,
8340.39,savings,,,,
3111.74,savings,,,,
5313.45,checking,,,,
18431.34,checking,,,,
20550.1,savings,,,,
6518.22,checking,,,,
10493.81,savings,,,,
3207.56,savings,,,,
21320.48,checking,,,,
16841.84,checking,,,,
8228.88,savings,,,,
10988.12,savings,,,,
1117.73,checking,,,,
23055.6,savings,,,,
1627.39,savings,,,,
15140.78,savings,,,,
14108.67,checking,,,,
20466.1,checking,,,,
464.75,savings,,,,
8746.79,savings,,,,
23810.78,savings,,,,
10274.54,savings,,,,
5968.83,checking,,,,
1362.83,checking,,,,
8377.72,checking,,,,
19812.84,savings,,,,
14864.33,checking,,,,
21688.13,checking,,,,
21021.16,checking,,,,
9951.37,checking,,,,
5028.28,savings,,,,
2959.89,checking,,,,
5653.3,savings,,,,
7723.65,checking,,,,
23845.61,savings,,,,
20250.9,savings,,,,
20995.79,savings,,,,
22059.39,checking,,,,
6947.34,savings,,,,
4357.58,checking,,,,
6173.58,checking,,,,
14481.44,savings,,,,
5379.64,savings,,,,
20595.21,savings,,,,
9723.48,savings,,,,
21636.85,savings,,,,
8368.8,checking,,,,
9951.25,checking,,,,
3337.23,savings,,,,
5729.17,savings,,,,
16808.4,savings,,,,
23026.5,checking,,,,
17336.77,checking,,,,
18887.77,checking,,,,
20005.84,checking,,,,
14761.41,savings,,,,
22060.43,savings,,,,
10809.51,checking,,,,
11143.32,savings,,,,
2431.24,checking,,,,
15678.1,savings,,,,
2731.58,savings,,,,
16518.16,savings,,,,
16043.49,savings,,,,
16236.88,savings,,,,
13797.18,checking,,,,
11886.19,checking,,,,
20852.23,checking,,,,
10374.11,checking,,,,
484.45,checking,,,,
24140.2,savings,,,,
6141.3,savings,,,,
583.48,checking,,,,
21247.3,savings,,,,
6190.57,checking,,,,
13660.51,checking,,,,
3884.76,checking,,,,
20639.22,savings,,,,
24887.37,savings,,,,
19654.11,savings,,,,
15994.6,checking,,,,
7824.51,checking,,,,
11950.85,savings,,,,
13013.19,checking,,,,
17480.38,savings,,,,
1316.32,savings,,,,
24145.4,checking,,,,
23470.51,savings,,,,
10927.21,savings,,,,
21192.28,checking,,,,
14440.31,savings,,,,
9095.29,savings,,,,
21121.59,checking,,,,
18404.82,savings,,,,
18483.36,checking,,,,
6022.83,savings,,,,
24875.7,checking,,,,
673.37,checking,,,,
