airlines,departure_date,destination_airport,destination_city,number_stops,origin_airport,origin_city,outbound_arrival_time,outbound_departure_time,passengers,price,refundable,seating_class,inbound_arrival_time,inbound_departure_time,return_date
American Airlines,3/13/2019,O'Hare International Airport,Chicago,0,LAX International Airport,Los Angeles,15:02,8:30,4,193,FALSE,Economy,,,
Delta Airlines,3/13/2019,O'Hare International Airport,Chicago,0,LAX International Airport,Los Angeles,20:12,13:40,4,180,FALSE,Economy,,,
Southwest Airlines,3/13/2019,O'Hare International Airport,Chicago,0,LAX International Airport,Los Angeles,20:12,13:40,4,177,FALSE,Economy,,,
Delta Airlines,3/10/2019,SFO International Airport,San Francisco,1,Kingsford Smith International Airport,Sydney,10:40,17:50,1,295,FALSE,Economy,,,
United Airlines,3/10/2019,SFO International Airport,San Francisco,1,Kingsford Smith International Airport,Sydney,18:15,22:05,1,271,FALSE,Economy,,,
Delta Airlines,3/10/2019,Seattle-Tacoma International Airport,Seattle,1,Kingsford Smith International Airport,Sydney,14:47,17:50,3,347,FALSE,Economy,,,
Delta Airlines,3/12/2019,Indira Gandhi International Airport,Delhi,1,Hartsfield-Jackson International Airport,Atlanta,9:04,7:50,1,334,FALSE,Economy,,,
American Airlines,3/5/2019,JFK International Airport,New York,0,PHL International Airport,Philadelphia,17:36,16:45,1,100,FALSE,Premium Economy,,,
Delta Airlines,3/5/2019,JFK International Airport,New York,0,PHL International Airport,Philadelphia,17:31,16:40,1,96,FALSE,Premium Economy,,,
Southwest Airlines,3/5/2019,JFK International Airport,New York,0,PHL International Airport,Philadelphia,8:36,7:45,1,98,FALSE,Premium Economy,,,
United Airlines,3/5/2019,JFK International Airport,New York,0,PHL International Airport,Philadelphia,5:36,4:45,1,104,FALSE,Premium Economy,,,
American Airlines,3/5/2019,PDX International Airport,Portland,0,LAX International Airport,Los Angeles,1:45,23:15,1,129,FALSE,Economy,,,
Alaska Airlines,3/10/2019,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,12:50,11:10,1,102,FALSE,Economy,,,
American Airlines,3/10/2019,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,23:00,21:20,1,103,FALSE,Economy,,,
Delta Airlines,3/10/2019,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,21:35,19:55,1,107,FALSE,Economy,,,
Southwest Airlines,3/10/2019,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,8:40,7:00,1,103,FALSE,Economy,,,
United Airlines,3/10/2019,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,9:00,7:20,1,105,FALSE,Economy,,,
Alaska Airlines,3/2/2019,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,12:50,11:10,1,103,FALSE,Economy,,,
American Airlines,3/2/2019,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,23:00,21:20,1,99,FALSE,Economy,,,
Delta Airlines,3/2/2019,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,21:35,19:55,1,99,FALSE,Economy,,,
Southwest Airlines,3/2/2019,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,8:40,7:00,1,97,FALSE,Economy,,,
American Airlines,3/2/2019,SFO International Airport,San Francisco,1,SAN International Airport,San Diego,13:30,9:50,1,148,TRUE,Economy,,,
American Airlines,3/2/2019,LAX International Airport,Los Angeles,0,Hartsfield-Jackson International Airport,Atlanta,11:34,9:35,1,177,TRUE,Economy,,,
Delta Airlines,3/2/2019,LAX International Airport,Los Angeles,0,Hartsfield-Jackson International Airport,Atlanta,0:19,22:20,1,150,TRUE,Economy,,,
Southwest Airlines,3/2/2019,LAX International Airport,Los Angeles,0,Hartsfield-Jackson International Airport,Atlanta,15:29,13:30,1,187,FALSE,Economy,,,
United Airlines,3/2/2019,LAX International Airport,Los Angeles,0,Hartsfield-Jackson International Airport,Atlanta,10:34,8:35,1,175,TRUE,Economy,,,
Air Canada,3/1/2019,JFK International Airport,New York,1,YVR International Airport,Vancouver,1:09,14:00,1,295,TRUE,Economy,,,
Air Canada,3/10/2019,Hartsfield-Jackson International Airport,Atlanta,0,YVR International Airport,Vancouver,18:26,9:45,1,159,FALSE,Economy,,,
Delta Airlines,3/10/2019,Hartsfield-Jackson International Airport,Atlanta,1,YVR International Airport,Vancouver,14:56,2:50,1,267,FALSE,Economy,,,
American Airlines,3/5/2019,Benito Juarez International Airport,Mexico City,1,McCarran International Airport,Las Vegas,20:05,9:30,1,209,FALSE,Economy,,,
Delta Airlines,3/5/2019,Benito Juarez International Airport,Mexico City,1,McCarran International Airport,Las Vegas,20:05,12:20,1,206,FALSE,Economy,,,
Southwest Airlines,3/5/2019,Benito Juarez International Airport,Mexico City,1,McCarran International Airport,Las Vegas,2:05,14:35,1,229,FALSE,Economy,,,
United Airlines,3/5/2019,Benito Juarez International Airport,Mexico City,1,McCarran International Airport,Las Vegas,20:05,12:05,1,212,FALSE,Economy,,,
Alaska Airlines,3/13/2019,O'Hare International Airport,Chicago,0,SFO International Airport,San Francisco,20:22,13:35,1,283,FALSE,Premium Economy,,,
American Airlines,3/13/2019,Benito Juarez International Airport,Mexico City,0,LAX International Airport,Los Angeles,20:05,14:45,1,162,FALSE,Economy,,,
Delta Airlines,3/13/2019,Benito Juarez International Airport,Mexico City,1,LAX International Airport,Los Angeles,18:53,9:15,1,235,FALSE,Economy,,,
Southwest Airlines,3/13/2019,Benito Juarez International Airport,Mexico City,0,LAX International Airport,Los Angeles,2:05,20:45,1,166,FALSE,Economy,,,
United Airlines,3/13/2019,Benito Juarez International Airport,Mexico City,0,LAX International Airport,Los Angeles,9:45,4:25,1,140,FALSE,Economy,,,
Alaska Airlines,3/13/2019,Hartsfield-Jackson International Airport,Atlanta,0,LAX International Airport,Los Angeles,5:24,21:25,1,162,TRUE,Economy,,,
American Airlines,3/13/2019,Hartsfield-Jackson International Airport,Atlanta,0,LAX International Airport,Los Angeles,1:24,17:25,1,165,FALSE,Economy,,,
Delta Airlines,3/13/2019,Hartsfield-Jackson International Airport,Atlanta,0,LAX International Airport,Los Angeles,17:19,9:20,1,173,FALSE,Economy,,,
Southwest Airlines,3/13/2019,Hartsfield-Jackson International Airport,Atlanta,1,LAX International Airport,Los Angeles,23:41,13:40,1,284,FALSE,Economy,,,
United Airlines,3/13/2019,Hartsfield-Jackson International Airport,Atlanta,0,LAX International Airport,Los Angeles,4:39,20:40,1,179,FALSE,Economy,,,
Alaska Airlines,3/4/2019,PDX International Airport,Portland,0,LAX International Airport,Los Angeles,9:55,7:25,1,127,TRUE,Economy,,,
American Airlines,3/4/2019,PDX International Airport,Portland,0,LAX International Airport,Los Angeles,1:45,23:15,1,120,FALSE,Economy,,,
Delta Airlines,3/4/2019,PDX International Airport,Portland,0,LAX International Airport,Los Angeles,0:20,21:50,1,123,TRUE,Economy,,,
Southwest Airlines,3/4/2019,PDX International Airport,Portland,0,LAX International Airport,Los Angeles,19:00,16:30,1,150,FALSE,Economy,,,
United Airlines,3/4/2019,PDX International Airport,Portland,1,LAX International Airport,Los Angeles,14:13,8:55,1,180,TRUE,Economy,,,
Alaska Airlines,3/1/2019,McCarran International Airport,Las Vegas,0,SFO International Airport,San Francisco,21:50,20:15,1,87,TRUE,Economy,,,
American Airlines,3/1/2019,McCarran International Airport,Las Vegas,0,SFO International Airport,San Francisco,19:05,17:30,1,118,FALSE,Economy,,,
Delta Airlines,3/1/2019,McCarran International Airport,Las Vegas,0,SFO International Airport,San Francisco,12:25,10:50,1,91,FALSE,Economy,,,
Southwest Airlines,3/1/2019,McCarran International Airport,Las Vegas,1,SFO International Airport,San Francisco,16:15,12:50,1,178,FALSE,Economy,,,
United Airlines,3/1/2019,McCarran International Airport,Las Vegas,0,SFO International Airport,San Francisco,20:50,19:15,1,84,FALSE,Economy,,,
American Airlines,3/8/2019,LAX International Airport,Los Angeles,0,Indira Gandhi International Airport,Delhi,20:04,19:00,4,297,FALSE,Economy,,,
American Airlines,3/7/2019,Sky Harbor International Airport,Phoenix,1,O'Hare International Airport,Chicago,9:18,4:30,1,256,FALSE,Economy,,,
Delta Airlines,3/7/2019,Sky Harbor International Airport,Phoenix,1,O'Hare International Airport,Chicago,13:17,8:30,1,258,FALSE,Economy,,,
United Airlines,3/7/2019,Sky Harbor International Airport,Phoenix,1,O'Hare International Airport,Chicago,1:17,18:25,1,276,FALSE,Economy,,,
American Airlines,3/2/2019,YVR International Airport,Vancouver,0,O'Hare International Airport,Chicago,14:31,11:55,2,161,FALSE,Economy,,,
Delta Airlines,3/2/2019,YVR International Airport,Vancouver,1,O'Hare International Airport,Chicago,14:56,8:30,2,302,FALSE,Economy,,,
Southwest Airlines,3/2/2019,YVR International Airport,Vancouver,0,O'Hare International Airport,Chicago,11:11,8:35,2,135,FALSE,Economy,,,
United Airlines,3/2/2019,YVR International Airport,Vancouver,1,O'Hare International Airport,Chicago,19:49,12:45,2,307,FALSE,Economy,,,
United Airlines,3/4/2019,Seattle-Tacoma International Airport,Seattle,1,Indira Gandhi International Airport,Delhi,9:37,1:10,3,410,FALSE,Economy,,,
American Airlines,3/9/2019,Seattle-Tacoma International Airport,Seattle,1,Sky Harbor International Airport,Phoenix,14:47,8:40,1,226,FALSE,Economy,,,
Delta Airlines,3/9/2019,Seattle-Tacoma International Airport,Seattle,1,Sky Harbor International Airport,Phoenix,17:06,11:55,1,222,FALSE,Economy,,,
Southwest Airlines,3/9/2019,Seattle-Tacoma International Airport,Seattle,1,Sky Harbor International Airport,Phoenix,12:42,7:25,1,228,TRUE,Economy,,,
United Airlines,3/9/2019,Seattle-Tacoma International Airport,Seattle,1,Sky Harbor International Airport,Phoenix,23:43,18:10,1,196,FALSE,Economy,,,
American Airlines,3/12/2019,SFO International Airport,San Francisco,1,Heathrow International Airport,London,23:45,15:05,4,341,FALSE,Economy,,,
British Airways,3/12/2019,SFO International Airport,San Francisco,1,Heathrow International Airport,London,20:11,9:15,4,374,FALSE,Economy,,,
Delta Airlines,3/12/2019,SFO International Airport,San Francisco,1,Heathrow International Airport,London,21:12,8:00,4,355,FALSE,Economy,,,
United Airlines,3/12/2019,SFO International Airport,San Francisco,1,Heathrow International Airport,London,9:31,0:25,4,443,FALSE,Economy,,,
Delta Airlines,3/3/2019,JFK International Airport,New York,0,O'Hare International Airport,Chicago,12:34,9:15,1,128,FALSE,Economy,,,
American Airlines,3/13/2019,PDX International Airport,Portland,1,McCarran International Airport,Las Vegas,23:14,19:15,3,247,TRUE,Economy,,,
Delta Airlines,3/13/2019,PDX International Airport,Portland,1,McCarran International Airport,Las Vegas,21:05,16:45,3,207,FALSE,Economy,,,
Southwest Airlines,3/13/2019,PDX International Airport,Portland,1,McCarran International Airport,Las Vegas,19:00,14:35,3,218,FALSE,Economy,,,
United Airlines,3/13/2019,PDX International Airport,Portland,1,McCarran International Airport,Las Vegas,21:33,17:30,3,216,TRUE,Economy,,,
Alaska Airlines,3/6/2019,Hartsfield-Jackson International Airport,Atlanta,1,SFO International Airport,San Francisco,0:51,13:35,1,239,FALSE,Economy,,,
American Airlines,3/6/2019,Hartsfield-Jackson International Airport,Atlanta,1,SFO International Airport,San Francisco,1:24,15:50,1,262,FALSE,Economy,,,
Delta Airlines,3/6/2019,Hartsfield-Jackson International Airport,Atlanta,0,SFO International Airport,San Francisco,18:31,10:05,1,173,FALSE,Economy,,,
Southwest Airlines,3/6/2019,Hartsfield-Jackson International Airport,Atlanta,1,SFO International Airport,San Francisco,17:04,6:45,1,273,FALSE,Economy,,,
United Airlines,3/6/2019,Hartsfield-Jackson International Airport,Atlanta,1,SFO International Airport,San Francisco,4:14,18:10,1,251,FALSE,Economy,,,
Alaska Airlines,3/6/2019,Sky Harbor International Airport,Phoenix,0,SFO International Airport,San Francisco,13:52,11:45,1,121,TRUE,Economy,,,
Delta Airlines,3/6/2019,Sky Harbor International Airport,Phoenix,0,SFO International Airport,San Francisco,11:42,9:35,1,115,TRUE,Economy,,,
Southwest Airlines,3/6/2019,Sky Harbor International Airport,Phoenix,0,SFO International Airport,San Francisco,1:17,23:10,1,128,FALSE,Economy,,,
Alaska Airlines,3/10/2019,O'Hare International Airport,Chicago,0,SFO International Airport,San Francisco,20:22,13:35,1,183,FALSE,Economy,,,
American Airlines,3/10/2019,O'Hare International Airport,Chicago,0,SFO International Airport,San Francisco,22:07,15:20,1,170,FALSE,Economy,,,
Delta Airlines,3/10/2019,O'Hare International Airport,Chicago,0,SFO International Airport,San Francisco,4:52,22:05,1,183,FALSE,Economy,,,
Southwest Airlines,3/10/2019,O'Hare International Airport,Chicago,1,SFO International Airport,San Francisco,15:02,6:45,1,287,FALSE,Economy,,,
United Airlines,3/10/2019,O'Hare International Airport,Chicago,0,SFO International Airport,San Francisco,4:07,21:20,1,182,TRUE,Economy,,,
Alaska Airlines,3/10/2019,O'Hare International Airport,Chicago,0,SFO International Airport,San Francisco,20:22,13:35,2,183,FALSE,Economy,,,
American Airlines,3/10/2019,O'Hare International Airport,Chicago,0,SFO International Airport,San Francisco,22:07,15:20,2,170,FALSE,Economy,,,
Delta Airlines,3/10/2019,O'Hare International Airport,Chicago,0,SFO International Airport,San Francisco,4:52,22:05,2,183,FALSE,Economy,,,
Southwest Airlines,3/10/2019,O'Hare International Airport,Chicago,1,SFO International Airport,San Francisco,15:02,6:45,2,287,FALSE,Economy,,,
Alaska Airlines,3/6/2019,SAN International Airport,San Diego,0,LAX International Airport,Los Angeles,8:24,7:30,1,70,TRUE,Economy,,,
American Airlines,3/6/2019,SAN International Airport,San Diego,0,LAX International Airport,Los Angeles,8:34,7:40,1,69,FALSE,Economy,,,
Southwest Airlines,3/6/2019,SAN International Airport,San Diego,0,LAX International Airport,Los Angeles,16:19,15:25,1,58,FALSE,Economy,,,
United Airlines,3/6/2019,SAN International Airport,San Diego,0,LAX International Airport,Los Angeles,12:34,11:40,1,63,FALSE,Economy,,,
American Airlines,3/2/2019,PHL International Airport,Philadelphia,1,Benito Juarez International Airport,Mexico City,19:26,12:05,1,212,TRUE,Economy,,,
United Airlines,3/2/2019,PHL International Airport,Philadelphia,1,Benito Juarez International Airport,Mexico City,19:46,8:25,1,210,FALSE,Economy,,,
American Airlines,3/12/2019,Heathrow International Airport,London,1,Dulles International Airport,Washington,10:14,14:50,1,359,FALSE,Economy,,,
Southwest Airlines,3/12/2019,Heathrow International Airport,London,1,Dulles International Airport,Washington,10:14,15:35,1,339,FALSE,Economy,,,
United Airlines,3/12/2019,Heathrow International Airport,London,1,Dulles International Airport,Washington,10:44,16:40,1,348,FALSE,Economy,,,
Alaska Airlines,3/12/2019,Heathrow International Airport,London,1,Seattle-Tacoma International Airport,Seattle,16:04,15:45,1,404,TRUE,Economy,,,
Southwest Airlines,3/12/2019,Heathrow International Airport,London,1,Seattle-Tacoma International Airport,Seattle,6:04,5:25,1,400,FALSE,Economy,,,
Alaska Airlines,3/7/2019,Charles de Gaulle International Airport,Paris,0,LAX International Airport,Los Angeles,11:18,13:00,4,250,FALSE,Economy,,,
American Airlines,3/7/2019,Charles de Gaulle International Airport,Paris,0,LAX International Airport,Los Angeles,7:58,9:40,4,269,FALSE,Economy,,,
Delta Airlines,3/7/2019,Charles de Gaulle International Airport,Paris,0,LAX International Airport,Los Angeles,6:43,8:25,4,277,FALSE,Economy,,,
Southwest Airlines,3/7/2019,Charles de Gaulle International Airport,Paris,1,LAX International Airport,Los Angeles,11:36,7:20,4,418,FALSE,Economy,,,
Delta Airlines,3/10/2019,Charles de Gaulle International Airport,Paris,0,LAX International Airport,Los Angeles,6:43,8:25,4,255,FALSE,Economy,,,
United Airlines,3/8/2019,PDX International Airport,Portland,0,SAN International Airport,San Diego,23:14,20:30,1,119,TRUE,Economy,,,
American Airlines,3/4/2019,Benito Juarez International Airport,Mexico City,1,Dulles International Airport,Washington,11:06,5:10,1,225,TRUE,Economy,,,
Delta Airlines,3/4/2019,Benito Juarez International Airport,Mexico City,1,Dulles International Airport,Washington,20:05,10:00,1,301,FALSE,Economy,,,
Southwest Airlines,3/4/2019,Benito Juarez International Airport,Mexico City,1,Dulles International Airport,Washington,2:05,14:50,1,337,FALSE,Economy,,,
American Airlines,3/11/2019,Seattle-Tacoma International Airport,Seattle,1,McCarran International Airport,Las Vegas,14:47,9:30,4,214,FALSE,Economy,,,
United Airlines,3/11/2019,Seattle-Tacoma International Airport,Seattle,1,McCarran International Airport,Las Vegas,18:21,13:40,4,235,FALSE,Economy,,,
Air Canada,3/8/2019,Seattle-Tacoma International Airport,Seattle,1,YVR International Airport,Vancouver,22:56,14:05,1,239,FALSE,Economy,,,
American Airlines,3/7/2019,Toronto Pearson International Airport,Toronto,1,McCarran International Airport,Las Vegas,21:54,9:30,2,260,FALSE,Economy,,,
United Airlines,3/7/2019,Toronto Pearson International Airport,Toronto,1,McCarran International Airport,Las Vegas,21:54,12:05,2,275,FALSE,Economy,,,
Southwest Airlines,3/1/2019,Indira Gandhi International Airport,Delhi,1,Sky Harbor International Airport,Phoenix,16:07,6:00,3,366,FALSE,Economy,,,
United Airlines,3/1/2019,Indira Gandhi International Airport,Delhi,1,Sky Harbor International Airport,Phoenix,16:07,11:05,3,359,FALSE,Economy,,,
American Airlines,3/14/2019,PHL International Airport,Philadelphia,1,Charles de Gaulle International Airport,Paris,10:56,4:05,1,272,FALSE,Economy,,,
Delta Airlines,3/14/2019,PHL International Airport,Philadelphia,1,Charles de Gaulle International Airport,Paris,0:16,17:35,1,333,FALSE,Economy,,,
American Airlines,3/6/2019,O'Hare International Airport,Chicago,0,Hartsfield-Jackson International Airport,Atlanta,22:16,21:15,1,108,TRUE,Economy,,,
Delta Airlines,3/6/2019,O'Hare International Airport,Chicago,0,Hartsfield-Jackson International Airport,Atlanta,8:51,7:50,1,126,FALSE,Economy,,,
Southwest Airlines,3/6/2019,O'Hare International Airport,Chicago,0,Hartsfield-Jackson International Airport,Atlanta,14:36,13:35,1,121,FALSE,Economy,,,
United Airlines,3/6/2019,O'Hare International Airport,Chicago,0,Hartsfield-Jackson International Airport,Atlanta,7:16,6:15,1,119,FALSE,Economy,,,
American Airlines,3/2/2019,O'Hare International Airport,Chicago,0,Hartsfield-Jackson International Airport,Atlanta,22:16,21:15,1,118,TRUE,Economy,,,
Delta Airlines,3/2/2019,O'Hare International Airport,Chicago,0,Hartsfield-Jackson International Airport,Atlanta,8:51,7:50,1,110,FALSE,Economy,,,
Southwest Airlines,3/2/2019,O'Hare International Airport,Chicago,0,Hartsfield-Jackson International Airport,Atlanta,5:36,4:35,1,104,FALSE,Economy,,,
American Airlines,3/8/2019,Hartsfield-Jackson International Airport,Atlanta,1,PHL International Airport,Philadelphia,14:56,10:10,1,215,FALSE,Economy,,,
American Airlines,3/10/2019,SAN International Airport,San Diego,1,Indira Gandhi International Airport,Delhi,23:04,19:00,1,323,FALSE,Economy,,,
United Airlines,3/10/2019,SAN International Airport,San Diego,1,Indira Gandhi International Airport,Delhi,8:34,1:10,1,293,FALSE,Economy,,,
American Airlines,3/12/2019,Hartsfield-Jackson International Airport,Atlanta,0,Sky Harbor International Airport,Phoenix,6:37,23:25,1,162,FALSE,Economy,,,
Southwest Airlines,3/12/2019,Hartsfield-Jackson International Airport,Atlanta,0,Sky Harbor International Airport,Phoenix,6:07,22:55,1,163,FALSE,Economy,,,
United Airlines,3/12/2019,Hartsfield-Jackson International Airport,Atlanta,0,Sky Harbor International Airport,Phoenix,3:52,20:40,1,173,FALSE,Economy,,,
American Airlines,3/11/2019,YVR International Airport,Vancouver,1,McCarran International Airport,Las Vegas,13:59,9:30,1,199,FALSE,Economy,,,
Delta Airlines,3/11/2019,YVR International Airport,Vancouver,1,McCarran International Airport,Las Vegas,19:49,12:20,1,211,FALSE,Economy,,,
Southwest Airlines,3/11/2019,YVR International Airport,Vancouver,1,McCarran International Airport,Las Vegas,19:49,14:35,1,204,FALSE,Economy,,,
United Airlines,3/11/2019,YVR International Airport,Vancouver,1,McCarran International Airport,Las Vegas,19:49,12:05,1,210,FALSE,Economy,,,
Alaska Airlines,3/11/2019,Kingsford Smith International Airport,Sydney,1,PDX International Airport,Portland,13:32,10:10,1,323,FALSE,Economy,,,
American Airlines,3/11/2019,Kingsford Smith International Airport,Sydney,1,PDX International Airport,Portland,9:26,7:20,1,328,FALSE,Economy,,,
Delta Airlines,3/11/2019,Kingsford Smith International Airport,Sydney,1,PDX International Airport,Portland,13:06,8:45,1,303,FALSE,Economy,,,
United Airlines,3/11/2019,Kingsford Smith International Airport,Sydney,1,PDX International Airport,Portland,13:06,10:35,1,318,FALSE,Economy,,,
American Airlines,3/4/2019,SFO International Airport,San Francisco,0,Hartsfield-Jackson International Airport,Atlanta,14:06,11:40,1,176,FALSE,Economy,,,
Delta Airlines,3/4/2019,SFO International Airport,San Francisco,1,Hartsfield-Jackson International Airport,Atlanta,20:11,14:10,1,296,FALSE,Economy,,,
Southwest Airlines,3/4/2019,SFO International Airport,San Francisco,0,Hartsfield-Jackson International Airport,Atlanta,20:21,17:55,1,165,TRUE,Economy,,,
United Airlines,3/4/2019,SFO International Airport,San Francisco,0,Hartsfield-Jackson International Airport,Atlanta,12:06,9:40,1,175,FALSE,Economy,,,
Alaska Airlines,3/7/2019,Hartsfield-Jackson International Airport,Atlanta,0,LAX International Airport,Los Angeles,4:14,20:15,1,176,FALSE,Economy,,,
American Airlines,3/7/2019,Hartsfield-Jackson International Airport,Atlanta,0,LAX International Airport,Los Angeles,1:24,17:25,1,187,FALSE,Economy,,,
Delta Airlines,3/7/2019,Hartsfield-Jackson International Airport,Atlanta,0,LAX International Airport,Los Angeles,4:39,20:40,1,195,FALSE,Economy,,,
Southwest Airlines,3/7/2019,Hartsfield-Jackson International Airport,Atlanta,1,LAX International Airport,Los Angeles,23:41,13:40,1,283,FALSE,Economy,,,
United Airlines,3/7/2019,Hartsfield-Jackson International Airport,Atlanta,0,LAX International Airport,Los Angeles,4:39,20:40,1,163,FALSE,Economy,,,
American Airlines,3/12/2019,Seattle-Tacoma International Airport,Seattle,1,SAN International Airport,San Diego,8:13,4:10,1,195,FALSE,Economy,,,
Air Canada,3/3/2019,Dulles International Airport,Washington,1,Toronto Pearson International Airport,Toronto,12:05,9:10,1,150,FALSE,Economy,,,
American Airlines,3/3/2019,Dulles International Airport,Washington,0,Toronto Pearson International Airport,Toronto,21:45,20:20,1,98,FALSE,Economy,,,
Delta Airlines,3/6/2019,SAN International Airport,San Diego,1,Toronto Pearson International Airport,Toronto,8:34,2:10,1,237,FALSE,Economy,,,
United Airlines,3/11/2019,Sky Harbor International Airport,Phoenix,0,LAX International Airport,Los Angeles,12:33,11:05,1,93,FALSE,Economy,,,
United Airlines,3/5/2019,O'Hare International Airport,Chicago,0,PHL International Airport,Philadelphia,12:41,11:30,1,110,FALSE,Economy,,,
Southwest Airlines,3/8/2019,SFO International Airport,San Francisco,0,JFK International Airport,New York,16:56,13:30,2,218,TRUE,Economy,,,
Southwest Airlines,3/12/2019,JFK International Airport,New York,1,Seattle-Tacoma International Airport,Seattle,18:40,5:25,2,348,FALSE,Economy,,,
Delta Airlines,3/3/2019,McCarran International Airport,Las Vegas,1,YVR International Airport,Vancouver,21:35,12:20,1,230,FALSE,Economy,,,
American Airlines,3/3/2019,JFK International Airport,New York,0,LAX International Airport,Los Angeles,3:30,18:20,3,196,FALSE,Economy,,,
Delta Airlines,3/3/2019,SFO International Airport,San Francisco,0,KLIA International Airport,Kuala Lumpur,3:14,0:15,1,313,FALSE,Economy,,,
Delta Airlines,3/11/2019,Sky Harbor International Airport,Phoenix,0,McCarran International Airport,Las Vegas,16:49,15:35,1,80,TRUE,Economy,,,
Alaska Airlines,3/10/2019,Benito Juarez International Airport,Mexico City,1,SAN International Airport,San Diego,2:05,15:20,1,327,FALSE,Premium Economy,,,
United Airlines,3/7/2019,Hartsfield-Jackson International Airport,Atlanta,0,Seattle-Tacoma International Airport,Seattle,1:27,16:55,1,208,FALSE,Economy,,,
Southwest Airlines,3/3/2019,Toronto Pearson International Airport,Toronto,1,SFO International Airport,San Francisco,21:54,6:45,4,258,FALSE,Economy,,,
American Airlines,3/10/2019,SFO International Airport,San Francisco,1,Hartsfield-Jackson International Airport,Atlanta,1:32,21:15,1,291,TRUE,Economy,,,
United Airlines,3/6/2019,Indira Gandhi International Airport,Delhi,1,SAN International Airport,San Diego,16:07,7:20,3,370,FALSE,Economy,,,
United Airlines,3/3/2019,Kingsford Smith International Airport,Sydney,1,McCarran International Airport,Las Vegas,13:32,12:05,1,279,FALSE,Economy,,,
American Airlines,3/4/2019,Kingsford Smith International Airport,Sydney,1,McCarran International Airport,Las Vegas,13:32,9:30,1,453,FALSE,Premium Economy,,,
Delta Airlines,3/8/2019,Sky Harbor International Airport,Phoenix,1,KLIA International Airport,Kuala Lumpur,7:57,0:15,4,413,FALSE,Economy,,,
American Airlines,3/5/2019,Heathrow International Airport,London,1,Dulles International Airport,Washington,1:37,10:15,4,331,FALSE,Economy,,,
American Airlines,3/11/2019,Hartsfield-Jackson International Airport,Atlanta,1,KLIA International Airport,Kuala Lumpur,4:39,13:45,1,465,FALSE,Economy,,,
American Airlines,3/5/2019,LAX International Airport,Los Angeles,0,SFO International Airport,San Francisco,17:15,15:50,1,82,FALSE,Economy,,,
American Airlines,3/6/2019,Dulles International Airport,Washington,1,PDX International Airport,Portland,17:33,6:00,1,239,FALSE,Economy,,,
