destination,number_of_seats,ride_fare,ride_type,wait_time
2400 Samaritan Drive #105,1,13.07,Pool,4
3440 Hillcrest Avenue Suite 150,1,11.52,Pool,4
11030 Bollinger Canyon Road #250,1,17.61,Pool,6
1580 Valencia Street #508,2,25.74,Regular,2
"1, 2380 Sutter Street",1,15.95,Pool,7
"Sonoma Ave, # 44, 1820 Doctors Park Drive",1,12.19,Regular,3
3838 California Street #601,1,25.24,Luxury,10
6950 Santa Teresa Boulevard,1,21.53,Regular,2
655 Redwood Highway Suite 100,1,15.38,Pool,5
2500 Alhambra Avenue,2,17.83,Pool,8
2700 International Boulevard # 35,1,23.82,Luxury,12
3300 Webster Street,2,22.23,Luxury,13
380 Tesconi Court,4,14.90,Pool,6
2574 San Bruno Avenue,3,32.08,Regular,4
500 San Pablo Avenue,1,8.16,Pool,3
2490 Hospital Drive #111,4,35.36,Luxury,8
2100 Webster Street suite 214,3,33.10,Regular,3
4340 Redwood Highway Suite A-22,1,21.73,Luxury,7
42808 Christy Street #208,1,28.97,Luxury,10
2435 Webster Street #101,2,17.95,Pool,4
491 30th Street #201,1,10.61,Regular,7
1600 West Campbell Avenue #202,2,18.60,Regular,5
7788 Dublin Boulevard,1,13.14,Pool,5
1580 Valencia Street #508,3,55.04,Luxury,11
1580 Valencia Street #508,3,19.69,Pool,4
211 Quarry Road,2,29.53,Regular,5
2700 Grant Street Suite 200,4,43.44,Luxury,14
401 Bicentennial Way,1,23.63,Regular,3
935 Trancas Street,1,23.54,Regular,7
1550 A Professional Drive #100,1,12.46,Regular,3
655 Redwood Highway Suite 100,1,14.53,Regular,3
329 Tennessee Street,1,16.84,Pool,8
20400 Lake Chabot Road #202,2,17.13,Pool,6
1720 El Camino Real # 120,4,13.60,Pool,3
10 Woodland Road,2,24.73,Pool,4
535 Miller Avenue,2,14.62,Pool,5
5050 West El Camino Real # 110,1,13.06,Pool,4
1479 Ygnacio Valley Road,2,24.37,Luxury,14
2100 Webster Street suite 214,1,17.73,Regular,3
94109. parking entry on Hyde St 1199 Bush Street Suite 500 Suite 500,4,34.52,Pool,3
3553 Whipple Road,1,12.37,Regular,5
301 Old San Francisco Road Level 2,3,36.58,Luxury,8
3100 Telegraph Avenue # 2109,1,10.08,Pool,9
Fairway Arms Apartments,1,14.58,Regular,4
5508 Monterey Road,1,19.35,Regular,2
301 Industrial Road,1,29.27,Luxury,12
1181 Boulevard Way B,1,24.18,Regular,7
301 Old San Francisco Road Level 2,2,20.72,Regular,4
131 West A Street,1,12.84,Pool,5
301 Industrial Road Level 3,3,51.72,Luxury,12
795 El Camino Real,2,17.03,Pool,7
22101 Redwood Road,2,14.91,Pool,4
2305 Camino Ramon Suite 100,2,41.44,Luxury,8
2400 Samaritan Drive #105,1,16.38,Luxury,14
Giraffe Centre,3,28.89,Pool,5
1339 Jacklin Road,2,18.81,Regular,5
"Sonoma Ave, # 44, 1820 Doctors Park Drive",4,45.08,Regular,5
795 El Camino Real,3,26.34,Regular,3
700 West Parr Avenue,2,9.50,Pool,3
910 Lincoln Rd E,3,36.01,Regular,2
5565 West Las Positas Boulevard,1,29.85,Luxury,7
8833 Monterey Road,1,30.07,Luxury,11
20400 Lake Chabot Road #202,3,31.96,Regular,3
5050 West El Camino Real # 110,2,29.18,Luxury,11
2380 Sutter Street,2,24.44,Regular,5
321 Middlefield Road # 245,1,13.72,Regular,7
1010 Laurel Street,1,14.85,Pool,3
5050 West El Camino Real # 110,4,50.96,Luxury,11
2301 Camino Ramon,1,12.27,Pool,8
2400 Samaritan Drive #105,3,55.36,Luxury,11
10 Woodland Road,1,12.76,Pool,9
136 North San Mateo Drive #101,1,31.26,Luxury,10
9360 North Name Uno,1,16.18,Luxury,7
500 Alfred Nobel Drive #245,2,40.43,Luxury,7
2485 High School Street #111,3,24.39,Regular,7
"Sonoma Ave, # 44, 1820 Doctors Park Drive",1,8.53,Pool,3
200 Jose Figueres Avenue #240,2,20.31,Regular,6
45 Castro Street,3,24.04,Regular,5
5575 West Las Positas Boulevard,2,16.93,Pool,4
1580 Valencia Street #508,1,27.51,Luxury,9
2100 Webster Street suite 214,1,10.20,Pool,8
1479 Ygnacio Valley Road,3,18.50,Regular,7
2505 Samaritan Drive Suite 510,1,23.62,Regular,3
2101 Forest Avenue #124,1,24.61,Regular,7
2100 Webster Street #214,3,18.55,Regular,3
5 Main Street,3,19.88,Pool,5
168 South Murphy Avenue,2,41.52,Luxury,7
655 Redwood Highway Suite 100,4,34.86,Luxury,14
1479 Ygnacio Valley Road,2,33.38,Regular,5
4340 Redwood Highway Suite A-22,3,56.38,Luxury,10
3737 Lone Tree Way # A,1,11.77,Regular,5
Gibson,2,14.85,Pool,3
2301 Camino Ramon,1,19.05,Regular,6
122 La Casa Via,2,44.22,Luxury,11
Chandni Restaurant,2,21.35,Pool,7
3536 Mendocino Avenue #380,1,10.43,Regular,5
1174 Castro Street # 100,1,22.80,Regular,4
2961 Summit Street,3,35.52,Luxury,10
935 Trancas Street,2,37.79,Luxury,9
600 Nut Tree Road #260,1,24.02,Luxury,12
"Sonoma Ave, # 44, 1820 Doctors Park Drive",2,34.56,Regular,6
1580 Valencia Street #508,2,39.22,Luxury,10
601 Van Ness Avenue,2,46.03,Luxury,10
3117 16th St,2,36.76,Luxury,7
33 South Central Avenue,2,47.33,Luxury,14
524 Van Ness Avenue,2,42.12,Luxury,8
1419 Moraga Way,4,15.36,Pool,5
1888 Solano Avenue,3,25.39,Regular,6
1549 Gateway Boulevard,2,33.39,Regular,2
523 West 10th Street,2,22.33,Regular,2
3630 Balboa Street,2,11.68,Pool,5
25 Lusk Street,2,18.71,Pool,9
5800 Hollis Street,4,37.90,Luxury,12
283 North P Street,2,26.76,Regular,4
16 Mint Plaza,2,22.40,Pool,3
1027 Oliver Road,3,59.84,Luxury,11
221 University Avenue,3,21.22,Regular,7
2241 First Street,2,22.06,Pool,8
1603,2,20.75,Regular,3
33 South Central Avenue,4,63.72,Luxury,12
1419 Moraga Way,2,30.41,Luxury,9
1133 Solano Avenue,2,29.19,Luxury,11
1549 Gateway Boulevard,1,23.01,Luxury,13
350 Park Street,2,28.91,Regular,4
1875 South Bascom Avenue,2,31.24,Regular,5
551 Summerfield Road,4,32.64,Luxury,13
2101 Camino Ramon #100,3,27.71,Regular,5
2033 Camden Avenue # F3,3,41.83,Regular,7
201 El Camino Real,2,30.79,Regular,5
504 Center Street,2,20.29,Pool,6
2033 Camden Avenue # F3,2,40.02,Luxury,10
100 Seawall Drive,3,33.26,Luxury,10
350 Park Street,2,47.25,Luxury,11
127 Clement Street,2,10.35,Pool,7
221 University Avenue,2,43.95,Luxury,8
135 Acalanes Drive,2,24.55,Luxury,13
6430 Telegraph Avenue,1,12.79,Pool,4
1888 Solano Avenue,2,20.52,Regular,2
286 Coddingtown Center,2,16.33,Regular,6
135 4th Street Suite 3000,2,39.61,Luxury,8
3141 Crow Canyon Place,2,16.08,Pool,3
1211 Franklin Mall,1,17.09,Pool,6
128 Plaza Street,2,23.22,Regular,5
1875 South Bascom Avenue #550,2,22.09,Pool,3
2961 East El Camino Real,2,25.98,Luxury,12
3830 Stevens Creek Boulevard,1,34.55,Luxury,13
543 Coleman Avenue,1,15.58,Regular,4
1115 Solano Avenue,4,60.76,Luxury,11
87 East San Fernando Street,2,9.53,Pool,7
343 Rheem Boulevard,2,24.90,Luxury,12
1133 Solano Avenue,2,14.06,Pool,8
1027 Oliver Road,2,33.97,Luxury,9
4400 Central Place,1,13.48,Pool,7
1115 Solano Avenue,1,30.24,Luxury,8
1760 Polk Street,1,24.47,Regular,2
524 Van Ness Avenue,1,12.62,Regular,5
2035 Diamond Boulevard,3,21.63,Regular,6
2481 San Ramon Valley Boulevard,2,25.31,Pool,4
2355 Sand Creek Road,2,24.01,Regular,2
1027 Oliver Road,2,20.66,Pool,3
4400 Central Place,2,46.36,Luxury,11
1000 Embarcadero,2,17.65,Regular,7
2551 San Ramon Valley Boulevard #104,1,19.44,Luxury,7
1875 South Bascom Avenue,2,24.78,Pool,3
601 Van Ness Avenue,2,14.41,Regular,6
2367 El Camino Real,2,14.71,Regular,4
3141 Crow Canyon Place,1,29.36,Luxury,13
37811 Fremont Boulevard,2,22.22,Regular,3
2525 Sand Creek Road,4,42.54,Regular,5
109 Plaza Dr. Gateway Plaza Center,2,12.63,Pool,8
2317 Central Avenue,2,29.29,Luxury,12
2564 Springs Road ste B,4,49.58,Luxury,10
1603,2,36.61,Luxury,8
261 North 2nd Street,3,52.34,Luxury,8
601 Van Ness Avenue,3,31.06,Pool,5
2481 San Ramon Valley Boulevard,2,21.95,Regular,6
283 North P Street,4,48.46,Regular,2
1849 Union Street,1,16.80,Regular,2
601 Van Ness Avenue,3,31.56,Regular,4
531 Davis Street,2,26.52,Luxury,8
835 Market Street,2,42.16,Luxury,11
2481 San Ramon Valley Boulevard,2,27.96,Luxury,9
350 Park Street,2,13.05,Pool,9
601 Van Ness Avenue,1,24.20,Luxury,14
331 West Hacienda Avenue,3,57.16,Luxury,9
3290 Sacramento Street,4,31.44,Pool,4
The Grill On The Alley,2,41.72,Luxury,9
2509 South Bascom Avenue,2,14.57,Pool,7
2327 Mission Street,1,20.15,Luxury,10
350 Park Street,3,28.65,Pool,5
1760 Polk Street,1,7.48,Pool,6
542 A Mason Street,1,28.21,Luxury,10
452 University Avenue,4,34.36,Pool,6
25 Lusk Street,2,45.69,Luxury,7
109 Plaza Dr. Gateway Plaza Center,4,53.54,Luxury,8
638 El Camino Real,4,12.90,Pool,5
1549 Gateway Boulevard,3,29.25,Pool,9
4119 El Camino Real,2,24.42,Pool,6
949 El Camino Real,4,49.82,Luxury,9
3141 Crow Canyon Place,2,28.38,Regular,6
3117 16th St,2,34.44,Regular,6
221 University Avenue,1,10.08,Pool,6
1875 South Bascom Avenue,3,28.86,Luxury,7
949 El Camino Real,2,18.89,Pool,8
Shattuck Avenue,3,25.17,Regular,7
1419 Moraga Way,2,11.34,Pool,8
118 New Montgomery Street,2,40.14,Luxury,13
2130 Center Street,2,14.45,Pool,6
221 University Avenue,1,10.00,Regular,2
1875 South Bascom Avenue #2500,4,22.68,Pool,8
2111 El Camino Real,2,31.32,Luxury,8
2033 Camden Avenue # F3,4,63.88,Luxury,12
3141 Crow Canyon Place,2,24.01,Luxury,9
135 4th Street Suite 3000,1,19.91,Regular,2
129 Lytton Avenue,2,25.47,Regular,3
165 West Napa Street,2,26.76,Luxury,12
1901 Salvio Street,3,25.08,Pool,7
3200 Klose Way,3,57.52,Luxury,9
16201 Hesperian Boulevard,1,14.93,Regular,5
2290 California Street,1,17.85,Regular,2
707 Continental Circle,2,15.66,Pool,8
978 Almaden Lake Drive,3,15.69,Pool,7
100 Kings Circle,2,23.93,Pool,8
40 Valle Vista Avenue,3,14.93,Pool,4
293 Shasta Drive,1,27.29,Luxury,14
16530 Monterey Road,1,7.06,Pool,3
1585 Marburg Way # 4,3,17.32,Pool,4
3819 East Avenue,2,16.94,Regular,2
1518 Hill Road,2,20.19,Regular,6
1100 Market Street,4,48.40,Luxury,7
375 Oaktree Drive,4,40.48,Luxury,7
40001 Fremont Boulevard,1,20.98,Luxury,14
732 East Evelyn Avenue,1,6.50,Pool,4
950 Podva Road,3,37.46,Regular,5
2000 Clay Bank Road,1,13.09,Pool,6
3225 Harbor Street,3,23.88,Regular,6
4261 Stevenson Boulevard,2,46.47,Luxury,8
6221 Montecito Boulevard,1,10.72,Regular,3
1107 Porter Street,1,13.92,Pool,7
6221 Montecito Boulevard,2,9.39,Pool,8
2605 Haste Street,3,27.49,Luxury,13
2225 Sharon Road,1,13.98,Pool,3
1300 Kentwood Lane,2,46.13,Luxury,11
4656 Quigg Drive,2,29.91,Luxury,10
1711 Detroit Avenue,3,32.60,Regular,6
4656 Quigg Drive,4,19.26,Pool,3
300 Hilary Way,2,32.20,Regular,7
55 Fairfax Street #27,2,16.21,Pool,6
34050 Westchester Terrace,1,26.37,Luxury,11
1000 Claudia Court,4,40.00,Luxury,11
5000 Owens Drive,2,23.57,Pool,4
16530 Monterey Road,1,10.07,Regular,5
3400 Richmond Parkway,2,28.75,Regular,2
302 Easy Street,4,20.74,Pool,9
1000 Blossom River Way,3,27.89,Pool,4
31755 Alvarado Boulevard,2,9.86,Pool,4
296A Addison Street,2,11.58,Pool,8
978 Almaden Lake Drive,2,13.97,Pool,9
601 River Glen Drive,2,16.46,Regular,2
2005 San Jose Drive,2,15.64,Regular,4
42 Charles Street,1,15.13,Regular,4
1717 California Drive,1,16.09,Pool,9
1200 East Hillsdale Boulevard,1,28.25,Luxury,8
1435 Creekside Drive,2,19.53,Regular,5
801 Marine Parkway,2,42.50,Luxury,9
825 Russell Avenue,1,14.05,Pool,7
1055 East Evelyn Avenue,1,12.02,Pool,9
24660 Amador Street,1,23.72,Luxury,8
91 Riverview Terrace,2,36.53,Luxury,9
1475 167th Avenue,3,54.28,Luxury,9
1290 San Tomas Aquino Road,2,12.69,Pool,5
1001 Beethoven Common,2,9.46,Pool,8
630 Tempe Court,3,35.99,Luxury,13
1475 167th Avenue,1,24.93,Luxury,8
5643 Charlotte Way,1,8.24,Pool,5
1580 Clayton Road # 1,2,17.82,Pool,6
655 South Fair Oaks Avenue,3,17.55,Pool,5
1059 Reed Avenue,1,16.46,Luxury,13
624 Avalon Avenue,3,29.38,Pool,6
1546 Maurice Lane,1,11.10,Regular,5
26100 Gading Road,1,32.07,Luxury,12
1288 East Hillsdale Boulevard,2,14.31,Regular,5
899 North King Road,1,17.34,Pool,6
1290 San Tomas Aquino Road,3,40.08,Regular,5
1282 Mattox Road,2,27.87,Regular,7
141 Golf Club Road,1,27.81,Luxury,14
1282 Mattox Road,1,11.13,Regular,3
1901 Shore Line Drive,2,43.90,Luxury,11
899 North King Road,1,32.17,Luxury,14
150 Graylawn Avenue,1,15.11,Pool,3
240 Hollis Avenue,1,13.16,Regular,7
400 East Remington Drive,3,18.01,Pool,7
1100 Market Street,2,20.94,Pool,5
825 Russell Avenue,3,40.65,Regular,7
766 1st Street,3,28.27,Luxury,11
1688 Clayton Road,1,11.25,Regular,7
1290 San Tomas Aquino Road,1,33.07,Luxury,8
180 Sycamore Avenue,2,25.34,Pool,9
16077 Ashland Avenue,3,39.79,Regular,6
1450 East Cotati Avenue,3,27.63,Pool,6
Birch Aquarium at Scripps Institution of Oceanography,3,40.05,Regular,5
Gas Works Park,1,7.29,Pool,6
56 Signers of the Declaration of Independence Memorial,1,26.56,Luxury,10
Arizona Science Center,1,19.94,Regular,4
Sacramento Zoo,2,43.42,Luxury,7
Arizona Capitol Museum,2,31.34,Luxury,11
Las Vegas Natural History Museum,2,15.58,Regular,4
Dr. Sun Yat-Sen Classical Chinese Garden,1,20.72,Regular,2
Alexandra Palace Ice Rink,1,23.92,Luxury,14
"Aquaria KLCC, Kuala Lumpur.",1,12.09,Pool,6
Angel Stadium of Anaheim,4,27.82,Regular,4
ANZ Stadium,1,14.76,Pool,9
California State Capitol Museum,1,19.81,Luxury,13
Honda Center,1,20.77,Regular,4
Columbia Center,1,7.04,Pool,6
Dr. Sun Yat-Sen Classical Chinese Garden,2,28.09,Regular,4
Alcatraz Island,3,29.83,Pool,3
Fremont Street Experience,3,36.23,Regular,7
Fleet Science Center,2,22.47,Regular,6
ICC Pudu,1,13.77,Pool,6
Arte Carrillo Gil Museum,3,57.63,Luxury,12
Giraffe Centre,1,10.03,Pool,9
Art Museum Steps,2,31.89,Regular,2
Atlanta Botanical Garden,1,18.13,Luxury,12
ANZ Stadium,2,11.14,Pool,4
Alexandra Palace,1,17.63,Luxury,12
Chastain Memorial Park,2,28.24,Regular,3
Arte Carrillo Gil Museum,1,11.45,Pool,5
Brandon Lee and Bruce Lee's Grave Site,1,18.76,Luxury,8
Angel Stadium of Anaheim,1,13.22,Regular,7
360 CHICAGO,1,10.21,Regular,6
Zoo Atlanta,1,10.53,Regular,2
Barnes Foundation,1,13.81,Regular,3
Crystal Springs Rhododendron Garden,1,16.62,Luxury,14
Fleet Science Center,1,15.37,Regular,7
BAPS Shri Swaminarayan Mandir,1,31.57,Luxury,10
Exposition Park,3,29.05,Regular,3
Chihuly Garden and Glass,2,31.52,Regular,3
Acuario Inbursa,2,16.05,Pool,9
Brandon Lee and Bruce Lee's Grave Site,1,14.77,Regular,5
Alcatraz,2,36.83,Luxury,9
Arizona Capitol Museum,1,12.75,Regular,5
Art Museum Steps,2,24.41,Luxury,12
Petersen House,1,16.95,Pool,3
Giraffe Centre,1,13.62,Regular,5
Astoria Park,3,43.77,Luxury,7
Adventure Island,2,29.16,Regular,6
Apollo Theater,1,15.96,Luxury,10
Balboa Park,1,10.72,Pool,7
Karura Forest,1,9.84,Pool,6
Acuario Inbursa,4,44.16,Luxury,9
Cars Land,2,11.40,Pool,9
Castles N' Coasters,3,18.86,Regular,7
Akshardham,4,43.64,Luxury,11
3D Toronto sign,2,48.62,Luxury,8
30 St Mary Axe (The Gherkin),1,6.74,Pool,4
92nd Street Y,1,16.45,Regular,2
Gandhi Smriti,1,29.93,Luxury,13
Bodies The Exhibition,1,20.95,Luxury,12
"All Saints, Margaret Street",1,24.46,Regular,5
99 Wonderland Park,4,50.88,Luxury,7
Vancouver Art Gallery,3,12.66,Pool,4
3D Toronto sign,1,24.33,Luxury,14
American Church in Paris,1,9.91,Pool,8
Hollywood Walk of Fame,1,12.31,Pool,3
Fairytale Town,1,14.72,Pool,9
Christmas Tree Lane,2,41.07,Luxury,9
Christmas Tree Lane,2,30.14,Regular,2
Cars Land,2,41.75,Luxury,9
California Museum,4,69.60,Luxury,11
Benjamin Franklin Museum,1,9.69,Pool,8
California Automobile Museum,1,17.74,Regular,7
International Spy Museum,3,39.82,Regular,4
Art Gallery of Ontario,1,28.26,Luxury,14
Aga Khan Museum,1,12.67,Pool,8
Gas Works Park,2,18.67,Pool,3
Nairobi National Park,1,27.19,Luxury,8
Forestiere Underground Gardens,2,23.00,Luxury,12
SlotZilla Zip Line,1,33.38,Luxury,12
Alcatraz Island,4,30.40,Regular,3
Balboa Park,1,10.96,Regular,7
Balboa Park,3,13.49,Pool,8
American Museum of Natural History,4,39.30,Luxury,13
Art Museum Steps,1,21.27,Luxury,13
Fort Funston,3,42.30,Regular,5
American Church in Paris,4,63.70,Luxury,9
Cent Quatre,1,20.10,Regular,4
Aquaboulevard,2,20.27,Regular,3
Cable Car Museum,1,19.55,Regular,7
30 St Mary Axe (The Gherkin),1,28.97,Luxury,11
Angels Flight Railway,2,19.97,Pool,8
Stanley Park,3,60.43,Luxury,13
92nd Street Y,3,25.24,Pool,7
Dumbarton Oaks Museum,3,43.42,Luxury,11
Adventure Island,1,22.53,Luxury,12
Angels Flight Railway,1,8.75,Pool,8
Centreville Amusement Park,3,31.12,Regular,7
360 CHICAGO,3,40.74,Luxury,13
American Church in Paris,2,46.65,Luxury,13
Atlanta History Center,1,17.63,Pool,9
92nd Street Y,1,29.34,Luxury,11
St. Lawrence Market,2,25.02,Luxury,13
3D Toronto sign,2,22.01,Regular,3
Alexandra Palace,1,19.47,Regular,4
Dumbarton Oaks Museum,2,15.37,Regular,3
Burnham Park,1,17.30,Regular,7
Alexandra Palace,3,42.56,Regular,5
Autry Museum of the American West,2,25.92,Luxury,13
30 St Mary Axe (The Gherkin),2,25.96,Regular,4
Art Gallery of New South Wales,3,31.52,Regular,7
56 Signers of the Declaration of Independence Memorial,4,57.20,Luxury,14
Bradbury Building,1,17.84,Pool,4
92nd Street Y,3,36.89,Regular,6
Angel Stadium of Anaheim,2,22.25,Pool,9
American Church in Paris,4,19.12,Pool,9
Burke Museum of Natural History and Culture,1,6.14,Pool,4
American Church in Paris,3,19.00,Regular,2
56 Signers of the Declaration of Independence Memorial,2,33.30,Regular,5
"Aquaria KLCC, Kuala Lumpur.",2,34.95,Regular,3
Balto Statue,2,11.62,Pool,5
Autry Museum of the American West,1,12.57,Pool,5
30 St Mary Axe (The Gherkin),1,20.41,Regular,6
Chicago Children's Museum,2,23.93,Pool,3
Chicago Riverwalk,1,13.09,Pool,6
Akshardham,4,38.24,Regular,3
Sacramento Zoo,4,26.52,Pool,4
Lincoln Park Zoo,4,42.18,Regular,4
Balboa Park,3,55.63,Luxury,14
Strawberry Fields,1,15.27,Pool,7
American Folk Art Museum,1,10.54,Regular,6
Lan Su Chinese Garden,1,19.75,Luxury,13
92nd Street Y,2,33.96,Regular,4
Acuario Inbursa,1,19.67,Regular,3
92nd Street Y,1,13.72,Pool,8
American Museum of Natural History,1,19.83,Regular,7
Apsley House,1,33.98,Luxury,8
Art Gallery of New South Wales,2,14.91,Pool,8
Catacombs of Paris,1,27.78,Luxury,10
Ben Franklin Bridge,1,14.39,Pool,7
Apsley House,2,46.51,Luxury,11
99 Wonderland Park,2,39.36,Luxury,12
Autry Museum of the American West,3,55.43,Luxury,10
Desert Botanical Garden,1,15.16,Pool,3
Arc de Triomphe,2,45.11,Luxury,9
Adventure Island,1,12.06,Regular,4
Barnes Foundation,2,11.50,Pool,7
1416 First Street,1,20.34,Regular,6
24891 Santa Clara Street,2,44.79,Luxury,10
2737 20th Street,3,27.73,Regular,5
1047 Lincoln Highway suite 101,3,10.98,Pool,3
2485 De La Cruz Boulevard,2,24.48,Regular,6
1216 South Abel Street,1,21.01,Regular,6
4646 El Camino Real,2,33.57,Regular,3
1532 20th Street,2,14.89,Regular,3
4275 First Street,1,18.47,Luxury,13
1483 Solano Avenue,1,16.14,Luxury,9
1047 Lincoln Highway suite 101,2,16.62,Regular,5
4330 Clayton Road suite j,2,22.43,Pool,9
2492 Channing Way,1,32.42,Luxury,10
10095 Saich Way #2,2,9.39,Pool,4
1532 20th Street,1,22.61,Regular,2
1047 Lincoln Highway suite 101,2,42.98,Luxury,13
1532 20th Street,3,34.83,Luxury,11
1775 Park Avenue,1,16.53,Regular,6
765 MAIN STREET HALF,1,29.65,Luxury,9
Sino,2,21.38,Pool,9
Farmhouse Kitchen Thai Cuisine,1,14.32,Regular,5
1639 North California Boulevard,2,42.88,Luxury,12
475 Entrada Drive,1,17.33,Regular,2
3136 Contra Loma Boulevard,3,44.84,Luxury,12
1532 20th Street,1,17.08,Pool,7
2737 20th Street,3,50.80,Luxury,7
2425 California Street # C,2,29.05,Luxury,13
1776 First Street,1,17.74,Pool,9
3136 Contra Loma Boulevard,1,22.34,Luxury,11
6469 Redwood Drive,2,33.14,Luxury,11
2260 Palm Avenue,1,12.75,Regular,6
1532 20th Street,2,19.70,Pool,8
4275 First Street,2,11.96,Pool,8
930 Admiral Callaghan Lane,1,14.49,Pool,7
1737 Santa Rita Road #200,3,22.10,Pool,6
1734 El Camino Real,2,20.90,Pool,8
18478 Prospect Road,1,7.79,Pool,5
1532 20th Street,1,32.99,Luxury,13
20686 Homestead Road,1,15.46,Pool,9
1880 Solano Avenue,1,13.24,Pool,3
2485 De La Cruz Boulevard,1,10.61,Regular,4
1637 Lincoln Avenue,1,17.48,Pool,7
"4175, 42151 Blacow Road",1,14.13,Pool,8
18615 California 12,1,18.16,Luxury,10
1047 Lincoln Highway suite 101,1,20.22,Luxury,8
"4175, 42151 Blacow Road",1,22.41,Regular,3
44 Montgomery Street #30,1,18.53,Luxury,8
1639 North California Boulevard,1,22.71,Luxury,7
19217 Sonoma Highway,1,9.31,Pool,5
40 Millwood Street,4,44.04,Luxury,12
