check_in_date,destination,has_wifi,hotel_name,number_of_days,number_of_rooms,phone_number,price_per_night,star_rating,street_address
,San Diego,TRUE,Blue Sea Beach Hotel,,,+1 858-488-4700,270,3,707 Pacific Beach Drive
,San Diego,TRUE,Capri By The Sea By All Seasons Resort Lodging,,,+1 858-483-6110,108,3,4767 Ocean Boulevard
,San Francisco,TRUE,Amsterdam Hostel San Francisco,,,+1 415-673-3277,46,1,749 Taylor Street
,San Francisco,TRUE,Argonaut Hotel,,,+1 415-563-0800,88,4,495 Jefferson Street
,San Francisco,TRUE,Beck'S Motor Lodge,,,+1 415-621-8212,50,2,2222 Market Street
,San Francisco,TRUE,Bei Hotel San Francisco,,,+1 415-626-6103,261,3,50 8th Street
,San Francisco,TRUE,Beresford Arms Hotel,,,+1 415-673-2600,306,3,701 Post Street
,San Francisco,TRUE,Casa Loma Hotel,,,+1 415-552-7100,62,2,610 Fillmore Street
,San Francisco,TRUE,Chancellor Hotel On Union Square,,,+1 415-362-2004,105,3,433 Powell Street
,San Francisco,TRUE,Chelsea,,,+1 415-563-5600,100,2,2095 Lombard Street
,San Francisco,TRUE,Comfort Inn By The Bay,,,+1 415-928-5000,48,2,2775 Van Ness Avenue
,San Francisco,TRUE,Cornell Hotel De France,,,+1 415-421-3154,270,3,715 Bush Street
,San Francisco,TRUE,Amsterdam Hostel San Francisco,,,+1 415-673-3277,72,1,749 Taylor Street
,London,FALSE,45 Park Lane,,,+44 20 7493 4545,190,5,45 Park Lane
,London,FALSE,Abc Hyde Park Hotel,,,+44 20 7706 4660,270,3,121 Sussex Gardens
,London,FALSE,Abercorn House,,,+44 20 8563 8692,58,1,28-30 Bute Gardens
,London,FALSE,Accommodation London Bridge,,,+44 20 7403 4299,351,3,58 Great Dover Street
,London,FALSE,Ace Hotel London,,,+44 20 7613 9800,408,4,100 Shoreditch High Street
,London,FALSE,Airways Hotel London Victoria,,,+44 20 7834 0205,222,3,29-31 Saint George's Drive
,London,FALSE,Amba Hotel Charing Cross,,,+44 871 376 9012,168,4,Strand
,London,FALSE,Amba Hotel Marble Arch,,,+44 800 330 8523,200,4,Bryanston Street
,London,FALSE,Ambassadors Bloomsbury Hotel,,,+44 20 7388 9930,140,4,12 Upper Woburn Place
,London,FALSE,Ambassadors Hotel,,,+44 20 7373 1075,189,3,16 Collingham Road
,London,FALSE,Abc Hyde Park Hotel,,,+44 20 7706 4660,81,3,121 Sussex Gardens
,Paris,FALSE,Ac Hotel By Marriott Paris Porte Maillot,,,+33 1 84 82 49 09,184,1,"6 Rue Gustave Charpentier, 75017"
,Paris,FALSE,Amastan Paris,,,+33 1 49 52 99 70,124,1,"34 Rue Jean Mermoz, 75008"
,Paris,FALSE,Aparthotel Adagio Access Paris La Villette,,,+33 1 44 72 42 00,156,1,"28bis Avenue Corentin Cariou, 75019"
,Paris,FALSE,Aparthotel Adagio Paris Montmartre,,,+33 1 42 57 14 55,174,1,"10 Place Charles Dullin, 75018"
,Paris,FALSE,Austin'S Saint Lazare HoTel,,,+33 1 48 74 48 71,111,1,"26 Rue d'Amsterdam, 75009"
,Paris,FALSE,Avalon Hotel Paris Gare Du Nord,,,+33 1 42 85 50 00,180,1,"131 Boulevard de Magenta, 75010"
,Paris,FALSE,Best Western Bretagne Montparnasse,,,+33 1 45 38 52 59,348,1,"33 Rue Raymond Losserand, 75014"
,Paris,FALSE,Bob Hotel By Elegancia,,,+33 1 40 43 02 33,80,1,"30 Rue Pernety, 75014"
,Paris,FALSE,Brach Paris,,,+33 1 44 30 10 00,260,1,"1-7 Rue Jean Richepin, 75016"
,Paris,FALSE,Buddha-Bar Hotel Paris,,,+33 1 83 96 88 88,170,1,"4 Rue d'Anjou, 75008"
,London,FALSE,45 Park Lane,,,+44 20 7493 4545,190,3,45 Park Lane
,London,FALSE,Ace Hotel London,,,+44 20 7613 9800,408,3,100 Shoreditch High Street
,London,FALSE,Amba Hotel Charing Cross,,,+44 871 376 9012,168,3,Strand
,London,FALSE,Amba Hotel Marble Arch,,,+44 800 330 8523,200,3,Bryanston Street
,London,FALSE,Ambassadors Bloomsbury Hotel,,,+44 20 7388 9930,140,3,12 Upper Woburn Place
,London,FALSE,Apex City Of London Hotel,,,+44 20 7702 2020,192,3,1 Seething Lane
,London,FALSE,45 Park Lane,,,+44 20 7493 4545,525,3,45 Park Lane
,New York,TRUE,1 Hotel Brooklyn Bridge,,,+1 833-625-6111,80,4,"60 Furman Street, Brooklyn"
,New York,TRUE,1 Hotel Central Park,,,+1 212-703-2001,150,5,1414 6th Avenue
,New York,TRUE,11 Howard,,,+1 212-235-1111,168,3,11 Howard Street
,New York,TRUE,6 Columbus Hotel,,,+1 212-204-3000,208,4,308 West 58th Street
,New York,TRUE,Ac Hotel New York Times Square,,,+1 212-398-2700,272,4,260 West 40th Street
,New York,TRUE,Ace Hotel,,,+1 212-991-0551,468,4,20 West 29th Street
,New York,TRUE,Adria Hotel & Conference Center,,,+1 718-631-5900,156,3,"221-17 Northern Boulevard, Bayside"
,New York,TRUE,Aka Central Park,,,+1 646-744-3100,152,4,42 West 58th Street
,New York,TRUE,Aka Times Square,,,+1 212-764-5700,80,4,123 West 44th Street
,New York,TRUE,Aka Wall Street,,,+1 212-252-9090,312,4,84 William Street
,Los Angeles,TRUE,Ac Hotel By Marriott Beverly Hills,,,+1 323-852-7000,138,2,6399 Wilshire Boulevard
,Los Angeles,TRUE,Best Western Plus Dragon Gate Inn,,,+1 213-617-3077,136,2,818 North Hill Street
,Los Angeles,TRUE,Beverly Hills Marriott,,,+1 310-553-6561,140,4,1150 South Beverly Drive
,Los Angeles,TRUE,Beverly Laurel Motor Hotel,,,+1 800-947-7666,80,2,8018 Beverly Boulevard
,Los Angeles,TRUE,Courtyard By Marriott Los Angeles Century City/Beverly Hills,,,+1 310-556-2777,126,3,10320 West Olympic Boulevard
,Los Angeles,TRUE,Courtyard By Marriott Los Angeles L.A. Live,,,+1 213-443-9222,144,3,901 West Olympic Boulevard
,Los Angeles,TRUE,Courtyard By Marriott Los Angeles Lax/Century Boulevard,,,+1 310-649-1400,234,3,6161 West Century Boulevard
,Los Angeles,TRUE,Crowne Plaza Los Angeles Airport,,,+1 310-642-7500,288,4,5985 West Century Boulevard
,Los Angeles,TRUE,Dunes Inn - Wilshire,,,+1 323-938-3617,186,2,4300 Wilshire Boulevard
,Los Angeles,TRUE,Embassy Suites By Hilton Los Angeles International Airport North,,,+1 310-215-1000,228,3,9801 Airport Boulevard
,Kuala Lumpur,FALSE,Alila Bangsar,,,+60 3-2268 3888,465,5,"East Side, 58, Jalan Ang Seng, Brickfields, 50470"
,Kuala Lumpur,FALSE,Aloft Kuala Lumpur Sentral,,,+60 3-2723 1188,256,4,"No. 5, Jalan Stesen Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan"
,Kuala Lumpur,FALSE,Ancasa Hotel & Spa Kuala Lumpur,,,+60 3-2026 6060,279,3,"Jalan Tun Tan Cheng Lock, City Centre, 50500 Kuala Lumpur, Wilayah Persekutuan"
,Kuala Lumpur,FALSE,Arenaa Star Hotel,,,+60 3-2078 0988,114,3,"49-51, Jalan Hang Lekiu, 50100"
,Kuala Lumpur,FALSE,Banyan Tree Kuala Lumpur,,,+60 3-2113 1888,135,5,"2, Jalan Conlay, 50450 Kuala Lumpur, Wilayah Persekutuan"
,Kuala Lumpur,FALSE,Citin Hotel Masjid Jamek,,,+60 3-2693 2999,288,3,"33, Jalan Melayu, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan"
,Kuala Lumpur,FALSE,Cititel Mid Valley,,,+60 3-2296 1188,243,3,"Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan"
,Kuala Lumpur,FALSE,Concorde Hotel Kuala Lumpur,,,+60 3-2144 2200,132,4,"2, Jalan Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan"
,Kuala Lumpur,FALSE,Container Hotel,,,+60 12-702 2851,148,2,"Jalan Delima, Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan"
,Kuala Lumpur,FALSE,Corus Hotel Kuala Lumpur,,,+60 3-2161 8888,124,4,"Jalan Ampang, Hampshire Park, 50450 Kuala Lumpur, Wilayah Persekutuan"
,New York,TRUE,1 Hotel Central Park,,,+1 212-703-2001,420,5,1414 6th Avenue
,Delhi,FALSE,Aloft New Delhi Aerocity,,,+91 11 4565 0000,152,4,"5B Igi T3 Road, Delhi - Ajmer Expressway, Aerocity, New Delhi"
,Delhi,FALSE,Andaz Delhi - A Concept By Hyatt,,,+91 11 4903 1234,135,5,"Asset, Street Number 1, New Delhi"
,Delhi,FALSE,Bloomrooms @ New Delhi Railway Station,,,+91 11 4122 5666,192,3,"8591, Arakashan Road, Opp New Delhi Railway Station, New Delhi"
,Delhi,FALSE,Calista Resort,,,+91 11 4103 4591,342,3,"37/2-4 Old, National Highway 48, Kapas Hera, New Delhi"
,Delhi,FALSE,Crowne Plaza New Delhi Mayur Vihar Noida,,,+91 11 4110 2222,240,4,"13 B, District Centre, Mayur Vihar, New Delhi"
,Delhi,FALSE,Crowne Plaza New Delhi Okhla,,,+91 11 4646 2000,175,5,"Plot No 1, Community Center, Okhla Phase I, New Delhi"
,Delhi,FALSE,Deemarks Hotel & Resorts Conference Venues Corporate Event In Mahipalpur Near Airport In South Delhi,,,+91 11 2506 0721,225,3,"Shiv Murti, Nh-8, Delhi - Jaipur Expressway, Rangpuri, New Delhi"
,Delhi,FALSE,"Four Points By Sheraton New Delhi, Airport Highway",,,+91 11 6604 0000,80,4,"Plot no 9, National Highway - 8, Samalka, New Delhi"
,Delhi,FALSE,Haveli Dharampura,,,+91 11 2326 1000,200,4,"Haveli Dharampura, 2293, Gali Gulian, Chandni Chowk, New Delhi"
,Delhi,FALSE,Hilton Garden Inn New Delhi/Saket,,,+91 11 3919 1919,384,4,"A4, DLF Place, Saket District Centre, New Delhi"
,Delhi,FALSE,Aloft New Delhi Aerocity,,,+91 11 4565 0000,152,1,"5B Igi T3 Road, Delhi - Ajmer Expressway, Aerocity, New Delhi"
,Delhi,FALSE,Andaz Delhi - A Concept By Hyatt,,,+91 11 4903 1234,135,1,"Asset, Street Number 1, New Delhi"
,Delhi,FALSE,Bloomrooms @ New Delhi Railway Station,,,+91 11 4122 5666,192,1,"8591, Arakashan Road, Opp New Delhi Railway Station, New Delhi"
,Delhi,FALSE,Calista Resort,,,+91 11 4103 4591,342,1,"37/2-4 Old, National Highway 48, Kapas Hera, New Delhi"
,Delhi,FALSE,Crowne Plaza New Delhi Mayur Vihar Noida,,,+91 11 4110 2222,240,1,"13 B, District Centre, Mayur Vihar, New Delhi"
,Delhi,FALSE,Crowne Plaza New Delhi Okhla,,,+91 11 4646 2000,175,1,"Plot No 1, Community Center, Okhla Phase I, New Delhi"
,Delhi,FALSE,Deemarks Hotel & Resorts Conference Venues Corporate Event In Mahipalpur Near Airport In South Delhi,,,+91 11 2506 0721,225,1,"Shiv Murti, Nh-8, Delhi - Jaipur Expressway, Rangpuri, New Delhi"
,Delhi,FALSE,"Four Points By Sheraton New Delhi, Airport Highway",,,+91 11 6604 0000,80,1,"Plot no 9, National Highway - 8, Samalka, New Delhi"
,Delhi,FALSE,Haveli Dharampura,,,+91 11 2326 1000,200,1,"Haveli Dharampura, 2293, Gali Gulian, Chandni Chowk, New Delhi"
,Delhi,FALSE,Hilton Garden Inn New Delhi/Saket,,,+91 11 3919 1919,384,1,"A4, DLF Place, Saket District Centre, New Delhi"
,San Francisco,TRUE,Argonaut Hotel,,,+1 415-563-0800,248,1,495 Jefferson Street
,San Francisco,TRUE,Beck'S Motor Lodge,,,+1 415-621-8212,132,1,2222 Market Street
,San Francisco,TRUE,Bei Hotel San Francisco,,,+1 415-626-6103,261,1,50 8th Street
,San Francisco,TRUE,Beresford Arms Hotel,,,+1 415-673-2600,306,1,701 Post Street
,San Francisco,TRUE,Casa Loma Hotel,,,+1 415-552-7100,210,1,610 Fillmore Street
,San Francisco,TRUE,Chancellor Hotel On Union Square,,,+1 415-362-2004,174,1,433 Powell Street
,San Francisco,TRUE,Chelsea,,,+1 415-563-5600,100,1,2095 Lombard Street
,San Francisco,TRUE,Comfort Inn By The Bay,,,+1 415-928-5000,204,1,2775 Van Ness Avenue
,San Francisco,TRUE,Argonaut Hotel,,,+1 415-563-0800,88,1,495 Jefferson Street
,San Francisco,TRUE,Beck'S Motor Lodge,,,+1 415-621-8212,50,1,2222 Market Street
,San Francisco,TRUE,Casa Loma Hotel,,,+1 415-552-7100,62,1,610 Fillmore Street
,San Francisco,TRUE,Chancellor Hotel On Union Square,,,+1 415-362-2004,105,1,433 Powell Street
,Chicago,TRUE,Ac Hotel By Marriott Chicago Downtown,,,+1 312-981-6600,216,3,630 North Rush Street
,Chicago,TRUE,Ace Hotel Chicago,,,+1 312-764-1919,112,3,311 North Morgan Street
,Chicago,TRUE,Acme Hotel Company Chicago,,,+1 312-894-0800,150,3,15 East Ohio Street
,Chicago,TRUE,Aloft Chicago Downtown River North,,,+1 312-661-1000,315,3,515 North Clark Street
,Chicago,TRUE,Aloft Chicago Mag Mile,,,+1 312-429-6600,78,3,243 East Ontario Street
,Chicago,TRUE,Ambassador Chicago,,,+1 888-506-3471,296,3,1301 North State Parkway
,Chicago,TRUE,Best Western River North Hotel,,,+1 312-467-0800,180,3,125 West Ohio Street
,Chicago,TRUE,Cambria Hotel Chicago Magnificent Mile,,,+1 312-787-6000,360,3,166 East Superior Street
,Chicago,TRUE,Chicago Athletic Association,,,+1 312-940-3552,92,3,12 South Michigan Avenue
,Chicago,TRUE,Chicago Lake Shore Hotel,,,+1 773-288-5800,288,3,"3250, 4900B South Lake Shore Drive"
,Chicago,TRUE,Ace Hotel Chicago,,,+1 312-764-1919,300,3,311 North Morgan Street
,Chicago,TRUE,Acme Hotel Company Chicago,,,+1 312-894-0800,207,3,15 East Ohio Street
,Chicago,TRUE,Aloft Chicago Mag Mile,,,+1 312-429-6600,252,3,243 East Ontario Street
,Chicago,TRUE,Ambassador Chicago,,,+1 888-506-3471,420,3,1301 North State Parkway
,Chicago,TRUE,Chicago Athletic Association,,,+1 312-940-3552,252,3,12 South Michigan Avenue
,New York,TRUE,1 Hotel Brooklyn Bridge,,,+1 833-625-6111,232,4,"60 Furman Street, Brooklyn"
,New York,TRUE,1 Hotel Central Park,,,+1 212-703-2001,495,5,1414 6th Avenue
,New York,TRUE,Aka Central Park,,,+1 646-744-3100,168,4,42 West 58th Street
,New York,TRUE,Aka Times Square,,,+1 212-764-5700,216,4,123 West 44th Street
,Phoenix,TRUE,Aloft Phoenix-Airport,,,+1 602-275-6300,180,3,4450 East Washington Street
,Phoenix,TRUE,Arizona Grand Resort & Spa,,,+1 602-426-2638,208,4,8000 Arizona Grand Parkway
,Phoenix,TRUE,Cambria Hotel North Scottsdale Desert Ridge,,,+1 480-585-6644,204,3,4425 E Irma Ln&nbsp
,Phoenix,TRUE,Comfort Suites Phoenix North,,,+1 602-861-3900,116,2,10210 North 26th Drive
,Phoenix,TRUE,Courtyard By Marriott Phoenix Downtown,,,+1 602-603-2001,324,3,132 South Central Avenue
,Phoenix,TRUE,Crowne Plaza Phoenix Airport,,,+1 602-273-7778,207,3,4300 East Washington Street
,Phoenix,TRUE,Days Inn By Wyndham Airport - Phoenix,,,+1 800-615-3107,58,2,2900 East Van Buren Street
,Phoenix,TRUE,Doubletree Suites By Hilton Hotel Phoenix,,,+1 602-225-0500,261,3,320 North 44th Street
,Phoenix,TRUE,Drury Inn & Suites Phoenix Airport,,,+1 602-437-8400,72,3,3333 East University Drive
,Phoenix,TRUE,Drury Inn & Suites Phoenix Happy Valley,,,+1 623-879-8800,117,3,2335 West Pinnacle Peak Road
,Phoenix,TRUE,Aloft Phoenix-Airport,,,+1 602-275-6300,180,2,4450 East Washington Street
,Phoenix,TRUE,Arizona Grand Resort & Spa,,,+1 602-426-2638,208,2,8000 Arizona Grand Parkway
,Phoenix,TRUE,Cambria Hotel North Scottsdale Desert Ridge,,,+1 480-585-6644,204,2,4425 E Irma Ln&nbsp
,Phoenix,TRUE,Courtyard By Marriott Phoenix Downtown,,,+1 602-603-2001,324,2,132 South Central Avenue
,Phoenix,TRUE,Crowne Plaza Phoenix Airport,,,+1 602-273-7778,207,2,4300 East Washington Street
,Phoenix,TRUE,Doubletree Suites By Hilton Hotel Phoenix,,,+1 602-225-0500,261,2,320 North 44th Street
,Phoenix,TRUE,Drury Inn & Suites Phoenix Airport,,,+1 602-437-8400,72,2,3333 East University Drive
,Phoenix,TRUE,Drury Inn & Suites Phoenix Happy Valley,,,+1 623-879-8800,117,2,2335 West Pinnacle Peak Road
,Delhi,FALSE,Aloft New Delhi Aerocity,,,+91 11 4565 0000,124,4,"5B Igi T3 Road, Delhi - Ajmer Expressway, Aerocity, New Delhi"
,Paris,FALSE,Ac Hotel By Marriott Paris Porte Maillot,,,+33 1 84 82 49 09,96,1,"6 Rue Gustave Charpentier, 75017"
,London,FALSE,45 Park Lane,,,+44 20 7493 4545,190,2,45 Park Lane
,London,FALSE,Abc Hyde Park Hotel,,,+44 20 7706 4660,270,2,121 Sussex Gardens
,London,FALSE,Accommodation London Bridge,,,+44 20 7403 4299,351,2,58 Great Dover Street
,London,FALSE,Ace Hotel London,,,+44 20 7613 9800,408,2,100 Shoreditch High Street
,London,FALSE,Airways Hotel London Victoria,,,+44 20 7834 0205,222,2,29-31 Saint George's Drive
,London,FALSE,Amba Hotel Charing Cross,,,+44 871 376 9012,168,2,Strand
,London,FALSE,Amba Hotel Marble Arch,,,+44 800 330 8523,200,2,Bryanston Street
,London,FALSE,Ambassadors Bloomsbury Hotel,,,+44 20 7388 9930,140,2,12 Upper Woburn Place
,London,FALSE,Ambassadors Hotel,,,+44 20 7373 1075,189,2,16 Collingham Road
,London,FALSE,Apex City Of London Hotel,,,+44 20 7702 2020,192,2,1 Seething Lane
,Paris,FALSE,Ac Hotel By Marriott Paris Porte Maillot,,,+33 1 84 82 49 09,184,4,"6 Rue Gustave Charpentier, 75017"
,Paris,FALSE,Amastan Paris,,,+33 1 49 52 99 70,124,4,"34 Rue Jean Mermoz, 75008"
,Paris,FALSE,Best Western Bretagne Montparnasse,,,+33 1 45 38 52 59,348,4,"33 Rue Raymond Losserand, 75014"
,Paris,FALSE,Bob Hotel By Elegancia,,,+33 1 40 43 02 33,80,4,"30 Rue Pernety, 75014"
,Paris,FALSE,Brach Paris,,,+33 1 44 30 10 00,260,4,"1-7 Rue Jean Richepin, 75016"
,Paris,FALSE,Buddha-Bar Hotel Paris,,,+33 1 83 96 88 88,170,4,"4 Rue d'Anjou, 75008"
,Paris,FALSE,C.O.Q Hotel Paris,,,+33 1 45 86 35 99,384,4,"15 Rue Edouard Manet, 75013"
,Paris,FALSE,Declic Hotel Paris,,,+33 1 46 06 17 66,96,4,"17 Rue Duhesme, 75018"
,Paris,FALSE,First Hotel,,,+33 1 43 06 93 26,132,4,"2 Boulevard Garibaldi, 75015"
,Paris,FALSE,Grand Hotel Saint Michel,,,+33 1 46 33 33 02,148,4,"19 Rue Cujas, 75005"
,London,FALSE,45 Park Lane,,,+44 20 7493 4545,525,2,45 Park Lane
,London,FALSE,Ambassadors Bloomsbury Hotel,,,+44 20 7388 9930,264,2,12 Upper Woburn Place
,London,FALSE,Accommodation London Bridge,,,+44 20 7403 4299,252,2,58 Great Dover Street
,Las Vegas,TRUE,Best Western Plus Las Vegas West,,,+1 702-256-3766,105,3,8669 West Sahara Avenue
,Las Vegas,TRUE,Budget Suites Of America,,,+1 702-638-1800,23,1,2219 North Rancho Drive
,Las Vegas,TRUE,Hampton Inn Las Vegas/Summerlin,,,+1 702-360-5700,252,3,7100 Cascade Valley Court
,Las Vegas,TRUE,La Quinta Inn & Suites By Wyndham Las Vegas Summerlin Tech,,,+1 702-360-1200,92,2,7101 Cascade Valley Court
,Las Vegas,TRUE,Oasis At Gold Spike,,,+1 702-768-9823,108,3,217 Las Vegas Boulevard North
,Las Vegas,TRUE,Thunderbird Boutique Hotel,,,+1 702-489-7500,40,2,1215 South Las Vegas Boulevard
,Las Vegas,TRUE,Best Western Plus Las Vegas West,,,+1 702-256-3766,138,3,8669 West Sahara Avenue
,New York,TRUE,1 Hotel Brooklyn Bridge,,,+1 833-625-6111,80,2,"60 Furman Street, Brooklyn"
,New York,TRUE,1 Hotel Central Park,,,+1 212-703-2001,150,2,1414 6th Avenue
,New York,TRUE,11 Howard,,,+1 212-235-1111,168,2,11 Howard Street
,New York,TRUE,6 Columbus Hotel,,,+1 212-204-3000,208,2,308 West 58th Street
,New York,TRUE,Ac Hotel New York Times Square,,,+1 212-398-2700,272,2,260 West 40th Street
,New York,TRUE,Ace Hotel,,,+1 212-991-0551,468,2,20 West 29th Street
,New York,TRUE,Adria Hotel & Conference Center,,,+1 718-631-5900,156,2,"221-17 Northern Boulevard, Bayside"
,New York,TRUE,Aka Central Park,,,+1 646-744-3100,152,2,42 West 58th Street
,New York,TRUE,Aka Times Square,,,+1 212-764-5700,80,2,123 West 44th Street
,New York,TRUE,Aka Wall Street,,,+1 212-252-9090,312,2,84 William Street
,New York,TRUE,11 Howard,,,+1 212-235-1111,198,2,11 Howard Street
,Paris,FALSE,Aparthotel Adagio Access Paris La Villette,,,+33 1 44 72 42 00,156,3,"28bis Avenue Corentin Cariou, 75019"
,Paris,FALSE,Aparthotel Adagio Paris Montmartre,,,+33 1 42 57 14 55,174,3,"10 Place Charles Dullin, 75018"
,Paris,FALSE,Austin'S Saint Lazare HoTel,,,+33 1 48 74 48 71,111,3,"26 Rue d'Amsterdam, 75009"
,Paris,FALSE,Avalon Hotel Paris Gare Du Nord,,,+33 1 42 85 50 00,180,3,"131 Boulevard de Magenta, 75010"
,Paris,FALSE,Brach Paris,,,+33 1 44 30 10 00,260,5,"1-7 Rue Jean Richepin, 75016"
,Paris,FALSE,Buddha-Bar Hotel Paris,,,+33 1 83 96 88 88,170,5,"4 Rue d'Anjou, 75008"
,Paris,FALSE,Ac Hotel By Marriott Paris Porte Maillot,,,+33 1 84 82 49 09,276,2,"6 Rue Gustave Charpentier, 75017"
,Paris,FALSE,Amastan Paris,,,+33 1 49 52 99 70,432,2,"34 Rue Jean Mermoz, 75008"
,Paris,FALSE,Aparthotel Adagio Access Paris La Villette,,,+33 1 44 72 42 00,306,2,"28bis Avenue Corentin Cariou, 75019"
,Paris,FALSE,Aparthotel Adagio Paris Montmartre,,,+33 1 42 57 14 55,198,2,"10 Place Charles Dullin, 75018"
,Paris,FALSE,Austin'S Saint Lazare HoTel,,,+33 1 48 74 48 71,234,2,"26 Rue d'Amsterdam, 75009"
,Paris,FALSE,Avalon Hotel Paris Gare Du Nord,,,+33 1 42 85 50 00,180,2,"131 Boulevard de Magenta, 75010"
