average_rating,check_in_date,check_out_date,hotel_name,location,number_of_rooms,pets_welcome,phone_number,price,street_address
4.1,,,Furama Bukit Bintang,Kuala Lumpur,,FALSE,+60 3-2788 8888,3696,"136, Jalan Changkat Thambi Dollah, Pudu, 55100 Kuala Lumpur, Wilayah Persekutuan"
3.8,,,Travelodge London Farringdon,London,,TRUE,+44 871 984 6274,702,10 - 42 King's Cross Road
3.9,,,Eurostars Wall Street,New York,,FALSE,+1 212-742-0003,1332,129 Front Street
4.4,,,Hotel Indigo Atlanta Downtown,Atlanta,,TRUE,+1 404-523-7600,2496,230 Peachtree Street
4.3,,,"Victory House, London Leicester Square",London,,FALSE,+44 20 3909 4100,1008,14 Leicester Place
3.4,,,Travelodge Seattle By The Space Needle,Seattle,,FALSE,+1 206-962-8678,1224,200 6th Avenue North
3.5,,,Travelodge London Battersea,London,,TRUE,+44 871 984 6189,1512,200 York Road
3.9,,,Piccadilly Inn Airport,Fresno,,FALSE,+1 559-375-7760,666,5115 East McKinley Avenue
4,,,Clarion Inn & Suites Atlanta Downtown,Atlanta,,FALSE,+1 404-893-4663,720,186 Northside Drive Southwest
3.8,,,Best Western Jfk Airport Hotel,New York,,FALSE,+1 718-977-2100,2340,"14425 153rd Lane, Jamaica"
3.9,,,Comfort Inn Buckingham Palace Road,London,,FALSE,+44 20 7834 2988,828,10 Saint George's Drive
2.6,,,Hotel Paris Bercy,Paris,,FALSE,+33 1 43 43 31 91,588,"21 Rue de Wattignies, 75012"
4,,,Nu Hotel,Kuala Lumpur,,FALSE,+60 3-2274 9000,2592,"37, Jalan Thambipillay, Brickfields, 50470 Kuala Lumpur, Wilayah Persekutuan"
4.2,,,Beverly Hills Marriott,Los Angeles,,FALSE,+1 310-553-6561,1472,1150 South Beverly Drive
4.3,,,Vibe Hotel North Sydney,Sydney,,FALSE,+61 2 9955 1111,1764,"171 Pacific Highway, North"
4.5,,,Alila Bangsar,Kuala Lumpur,,FALSE,+60 3-2268 3888,240,"East Side, 58, Jalan Ang Seng, Brickfields, 50470"
4.4,,,Aloft Kuala Lumpur Sentral,Kuala Lumpur,,FALSE,+60 3-2723 1188,5616,"No. 5, Jalan Stesen Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan"
3.9,,,Ancasa Hotel & Spa Kuala Lumpur,Kuala Lumpur,,FALSE,+60 3-2026 6060,198,"Jalan Tun Tan Cheng Lock, City Centre, 50500 Kuala Lumpur, Wilayah Persekutuan"
3.5,,,Arenaa Star Hotel,Kuala Lumpur,,FALSE,+60 3-2078 0988,1080,"49-51, Jalan Hang Lekiu, 50100"
4.8,,,Banyan Tree Kuala Lumpur,Kuala Lumpur,,FALSE,+60 3-2113 1888,480,"2, Jalan Conlay, 50450 Kuala Lumpur, Wilayah Persekutuan"
3.7,,,Citin Hotel Masjid Jamek,Kuala Lumpur,,FALSE,+60 3-2693 2999,3159,"33, Jalan Melayu, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan"
4,,,Cititel Mid Valley,Kuala Lumpur,,FALSE,+60 3-2296 1188,552,"Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan"
4.2,,,Concorde Hotel Kuala Lumpur,Kuala Lumpur,,FALSE,+60 3-2144 2200,2268,"2, Jalan Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan"
4,,,Container Hotel,Kuala Lumpur,,FALSE,+60 12-702 2851,2072,"Jalan Delima, Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan"
4,,,Corus Hotel Kuala Lumpur,Kuala Lumpur,,FALSE,+60 3-2161 8888,336,"Jalan Ampang, Hampshire Park, 50450 Kuala Lumpur, Wilayah Persekutuan"
3.9,,,Ancasa Hotel & Spa Kuala Lumpur,Kuala Lumpur,,FALSE,+60 3-2026 6060,1404,"Jalan Tun Tan Cheng Lock, City Centre, 50500 Kuala Lumpur, Wilayah Persekutuan"
3.7,,,Atrium Inn Vancouver,Vancouver,,TRUE,+1 604-254-1000,990,2889 East Hastings Street
4.1,,,Auberge Vancouver Hotel,Vancouver,,FALSE,+1 604-678-8899,2760,837 West Hastings Street
4.1,,,Best Western Plus Chateau Granville Hotel & Suites & Conference Ctr.,Vancouver,,TRUE,+1 604-669-7070,2232,1100 Granville Street
4,,,Best Western Plus Sands,Vancouver,,TRUE,+1 604-682-1831,1768,1755 Davie Street
4.3,,,Blue Horizon Hotel,Vancouver,,FALSE,+1 604-688-1411,2736,1225 Robson Street
4.3,,,Coast Coal Harbour Vancouver Hotel By Apa,Vancouver,,TRUE,+1 604-697-0202,348,1180 West Hastings Street
3.5,,,Coast Vancouver Airport Hotel,Vancouver,,FALSE,+1 604-263-1555,918,1041 Southwest Marine Drive
3.2,,,Days Inn By Wyndham Vancouver Downtown,Vancouver,,FALSE,+1 604-681-4335,621,921 West Pender Street
4.5,,,Delta Hotels By Marriott Vancouver Downtown Suites,Vancouver,,TRUE,+1 844-254-5048,1800,550 West Hastings Street
4.4,,,Exchange Hotel Vancouver,Vancouver,,FALSE,+1 604-563-4693,1632,475 Howe Street
4.4,,,Georgian Court Hotel,Vancouver,,TRUE,+1 800-663-1155,1056,773 Beatty Street
4.4,,,Hampton Inn & Suites,Vancouver,,TRUE,+1 604-602-1008,2112,111 Robson Street
4.4,,,Hotel Blu Vancouver,Vancouver,,TRUE,+1 604-620-6200,1116,177 Robson Street
4.7,,,L'Hermitage Vancouver,Vancouver,,TRUE,+1 888-855-1050,1716,788 Richards Street
4.7,,,Loden Hotel,Vancouver,,TRUE,+1 604-669-5060,1296,1177 Melville Street
4.3,,,Bahia Resort Hotel,San Diego,,TRUE,+1 858-539-8666,1232,998 West Mission Bay Drive
3.8,,,Best Western Mission Bay,San Diego,,TRUE,+1 619-275-5700,1440,2575 Clairemont Drive
4.3,,,Best Western Plus Bayside Inn,San Diego,,FALSE,+1 619-233-7500,2000,555 West Ash Street
4.2,,,Best Western Plus Hacienda Hotel Old Town,San Diego,,FALSE,+1 619-298-4707,720,4041 Harney Street
4.5,,,Best Western Plus Island Palms Hotel & Marina,San Diego,,FALSE,+1 619-222-0561,2072,2051 Shelter Island Drive
3.9,,,Best Western San Diego/Miramar Hotel,San Diego,,FALSE,+1 858-578-6600,4212,9310 Kearny Mesa Road
3.7,,,Best Western Seven Seas,San Diego,,FALSE,+1 619-291-1300,1800,411 Hotel Circle South
4,,,Best Western Yacht Harbor Hotel,San Diego,,FALSE,+1 619-224-3254,720,5005 North Harbor Drive
4.4,,,Blue Sea Beach Hotel,San Diego,,FALSE,+1 858-488-4700,928,707 Pacific Beach Drive
4.3,,,Capri By The Sea By All Seasons Resort Lodging,San Diego,,FALSE,+1 858-483-6110,1104,4767 Ocean Boulevard
4.5,,,1 Hotel Brooklyn Bridge,New York,,TRUE,+1 833-625-6111,4884,"60 Furman Street, Brooklyn"
4.5,,,1 Hotel Central Park,New York,,TRUE,+1 212-703-2001,1944,1414 6th Avenue
4.3,,,11 Howard,New York,,FALSE,+1 212-235-1111,432,11 Howard Street
4,,,6 Columbus Hotel,New York,,TRUE,+1 212-204-3000,3536,308 West 58th Street
4.5,,,Ac Hotel New York Times Square,New York,,FALSE,+1 212-398-2700,496,260 West 40th Street
4.3,,,Ace Hotel,New York,,TRUE,+1 212-991-0551,3960,20 West 29th Street
3.9,,,Adria Hotel & Conference Center,New York,,FALSE,+1 718-631-5900,684,"221-17 Northern Boulevard, Bayside"
4.4,,,Aka Central Park,New York,,FALSE,+1 646-744-3100,2352,42 West 58th Street
4.4,,,Aka Times Square,New York,,TRUE,+1 212-764-5700,1728,123 West 44th Street
4.6,,,Aka Wall Street,New York,,FALSE,+1 212-252-9090,744,84 William Street
4,,,Aloft Atlanta Downtown,Atlanta,,TRUE,+1 678-515-0300,456,300 Ted Turner Drive Northwest
3.3,,,"Country Inn & Suites By Radisson, Atlanta Downtown South At Turner Field, Ga",Atlanta,,TRUE,+1 404-658-1961,1209,759 Pollard Boulevard Southwest
3.9,,,Crowne Plaza Atlanta - Midtown,Atlanta,,TRUE,+1 404-877-9000,2178,590 West Peachtree Street Northwest
4.2,,,Home2 Suites By Hilton Atlanta Downtown,Atlanta,,TRUE,+1 404-965-7992,3840,87 Walton Street Northwest
4.4,,,Hotel Indigo Atlanta Downtown,Atlanta,,TRUE,+1 404-523-7600,2736,230 Peachtree Street
4.3,,,Hyatt Centric Midtown Atlanta,Atlanta,,TRUE,+1 404-443-1234,3848,125 10th Street Northeast
4.3,,,Hyatt House Atlanta/Downtown,Atlanta,,TRUE,+1 404-332-5522,3120,431 Marietta Street NorthWest
4.1,,,Hyatt Place Atlanta/Buckhead,Atlanta,,TRUE,+1 404-869-6161,1200,3242 Peachtree Road Northeast
4.2,,,Hyatt Place Atlanta/Downtown,Atlanta,,TRUE,+1 404-577-1980,1320,330 Peachtree Street Northeast
3.9,,,La Quinta Inn & Suites By Wyndham Atlanta Midtown - Buckhead,Atlanta,,TRUE,+1 404-321-0999,675,2535 Chantilly Drive Northeast
4.1,,,Adina Apartment Hotel Sydney Darling Harbour,Sydney,,FALSE,+61 2 9249 7000,2880,55 Shelley Street
4,,,Adina Apartment Hotel Sydney Town Hall,Sydney,,FALSE,+61 2 9274 0000,1176,511 Kent Street
3.6,,,Adina Serviced Apartments Sydney Martin Place (Formerly Medina),Sydney,,FALSE,+61 1300 633 462,1701,1 Hosking Place
4.3,,,Amora Hotel,Sydney,,FALSE,+61 2 9696 2500,4212,11 Jamison Street
3.6,,,Base Backpackers Sydney,Sydney,,FALSE,+61 1800 242 273,279,477 Kent Street
2.9,,,Breakfree On Clarence,Sydney,,FALSE,+61 2 8017 8888,1664,193-195 Clarence Street
3.6,,,Breakfree On George,Sydney,,FALSE,+61 132007,3240,653 George Street
4.1,,,Courtyard By Marriott Sydney-North Ryde,Sydney,,FALSE,+61 2 9491 9500,768,7-11 Talavera Road North Ryde
4.2,,,Establishment Hotel,Sydney,,FALSE,+61 2 9240 3100,3024,5 Bridge Lane
4.4,,,Fraser Suites Sydney,Sydney,,FALSE,+61 2 8823 8888,2784,488 Kent Street
4.3,,,Ac Hotel By Marriott Chicago Downtown,Chicago,,TRUE,+1 312-981-6600,320,630 North Rush Street
4.6,,,Ace Hotel Chicago,Chicago,,TRUE,+1 312-764-1919,1440,311 North Morgan Street
4.5,,,Acme Hotel Company Chicago,Chicago,,FALSE,+1 312-894-0800,3552,15 East Ohio Street
4.5,,,Aloft Chicago Downtown River North,Chicago,,TRUE,+1 312-661-1000,960,515 North Clark Street
3.9,,,Aloft Chicago Mag Mile,Chicago,,TRUE,+1 312-429-6600,1053,243 East Ontario Street
4.2,,,Ambassador Chicago,Chicago,,FALSE,+1 888-506-3471,3552,1301 North State Parkway
3.9,,,Best Western Grant Park Hotel,Chicago,,FALSE,+1 312-922-2900,207,1100 South Michigan Avenue
4.3,,,Best Western Plus Hawthorne Terrace Hotel,Chicago,,TRUE,+1 773-244-3434,2400,3434 N Broadway Ave
4.1,,,Best Western River North Hotel,Chicago,,FALSE,+1 312-467-0800,744,125 West Ohio Street
4.2,,,Cambria Hotel Chicago Magnificent Mile,Chicago,,FALSE,+1 312-787-6000,2728,166 East Superior Street
4.7,,,45 Park Lane,London,,TRUE,+44 20 7493 4545,1344,45 Park Lane
3.2,,,Abc Hyde Park Hotel,London,,FALSE,+44 20 7706 4660,960,121 Sussex Gardens
3.5,,,Abercorn House,London,,FALSE,+44 20 8563 8692,552,28-30 Bute Gardens
4.1,,,Accommodation London Bridge,London,,FALSE,+44 20 7403 4299,1520,58 Great Dover Street
4.3,,,Ace Hotel London,London,,TRUE,+44 20 7613 9800,1400,100 Shoreditch High Street
3.7,,,Airways Hotel London Victoria,London,,FALSE,+44 20 7834 0205,2592,29-31 Saint George's Drive
4.5,,,Amba Hotel Charing Cross,London,,FALSE,+44 871 376 9012,2480,Strand
4.2,,,Amba Hotel Marble Arch,London,,FALSE,+44 800 330 8523,624,Bryanston Street
3.9,,,Ambassadors Bloomsbury Hotel,London,,FALSE,+44 20 7388 9930,720,12 Upper Woburn Place
3,,,Ambassadors Hotel,London,,FALSE,+44 20 7373 1075,198,16 Collingham Road
3.5,,,Abercorn House,London,,FALSE,+44 20 8563 8692,1170,28-30 Bute Gardens
4.2,,,Amba Hotel Marble Arch,London,,FALSE,+44 800 330 8523,1408,Bryanston Street
4.1,,,Anaheim Desert Inn And Suites,Anaheim,,FALSE,+1 714-772-5050,3168,1600 South Harbor Boulevard
4,,,Anaheim Majestic Garden Hotel,Anaheim,,TRUE,+1 714-778-1700,2400,900 South Disneyland Drive
3.9,,,Anaheim Portofino Inn & Suites,Anaheim,,FALSE,+1 800-341-6301,2112,1831 South Harbor Boulevard
4.4,,,Anaheim Rv Park,Anaheim,,TRUE,+1 714-774-3860,3648,200 West Midway Drive
4.5,,,Ayres Hotel Anaheim,Anaheim,,FALSE,+1 714-634-2106,2520,2550 East Katella Avenue
4.4,,,Best Western Plus Anaheim Inn,Anaheim,,FALSE,+1 714-774-1050,1624,1630 South Harbor Boulevard
4.3,,,Best Western Plus Park Place Inn - Mini Suites,Anaheim,,FALSE,+1 714-776-4800,2304,1544 South Harbor Boulevard
4.3,,,Best Western Plus Pavilions,Anaheim,,FALSE,+1 714-776-0140,5460,1176 West Katella Avenue
4.1,,,Best Western Plus Raffles Inn & Suites,Anaheim,,FALSE,+1 714-750-6100,2100,2040 South Harbor Boulevard
4.3,,,Best Western Plus Stovall'S Inn,Anaheim,,FALSE,+1 714-778-1880,528,1110 West Katella Avenue
4.1,,,Anaheim Desert Inn And Suites,Anaheim,,FALSE,+1 714-772-5050,672,1600 South Harbor Boulevard
4.3,,,Ac Hotel By Marriott Paris Porte Maillot,Paris,,TRUE,+33 1 84 82 49 09,1008,"6 Rue Gustave Charpentier, 75017"
4.6,,,Amastan Paris,Paris,,FALSE,+33 1 49 52 99 70,1056,"34 Rue Jean Mermoz, 75008"
3.4,,,Aparthotel Adagio Access Paris La Villette,Paris,,TRUE,+33 1 44 72 42 00,900,"28bis Avenue Corentin Cariou, 75019"
4.1,,,Aparthotel Adagio Paris Montmartre,Paris,,TRUE,+33 1 42 57 14 55,1680,"10 Place Charles Dullin, 75018"
3.7,,,Austin'S Saint Lazare HoTel,Paris,,FALSE,+33 1 48 74 48 71,3267,"26 Rue d'Amsterdam, 75009"
3.7,,,Avalon Hotel Paris Gare Du Nord,Paris,,TRUE,+33 1 42 85 50 00,405,"131 Boulevard de Magenta, 75010"
3.6,,,Best Western Bretagne Montparnasse,Paris,,FALSE,+33 1 45 38 52 59,600,"33 Rue Raymond Losserand, 75014"
4.4,,,Bob Hotel By Elegancia,Paris,,FALSE,+33 1 40 43 02 33,400,"30 Rue Pernety, 75014"
4.1,,,Brach Paris,Paris,,FALSE,+33 1 44 30 10 00,864,"1-7 Rue Jean Richepin, 75016"
4.5,,,Buddha-Bar Hotel Paris,Paris,,TRUE,+33 1 83 96 88 88,936,"4 Rue d'Anjou, 75008"
4.3,,,Ac Hotel By Marriott Paris Porte Maillot,Paris,,TRUE,+33 1 84 82 49 09,1672,"6 Rue Gustave Charpentier, 75017"
4.5,,,Ac Hotel By Marriott Atlanta Buckhead At Phipps Plaza,Atlanta,,FALSE,+1 470-231-3030,2340,3600 Wieuca Road Northeast
4.3,,,Ac Hotel By Marriott Atlanta Downtown,Atlanta,,FALSE,+1 404-524-5555,3276,101 Andrew Young International Boulevard Northwest
4.2,,,Atlanta Marriott Suites Midtown,Atlanta,,FALSE,+1 404-876-8888,3888,35 14th Street Northeast
3.1,,,Barclay Hotel Atlanta Downtown,Atlanta,,FALSE,+1 404-524-7991,3150,89 Luckie Street Northwest
4.7,,,Canopy By Hilton Atlanta Midtown,Atlanta,,FALSE,+1 404-685-1677,2904,1414 West Peachtree Street Northwest
4,,,Clarion Inn & Suites Atlanta Downtown,Atlanta,,FALSE,+1 404-893-4663,1184,186 Northside Drive Southwest
4.1,,,Courtyard By Marriott Atlanta Buckhead,Atlanta,,FALSE,+1 404-869-0818,5772,3332 Peachtree Road Northeast
4.5,,,Ac Hotel By Marriott Atlanta Buckhead At Phipps Plaza,Atlanta,,FALSE,+1 470-231-3030,832,3600 Wieuca Road Northeast
3.5,,,Amsterdam Hostel San Francisco,San Francisco,,FALSE,+1 415-673-3277,522,749 Taylor Street
4.4,,,Argonaut Hotel,San Francisco,,TRUE,+1 415-563-0800,324,495 Jefferson Street
4.4,,,Beck'S Motor Lodge,San Francisco,,FALSE,+1 415-621-8212,1480,2222 Market Street
2.6,,,Bei Hotel San Francisco,San Francisco,,TRUE,+1 415-626-6103,468,50 8th Street
4,,,Beresford Arms Hotel,San Francisco,,TRUE,+1 415-673-2600,3040,701 Post Street
3.6,,,Casa Loma Hotel,San Francisco,,FALSE,+1 415-552-7100,720,610 Fillmore Street
4.3,,,Chancellor Hotel On Union Square,San Francisco,,FALSE,+1 415-362-2004,1104,433 Powell Street
4.1,,,Chelsea,San Francisco,,FALSE,+1 415-563-5600,4884,2095 Lombard Street
3.9,,,Comfort Inn By The Bay,San Francisco,,FALSE,+1 415-928-5000,435,2775 Van Ness Avenue
4.3,,,Cornell Hotel De France,San Francisco,,FALSE,+1 415-421-3154,1440,715 Bush Street
4.4,,,Beck'S Motor Lodge,San Francisco,,FALSE,+1 415-621-8212,1008,2222 Market Street
4.2,,,Aloft Phoenix-Airport,Phoenix,,TRUE,+1 602-275-6300,2088,4450 East Washington Street
4.3,,,Arizona Grand Resort & Spa,Phoenix,,FALSE,+1 602-426-2638,600,8000 Arizona Grand Parkway
4.4,,,Cambria Hotel North Scottsdale Desert Ridge,Phoenix,,FALSE,+1 480-585-6644,1924,4425 E Irma Ln&nbsp
3.8,,,Comfort Suites Phoenix North,Phoenix,,TRUE,+1 602-861-3900,1650,10210 North 26th Drive
4.5,,,Courtyard By Marriott Phoenix Downtown,Phoenix,,FALSE,+1 602-603-2001,992,132 South Central Avenue
4.1,,,Crowne Plaza Phoenix Airport,Phoenix,,TRUE,+1 602-273-7778,1392,4300 East Washington Street
3.1,,,Days Inn By Wyndham Airport - Phoenix,Phoenix,,FALSE,+1 800-615-3107,2457,2900 East Van Buren Street
4.1,,,Doubletree Suites By Hilton Hotel Phoenix,Phoenix,,TRUE,+1 602-225-0500,648,320 North 44th Street
4.5,,,Drury Inn & Suites Phoenix Airport,Phoenix,,TRUE,+1 602-437-8400,592,3333 East University Drive
4.5,,,Drury Inn & Suites Phoenix Happy Valley,Phoenix,,TRUE,+1 623-879-8800,640,2335 West Pinnacle Peak Road
4.7,,,45 Park Lane,London,,TRUE,+44 20 7493 4545,456,45 Park Lane
4.3,,,Ace Hotel London,London,,TRUE,+44 20 7613 9800,4836,100 Shoreditch High Street
4.2,,,Citadines Barbican London (Apart Hotel London),London,,TRUE,+44 20 7566 8000,5460,7-21 Goswell Road
4.1,,,Citadines Holborn-Covent Garden London (Apart Hotel London),London,,TRUE,+44 20 7395 8800,2208,94-99 High Holborn
4.2,,,Citadines Trafalgar Square London (Apart Hotel London),London,,TRUE,+44 20 7766 3700,1872,18-21 Northumberland Avenue
4.4,,,Como Metropolitan London,London,,TRUE,+44 20 7447 1000,5928,19 Old Park Lane
3.8,,,Days Inn London Hyde Park,London,,TRUE,+44 20 7723 2939,2736,148-152 Sussex Gardens
4.1,,,De Vere Devonport House,London,,TRUE,+44 871 222 4796,4896,King William Walk
4.6,,,Devonshire Club,London,,TRUE,+44 20 3750 4545,4680,5 Devonshire Square
4.3,,,11 Howard,New York,,FALSE,+1 212-235-1111,324,11 Howard Street
4.3,,,11 Howard,New York,,FALSE,+1 212-235-1111,3168,11 Howard Street
4.5,,,Ac Hotel New York Times Square,New York,,FALSE,+1 212-398-2700,2592,260 West 40th Street
4.6,,,Aka Wall Street,New York,,FALSE,+1 212-252-9090,2088,84 William Street
4.5,,,1 Hotel Central Park,New York,,TRUE,+1 212-703-2001,2960,1414 6th Avenue
3.9,,,Best Western Plus Toronto North York Hotel & Suites,Toronto,,FALSE,+1 416-663-9500,198,50 Norfinch Drive
3,,,Best Western Primrose Hotel Downtown-Toronto,Toronto,,TRUE,+1 800-780-7234,228,111 Carlton Street
4.4,,,Bisha Hotel Toronto,Toronto,,TRUE,+1 416-551-2800,440,80 Blue Jays Way
3.7,,,Bond Place Hotel Toronto,Toronto,,FALSE,+1 800-268-9390,2232,65 Dundas Street East
4.1,,,Cambridge Suites Toronto,Toronto,,FALSE,+1 800-463-1990,1776,15 Richmond Street East
4.1,,,Courtyard By Marriott Toronto Downtown,Toronto,,FALSE,+1 416-924-0611,2340,475 Yonge Street
3.4,,,Days Inn By Wyndham Toronto East Beaches,Toronto,,FALSE,+1 647-693-6842,1980,1684 Queen Street East
4.2,,,Doubletree By Hilton Hotel Toronto Downtown,Toronto,,FALSE,+1 416-977-5000,1056,108 Chestnut Street
4.4,,,Embassy Suites By Hilton Toronto Airport,Toronto,,TRUE,+1 416-674-8442,480,262 Carlingview Drive
3.9,,,Executive Hotel Cosmopolitan Toronto,Toronto,,FALSE,+1 855-958-3488,2106,8 Colborne Street
4.2,,,Aliz Hotel Times Square,New York,,TRUE,+1 646-609-5122,5460,310 West 40th Street
4.2,,,Aloft Harlem,New York,,TRUE,+1 212-749-4000,2808,2296 Frederick Douglass Boulevard
4.2,,,Aloft Long Island City-Manhattan View,New York,,TRUE,+1 718-433-9305,1872,"27-45 Jackson Avenue, Long Island City"
4.1,,,Aloft Manhattan Downtown - Financial District,New York,,TRUE,+1 212-513-0003,3456,49-53 Ann Street
4.7,,,45 Park Lane,London,,TRUE,+44 20 7493 4545,2720,45 Park Lane
4.4,,,Ac Hotel By Marriott Beverly Hills,Los Angeles,,FALSE,+1 323-852-7000,1320,6399 Wilshire Boulevard
4.1,,,Best Western Plus Dragon Gate Inn,Los Angeles,,TRUE,+1 213-617-3077,432,818 North Hill Street
4.2,,,Beverly Hills Marriott,Los Angeles,,FALSE,+1 310-553-6561,1188,1150 South Beverly Drive
4.1,,,Beverly Laurel Motor Hotel,Los Angeles,,FALSE,+1 800-947-7666,2376,8018 Beverly Boulevard
4.2,,,Courtyard By Marriott Los Angeles Century City/Beverly Hills,Los Angeles,,FALSE,+1 310-556-2777,2640,10320 West Olympic Boulevard
4.4,,,Courtyard By Marriott Los Angeles L.A. Live,Los Angeles,,FALSE,+1 213-443-9222,1040,901 West Olympic Boulevard
4.2,,,Courtyard By Marriott Los Angeles Lax/Century Boulevard,Los Angeles,,FALSE,+1 310-649-1400,304,6161 West Century Boulevard
4.1,,,Crowne Plaza Los Angeles Airport,Los Angeles,,FALSE,+1 310-642-7500,1600,5985 West Century Boulevard
3.6,,,Dunes Inn - Wilshire,Los Angeles,,FALSE,+1 323-938-3617,630,4300 Wilshire Boulevard
4.3,,,Embassy Suites By Hilton Los Angeles International Airport North,Los Angeles,,FALSE,+1 310-215-1000,756,9801 Airport Boulevard
4.4,,,Beck'S Motor Lodge,San Francisco,,FALSE,+1 415-621-8212,672,2222 Market Street
4.3,,,Chancellor Hotel On Union Square,San Francisco,,FALSE,+1 415-362-2004,2448,433 Powell Street
3.9,,,Comfort Inn By The Bay,San Francisco,,FALSE,+1 415-928-5000,450,2775 Van Ness Avenue
3.5,,,Amsterdam Hostel San Francisco,San Francisco,,FALSE,+1 415-673-3277,456,749 Taylor Street
4.5,,,1 Hotel Central Park,New York,,TRUE,+1 212-703-2001,1980,1414 6th Avenue
4.3,,,11 Howard,New York,,FALSE,+1 212-235-1111,552,11 Howard Street
4,,,6 Columbus Hotel,New York,,TRUE,+1 212-204-3000,4212,308 West 58th Street
4.5,,,Ac Hotel New York Times Square,New York,,FALSE,+1 212-398-2700,4356,260 West 40th Street
3.9,,,Ancasa Hotel & Spa Kuala Lumpur,Kuala Lumpur,,FALSE,+60 3-2026 6060,1260,"Jalan Tun Tan Cheng Lock, City Centre, 50500 Kuala Lumpur, Wilayah Persekutuan"
4.4,,,Aloft Kuala Lumpur Sentral,Kuala Lumpur,,FALSE,+60 3-2723 1188,3744,"No. 5, Jalan Stesen Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan"
4.3,,,11 Howard,New York,,FALSE,+1 212-235-1111,2016,11 Howard Street
4.5,,,1 Hotel Brooklyn Bridge,New York,,TRUE,+1 833-625-6111,1344,"60 Furman Street, Brooklyn"
3.5,,,Abercorn House,London,,FALSE,+44 20 8563 8692,2808,28-30 Bute Gardens
4.3,,,Aloft Portland Airport At Cascade Station,Portland,,TRUE,+1 503-200-5678,184,9920 Northeast Cascades Parkway
4.7,,,Canopy By Hilton Portland Pearl District,Portland,,TRUE,+1 971-351-0230,3648,425 Northwest 9th Avenue
4.3,,,Courtyard By Marriott Portland City Center,Portland,,TRUE,+1 503-505-5000,1488,550 Southwest Oak Street
4.5,,,Dossier,Portland,,TRUE,+1 877-628-4408,936,750 Southwest Alder Street
4.2,,,Doubletree By Hilton Hotel Portland,Portland,,TRUE,+1 503-281-6111,528,1000 Northeast Multnomah Street
3.8,,,Holiday Inn Portland-Airport (I-205),Portland,,TRUE,+1 503-256-5000,1638,8439 Northeast Columbia Boulevard
4.6,,,Hyatt House Portland/Downtown,Portland,,TRUE,+1 503-241-2775,2304,2080 Southwest River Drive
