car_name,dropoff_date,pickup_city,pickup_date,pickup_location,pickup_time,total_price,type
CR-V,2019-03-10,Portland,2019-03-06,PDX International Airport,14:00,216,Full-size
Cherokee,2019-03-10,Portland,2019-03-06,Union Station,14:00,168,Full-size
RAV4,2019-03-10,Portland,2019-03-06,PDX International Airport,14:00,156,Full-size
CR-V,2019-03-10,,2019-03-06,PDX International Airport,14:00,216,Full-size
Accord,2019-03-10,San Diego,2019-03-07,Santa Fe Depot,13:30,87,Standard
Camry,2019-03-10,San Diego,2019-03-07,SAN International Airport,13:30,96,Standard
Civic,2019-03-10,San Diego,2019-03-07,Santa Fe Depot,13:30,81,Standard
Elantra,2019-03-10,San Diego,2019-03-07,SAN International Airport,13:30,78,Standard
Fusion,2019-03-10,San Diego,2019-03-07,SAN International Airport,13:30,114,Standard
Sentra,2019-03-10,San Diego,2019-03-07,Santa Fe Depot,13:30,87,Standard
Accord,2019-03-08,Paris,2019-03-04,Charles de Gaulle International Airport,18:00,132,Standard
Cruze,2019-03-08,Paris,2019-03-04,Charles de Gaulle International Airport,18:00,132,Standard
Prius,2019-03-08,Paris,2019-03-04,Charles de Gaulle International Airport,18:00,120,Standard
Sentra,2019-03-08,Paris,2019-03-04,Charles de Gaulle International Airport,18:00,144,Standard
Accord,2019-03-08,Paris,2019-03-07,Charles de Gaulle International Airport,18:00,29,Standard
Cruze,2019-03-08,Paris,2019-03-07,Charles de Gaulle International Airport,18:00,33,Standard
Prius,2019-03-08,,2019-03-07,Charles de Gaulle International Airport,18:00,28,Standard
Altima,2019-03-09,Philadelphia,2019-03-06,30th Street Station,15:00,90,Standard
Civic,2019-03-09,Philadelphia,2019-03-06,PHL International Airport,15:00,129,Standard
Corolla,2019-03-09,Philadelphia,2019-03-06,Intercity Terminal,15:00,90,Standard
Cruze,2019-03-09,Philadelphia,2019-03-06,PHL International Airport,15:00,108,Standard
Elantra,2019-03-09,Philadelphia,2019-03-06,Intercity Terminal,15:00,99,Standard
Fusion,2019-03-09,Philadelphia,2019-03-06,PHL International Airport,15:00,114,Standard
Prius,2019-03-09,Philadelphia,2019-03-06,Intercity Terminal,15:00,87,Standard
Sentra,2019-03-09,Philadelphia,2019-03-06,30th Street Station,15:00,75,Standard
Altima,2019-03-09,,2019-03-06,30th Street Station,15:00,90,Standard
Accord,2019-03-14,Long Beach,2019-03-11,LGB Airport,18:00,90,Standard
Corolla,2019-03-14,Long Beach,2019-03-11,LGB Airport,18:00,102,Standard
Cruze,2019-03-14,Long Beach,2019-03-11,LGB Airport,18:00,108,Standard
Fusion,2019-03-14,Long Beach,2019-03-11,Downtown Station,18:00,84,Standard
Prius,2019-03-14,Long Beach,2019-03-11,Downtown Station,18:00,84,Standard
Accord,2019-03-14,,2019-03-11,LGB Airport,18:00,90,Standard
Accord,2019-03-11,New York,2019-03-05,Grand Central Station,12:00,204,Standard
Altima,2019-03-11,New York,2019-03-05,Port Authority Station,12:00,210,Standard
Camry,2019-03-11,New York,2019-03-05,JFK International Airport,12:00,180,Standard
Elantra,2019-03-11,New York,2019-03-05,Port Authority Station,12:00,156,Standard
Accord,2019-03-11,,2019-03-05,Grand Central Station,12:00,204,Standard
Accord,2019-03-08,Fresno,2019-03-05,Fresno Station,17:00,99,Standard
Altima,2019-03-08,Fresno,2019-03-05,Fresno Yosemite International Airport,17:00,90,Standard
Camry,2019-03-08,Fresno,2019-03-05,Fresno Yosemite International Airport,17:00,93,Standard
Corolla,2019-03-08,Fresno,2019-03-05,Fresno Yosemite International Airport,17:00,99,Standard
Cruze,2019-03-08,Fresno,2019-03-05,Fresno Station,17:00,93,Standard
Sentra,2019-03-08,Fresno,2019-03-05,Fresno Yosemite International Airport,17:00,90,Standard
Camry,2019-03-05,Mexico City,2019-03-03,Estacion Buenavista,13:30,38,Standard
Civic,2019-03-05,Mexico City,2019-03-03,Estacion Buenavista,13:30,36,Standard
Corolla,2019-03-05,Mexico City,2019-03-03,Benito Juarez International Airport,13:30,56,Standard
Cruze,2019-03-05,Mexico City,2019-03-03,Estacion Buenavista,13:30,42,Standard
Prius,2019-03-05,Mexico City,2019-03-03,Benito Juarez International Airport,13:30,48,Standard
Sentra,2019-03-05,Mexico City,2019-03-03,Benito Juarez International Airport,13:30,48,Standard
Corolla,2019-03-05,,2019-03-03,Benito Juarez International Airport,13:30,56,Standard
Accord,2019-03-12,Sacramento,2019-03-09,SMF International Airport,15:30,84,Standard
Camry,2019-03-12,Sacramento,2019-03-09,SMF International Airport,15:30,99,Standard
Civic,2019-03-12,Sacramento,2019-03-09,SMF International Airport,15:30,102,Standard
Corolla,2019-03-12,Sacramento,2019-03-09,Sacramento Valley Station,15:30,90,Standard
Fusion,2019-03-12,Sacramento,2019-03-09,SMF International Airport,15:30,99,Standard
Accord,2019-03-12,,2019-03-09,SMF International Airport,15:30,84,Standard
Camry,2019-03-14,Portland,2019-03-11,Portland Bus Station,10:00,105,Standard
Sentra,2019-03-14,Portland,2019-03-11,Portland Bus Station,10:00,93,Standard
Accord,2019-03-14,Portland,2019-03-11,PDX International Airport,09:30,117,Standard
Civic,2019-03-14,Portland,2019-03-11,PDX International Airport,09:30,84,Standard
Cruze,2019-03-14,Portland,2019-03-11,PDX International Airport,09:30,90,Standard
Prius,2019-03-14,Portland,2019-03-11,PDX International Airport,09:30,114,Standard
Forte,2019-03-14,Portland,2019-03-11,Portland Bus Station,10:00,66,Compact
Leaf,2019-03-14,Portland,2019-03-11,Portland Bus Station,10:00,63,Compact
Cooper,2019-03-14,Portland,2019-03-11,PDX International Airport,09:30,75,Compact
Golf,2019-03-14,Portland,2019-03-11,PDX International Airport,09:30,87,Compact
Accord,2019-03-04,Sacramento,2019-03-03,SMF International Airport,18:30,29,Standard
Camry,2019-03-04,Sacramento,2019-03-03,SMF International Airport,18:30,32,Standard
Civic,2019-03-04,Sacramento,2019-03-03,SMF International Airport,18:30,30,Standard
Fusion,2019-03-04,Sacramento,2019-03-03,SMF International Airport,18:30,35,Standard
Accord,2019-03-04,,2019-03-03,SMF International Airport,18:30,29,Standard
Accord,2019-03-14,Sacramento,2019-03-10,SMF International Airport,19:30,100,Standard
Camry,2019-03-14,Sacramento,2019-03-10,SMF International Airport,19:30,136,Standard
Civic,2019-03-14,Sacramento,2019-03-10,SMF International Airport,19:30,120,Standard
Fusion,2019-03-14,Sacramento,2019-03-10,SMF International Airport,19:30,144,Standard
Bolt,2019-03-14,Sacramento,2019-03-10,SMF International Airport,19:30,108,Compact
Forte,2019-03-14,Sacramento,2019-03-10,SMF International Airport,19:30,112,Compact
Altima,2019-03-11,London,2019-03-05,Heathrow International Airport,15:00,216,Standard
Cruze,2019-03-11,London,2019-03-05,Heathrow International Airport,15:00,204,Standard
Elantra,2019-03-11,London,2019-03-05,Heathrow International Airport,15:00,210,Standard
Prius,2019-03-11,London,2019-03-05,Heathrow International Airport,15:00,186,Standard
Corolla,2019-03-04,Portland,2019-03-02,Union Station,12:00,58,Standard
Fusion,2019-03-04,Portland,2019-03-02,Union Station,12:00,62,Standard
Accord,2019-03-04,Portland,2019-03-02,PDX International Airport,11:30,70,Standard
Camry,2019-03-04,Portland,2019-03-02,Portland Bus Station,11:30,50,Standard
Civic,2019-03-04,Portland,2019-03-02,PDX International Airport,11:30,68,Standard
Cruze,2019-03-04,Portland,2019-03-02,PDX International Airport,11:30,64,Standard
Prius,2019-03-04,Portland,2019-03-02,PDX International Airport,11:30,64,Standard
Sentra,2019-03-04,Portland,2019-03-02,Portland Bus Station,11:30,46,Standard
Accord,2019-03-04,Portland,2019-03-02,PDX International Airport,12:00,70,Standard
Camry,2019-03-04,Portland,2019-03-02,Portland Bus Station,12:00,50,Standard
Civic,2019-03-04,Portland,2019-03-02,PDX International Airport,12:00,68,Standard
Cruze,2019-03-04,Portland,2019-03-02,PDX International Airport,12:00,64,Standard
Prius,2019-03-04,Portland,2019-03-02,PDX International Airport,12:00,64,Standard
Accord,2019-03-13,Phoenix,2019-03-11,Sky Harbor International Airport,15:30,62,Standard
Camry,2019-03-13,Phoenix,2019-03-11,Sky Harbor International Airport,15:30,62,Standard
Prius,2019-03-13,Phoenix,2019-03-11,Sky Harbor International Airport,15:30,72,Standard
Prius,2019-03-13,,2019-03-11,Sky Harbor International Airport,15:30,72,Standard
Cherokee,2019-03-14,San Diego,2019-03-13,Santa Fe Depot,13:00,43,Full-size
Equinox,2019-03-14,San Diego,2019-03-13,Santa Fe Depot,13:00,44,Full-size
Escape,2019-03-14,San Diego,2019-03-13,Santa Fe Depot,13:00,44,Full-size
Highlander,2019-03-14,San Diego,2019-03-13,SAN International Airport,12:30,41,Full-size
RAV4,2019-03-14,San Diego,2019-03-13,SAN International Airport,12:30,49,Full-size
Tucson,2019-03-14,San Diego,2019-03-13,SAN International Airport,12:30,42,Full-size
Cherokee,2019-03-14,,2019-03-13,Santa Fe Depot,13:00,43,Full-size
Accord,2019-03-09,San Diego,2019-03-05,Santa Fe Depot,13:30,132,Standard
Camry,2019-03-09,San Diego,2019-03-05,SAN International Airport,13:30,124,Standard
Civic,2019-03-09,San Diego,2019-03-05,Santa Fe Depot,13:30,116,Standard
Elantra,2019-03-09,San Diego,2019-03-05,SAN International Airport,13:30,116,Standard
Fusion,2019-03-09,San Diego,2019-03-05,SAN International Airport,13:30,132,Standard
Sentra,2019-03-09,San Diego,2019-03-05,Santa Fe Depot,13:30,120,Standard
Accord,2019-03-09,,2019-03-05,Santa Fe Depot,13:30,132,Standard
Altima,2019-03-11,Philadelphia,2019-03-09,30th Street Station,15:00,60,Standard
Civic,2019-03-11,Philadelphia,2019-03-09,PHL International Airport,15:00,76,Standard
Corolla,2019-03-11,Philadelphia,2019-03-09,Intercity Terminal,15:00,50,Standard
Cruze,2019-03-11,Philadelphia,2019-03-09,PHL International Airport,15:00,70,Standard
Elantra,2019-03-11,Philadelphia,2019-03-09,Intercity Terminal,15:00,64,Standard
Fusion,2019-03-11,Philadelphia,2019-03-09,PHL International Airport,15:00,68,Standard
Prius,2019-03-11,Philadelphia,2019-03-09,Intercity Terminal,15:00,60,Standard
Sentra,2019-03-11,Philadelphia,2019-03-09,30th Street Station,15:00,58,Standard
Corolla,2019-03-11,,2019-03-09,Intercity Terminal,15:00,50,Standard
Camry,2019-03-05,Mexico City,2019-03-04,Estacion Buenavista,12:30,18,Standard
Civic,2019-03-05,Mexico City,2019-03-04,Estacion Buenavista,12:30,17,Standard
Corolla,2019-03-05,Mexico City,2019-03-04,Benito Juarez International Airport,12:30,22,Standard
Cruze,2019-03-05,Mexico City,2019-03-04,Estacion Buenavista,12:30,17,Standard
Prius,2019-03-05,Mexico City,2019-03-04,Benito Juarez International Airport,12:30,24,Standard
Sentra,2019-03-05,Mexico City,2019-03-04,Benito Juarez International Airport,12:30,21,Standard
Cooper,2019-03-05,Mexico City,2019-03-04,Benito Juarez International Airport,12:30,17,Compact
Fit,2019-03-05,Mexico City,2019-03-04,Benito Juarez International Airport,12:30,16,Compact
Forte,2019-03-05,Mexico City,2019-03-04,Benito Juarez International Airport,12:30,14,Compact
Golf,2019-03-05,Mexico City,2019-03-04,Benito Juarez International Airport,12:30,17,Compact
Cooper,2019-03-05,,2019-03-04,Benito Juarez International Airport,12:30,17,Compact
Accord,2019-03-02,London,2019-03-01,Gatwick International Airport,12:00,35,Standard
Altima,2019-03-02,London,2019-03-01,Heathrow International Airport,12:00,35,Standard
Cruze,2019-03-02,London,2019-03-01,Heathrow International Airport,12:00,34,Standard
Elantra,2019-03-02,London,2019-03-01,Heathrow International Airport,12:00,36,Standard
Prius,2019-03-02,London,2019-03-01,Heathrow International Airport,12:00,29,Standard
Altima,2019-03-02,,2019-03-01,Heathrow International Airport,12:00,35,Standard
Camry,2019-03-06,Mexico City,2019-03-05,Estacion Buenavista,15:30,23,Standard
Civic,2019-03-06,Mexico City,2019-03-05,Estacion Buenavista,15:30,21,Standard
Corolla,2019-03-06,Mexico City,2019-03-05,Benito Juarez International Airport,15:30,24,Standard
Cruze,2019-03-06,Mexico City,2019-03-05,Estacion Buenavista,15:30,20,Standard
Prius,2019-03-06,Mexico City,2019-03-05,Benito Juarez International Airport,15:30,23,Standard
Sentra,2019-03-06,Mexico City,2019-03-05,Benito Juarez International Airport,15:30,22,Standard
Camry,2019-03-06,,2019-03-05,Estacion Buenavista,15:30,23,Standard
Camry,2019-03-10,Toronto,2019-03-07,Toronto Pearson International Airport,14:00,96,Standard
Cruze,2019-03-10,Toronto,2019-03-07,Toronto Pearson International Airport,14:00,84,Standard
Camry,2019-03-10,,2019-03-07,Toronto Pearson International Airport,14:00,96,Standard
Accord,2019-03-13,Vancouver,2019-03-09,YVR International Airport,15:00,144,Standard
Altima,2019-03-13,Vancouver,2019-03-09,YVR International Airport,15:00,132,Standard
Corolla,2019-03-13,Vancouver,2019-03-09,YVR International Airport,15:00,148,Standard
Cruze,2019-03-13,Vancouver,2019-03-09,Pacific Central Station,15:00,124,Standard
Elantra,2019-03-13,Vancouver,2019-03-09,YVR International Airport,15:00,120,Standard
Prius,2019-03-13,Vancouver,2019-03-09,Pacific Central Station,15:00,112,Standard
Sentra,2019-03-13,Vancouver,2019-03-09,Pacific Central Station,15:00,140,Standard
Accord,2019-03-13,,2019-03-09,YVR International Airport,15:00,144,Standard
Camry,2019-03-08,Atlanta,2019-03-05,Hartsfield-Jackson International Airport,16:30,78,Standard
Cruze,2019-03-08,Atlanta,2019-03-05,Hartsfield-Jackson International Airport,16:30,96,Standard
Prius,2019-03-08,Atlanta,2019-03-05,Peachtree Station,16:30,96,Standard
Sentra,2019-03-08,Atlanta,2019-03-05,Hartsfield-Jackson International Airport,16:30,111,Standard
Cruze,2019-03-08,,2019-03-05,Hartsfield-Jackson International Airport,16:30,96,Standard
Bolt,2019-03-05,Washington,2019-03-03,Dulles International Airport,18:00,48,Compact
Fit,2019-03-05,Washington,2019-03-03,Dulles International Airport,18:00,60,Compact
Golf,2019-03-05,Washington,2019-03-03,Dulles International Airport,18:00,56,Compact
Leaf,2019-03-05,Washington,2019-03-03,Dulles International Airport,18:00,50,Compact
Bolt,2019-03-05,,2019-03-03,Dulles International Airport,18:00,48,Compact
Accord,2019-03-09,Vancouver,2019-03-06,YVR International Airport,15:00,90,Standard
Altima,2019-03-09,Vancouver,2019-03-06,YVR International Airport,15:00,102,Standard
Corolla,2019-03-09,Vancouver,2019-03-06,YVR International Airport,15:00,99,Standard
Cruze,2019-03-09,Vancouver,2019-03-06,Pacific Central Station,15:00,72,Standard
Elantra,2019-03-09,Vancouver,2019-03-06,YVR International Airport,15:00,93,Standard
Prius,2019-03-09,Vancouver,2019-03-06,Pacific Central Station,15:00,111,Standard
Sentra,2019-03-09,Vancouver,2019-03-06,Pacific Central Station,15:00,81,Standard
Sentra,2019-03-09,Vancouver,2019-03-03,Pacific Central Station,13:00,180,Standard
Accord,2019-03-09,Vancouver,2019-03-03,YVR International Airport,12:30,210,Standard
Altima,2019-03-09,Vancouver,2019-03-03,YVR International Airport,12:30,186,Standard
Corolla,2019-03-09,Vancouver,2019-03-03,YVR International Airport,12:30,228,Standard
Elantra,2019-03-09,Vancouver,2019-03-03,YVR International Airport,12:30,216,Standard
Sentra,2019-03-09,,2019-03-03,Pacific Central Station,13:00,180,Standard
Altima,2019-03-04,San Francisco,2019-03-01,SFO International Airport,15:30,111,Standard
Civic,2019-03-04,San Francisco,2019-03-01,Salesforce Transit Center,15:30,87,Standard
Cruze,2019-03-04,San Francisco,2019-03-01,SFO International Airport,15:30,96,Standard
Fusion,2019-03-04,San Francisco,2019-03-01,SFO International Airport,15:30,105,Standard
Prius,2019-03-04,San Francisco,2019-03-01,SFO International Airport,15:30,93,Standard
Sentra,2019-03-04,San Francisco,2019-03-01,Salesforce Transit Center,15:30,81,Standard
Altima,2019-03-04,,2019-03-01,SFO International Airport,15:30,111,Standard
Bolt,2019-03-12,Paris,2019-03-10,Charles de Gaulle International Airport,17:00,46,Compact
Cooper,2019-03-12,Paris,2019-03-10,Charles de Gaulle International Airport,17:00,52,Compact
Fit,2019-03-12,Paris,2019-03-10,Charles de Gaulle International Airport,17:00,52,Compact
Leaf,2019-03-12,Paris,2019-03-10,Charles de Gaulle International Airport,17:00,54,Compact
Fit,2019-03-12,,2019-03-10,Charles de Gaulle International Airport,17:00,52,Compact
Bolt,2019-03-13,Paris,2019-03-07,Charles de Gaulle International Airport,15:00,162,Compact
Fit,2019-03-13,Paris,2019-03-07,Charles de Gaulle International Airport,15:00,162,Compact
Bolt,2019-03-13,,2019-03-07,Charles de Gaulle International Airport,15:00,162,Compact
Elantra,2019-03-11,Nairobi,2019-03-08,Jomo Kenyatta International Airport,12:30,72,Standard
Prius,2019-03-11,Nairobi,2019-03-08,Jomo Kenyatta International Airport,12:30,78,Standard
Cooper,2019-03-11,Nairobi,2019-03-08,Jomo Kenyatta International Airport,12:30,51,Compact
Fit,2019-03-11,Nairobi,2019-03-08,Jomo Kenyatta International Airport,12:30,39,Compact
Leaf,2019-03-11,Nairobi,2019-03-08,Jomo Kenyatta International Airport,12:30,51,Compact
Cooper,2019-03-11,,2019-03-08,Jomo Kenyatta International Airport,12:30,51,Compact
Bolt,2019-03-14,Washington,2019-03-08,Dulles International Airport,18:30,180,Compact
Fit,2019-03-14,Washington,2019-03-08,Union Station,18:30,168,Compact
Golf,2019-03-14,Washington,2019-03-08,Dulles International Airport,18:30,168,Compact
Leaf,2019-03-14,Washington,2019-03-08,Union Station,18:30,174,Compact
Bolt,2019-03-14,,2019-03-08,Dulles International Airport,18:30,180,Compact
Accord,2019-03-12,Portland,2019-03-09,PDX International Airport,18:00,99,Standard
Camry,2019-03-12,Portland,2019-03-09,Portland Bus Station,18:00,93,Standard
Civic,2019-03-12,Portland,2019-03-09,PDX International Airport,18:00,105,Standard
Cruze,2019-03-12,Portland,2019-03-09,PDX International Airport,18:00,99,Standard
Prius,2019-03-12,Portland,2019-03-09,PDX International Airport,18:00,99,Standard
Sentra,2019-03-12,Portland,2019-03-09,Portland Bus Station,18:00,84,Standard
Camry,2019-03-12,,2019-03-09,Portland Bus Station,18:00,93,Standard
Bolt,2019-03-09,Delhi,2019-03-06,Indira Gandhi International Airport,15:00,84,Compact
Fit,2019-03-09,Delhi,2019-03-06,Indira Gandhi International Airport,15:00,87,Compact
Golf,2019-03-09,Delhi,2019-03-06,Indira Gandhi International Airport,15:00,87,Compact
Bolt,2019-03-09,Vancouver,2019-03-06,YVR International Airport,15:00,90,Compact
Cooper,2019-03-09,Vancouver,2019-03-06,YVR International Airport,15:00,81,Compact
Fit,2019-03-09,Vancouver,2019-03-06,YVR International Airport,15:00,81,Compact
Forte,2019-03-09,Vancouver,2019-03-06,Pacific Central Station,15:00,72,Compact
Golf,2019-03-09,Vancouver,2019-03-06,Pacific Central Station,15:00,81,Compact
Bolt,2019-03-10,Chicago,2019-03-07,Chicago Union Station,14:00,69,Compact
Cooper,2019-03-10,Chicago,2019-03-07,O'Hare International Airport,14:00,84,Compact
Forte,2019-03-10,Chicago,2019-03-07,O'Hare International Airport,14:00,90,Compact
Golf,2019-03-10,Chicago,2019-03-07,Chicago Union Station,14:00,78,Compact
Leaf,2019-03-10,Chicago,2019-03-07,Chicago Union Station,14:00,78,Compact
Cooper,2019-03-08,Chicago,2019-03-07,O'Hare International Airport,12:30,27,Compact
Forte,2019-03-08,Chicago,2019-03-07,O'Hare International Airport,12:30,25,Compact
Bolt,2019-03-08,Chicago,2019-03-07,Chicago Union Station,13:00,20,Compact
Golf,2019-03-08,Chicago,2019-03-07,Chicago Union Station,13:00,23,Compact
Leaf,2019-03-08,Chicago,2019-03-07,Chicago Union Station,13:00,26,Compact
Forte,2019-03-08,,2019-03-07,O'Hare International Airport,12:30,25,Compact
Accord,2019-03-11,Paris,2019-03-06,Charles de Gaulle International Airport,12:30,175,Standard
Cruze,2019-03-11,Paris,2019-03-06,Charles de Gaulle International Airport,12:30,180,Standard
Prius,2019-03-11,Paris,2019-03-06,Charles de Gaulle International Airport,12:30,140,Standard
Sentra,2019-03-11,Paris,2019-03-06,Charles de Gaulle International Airport,12:30,155,Standard
Accord,2019-03-11,Paris,2019-03-08,Charles de Gaulle International Airport,13:30,108,Standard
Cruze,2019-03-11,Paris,2019-03-08,Charles de Gaulle International Airport,13:30,96,Standard
Prius,2019-03-11,Paris,2019-03-08,Charles de Gaulle International Airport,13:30,108,Standard
Sentra,2019-03-11,Paris,2019-03-08,Charles de Gaulle International Airport,13:30,96,Standard
Prius,2019-03-11,,2019-03-08,Charles de Gaulle International Airport,13:30,108,Standard
Accord,2019-03-08,Vancouver,2019-03-05,YVR International Airport,16:30,114,Standard
Altima,2019-03-08,Vancouver,2019-03-05,YVR International Airport,16:30,93,Standard
Corolla,2019-03-08,Vancouver,2019-03-05,YVR International Airport,16:30,108,Standard
Cruze,2019-03-08,Vancouver,2019-03-05,Pacific Central Station,16:30,96,Standard
Elantra,2019-03-08,Vancouver,2019-03-05,YVR International Airport,16:30,93,Standard
Prius,2019-03-08,Vancouver,2019-03-05,Pacific Central Station,16:30,111,Standard
Sentra,2019-03-08,Vancouver,2019-03-05,Pacific Central Station,16:30,90,Standard
Escape,2019-03-08,Anaheim,2019-03-05,John Wayne Airport,16:30,150,Full-size
Forester,2019-03-08,Anaheim,2019-03-05,John Wayne Airport,16:30,132,Full-size
Highlander,2019-03-08,Anaheim,2019-03-05,Anaheim Intermodal Center,16:30,111,Full-size
Rogue,2019-03-08,Anaheim,2019-03-05,Anaheim Intermodal Center,16:30,111,Full-size
Tucson,2019-03-08,Anaheim,2019-03-05,Anaheim Intermodal Center,16:30,123,Full-size
Escape,2019-03-05,Anaheim,2019-03-04,John Wayne Airport,16:30,45,Full-size
Forester,2019-03-05,Anaheim,2019-03-04,John Wayne Airport,16:30,40,Full-size
Highlander,2019-03-05,Anaheim,2019-03-04,Anaheim Intermodal Center,16:30,43,Full-size
Rogue,2019-03-05,Anaheim,2019-03-04,Anaheim Intermodal Center,16:30,45,Full-size
Tucson,2019-03-05,Anaheim,2019-03-04,Anaheim Intermodal Center,16:30,45,Full-size
Forester,2019-03-05,,2019-03-04,John Wayne Airport,16:30,40,Full-size
Accord,2019-03-11,Phoenix,2019-03-08,Sky Harbor International Airport,15:30,99,Standard
Camry,2019-03-11,Phoenix,2019-03-08,Sky Harbor International Airport,15:30,90,Standard
Prius,2019-03-11,Phoenix,2019-03-08,Sky Harbor International Airport,15:30,87,Standard
Accord,2019-03-11,Phoenix,2019-03-08,Sky Harbor International Airport,18:30,99,Standard
Camry,2019-03-11,Phoenix,2019-03-08,Sky Harbor International Airport,18:30,90,Standard
Prius,2019-03-11,Phoenix,2019-03-08,Sky Harbor International Airport,18:30,87,Standard
Prius,2019-03-11,,2019-03-08,Sky Harbor International Airport,18:30,87,Standard
Accord,2019-03-08,New York,2019-03-04,Grand Central Station,11:00,116,Standard
Altima,2019-03-08,New York,2019-03-04,Port Authority Station,11:00,120,Standard
Camry,2019-03-08,New York,2019-03-04,JFK International Airport,11:00,140,Standard
Civic,2019-03-08,New York,2019-03-04,JFK International Airport,11:00,116,Standard
Corolla,2019-03-08,New York,2019-03-04,Grand Central Station,11:00,120,Standard
Elantra,2019-03-08,New York,2019-03-04,Port Authority Station,11:00,116,Standard
Prius,2019-03-08,New York,2019-03-04,Port Authority Station,11:00,112,Standard
Accord,2019-03-08,,2019-03-04,Grand Central Station,11:00,116,Standard
Accord,2019-03-13,New York,2019-03-11,Grand Central Station,14:00,56,Standard
Altima,2019-03-13,New York,2019-03-11,Port Authority Station,14:00,60,Standard
Camry,2019-03-13,New York,2019-03-11,JFK International Airport,14:00,66,Standard
