city,date,event_name,time,venue,venue_address,number_of_tickets,category,event_type
New York,3/5/2019,Mets Vs Rockies,18:00,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/8/2019,Mets Vs Rockies,17:00,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/10/2019,Mets Vs Rockies,17:30,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/11/2019,Mets Vs Rockies,18:30,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/13/2019,Mets Vs Rockies,19:30,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/1/2019,The National,19:30,Prospect Park Bandshell,"141 Prospect Park West, Brooklyn",,,
New York,3/2/2019,The National,18:00,Prospect Park Bandshell,"141 Prospect Park West, Brooklyn",,,
New York,3/3/2019,The National,18:30,Prospect Park Bandshell,"141 Prospect Park West, Brooklyn",,,
New York,3/11/2019,The National,19:00,Prospect Park Bandshell,"141 Prospect Park West, Brooklyn",,,
New York,3/1/2019,Laura Osnes,19:30,Sony Hall,235 West 46th Street,,,
New York,3/7/2019,Laura Osnes,19:00,Sony Hall,235 West 46th Street,,,
New York,3/8/2019,Laura Osnes,17:30,Sony Hall,235 West 46th Street,,,
New York,3/12/2019,Laura Osnes,17:30,Sony Hall,235 West 46th Street,,,
New York,3/13/2019,Laura Osnes,17:30,Sony Hall,235 West 46th Street,,,
New York,3/14/2019,Laura Osnes,17:00,Sony Hall,235 West 46th Street,,,
Washington D.C.,3/4/2019,Nationals Vs Indians,19:30,Nationals Park,1500 South Capitol Street Southeast,,,
Washington D.C.,3/5/2019,Nationals Vs Indians,19:00,Nationals Park,1500 South Capitol Street Southeast,,,
Washington D.C.,3/13/2019,Nationals Vs Indians,19:00,Nationals Park,1500 South Capitol Street Southeast,,,
Washington D.C.,3/14/2019,Nationals Vs Indians,19:30,Nationals Park,1500 South Capitol Street Southeast,,,
Los Angeles,3/1/2019,Dodgers Vs Cubs,17:30,Dodger Stadium,1000 Vin Scully Ave,,,
Los Angeles,3/9/2019,Dodgers Vs Cubs,19:00,Dodger Stadium,1000 Vin Scully Ave,,,
New York,3/2/2019,Amber Run Brooklyn,17:00,Warsaw,"261 Driggs Avenue, Brooklyn",,,
New York,3/4/2019,Amber Run Brooklyn,17:00,Warsaw,"261 Driggs Avenue, Brooklyn",,,
New York,3/5/2019,Amber Run Brooklyn,19:30,Warsaw,"261 Driggs Avenue, Brooklyn",,,
New York,3/8/2019,Amber Run Brooklyn,17:00,Warsaw,"261 Driggs Avenue, Brooklyn",,,
New York,3/11/2019,Amber Run Brooklyn,19:30,Warsaw,"261 Driggs Avenue, Brooklyn",,,
New York,3/14/2019,Amber Run Brooklyn,19:00,Warsaw,"261 Driggs Avenue, Brooklyn",,,
Philadelphia,3/1/2019,Lights,18:00,The Foundry,29 East Allen Street 2nd Floor,,,
Philadelphia,3/3/2019,Lights,19:30,The Foundry,29 East Allen Street 2nd Floor,,,
Philadelphia,3/5/2019,Lights,18:00,The Foundry,29 East Allen Street 2nd Floor,,,
Philadelphia,3/6/2019,Lights,17:30,The Foundry,29 East Allen Street 2nd Floor,,,
Philadelphia,3/10/2019,Lights,19:30,The Foundry,29 East Allen Street 2nd Floor,,,
Philadelphia,3/14/2019,Lights,18:00,The Foundry,29 East Allen Street 2nd Floor,,,
Phoenix,3/3/2019,Diamondbacks Vs Nationals,17:00,Chase Field,401 East Jefferson Street,,,
Phoenix,3/4/2019,Diamondbacks Vs Nationals,19:30,Chase Field,401 East Jefferson Street,,,
Phoenix,3/12/2019,Diamondbacks Vs Nationals,19:00,Chase Field,401 East Jefferson Street,,,
Philadelphia,3/1/2019,Phillies Vs Diamondbacks,17:30,Citizens Bank Park,1 Citizens Bank Way,,,
Philadelphia,3/4/2019,Phillies Vs Diamondbacks,19:30,Citizens Bank Park,1 Citizens Bank Way,,,
Philadelphia,3/6/2019,Phillies Vs Diamondbacks,17:30,Citizens Bank Park,1 Citizens Bank Way,,,
Philadelphia,3/9/2019,Phillies Vs Diamondbacks,19:00,Citizens Bank Park,1 Citizens Bank Way,,,
Philadelphia,3/10/2019,Phillies Vs Diamondbacks,19:00,Citizens Bank Park,1 Citizens Bank Way,,,
Philadelphia,3/2/2019,Owls Vs Yellow Jackets,19:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Philadelphia,3/3/2019,Owls Vs Yellow Jackets,17:30,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Philadelphia,3/5/2019,Owls Vs Yellow Jackets,18:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Philadelphia,3/7/2019,Owls Vs Yellow Jackets,18:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Philadelphia,3/8/2019,Owls Vs Yellow Jackets,19:30,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Philadelphia,3/9/2019,Owls Vs Yellow Jackets,17:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Philadelphia,3/10/2019,Owls Vs Yellow Jackets,17:30,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Philadelphia,3/11/2019,Owls Vs Yellow Jackets,19:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Philadelphia,3/13/2019,Owls Vs Yellow Jackets,18:30,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Phoenix,3/3/2019,Johnnyswim,17:30,The Van Buren,401 West Van Buren Street,,,
Phoenix,3/9/2019,Johnnyswim,19:00,The Van Buren,401 West Van Buren Street,,,
Phoenix,3/14/2019,Johnnyswim,17:00,The Van Buren,401 West Van Buren Street,,,
Chicago,3/3/2019,White Sox Vs Astros,18:30,Guaranteed Rate Field,333 West 35th Street,,,
Chicago,3/7/2019,White Sox Vs Astros,19:00,Guaranteed Rate Field,333 West 35th Street,,,
Chicago,3/9/2019,White Sox Vs Astros,18:00,Guaranteed Rate Field,333 West 35th Street,,,
Chicago,3/12/2019,White Sox Vs Astros,18:30,Guaranteed Rate Field,333 West 35th Street,,,
Chicago,3/13/2019,White Sox Vs Astros,19:00,Guaranteed Rate Field,333 West 35th Street,,,
Atlanta,3/4/2019,Falcons Vs Jaguars,19:30,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Atlanta,3/10/2019,Falcons Vs Jaguars,18:00,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Atlanta,3/12/2019,Falcons Vs Jaguars,19:30,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Atlanta,3/14/2019,Falcons Vs Jaguars,17:30,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
New York,3/1/2019,Nycfc Vs Sporting Kc,17:30,Yankee Stadium,1 East 161 Street,,,
New York,3/2/2019,Nycfc Vs Sporting Kc,19:30,Yankee Stadium,1 East 161 Street,,,
New York,3/6/2019,Nycfc Vs Sporting Kc,17:30,Yankee Stadium,1 East 161 Street,,,
New York,3/13/2019,Nycfc Vs Sporting Kc,19:00,Yankee Stadium,1 East 161 Street,,,
Los Angeles,3/1/2019,Sparks Vs Wings,19:30,STAPLES Center,1111 South Figueroa Street,,,
Los Angeles,3/4/2019,Sparks Vs Wings,19:30,STAPLES Center,1111 South Figueroa Street,,,
Atlanta,3/3/2019,Yellow Jackets Vs Bulls,17:30,Bobby Dodd Stadium at Historic Grant Field,177 North Avenue Northwest,,,
Atlanta,3/7/2019,Yellow Jackets Vs Bulls,18:00,Bobby Dodd Stadium at Historic Grant Field,177 North Avenue Northwest,,,
Atlanta,3/9/2019,Yellow Jackets Vs Bulls,19:00,Bobby Dodd Stadium at Historic Grant Field,177 North Avenue Northwest,,,
Atlanta,3/10/2019,Yellow Jackets Vs Bulls,17:30,Bobby Dodd Stadium at Historic Grant Field,177 North Avenue Northwest,,,
Atlanta,3/12/2019,Yellow Jackets Vs Bulls,19:30,Bobby Dodd Stadium at Historic Grant Field,177 North Avenue Northwest,,,
Atlanta,3/13/2019,Yellow Jackets Vs Bulls,17:00,Bobby Dodd Stadium at Historic Grant Field,177 North Avenue Northwest,,,
Atlanta,3/14/2019,Yellow Jackets Vs Bulls,19:30,Bobby Dodd Stadium at Historic Grant Field,177 North Avenue Northwest,,,
New York,3/1/2019,Nycfc Vs Union,17:30,Yankee Stadium,1 East 161 Street,,,
New York,3/5/2019,Nycfc Vs Union,18:30,Yankee Stadium,1 East 161 Street,,,
New York,3/6/2019,Nycfc Vs Union,18:30,Yankee Stadium,1 East 161 Street,,,
New York,3/7/2019,Nycfc Vs Union,17:00,Yankee Stadium,1 East 161 Street,,,
New York,3/10/2019,Nycfc Vs Union,18:30,Yankee Stadium,1 East 161 Street,,,
New York,3/12/2019,Nycfc Vs Union,17:30,Yankee Stadium,1 East 161 Street,,,
New York,3/13/2019,Nycfc Vs Union,17:00,Yankee Stadium,1 East 161 Street,,,
Los Angeles,3/2/2019,Lights,19:30,The Teragram Ballroom,1234 West 7th Street,,,
Los Angeles,3/6/2019,Lights,19:00,The Teragram Ballroom,1234 West 7th Street,,,
Los Angeles,3/12/2019,Lights,17:30,The Teragram Ballroom,1234 West 7th Street,,,
Los Angeles,3/13/2019,Lights,18:30,The Teragram Ballroom,1234 West 7th Street,,,
Philadelphia,3/9/2019,Phillies Vs Padres,17:30,Citizens Bank Park,1 Citizens Bank Way,,,
Philadelphia,3/10/2019,Phillies Vs Padres,18:00,Citizens Bank Park,1 Citizens Bank Way,,,
Philadelphia,3/12/2019,Phillies Vs Padres,18:00,Citizens Bank Park,1 Citizens Bank Way,,,
Philadelphia,3/13/2019,Phillies Vs Padres,18:30,Citizens Bank Park,1 Citizens Bank Way,,,
San Diego,3/4/2019,Hozier,17:00,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,,,
San Diego,3/5/2019,Hozier,17:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,,,
San Diego,3/12/2019,Hozier,18:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,,,
New York,3/2/2019,France Rocks Festival,18:30,David Rubenstein Atrium at Lincoln Center,61 West 62nd Street,,,
New York,3/4/2019,France Rocks Festival,17:00,David Rubenstein Atrium at Lincoln Center,61 West 62nd Street,,,
New York,3/8/2019,France Rocks Festival,19:30,David Rubenstein Atrium at Lincoln Center,61 West 62nd Street,,,
New York,3/9/2019,France Rocks Festival,17:00,David Rubenstein Atrium at Lincoln Center,61 West 62nd Street,,,
New York,3/11/2019,France Rocks Festival,18:30,David Rubenstein Atrium at Lincoln Center,61 West 62nd Street,,,
Oakland,3/2/2019,Raiders Vs Lions,18:30,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Oakland,3/4/2019,Raiders Vs Lions,17:00,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Oakland,3/6/2019,Raiders Vs Lions,19:30,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Oakland,3/7/2019,Raiders Vs Lions,19:30,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Oakland,3/14/2019,Raiders Vs Lions,17:00,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Philadelphia,3/1/2019,Northlane,17:30,The Foundry,29 East Allen Street 2nd Floor,,,
Philadelphia,3/3/2019,Northlane,17:00,The Foundry,29 East Allen Street 2nd Floor,,,
Philadelphia,3/4/2019,Northlane,19:30,The Foundry,29 East Allen Street 2nd Floor,,,
Philadelphia,3/8/2019,Northlane,18:30,The Foundry,29 East Allen Street 2nd Floor,,,
Atlanta,3/4/2019,Panthers Vs Mountaineers,18:00,Georgia State Stadium,755 Hank Aaron Drive Southeast,,,
Atlanta,3/10/2019,Panthers Vs Mountaineers,17:30,Georgia State Stadium,755 Hank Aaron Drive Southeast,,,
Atlanta,3/12/2019,Panthers Vs Mountaineers,18:30,Georgia State Stadium,755 Hank Aaron Drive Southeast,,,
Philadelphia,3/5/2019,Phillies Vs Mets,18:00,Citizens Bank Park,1 Citizens Bank Way,,,
Philadelphia,3/10/2019,Phillies Vs Mets,18:00,Citizens Bank Park,1 Citizens Bank Way,,,
Philadelphia,3/11/2019,Phillies Vs Mets,17:00,Citizens Bank Park,1 Citizens Bank Way,,,
Oakland,3/2/2019,Raiders Vs Chiefs,19:00,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Oakland,3/8/2019,Raiders Vs Chiefs,18:00,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Oakland,3/11/2019,Raiders Vs Chiefs,18:30,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Toronto,3/3/2019,Blue Jays Vs Mariners,17:00,Rogers Centre,1 Blue Jays Way,,,
Toronto,3/7/2019,Blue Jays Vs Mariners,18:30,Rogers Centre,1 Blue Jays Way,,,
Toronto,3/8/2019,Blue Jays Vs Mariners,19:00,Rogers Centre,1 Blue Jays Way,,,
Washington D.C.,3/2/2019,Dc United Vs Revolution,17:30,Audi Field,100 Potomac Avenue Southwest,,,
Washington D.C.,3/3/2019,Dc United Vs Revolution,19:00,Audi Field,100 Potomac Avenue Southwest,,,
Washington D.C.,3/5/2019,Dc United Vs Revolution,19:30,Audi Field,100 Potomac Avenue Southwest,,,
Washington D.C.,3/7/2019,Dc United Vs Revolution,17:30,Audi Field,100 Potomac Avenue Southwest,,,
Washington D.C.,3/8/2019,Dc United Vs Revolution,19:30,Audi Field,100 Potomac Avenue Southwest,,,
Washington D.C.,3/9/2019,Dc United Vs Revolution,18:30,Audi Field,100 Potomac Avenue Southwest,,,
Washington D.C.,3/12/2019,Dc United Vs Revolution,19:00,Audi Field,100 Potomac Avenue Southwest,,,
Washington D.C.,3/14/2019,Dc United Vs Revolution,17:30,Audi Field,100 Potomac Avenue Southwest,,,
Seattle,3/3/2019,Huskies Vs Warriors,19:00,Husky Stadium,3800 Montlake Boulevard Northeast,,,
Seattle,3/4/2019,Huskies Vs Warriors,17:30,Husky Stadium,3800 Montlake Boulevard Northeast,,,
Seattle,3/6/2019,Huskies Vs Warriors,19:30,Husky Stadium,3800 Montlake Boulevard Northeast,,,
Seattle,3/8/2019,Huskies Vs Warriors,17:00,Husky Stadium,3800 Montlake Boulevard Northeast,,,
Phoenix,3/1/2019,Tash Sultana,17:00,The Van Buren,401 West Van Buren Street,,,
Phoenix,3/2/2019,Tash Sultana,18:00,The Van Buren,401 West Van Buren Street,,,
Phoenix,3/3/2019,Tash Sultana,17:00,The Van Buren,401 West Van Buren Street,,,
Phoenix,3/4/2019,Tash Sultana,19:30,The Van Buren,401 West Van Buren Street,,,
Seattle,3/4/2019,Sounders Vs Revolution,17:00,CenturyLink Field,800 Occidental Avenue South,,,
Seattle,3/8/2019,Sounders Vs Revolution,18:30,CenturyLink Field,800 Occidental Avenue South,,,
Oakland,3/2/2019,Raiders Vs Titans,19:30,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Oakland,3/3/2019,Raiders Vs Titans,18:30,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Oakland,3/4/2019,Raiders Vs Titans,17:30,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Oakland,3/6/2019,Raiders Vs Titans,18:00,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Oakland,3/7/2019,Raiders Vs Titans,19:30,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Oakland,3/14/2019,Raiders Vs Titans,17:00,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Phoenix,3/1/2019,Diamondbacks Vs Mets,18:30,Chase Field,401 East Jefferson Street,,,
Phoenix,3/3/2019,Diamondbacks Vs Mets,18:30,Chase Field,401 East Jefferson Street,,,
Phoenix,3/12/2019,Diamondbacks Vs Mets,18:30,Chase Field,401 East Jefferson Street,,,
New York,3/3/2019,Mets Vs Diamondbacks,17:00,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/9/2019,Mets Vs Diamondbacks,18:00,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/10/2019,Mets Vs Diamondbacks,18:30,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/11/2019,Mets Vs Diamondbacks,19:30,Citi Field,123-01 Roosevelt Avenue,,,
Chicago,3/1/2019,Billy Currington,18:30,Gallagher Way,3635 North Clark Street,,,
Chicago,3/2/2019,Billy Currington,17:30,Gallagher Way,3635 North Clark Street,,,
Chicago,3/4/2019,Billy Currington,17:00,Gallagher Way,3635 North Clark Street,,,
Chicago,3/10/2019,Billy Currington,18:30,Gallagher Way,3635 North Clark Street,,,
Chicago,3/12/2019,Billy Currington,18:30,Gallagher Way,3635 North Clark Street,,,
Chicago,3/13/2019,Billy Currington,18:00,Gallagher Way,3635 North Clark Street,,,
Chicago,3/14/2019,Billy Currington,17:30,Gallagher Way,3635 North Clark Street,,,
Vancouver,3/2/2019,Whitecaps Vs Earthquakes,17:00,BC Place,777 Pacific Boulevard,,,
Vancouver,3/8/2019,Whitecaps Vs Earthquakes,17:30,BC Place,777 Pacific Boulevard,,,
Vancouver,3/10/2019,Whitecaps Vs Earthquakes,18:00,BC Place,777 Pacific Boulevard,,,
Vancouver,3/11/2019,Whitecaps Vs Earthquakes,17:00,BC Place,777 Pacific Boulevard,,,
Vancouver,3/13/2019,Whitecaps Vs Earthquakes,17:30,BC Place,777 Pacific Boulevard,,,
Vancouver,3/14/2019,Whitecaps Vs Earthquakes,19:30,BC Place,777 Pacific Boulevard,,,
Los Angeles,3/1/2019,Starset,17:00,Regent Theater DTLA,448 South Main Street,,,
Los Angeles,3/3/2019,Starset,18:00,Regent Theater DTLA,448 South Main Street,,,
Los Angeles,3/4/2019,Starset,18:30,Regent Theater DTLA,448 South Main Street,,,
Los Angeles,3/5/2019,Starset,19:00,Regent Theater DTLA,448 South Main Street,,,
Los Angeles,3/8/2019,Starset,17:30,Regent Theater DTLA,448 South Main Street,,,
Los Angeles,3/11/2019,Starset,18:00,Regent Theater DTLA,448 South Main Street,,,
Los Angeles,3/1/2019,Usc Vs Ucla,18:30,LA Memorial Coliseum,3911 Figueroa Street,,,
Los Angeles,3/4/2019,Usc Vs Ucla,19:30,LA Memorial Coliseum,3911 Figueroa Street,,,
Los Angeles,3/6/2019,Usc Vs Ucla,17:30,LA Memorial Coliseum,3911 Figueroa Street,,,
Los Angeles,3/7/2019,Usc Vs Ucla,19:00,LA Memorial Coliseum,3911 Figueroa Street,,,
Los Angeles,3/1/2019,Trojans Vs Bulldogs,19:30,LA Memorial Coliseum,3911 Figueroa Street,,,
Los Angeles,3/2/2019,Trojans Vs Bulldogs,19:00,LA Memorial Coliseum,3911 Figueroa Street,,,
Los Angeles,3/6/2019,Trojans Vs Bulldogs,19:30,LA Memorial Coliseum,3911 Figueroa Street,,,
Los Angeles,3/7/2019,Trojans Vs Bulldogs,19:30,LA Memorial Coliseum,3911 Figueroa Street,,,
Los Angeles,3/8/2019,Trojans Vs Bulldogs,18:30,LA Memorial Coliseum,3911 Figueroa Street,,,
Los Angeles,3/9/2019,Trojans Vs Bulldogs,17:30,LA Memorial Coliseum,3911 Figueroa Street,,,
Chicago,3/2/2019,Cubs Vs Mariners,17:30,Wrigley Field,1060 West Addison Street,,,
Chicago,3/7/2019,Cubs Vs Mariners,19:30,Wrigley Field,1060 West Addison Street,,,
Chicago,3/10/2019,Cubs Vs Mariners,17:00,Wrigley Field,1060 West Addison Street,,,
