city,cuisine,has_live_music,phone_number,price_range,restaurant_name,serves_alcohol,street_address,date,party_size,time
Oakland,Italian,FALSE,510-350-7619,moderate,Belotti Ristorante E Bottega,TRUE,5403 College Avenue,,,
Oakland,Italian,FALSE,510-918-3205,moderate,Contrasto,TRUE,388 Grand Avenue,,,
Oakland,Italian,FALSE,510-428-4078,moderate,Enoteca Molinari,TRUE,5474 College Avenue,,,
Oakland,Italian,TRUE,510-652-7401,moderate,Genova Delicatessen,TRUE,5095 Telegraph Avenue suite a,,,
Oakland,Italian,TRUE,510-482-8094,moderate,Italian Colors,FALSE,2220 Mountain Boulevard #100,,,
Oakland,Italian,FALSE,510-479-1448,moderate,Marzano Restaurant And Bar,FALSE,4214 Park Boulevard,,,
Oakland,Italian,FALSE,510-547-5356,expensive,Oliveto,FALSE,5655 College Avenue,,,
Concord,Sushi,FALSE,925-691-6009,moderate,Ozora Sushi,FALSE,785 Oak Grove Road,,,
Concord,Sushi,FALSE,925-672-1431,moderate,Tachi Sushi Bar,FALSE,5458 Ygnacio Valley Road,,,
Rohnert Park,Mexican,FALSE,707-585-9069,moderate,Chili's Grill & Bar,TRUE,4851 Redwood Drive,,,
Rohnert Park,Mexican,FALSE,707-588-0893,moderate,Tonayan,FALSE,500 Raley's Town Centre,,,
Rohnert Park,Japanese,FALSE,707-584-4204,moderate,Kyoto,FALSE,5 Padre Parkway,,,
San Francisco,Take-out,FALSE,415-564-5514,moderate,Golden Gate Indian Cuisine & Pizza,TRUE,4038 Judah Street,,,
San Francisco,Take-out,FALSE,415-775-4735,inexpensive,Hunan Empire Restaurant,TRUE,2001 Union Street,,,
San Francisco,Take-out,FALSE,415-346-5288,moderate,Jackson Fillmore Trattoria,FALSE,2506 Fillmore Street,,,
San Francisco,Take-out,FALSE,415-912-1502,moderate,Jersey Pizza,FALSE,145 2nd Street,,,
San Francisco,Take-out,FALSE,415-495-6742,moderate,Osha Thai Restaurant And Lounge,FALSE,311 3rd Street,,,
San Francisco,Take-out,FALSE,415-400-4900,moderate,Red's Pizzeria,FALSE,3839 Mission Street,,,
San Francisco,Take-out,FALSE,415-981-8988,moderate,Z & Y Restaurant,TRUE,655 Jackson Street,,,
Redwood City,Spanish,FALSE,650-368-9340,moderate,Estampas Peruanas Restaurant,FALSE,715 El Camino Real,,,
Millbrae,Singaporean,FALSE,650-487-8737,moderate,Ipoh Garden Malaysian Cuisine,FALSE,100 El Camino Real,,,
Calistoga,Thai,FALSE,707-942-1176,moderate,Calistoga Thai Kitchen,FALSE,1359 Lincoln Avenue,,,
Calistoga,American,FALSE,707-942-6500,moderate,Lovina,FALSE,1107 Cedar Street,,,
Burlingame,Seafood,FALSE,650-347-9988,moderate,Grand Harbor,FALSE,1492 Old Bayshore Highway,,,
Burlingame,Seafood,FALSE,650-348-4064,moderate,Sakae Sushi & Grill,FALSE,243 California Drive,,,
Rohnert Park,Japanese,FALSE,707-586-0270,expensive,Hana,FALSE,101 Golf Course Drive,,,
Pleasant Hill,Japanese,FALSE,925-671-9972,moderate,Matsu Sushi Japanese Restaurant,FALSE,1914 Contra Costa Boulevard,,,
Pleasant Hill,Japanese,FALSE,925-356-0292,moderate,Nama Sushi Pleasant Hill,FALSE,2375 Contra Costa Boulevard Ste. A,,,
San Ramon,Soup,TRUE,925-275-8105,inexpensive,Noodles And Company,FALSE,3141 Crow Canyon Place,,,
Cupertino,Chinese,TRUE,408-606-8976,inexpensive,A Plus Cafe,TRUE,21267 Stevens Creek Boulevard #200,,,
Cupertino,Chinese,FALSE,408-366-0588,moderate,Beijing Duck House,FALSE,10883 South Blaney Avenue B,,,
Cupertino,Chinese,FALSE,408-252-2200,moderate,Hong Fu,FALSE,20588 Stevens Creek Boulevard,,,
Cupertino,Chinese,FALSE,408-725-8168,moderate,Mandarin Gourmet Cupertino,FALSE,10145 North De Anza Boulevard,,,
Cupertino,Chinese,FALSE,408-777-8208,inexpensive,Nutrition Restaurant,FALSE,10935 North Wolfe Road,,,
Cupertino,Chinese,FALSE,408-873-4813,moderate,Shanghai Family Restaurant,FALSE,10877 North Wolfe Road,,,
Santa Clara,Chinese,FALSE,408-984-6688,moderate,Chef Ming's,FALSE,61 Washington Street,,,
Santa Clara,Chinese,FALSE,408-244-1684,moderate,China Stix,FALSE,2110 El Camino Real,,,
Santa Clara,Chinese,FALSE,408-248-1688,moderate,Din Tai Fung,FALSE,2855 Stevens Creek Boulevard #1259,,,
Santa Clara,Chinese,FALSE,408-564-4958,moderate,Jx Cuisine,FALSE,3581 Homestead Road,,,
Santa Clara,Chinese,FALSE,408-249-2784,moderate,Lock Chun Restaurant,FALSE,4495 Stevens Creek Boulevard,,,
Dublin,American,FALSE,925-556-9800,moderate,Black Angus Steakhouse,TRUE,4814 Dublin Boulevard,,,
Dublin,American,FALSE,925-999-9580,moderate,Hot Crab,TRUE,4288 Dublin Boulevard #101-102,,,
Napa,Italian,FALSE,707-224-3300,expensive,Bistro Don Giovanni,FALSE,4110 Howard Lane,,,
Napa,Italian,FALSE,707-252-1022,expensive,Oenotri,FALSE,1425 1st Street,,,
Milpitas,Vietnamese,FALSE,408-946-9046,moderate,Anh Hong,FALSE,233 West Calaveras Boulevard,,,
Milpitas,Vietnamese,FALSE,408-719-9998,moderate,Ta Restaurant,FALSE,90 South Abel Street,,,
Milpitas,Vietnamese,FALSE,408-934-9327,moderate,Vung Tau Ii Restaurant,TRUE,1750 North Milpitas Boulevard,,,
Martinez,Thai,FALSE,925-387-0388,moderate,Lemongrass Bistro,FALSE,501 Main Street,,,
Pleasanton,Japanese,FALSE,925-462-3321,moderate,Meiko Sushi,TRUE,4301 Valley Avenue B,,,
Pleasanton,Japanese,FALSE,925-224-9916,moderate,P.f. Chang's,TRUE,1330 Stoneridge Mall Road,,,
Pleasanton,Chinese,FALSE,925-750-8888,moderate,Andy & Yu's,FALSE,348 Saint Mary Street,,,
Pleasanton,Chinese,FALSE,925-227-1312,moderate,China Lounge Restaurant & Bar,TRUE,4220 A Rosewood Drive,,,
Pleasanton,Chinese,FALSE,925-484-0480,moderate,Hunan Chef Chinese Restaurant,FALSE,4285 Valley Avenue,,,
Campbell,American,FALSE,408-374-3400,moderate,Effie's Restaurant & Bar,FALSE,331 West Hacienda Avenue,,,
Campbell,American,FALSE,408-364-1564,moderate,Flights Restaurant Campbell,TRUE,368 East Campbell Avenue,,,
Campbell,American,FALSE,408-628-0683,moderate,Forthright Oyster Bar & Kitchen,TRUE,1700 West Campbell Avenue,,,
Campbell,Sushi,FALSE,408-370-1300,moderate,Furusato,FALSE,1651 West Campbell Avenue,,,
Campbell,Sushi,FALSE,408-377-6456,moderate,Kyoto Palace Japanese Steakhouse,FALSE,1875 South Bascom Avenue #2500,,,
Palo Alto,Brazilian,FALSE,650-327-1323,expensive,Pampas,FALSE,529 Alma Street,,,
Campbell,Italian,FALSE,408-370-7705,moderate,A Bellagio Italian Restaurant,FALSE,33 South Central Avenue,,,
Campbell,Italian,FALSE,408-377-7722,moderate,Buca Di Beppo Italian Restaurant,TRUE,1875 South Bascom Avenue,,,
Campbell,Italian,FALSE,408-377-5850,moderate,Dicicco's Ristorante Italiano Autentico,TRUE,2509 South Bascom Avenue,,,
Campbell,Italian,FALSE,408-379-3333,moderate,Mama Mia's,FALSE,200 East Hamilton Avenue,,,
Campbell,Italian,FALSE,408-374-1800,moderate,Sorelle Italian Bistro,FALSE,915 South San Tomas Aquino Road,,,
Dublin,Chinese,FALSE,925-556-9988,moderate,China Paradise Restaurant,FALSE,4580 Dublin Boulevard,,,
Dublin,Chinese,FALSE,925-828-2028,moderate,Golden Sand Harbor,FALSE,7745 Amador Valley Boulevard,,,
Dublin,Chinese,FALSE,925-999-8627,moderate,Gum Kuo,FALSE,3720 Fallon Road,,,
Dublin,Chinese,FALSE,925-833-9090,moderate,Koi Palace - Dublin,TRUE,4288 Dublin Boulevard #213,,,
Dublin,Chinese,FALSE,925-829-8895,moderate,Little Dipper Shabu Shabu,FALSE,3870 Fallon Road,,,
Dublin,Chinese,FALSE,925-361-8682,moderate,"Little Sheep Mongolian Hot Pot, Dublin",FALSE,4068 Grafton Street,,,
Dublin,Chinese,FALSE,925-828-9111,moderate,Ocean Garden,FALSE,6513 Regional Street,,,
Petaluma,Indian,TRUE,707-775-4717,moderate,Shree Indian Cuisine,TRUE,220 Western Avenue,,,
San Francisco,Italian,FALSE,415-543-5100,moderate,54 Mint Ristorante Italiano,TRUE,16 Mint Plaza,,,
San Francisco,Italian,FALSE,415-771-2216,moderate,A16,TRUE,2355 Chestnut Street,,,
San Francisco,Italian,FALSE,415-928-4002,moderate,Allegro Romano,FALSE,1701 Jones Street,,,
San Francisco,Italian,FALSE,415-834-5766,moderate,Altovino,FALSE,1358 Mason Street,,,
San Francisco,Italian,FALSE,415-447-0441,moderate,Amarena,FALSE,2162 Larkin Street,,,
San Francisco,Italian,FALSE,415-278-3777,moderate,Americano,FALSE,8 Mission St,,,
San Francisco,Italian,FALSE,415-282-4969,moderate,Bacco,TRUE,737 Diamond Street,,,
San Francisco,Italian,FALSE,415-955-1919,moderate,Barbacco,FALSE,220 California Street,,,
San Francisco,Italian,FALSE,415-986-8887,moderate,Belden Taverna,TRUE,52 Belden Place,,,
San Francisco,Italian,FALSE,415-221-0305,moderate,Bella Trattoria,TRUE,3854 Geary Boulevard,,,
Foster City,Indian,FALSE,650-399-0504,moderate,Pastries N Chaat,TRUE,1100 Foster Square Lane #150,,,
Foster City,Indian,FALSE,650-638-1555,inexpensive,Tabla Indian Restaurant,FALSE,1088 Shell Boulevard c,,,
Mountain View,Chinese,FALSE,650-941-4373,moderate,China Wok,FALSE,2633 California Street,,,
Mountain View,Chinese,FALSE,650-969-8968,inexpensive,Hunan Chili,TRUE,102 Castro Street,,,
Mountain View,Chinese,FALSE,650-967-7334,inexpensive,Shanghai Family Restaurant,FALSE,108A North Rengstorff Avenue,,,
San Mateo,Chinese,FALSE,650-286-9386,moderate,Gau Poang,FALSE,1208 South El Camino Real,,,
San Mateo,Chinese,FALSE,650-513-1764,moderate,Inchin's Bamboo Garden,FALSE,139 South B Street,,,
San Mateo,Chinese,FALSE,650-345-6288,moderate,Jade Dragon,FALSE,2450 South El Camino Real,,,
San Mateo,Chinese,FALSE,650-573-7161,inexpensive,Little Shanghai,FALSE,17 East 25th Avenue,,,
San Mateo,Chinese,FALSE,650-571-1298,moderate,Silver House,FALSE,2224 South El Camino Real,,,
San Francisco,Chinese,FALSE,415-282-8999,inexpensive,Alice's,FALSE,1599 Sanchez Street,,,
San Francisco,Chinese,FALSE,415-775-3679,inexpensive,Bamboo Restaurant,TRUE,1441 Polk Street,,,
San Francisco,Chinese,FALSE,415-661-8385,inexpensive,Bei Fang Style,TRUE,2218 Irving Street,,,
San Francisco,Chinese,FALSE,415-333-8182,moderate,Beijing Restaurant,FALSE,1801 Alemany Boulevard,,,
San Francisco,Chinese,FALSE,415-387-2658,moderate,Chili House Sf,TRUE,726 Clement Street,,,
San Francisco,Chinese,FALSE,415-655-3335,moderate,Chubby Noodle Marina,FALSE,2205 Lombard Street,,,
San Francisco,Chinese,FALSE,415-337-1888,inexpensive,Crazy Pepper,FALSE,2257 San Jose Avenue,,,
San Francisco,Chinese,FALSE,415-529-2615,inexpensive,Dim Sum Club,FALSE,2550 Van Ness Avenue,,,
San Francisco,Chinese,FALSE,415-333-8899,moderate,Dragon Beaux,TRUE,5700 Geary Boulevard,,,
San Francisco,Chinese,FALSE,415-387-8512,inexpensive,Dragon River Restaurant,TRUE,5045 Geary Boulevard,,,
San Francisco,California,FALSE,415-416-6136,moderate,Al's Place,TRUE,1499 Valencia Street,,,
San Francisco,California,FALSE,415-580-7662,expensive,Alta Msp,FALSE,1275 Minnesota Street,,,
San Francisco,California,FALSE,415-341-9000,very expensive,Aq,TRUE,1085 Mission Street,,,
San Francisco,California,FALSE,415-512-7153,moderate,Atwater Tavern,TRUE,295 Terry A Francois Boulevard,,,
San Francisco,California,FALSE,415-276-9888,moderate,Brasserie S&p,FALSE,222 Sansome Street,,,
San Francisco,California,FALSE,415-757-0994,very expensive,Californios,FALSE,3115 22nd Street,,,
San Francisco,California,FALSE,415-640-8990,moderate,Cassava,TRUE,3519 Balboa Street,,,
San Francisco,California,FALSE,415-826-7004,expensive,Central Kitchen,FALSE,3000 20th Street,,,
San Francisco,California,FALSE,415-829-7814,moderate,Foxsister,TRUE,3161 24th Street,,,
San Francisco,California,FALSE,415-284-4188,expensive,Grill At The St. Regis,TRUE,125 3rd Street,,,
Foster City,Japanese,FALSE,650-341-6888,moderate,Tokai Japanese Restaurant,TRUE,1221 Chess Drive,,,
Foster City,Japanese,FALSE,650-341-6888,moderate,Tokyo Village Grill & Sushi,FALSE,1221 Chess Drive,,,
San Francisco,Italian,FALSE,415-292-3699,expensive,Ala Romana,TRUE,1098 Jackson Street,,,
Pleasanton,Indian,FALSE,925-750-7709,moderate,Aappakadai,FALSE,4555 Hopyard Road,,,
Pleasanton,Indian,FALSE,925-750-7149,moderate,Amaravati House,FALSE,1991 Santa Rita Road,,,
Pleasanton,Indian,FALSE,925-467-1555,moderate,Bawarchi Indian Cuisine,FALSE,4040 Pimlico Drive #116,,,
Pleasanton,Indian,FALSE,925-225-9999,moderate,Blue Fox Indian Cuisine,FALSE,5681 Gibraltar Drive,,,
Pleasanton,Indian,FALSE,925-846-4547,moderate,Curry Cravings,FALSE,2025 Santa Rita Road,,,
Pleasanton,Indian,FALSE,925-846-3077,moderate,Frontier Spice,FALSE,411 Main Street,,,
Pleasanton,Indian,FALSE,925-271-7575,moderate,Vedas Indian Restaurant,FALSE,3037 Hopyard Road G,,,
Sunnyvale,Italian,FALSE,408-737-8384,moderate,Gumba's,TRUE,176 South Murphy Avenue,,,
Sunnyvale,Italian,FALSE,408-733-5351,moderate,Il Postale,FALSE,100 South Murphy Avenue,,,
Sunnyvale,Italian,FALSE,408-738-2400,moderate,Pezzella's Villa Napoli,TRUE,1025 West El Camino Real,,,
San Francisco,American,FALSE,415-359-1212,expensive,1760,FALSE,1760 Polk Street,,,
San Francisco,American,FALSE,415-495-5875,expensive,25 Lusk,TRUE,25 Lusk Street,,,
San Francisco,American,FALSE,415-814-3709,expensive,3rd Cousin,FALSE,919 Cortland Avenue,,,
San Francisco,American,FALSE,415-775-1800,moderate,Academy Bar And Kitchen,FALSE,1800 Fillmore Street,,,
San Francisco,American,FALSE,(415) 567-5432,very expensive,Acquerello,FALSE,1722 Sacramento Street,,,
San Francisco,American,FALSE,415-872-9409,moderate,Alba Ray's,TRUE,2293 Mission Street,,,
San Francisco,American,FALSE,415-829-2737,moderate,Aliment,FALSE,786 Bush Street,,,
San Francisco,American,FALSE,650-627-4303,moderate,All Spice,TRUE,648 Bush Street,,,
San Francisco,American,FALSE,415-590-2585,expensive,Alta Ca,FALSE,1420 Market Street,,,
San Francisco,American,FALSE,415-875-9810,very expensive,Aster,FALSE,1001 Guerrero Street,,,
San Jose,American,FALSE,408-618-8072,moderate,Lalla Grill,FALSE,55 River Oaks Place,,,
San Jose,American,TRUE,408-247-1706,moderate,Rosie Mccann's Irish Pub & Restaurant,TRUE,355 Santana Row #1060,,,
San Jose,American,TRUE,408-866-4176,moderate,The Blue Door Restaurant & Bar,TRUE,1502 Saratoga Avenue,,,
San Francisco,French,FALSE,415-202-0100,expensive,Bistro Aix,FALSE,3340 Steiner Street,,,
San Francisco,French,FALSE,415-931-7272,expensive,Bistro Central Parc,FALSE,560 Central Avenue,,,
San Francisco,French,FALSE,415-981-5565,expensive,Cafe Jacqueline,FALSE,1454 Grant Avenue,,,
San Francisco,French,FALSE,415-387-0408,expensive,Chapeau!,FALSE,126 Clement Street,,,
San Francisco,French,FALSE,415-292-4415,expensive,Cocotte,FALSE,1521 Hyde Street,,,
