car_name,car_type,dropoff_date,pickup_city,pickup_date,pickup_location,pickup_time,total_price
Chevrolet Bolt,Compact,2019-03-07,Delhi,2019-03-04,Indira Gandhi International Airport,15:30,90
Honda Fit,Compact,2019-03-07,Delhi,2019-03-04,Indira Gandhi International Airport,15:30,84
Volkswagen Golf,Compact,2019-03-07,Delhi,2019-03-04,Indira Gandhi International Airport,15:30,75
Chevrolet Bolt,Compact,2019-03-07,,2019-03-04,Indira Gandhi International Airport,15:30,90
Chevrolet Cruze,Standard,2019-03-09,San Francisco,2019-03-06,SFO International Airport,19:30,114
Ford Fusion,Standard,2019-03-09,San Francisco,2019-03-06,SFO International Airport,19:30,102
Nissan Altima,Standard,2019-03-09,San Francisco,2019-03-06,SFO International Airport,19:30,102
Toyota Prius,Standard,2019-03-09,San Francisco,2019-03-06,SFO International Airport,19:30,111
Toyota Prius,Standard,2019-03-08,Phoenix,2019-03-01,Sky Harbor International Airport,13:30,210
Chevrolet Cruze,Standard,2019-03-06,London,2019-03-02,Heathrow International Airport,17:00,148
Honda Accord,Standard,2019-03-06,London,2019-03-02,Gatwick International Airport,17:00,132
Hyundai Elantra,Standard,2019-03-06,London,2019-03-02,Heathrow International Airport,17:00,116
Nissan Altima,Standard,2019-03-06,London,2019-03-02,Heathrow International Airport,17:00,140
Toyota Prius,Standard,2019-03-06,London,2019-03-02,Heathrow International Airport,17:00,120
Chevrolet Cruze,Standard,2019-03-06,Sydney,2019-03-02,Kingsford Smith International Airport,17:00,128
Ford Fusion,Standard,2019-03-06,Sydney,2019-03-02,Kingsford Smith International Airport,17:00,132
Hyundai Elantra,Standard,2019-03-06,Sydney,2019-03-02,Kingsford Smith International Airport,17:00,124
Toyota Corolla,Standard,2019-03-06,Sydney,2019-03-02,Kingsford Smith International Airport,17:00,128
Ford Fusion,Standard,2019-03-06,,2019-03-02,Kingsford Smith International Airport,17:00,132
Chevrolet Cruze,Standard,2019-03-06,Philadelphia,2019-03-04,PHL International Airport,18:30,56
Ford Fusion,Standard,2019-03-06,Philadelphia,2019-03-04,PHL International Airport,18:30,62
Honda Civic,Standard,2019-03-06,Philadelphia,2019-03-04,PHL International Airport,18:30,68
Hyundai Elantra,Standard,2019-03-06,Philadelphia,2019-03-04,Intercity Terminal,18:30,58
Nissan Altima,Standard,2019-03-06,Philadelphia,2019-03-04,Intercity Terminal,18:30,66
Toyota Corolla,Standard,2019-03-06,Philadelphia,2019-03-04,Intercity Terminal,18:30,64
Toyota Prius,Standard,2019-03-06,Philadelphia,2019-03-04,Intercity Terminal,18:30,66
Honda Fit,Compact,2019-03-06,Philadelphia,2019-03-02,Intercity Terminal,18:30,100
Kia Forte,Compact,2019-03-06,Philadelphia,2019-03-02,PHL International Airport,18:30,116
Mini Cooper,Compact,2019-03-06,Philadelphia,2019-03-02,Intercity Terminal,18:30,116
Volkswagen GTI,Compact,2019-03-06,Philadelphia,2019-03-02,PHL International Airport,18:30,128
Honda Fit,Compact,2019-03-06,,2019-03-02,Intercity Terminal,18:30,100
Chevrolet Cruze,Standard,2019-03-10,Anaheim,2019-03-09,John Wayne Airport,15:00,33
Ford Fusion,Standard,2019-03-10,Anaheim,2019-03-09,John Wayne Airport,15:00,41
Honda Accord,Standard,2019-03-10,Anaheim,2019-03-09,John Wayne Airport,15:00,31
Hyundai Elantra,Standard,2019-03-10,Anaheim,2019-03-09,Anaheim Intermodal Center,15:00,29
Nissan Altima,Standard,2019-03-10,Anaheim,2019-03-09,John Wayne Airport,15:00,37
Toyota Camry,Standard,2019-03-10,Anaheim,2019-03-09,Anaheim Intermodal Center,15:00,27
Chevrolet Cruze,Standard,2019-03-09,London,2019-03-06,Heathrow International Airport,17:00,93
Honda Accord,Standard,2019-03-09,London,2019-03-06,Gatwick International Airport,17:00,102
Hyundai Elantra,Standard,2019-03-09,London,2019-03-06,Heathrow International Airport,17:00,87
Nissan Altima,Standard,2019-03-09,London,2019-03-06,Heathrow International Airport,17:00,96
Toyota Prius,Standard,2019-03-09,London,2019-03-06,Heathrow International Airport,17:00,90
Honda Accord,Standard,2019-03-09,,2019-03-06,Gatwick International Airport,17:00,102
Nissan Rogue,Full-size,2019-03-09,Washington,2019-03-07,Union Station,15:30,82
Subaru Forester,Full-size,2019-03-09,Washington,2019-03-07,Dulles International Airport,15:30,80
Nissan Rogue,Full-size,2019-03-09,,2019-03-07,Union Station,15:30,82
Chevrolet Cruze,Standard,2019-03-12,Philadelphia,2019-03-08,30th Street Station,11:00,140
Ford Fusion,Standard,2019-03-12,Philadelphia,2019-03-08,30th Street Station,11:00,132
Hyundai Elantra,Standard,2019-03-12,Philadelphia,2019-03-08,Intercity Terminal,11:00,116
Nissan Altima,Standard,2019-03-12,Philadelphia,2019-03-08,30th Street Station,11:00,120
Nissan Sentra,Standard,2019-03-12,Philadelphia,2019-03-08,30th Street Station,11:00,116
Toyota Corolla,Standard,2019-03-12,Philadelphia,2019-03-08,Intercity Terminal,11:00,124
Toyota Prius,Standard,2019-03-12,Philadelphia,2019-03-08,Intercity Terminal,11:00,132
Chevrolet Cruze,Standard,2019-03-12,,2019-03-08,30th Street Station,11:00,140
Honda Civic,Standard,2019-03-07,New York,2019-03-06,JFK International Airport,10:30,35
Hyundai Elantra,Standard,2019-03-07,New York,2019-03-06,Port Authority Station,10:30,33
Nissan Altima,Standard,2019-03-07,New York,2019-03-06,Port Authority Station,10:30,26
Toyota Camry,Standard,2019-03-07,New York,2019-03-06,JFK International Airport,10:30,32
Toyota Corolla,Standard,2019-03-07,New York,2019-03-06,JFK International Airport,10:30,33
Toyota Prius,Standard,2019-03-07,New York,2019-03-06,Port Authority Station,10:30,33
Honda Civic,Standard,2019-03-07,,2019-03-06,JFK International Airport,10:30,35
Chevrolet Cruze,Standard,2019-03-07,Paris,2019-03-05,Charles de Gaulle International Airport,15:00,62
Honda Accord,Standard,2019-03-07,Paris,2019-03-05,Charles de Gaulle International Airport,15:00,68
Nissan Sentra,Standard,2019-03-07,Paris,2019-03-05,Charles de Gaulle International Airport,15:00,70
Toyota Prius,Standard,2019-03-07,Paris,2019-03-05,Charles de Gaulle International Airport,15:00,58
Chevrolet Cruze,Standard,2019-03-07,Paris,2019-03-03,Charles de Gaulle International Airport,15:00,104
Honda Accord,Standard,2019-03-07,Paris,2019-03-03,Charles de Gaulle International Airport,15:00,128
Nissan Sentra,Standard,2019-03-07,Paris,2019-03-03,Charles de Gaulle International Airport,15:00,160
Honda Accord,Standard,2019-03-07,,2019-03-03,Charles de Gaulle International Airport,15:00,128
Chevrolet Cruze,Standard,2019-03-13,Anaheim,2019-03-08,John Wayne Airport,14:00,155
Ford Fusion,Standard,2019-03-13,Anaheim,2019-03-08,John Wayne Airport,14:00,165
Honda Accord,Standard,2019-03-13,Anaheim,2019-03-08,John Wayne Airport,14:00,180
Hyundai Elantra,Standard,2019-03-13,Anaheim,2019-03-08,Anaheim Intermodal Center,14:00,140
Nissan Altima,Standard,2019-03-13,Anaheim,2019-03-08,John Wayne Airport,14:00,160
Chevrolet Bolt,Compact,2019-03-13,Anaheim,2019-03-08,John Wayne Airport,14:00,125
Honda Fit,Compact,2019-03-13,Anaheim,2019-03-08,Anaheim Intermodal Center,14:00,130
Kia Forte,Compact,2019-03-13,Anaheim,2019-03-08,Anaheim Intermodal Center,14:00,110
Nissan Leaf,Compact,2019-03-13,Anaheim,2019-03-08,Anaheim Intermodal Center,14:00,135
Volkswagen GTI,Compact,2019-03-13,Anaheim,2019-03-08,John Wayne Airport,14:00,120
Volkswagen Golf,Compact,2019-03-13,Anaheim,2019-03-08,John Wayne Airport,14:00,140
Ford Escape,Full-size,2019-03-13,Anaheim,2019-03-08,John Wayne Airport,14:00,220
Hyundai Tucson,Full-size,2019-03-13,Anaheim,2019-03-08,Anaheim Intermodal Center,14:00,165
Chevrolet Cruze,Standard,2019-03-06,Paris,2019-03-04,Charles de Gaulle International Airport,16:30,68
Honda Accord,Standard,2019-03-06,Paris,2019-03-04,Charles de Gaulle International Airport,16:30,76
Nissan Sentra,Standard,2019-03-06,Paris,2019-03-04,Charles de Gaulle International Airport,16:30,66
Toyota Prius,Standard,2019-03-06,Paris,2019-03-04,Charles de Gaulle International Airport,16:30,58
Honda Accord,Standard,2019-03-06,,2019-03-04,Charles de Gaulle International Airport,16:30,76
Hyundai Elantra,Standard,2019-03-11,Vancouver,2019-03-06,YVR International Airport,12:30,175
Nissan Altima,Standard,2019-03-11,Vancouver,2019-03-06,YVR International Airport,12:30,135
Toyota Corolla,Standard,2019-03-11,Vancouver,2019-03-06,YVR International Airport,12:30,145
Chevrolet Cruze,Standard,2019-03-11,Vancouver,2019-03-06,Pacific Central Station,13:00,150
Toyota Prius,Standard,2019-03-11,Vancouver,2019-03-06,Pacific Central Station,13:00,150
Toyota Corolla,Standard,2019-03-11,,2019-03-06,YVR International Airport,12:30,145
Chevrolet Equinox,Full-size,2019-03-14,Vancouver,2019-03-11,Pacific Central Station,13:00,135
Hyundai Tucson,Full-size,2019-03-14,Vancouver,2019-03-11,Pacific Central Station,13:00,138
Subaru Forester,Full-size,2019-03-14,Vancouver,2019-03-11,YVR International Airport,12:30,132
Chevrolet Equinox,Full-size,2019-03-14,,2019-03-11,Pacific Central Station,13:00,135
Kia Forte,Compact,2019-03-09,Toronto,2019-03-02,Toronto Pearson International Airport,16:30,140
Mini Cooper,Compact,2019-03-09,Toronto,2019-03-02,Toronto Pearson International Airport,16:30,203
Honda Accord,Standard,2019-03-14,Washington,2019-03-11,Union Station,16:30,87
Honda Civic,Standard,2019-03-14,Washington,2019-03-11,Union Station,16:30,93
Toyota Camry,Standard,2019-03-14,Washington,2019-03-11,Dulles International Airport,16:30,93
Toyota Prius,Standard,2019-03-14,Washington,2019-03-11,Dulles International Airport,16:30,102
Toyota Camry,Standard,2019-03-14,,2019-03-11,Dulles International Airport,16:30,93
Chevrolet Cruze,Standard,2019-03-12,Atlanta,2019-03-11,Hartsfield-Jackson International Airport,15:00,29
Nissan Sentra,Standard,2019-03-12,Atlanta,2019-03-11,Hartsfield-Jackson International Airport,15:00,35
Toyota Camry,Standard,2019-03-12,Atlanta,2019-03-11,Hartsfield-Jackson International Airport,15:00,33
Toyota Prius,Standard,2019-03-12,Atlanta,2019-03-11,Peachtree Station,15:00,33
Ford Fusion,Standard,2019-03-11,Seattle,2019-03-08,King Street Station,13:30,93
Honda Civic,Standard,2019-03-11,Seattle,2019-03-08,Seattle-Tacoma International Airport,13:30,111
Hyundai Elantra,Standard,2019-03-11,Seattle,2019-03-08,King Street Station,13:30,78
Nissan Sentra,Standard,2019-03-11,Seattle,2019-03-08,Seattle-Tacoma International Airport,13:30,90
Toyota Prius,Standard,2019-03-11,Seattle,2019-03-08,Seattle-Tacoma International Airport,13:30,90
Honda Civic,Standard,2019-03-11,,2019-03-08,Seattle-Tacoma International Airport,13:30,111
Honda Civic,Standard,2019-03-12,New York,2019-03-06,JFK International Airport,10:30,210
Toyota Corolla,Standard,2019-03-12,New York,2019-03-06,JFK International Airport,10:30,216
Chevrolet Cruze,Standard,2019-03-05,Portland,2019-03-04,PDX International Airport,13:00,33
Ford Fusion,Standard,2019-03-05,Portland,2019-03-04,Union Station,13:00,29
Honda Accord,Standard,2019-03-05,Portland,2019-03-04,PDX International Airport,13:00,37
Honda Civic,Standard,2019-03-05,Portland,2019-03-04,PDX International Airport,13:00,34
Nissan Sentra,Standard,2019-03-05,Portland,2019-03-04,Portland Bus Station,13:00,26
Toyota Camry,Standard,2019-03-05,Portland,2019-03-04,Portland Bus Station,13:00,31
Toyota Corolla,Standard,2019-03-05,Portland,2019-03-04,Union Station,13:00,32
Toyota Prius,Standard,2019-03-05,Portland,2019-03-04,PDX International Airport,13:00,40
Honda Accord,Standard,2019-03-05,Portland,2019-03-04,Portland Bus Station,20:00,35
Nissan Sentra,Standard,2019-03-05,Portland,2019-03-04,Portland Bus Station,20:00,26
Toyota Camry,Standard,2019-03-05,Portland,2019-03-04,Portland Bus Station,20:00,31
Toyota Prius,Standard,2019-03-05,Portland,2019-03-04,Portland Bus Station,20:00,31
Honda Accord,Standard,2019-03-05,,2019-03-04,Portland Bus Station,20:00,35
Chevrolet Cruze,Standard,2019-03-03,Anaheim,2019-03-01,John Wayne Airport,14:00,72
Ford Fusion,Standard,2019-03-03,Anaheim,2019-03-01,John Wayne Airport,14:00,68
Honda Accord,Standard,2019-03-03,Anaheim,2019-03-01,John Wayne Airport,14:00,62
Hyundai Elantra,Standard,2019-03-03,Anaheim,2019-03-01,Anaheim Intermodal Center,14:00,60
Nissan Altima,Standard,2019-03-03,Anaheim,2019-03-01,John Wayne Airport,14:00,64
Toyota Camry,Standard,2019-03-03,Anaheim,2019-03-01,Anaheim Intermodal Center,14:00,56
Honda Accord,Standard,2019-03-03,,2019-03-01,John Wayne Airport,14:00,62
Ford Fusion,Standard,2019-03-08,Delhi,2019-03-06,Indira Gandhi International Airport,17:00,62
Honda Accord,Standard,2019-03-08,Delhi,2019-03-06,Indira Gandhi International Airport,17:00,74
Hyundai Elantra,Standard,2019-03-08,Delhi,2019-03-06,Indira Gandhi International Airport,17:00,66
Ford Fusion,Standard,2019-03-08,,2019-03-06,Indira Gandhi International Airport,17:00,62
Chevrolet Cruze,Standard,2019-03-06,Long Beach,2019-03-02,LGB Airport,18:00,140
Ford Fusion,Standard,2019-03-06,Long Beach,2019-03-02,Downtown Station,18:00,124
Honda Accord,Standard,2019-03-06,Long Beach,2019-03-02,LGB Airport,18:00,144
Toyota Corolla,Standard,2019-03-06,Long Beach,2019-03-02,LGB Airport,18:00,108
Toyota Prius,Standard,2019-03-06,Long Beach,2019-03-02,Downtown Station,18:00,120
Chevrolet Cruze,Standard,2019-03-06,,2019-03-02,LGB Airport,18:00,140
Chevrolet Cruze,Standard,2019-03-07,San Francisco,2019-03-05,SFO International Airport,12:30,72
Ford Fusion,Standard,2019-03-07,San Francisco,2019-03-05,SFO International Airport,12:30,62
Honda Civic,Standard,2019-03-07,San Francisco,2019-03-05,Salesforce Transit Center,12:30,70
Nissan Altima,Standard,2019-03-07,San Francisco,2019-03-05,SFO International Airport,12:30,76
Nissan Sentra,Standard,2019-03-07,San Francisco,2019-03-05,Salesforce Transit Center,12:30,58
