city,date,event_name,event_type,price_per_ticket,time,venue,venue_address,number_of_tickets
San Francisco,3/7/2019,Neneh Cherry,Music,50,18:30,August Hall,420 Mason Street,
San Francisco,3/7/2019,Raveena,Music,20,17:30,The Chapel,777 Valencia Street,
San Francisco,3/7/2019,Remo Drive,Music,20,17:30,The Chapel,777 Valencia Street,
Chicago,3/2/2019,Ada And The Engine,Theater,20,17:00,The Artistic Home,1376 West Grand Avenue #7761,
Chicago,3/2/2019,All That He Was,Theater,55,18:30,"The Buena, Pride Arts Center",4147 North Broadway,
Chicago,3/2/2019,Comedysportz,Theater,20,19:00,CSz Theater Chicago,929 West Belmont Avenue,
Chicago,3/2/2019,Create Your Solo Performance,Theater,55,18:00,Green Shirt Studio,4001 North Ravenswood Avenue Unit 303-B,
Chicago,3/2/2019,Dinner Detective,Theater,55,16:30,Chicago Marriott Downtown Magnificent Mile,540 North Michigan Avenue,
Chicago,3/2/2019,Dynasty,Theater,50,17:30,The Mission Theater,1501 North Kingsbury Street,
Chicago,3/2/2019,Ebonyessencejet At Steppenwolf Theatre,Theater,25,18:00,Front Bar,1700 North Halsted Street,
Chicago,3/2/2019,Emma,Theater,35,19:30,Lifeline Theatre,6912 North Glenwood Avenue,
Chicago,3/2/2019,Every Brilliant Thing,Theater,40,17:30,Windy City Playhouse,3014 West Irving Park Road,
Chicago,3/2/2019,Fine,Theater,25,16:30,The Mission Theater,1501 North Kingsbury Street,
Los Angeles,3/1/2019,A Year In Dragonfly,Theater,55,19:30,Studio C Artists,6448 California 2,
Los Angeles,3/4/2019,Adieu Monsieur Haffmann,Theater,45,18:30,Theatre Raymond Kabbaz,10361 West Pico Boulevard,
Los Angeles,3/6/2019,Anything Goes,Theater,25,17:30,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,
Los Angeles,3/11/2019,Asssscat,Theater,30,17:30,Ucb Franklin,5919 Franklin Avenue,
Los Angeles,3/2/2019,At The Table,Theater,40,19:00,Lankershim Arts Center,5108 Lankershim Boulevard,
Los Angeles,3/5/2019,Benji Hughes,Theater,20,16:00,The Teragram Ballroom,1234 West 7th Street,
Los Angeles,3/14/2019,Characters Welcome,Theater,40,16:00,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,
Los Angeles,3/14/2019,Crabbe And Goyle,Theater,50,17:00,studio/stage,520 North Western Avenue,
Los Angeles,3/13/2019,Extraordinary,Theater,30,19:00,Studio C Artists,6448 California 2,
Los Angeles,3/3/2019,Famous Adjacent,Theater,30,16:30,Rockwell Table & Stage,1714 North Vermont Avenue,
San Diego,3/5/2019,Benjamin Francis Leftwich,Music,25,19:30,The Irenic,3090 Polk Avenue,
San Diego,3/5/2019,Devendra Banhart,Music,30,16:00,The Observatory North Park,2891 University Avenue,
San Diego,3/5/2019,Hozier,Music,60,18:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
San Diego,3/5/2019,Ingrid Michaelson,Music,35,18:30,The Observatory North Park,2891 University Avenue,
San Diego,3/5/2019,Jon Bellion,Music,55,17:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
San Diego,3/5/2019,Mandolin Orange,Music,35,16:00,The Observatory North Park,2891 University Avenue,
San Diego,3/5/2019,Maribou State,Music,45,18:30,The Observatory North Park,2891 University Avenue,
San Diego,3/5/2019,Oliver Tree,Music,40,18:00,The Observatory North Park,2891 University Avenue,
San Diego,3/5/2019,Sara Bareilles,Music,60,19:00,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
San Diego,3/5/2019,The Japanese House,Music,30,17:30,The Observatory North Park,2891 University Avenue,
Chicago,3/3/2019,Ada And The Engine,Theater,55,17:30,The Artistic Home,1376 West Grand Avenue #7761,
Chicago,3/6/2019,All That He Was,Theater,45,19:30,"The Buena, Pride Arts Center",4147 North Broadway,
Chicago,3/10/2019,Casa Valentina,Theater,20,19:00,PRIDE ARTS CENTER,4139 North Broadway,
Chicago,3/14/2019,Comedysportz,Theater,35,16:00,Comedysportz,929 West Belmont Avenue,
Chicago,3/7/2019,Countess Dracula,Theater,40,17:00,Otherworld Theatre Performance Venue and Bar,3914 North Clark Street,
Chicago,3/10/2019,Create Your Solo Performance,Theater,25,19:00,Green Shirt Studio,4001 North Ravenswood Avenue Unit 303-B,
Chicago,3/12/2019,Dinner Detective,Theater,40,18:00,Chicago Marriott Downtown Magnificent Mile,540 North Michigan Avenue,
Chicago,3/12/2019,Drunk Shakespeare,Theater,60,16:00,The Lion Theatre,182 North Wabash Avenue,
Chicago,3/5/2019,Dynasty,Theater,25,19:30,The Mission Theater,1501 North Kingsbury Street,
Chicago,3/13/2019,Ebonyessencejet At Steppenwolf Theatre,Theater,35,17:30,Front Bar,1700 North Halsted Street,
San Diego,3/3/2019,Alejandro Sanz,Music,20,19:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
San Diego,3/3/2019,Benjamin Francis Leftwich,Music,35,19:00,The Irenic,3090 Polk Avenue,
San Diego,3/3/2019,Greta Van Fleet,Music,35,18:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
San Diego,3/3/2019,Johnny Mathis,Music,55,17:30,Copley Symphony Hall,Seventh Avenue,
San Diego,3/3/2019,Lizzo,Music,25,19:00,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
San Diego,3/3/2019,Local Natives,Music,35,16:30,Music Box,1337 India Street,
San Diego,3/3/2019,Mandolin Orange,Music,40,17:30,The Observatory North Park,2891 University Avenue,
San Diego,3/3/2019,San Diego Blues Festival,Music,40,17:00,San Diego Blues Festival,"Embarcadero Marina Park North, 400 Kettner Boulevard",
San Diego,3/3/2019,Sara Bareilles,Music,35,16:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
San Diego,3/3/2019,Surf Curse,Music,25,16:30,The Observatory North Park,2891 University Avenue,
Vancouver,3/13/2019,Alice In Glitterland,Theater,20,16:00,The Wise,1882 Adanac Street,
Vancouver,3/10/2019,Cinderella Kids,Theater,35,16:30,SFU Gallery,149 West Hastings Street,
Vancouver,3/12/2019,Classic Theatresports,Theater,25,17:30,Improv Centre,1502 Duranleau Street,
Vancouver,3/2/2019,Impro Scene Study,Theater,60,19:30,Dusty Flowerpot Cabaret Society,2050 Scotia Street,
Vancouver,3/8/2019,Little Mountain Improv,Theater,30,18:30,Little Mountain Gallery,195 East 26th Avenue,
Vancouver,3/13/2019,Matilda The Musical,Theater,25,19:30,"Goldcorp Stage at the BMO Theatre Centre, Arts Club Theatre Company",203 - 162 West 1st Avenue,
Vancouver,3/3/2019,Mother Of The Maid,Theater,30,18:30,Pacific Theatre,1440 West 12th Avenue,
Vancouver,3/4/2019,Of Mice And Men,Theater,60,18:00,Stage Door,3102 Main Street,
Vancouver,3/5/2019,Shakespeare In Love,Theater,55,17:00,Bard on the Beach Shakespeare Festival,1695 Whyte Avenue,
Vancouver,3/1/2019,Teatro Intimo Del Flamenco,Theater,35,19:30,Vancouver TheatreSports(tm),1502 Duranleau Street,
Los Angeles,3/9/2019,Ain Gordon,Music,60,19:00,Ralph Freud Playhouse,245 Charles E Young Drive East,
Los Angeles,3/14/2019,Aldous Harding,Music,20,19:30,Lodge Room,104 North Avenue 56 2nd Floor,
Los Angeles,3/11/2019,Altin Gun,Music,40,17:30,The Teragram Ballroom,1234 West 7th Street,
Los Angeles,3/11/2019,America,Music,35,19:30,The Theatre at Ace Hotel,929 South Broadway,
Los Angeles,3/7/2019,Angel Olsen,Music,25,17:30,Palace Theatre,630 South Broadway,
Los Angeles,3/3/2019,Billy Strings,Music,60,18:30,Lodge Room,104 North Avenue 56 2nd Floor,
Los Angeles,3/7/2019,Brittany Howard,Music,40,16:30,The Theatre at Ace Hotel,929 South Broadway,
Los Angeles,3/11/2019,Emeli Sande,Music,60,18:00,The Theatre at Ace Hotel,929 South Broadway,
Los Angeles,3/5/2019,Finneas,Music,55,19:30,Masonic Lodge at Hollywood Forever,5970 Santa Monica Boulevard,
Los Angeles,3/11/2019,Foy Vance,Music,30,16:00,Palace Theatre,630 South Broadway,
Delhi,3/2/2019,A Few Good Men,Theater,30,18:30,Kamani Auditorium,"1, Copernicus Marg, Opposite Doordarshan Bhawan, Mandi House, New Delhi",
Delhi,3/14/2019,Othelo,Theater,40,16:30,Shri Ram Centre for Performing Arts,"4, Safdar Hashmi Marg, Mandi House, New Delhi",
Delhi,3/14/2019,Rupaiya Hindi Comedy Play,Theater,55,16:00,Little Theatre Group Auditorium,"Mandi House, 1, Copernicus Marg, Opp. Doordarshan Bhavan, Near, Connaught Place, New Delhi",
Delhi,3/3/2019,The Curse Of Hamlet,Theater,30,17:30,Akshara Theatre,"11-B Baba Kharak Singh Marg, Beside, Ram Manohar Lohia Hospital, Exit, New Delhi",
Los Angeles,3/14/2019,Anything Goes,Theater,25,16:00,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,
Los Angeles,3/14/2019,Asssscat,Theater,20,17:30,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,
Los Angeles,3/14/2019,Benji Hughes,Theater,40,18:00,The Teragram Ballroom,1234 West 7th Street,
Los Angeles,3/14/2019,Extraordinary,Theater,50,17:30,Studio C Artists,6448 California 2,
Los Angeles,3/14/2019,Famous Adjacent,Theater,20,16:00,Rockwell Table & Stage,1714 North Vermont Avenue,
Los Angeles,3/14/2019,Funeral Bouquet,Theater,50,17:30,Lyric Hyperion Theatre & Cafe,2106 Hyperion Avenue,
Los Angeles,3/14/2019,Improv Nerds,Theater,55,17:30,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,
Los Angeles,3/14/2019,Lavender Men,Theater,55,18:30,Skylight Theatre Company,1816 1/2 North Vermont Avenue,
Los Angeles,3/13/2019,Aldous Harding,Music,25,16:30,Masonic Lodge at Hollywood Forever,5970 Santa Monica Boulevard,
Los Angeles,3/13/2019,Altin Gun,Music,40,17:30,The Teragram Ballroom,1234 West 7th Street,
Los Angeles,3/13/2019,America,Music,30,18:00,The Theatre at Ace Hotel,929 South Broadway,
Los Angeles,3/13/2019,Finneas,Music,30,18:00,Masonic Lodge at Hollywood Forever,5970 Santa Monica Boulevard,
Los Angeles,3/13/2019,Kamasi Washington,Music,55,18:30,The Theatre at Ace Hotel,929 South Broadway,
Los Angeles,3/13/2019,Kishi Bashi,Music,40,19:30,Masonic Lodge at Hollywood Forever,5970 Santa Monica Boulevard,
Los Angeles,3/13/2019,Lcs Summer Split,Music,45,18:00,LCS Studios,12312 West Olympic Boulevard,
Los Angeles,3/13/2019,Lux Prima,Music,30,19:30,The Theatre at Ace Hotel,929 South Broadway,
Los Angeles,3/13/2019,Mandolin Orange,Music,45,19:30,The Theatre at Ace Hotel,929 South Broadway,
Los Angeles,3/13/2019,Priests,Music,60,17:00,The Teragram Ballroom,1234 West 7th Street,
London,3/14/2019,A Right Royale Tea,Theater,50,19:00,Amba Hotel Charing Cross,Strand,
London,3/12/2019,A Taste For Murder,Theater,50,16:30,Wanstead Library,Spratt Hall Road,
London,3/11/2019,Academy Performing Arts,Theater,40,18:00,Academy Performing Arts,"Academy Performing Arts, 2 Archery Road",
London,3/9/2019,All The Little Lights,Theater,20,17:00,Tristan Bates Theatre,1A Tower Street,
London,3/5/2019,Armia,Theater,30,16:30,The Dome,2A Dartmouth Park Hill,
London,3/1/2019,As You Like It,Theater,60,18:30,"Swan, Shakespeare's Globe","21 New Globe Walk, Bankside",
London,3/7/2019,Becoming The Invisible Woman,Theater,35,17:30,Drayton Arms Theatre,153 Old Brompton Road,
London,3/10/2019,Beyond The Blue,Theater,30,17:30,Poplar Union,2 Cotall Street,
London,3/5/2019,Boat Show Comedy Club,Theater,45,18:30,The Boat Show Comedy Club,"Salsa! Temple, Ps Tattershall Castle, Temple Station, Victoria Embankment",
London,3/3/2019,Bon Ami,Theater,25,16:30,Studio at New Wimbledon Theatre,93 The Broadway,
New York,3/11/2019,Abbi Jacobson,Music,60,19:30,Kaufmann Concert Hall,1395 Lexington Avenue,
New York,3/3/2019,Alma Deutscher,Music,50,19:00,Stern Auditorium / Perelman Stage,881 7th Avenue,
New York,3/13/2019,Alpha Blondy,Music,60,17:30,Sony Hall,235 West 46th Street,
New York,3/10/2019,Ben Harper,Music,60,17:30,Pier 17,89 South Street,
New York,3/1/2019,Black Uhuru,Music,20,19:00,Sony Hall,235 West 46th Street,
New York,3/13/2019,Blackbear,Music,60,19:00,Pier 17,89 South Street,
New York,3/2/2019,Boston Symphony Orchestra,Music,40,19:30,Stern Auditorium / Perelman Stage,881 7th Avenue,
New York,3/1/2019,Buddy Guy,Music,60,19:30,Sony Hall,235 West 46th Street,
New York,3/6/2019,Carbon Leaf,Music,60,18:30,Sony Hall,235 West 46th Street,
New York,3/11/2019,Crooked Colours,Music,20,16:00,Rough Trade NYC,"64 North 9th Street, Brooklyn",
New York,3/11/2019,Acting For Teens,Theater,45,19:00,520 8th Ave. - Personal Valet Parking,520 8th Ave. - Personal Valet,
New York,3/11/2019,Big Apple Circus,Theater,50,18:30,Big Apple Circus,60 Lincoln Center Plaza,
New York,3/11/2019,Blks,Theater,25,16:00,The Robert W. Wilson MCC Theater Space,511 West 52nd Street,
New York,3/11/2019,Broadway Buddy Mentorship Cabaret,Theater,45,16:30,Leonard Nimoy Thalia at Symphony Space,"Lower, 2537 Broadway",
New York,3/11/2019,Broadway Buskers Concert,Theater,35,18:00,Club Free Time,20 Waterside Plaza,
New York,3/11/2019,Chaos Theory,Theater,35,19:00,Caveat,21 A Clinton Street,
New York,3/11/2019,Dead End Comedy Show,Theater,35,19:30,Erv's,"2122 Beekman Place, Brooklyn",
New York,3/11/2019,Dear Brutus,Theater,30,17:00,Shetler Studios & Theatres,244 West 54th Street,
New York,3/11/2019,Drama Group,Theater,30,17:30,Marlene Meyerson JCC Manhattan,334 Amsterdam Avenue,
New York,3/11/2019,Drunk Shakespeare,Theater,45,16:30,Drunk Shakespeare,711 7th Avenue Floor 2,
New York,3/9/2019,Alpha Blondy,Music,25,19:30,Sony Hall,235 West 46th Street,
New York,3/9/2019,Ben Harper,Music,45,16:30,Pier 17,89 South Street,
New York,3/9/2019,Black Uhuru,Music,45,16:00,Sony Hall,235 West 46th Street,
New York,3/9/2019,Blackbear,Music,60,18:30,Pier 17,89 South Street,
New York,3/9/2019,Carbon Leaf,Music,30,17:00,Sony Hall,235 West 46th Street,
New York,3/9/2019,Crystal Method,Music,25,19:30,Warsaw,"261 Driggs Avenue, Brooklyn",
New York,3/9/2019,Dj Gravy,Music,50,16:00,Sony Hall,235 West 46th Street,
New York,3/9/2019,Emanuel Ax,Music,30,16:30,Stern Auditorium / Perelman Stage,881 7th Avenue,
New York,3/9/2019,France Rocks Festival,Music,45,16:00,Bruno Walter Auditorium,111 Amsterdam Avenue,
New York,3/9/2019,Geto Boys,Music,40,19:30,Sony Hall,235 West 46th Street,
Cape Town,3/9/2019,Fiddler On The Roof,Theater,40,16:00,The Playhouse Theatre Somerset West,"Swalle Street, Golden Acre",
Cape Town,3/9/2019,Klippies Van Die Grond,Theater,45,19:30,Theatre Arts Admin Collective,"26 Wesley Street, Observatory",
New York,3/4/2019,Acting For Teens,Theater,35,18:00,520 8th Ave. - Personal Valet Parking,520 8th Ave. - Personal Valet,
New York,3/10/2019,Advanced Acting Scene Study,Theater,20,16:30,TGW Acting Studio,358 West 44th Street,
New York,3/4/2019,Big Apple Circus,Theater,55,17:00,Big Apple Circus,60 Lincoln Center Plaza,
New York,3/3/2019,Blks,Theater,40,16:30,The Robert W. Wilson MCC Theater Space,511 West 52nd Street,
New York,3/12/2019,Broadway Brunch,Theater,45,19:00,Engine Room New York,707 8th Avenue,
New York,3/8/2019,Broadway Buddy Mentorship Cabaret,Theater,30,19:00,Leonard Nimoy Thalia at Symphony Space,"Lower, 2537 Broadway",
New York,3/5/2019,Broadway Buskers Concert,Theater,45,18:00,Club Free Time,20 Waterside Plaza,
New York,3/5/2019,Broadway Musical Theater Week,Theater,40,18:00,Actors Technique NY Kids and Teens,"4th, 500 8th Avenue",
New York,3/2/2019,Calliope Musicals At Alphaville,Theater,30,16:00,Alphaville,"140 Wilson Avenue, Brooklyn",
New York,3/14/2019,Chaos Theory,Theater,40,17:00,Caveat,21 A Clinton Street,
London,3/1/2019,A Taste For Murder,Theater,30,19:00,Wanstead Library,Spratt Hall Road,
London,3/1/2019,Armia,Theater,35,19:30,The Dome,2A Dartmouth Park Hill,
London,3/1/2019,Becoming The Invisible Woman,Theater,50,18:00,Drayton Arms Theatre,153 Old Brompton Road,
London,3/1/2019,Bon Ami,Theater,55,17:00,Studio at New Wimbledon Theatre,93 The Broadway,
London,3/1/2019,Broken English,Theater,25,16:00,The Honor Oak Pub,1 Saint German's Road,
London,3/1/2019,Christmas Drama Workshop,Theater,40,16:00,Harmony Hall,10 Truro Road,
London,3/1/2019,Craig David,Theater,45,16:00,Rose Bowl Youth Centre,"St. Paul's Open Space, New River Green Estate",
London,3/1/2019,Creative Movements Class,Theater,40,19:30,Pangbourne House Nursery Montessori School,2 Pangbourne Avenue,
London,3/1/2019,Drama,Theater,55,18:30,Oslo Hackney,1A Amhurst Road,
Pacifica,3/1/2019,The Music Man,Theater,55,18:00,Pacifica Spindrift Players,1050 Crespi Drive,
Los Angeles,3/7/2019,Ain Gordon,Music,45,16:30,Ralph Freud Playhouse,245 Charles E Young Drive East,
Los Angeles,3/7/2019,Altin Gun,Music,30,17:30,The Teragram Ballroom,1234 West 7th Street,
Los Angeles,3/7/2019,Billy Strings,Music,60,18:30,Lodge Room,104 North Avenue 56 2nd Floor,
Los Angeles,3/7/2019,Foy Vance,Music,55,16:00,Palace Theatre,630 South Broadway,
Los Angeles,3/7/2019,Girl In Red,Music,25,18:00,The Teragram Ballroom,1234 West 7th Street,
Los Angeles,3/7/2019,Joanna Newsom,Music,40,16:00,Hollywood American Legion Post 43,2035 North Highland Avenue,
Los Angeles,3/7/2019,Kamasi Washington,Music,55,19:00,The Theatre at Ace Hotel,929 South Broadway,
Los Angeles,3/7/2019,Mandolin Orange,Music,45,17:00,The Theatre at Ace Hotel,929 South Broadway,
Los Angeles,3/7/2019,Adieu Monsieur Haffmann,Theater,55,18:00,Theatre Raymond Kabbaz,10361 West Pico Boulevard,
Los Angeles,3/7/2019,Asssscat,Theater,35,16:30,Ucb Franklin,5919 Franklin Avenue,
Los Angeles,3/7/2019,At The Table,Theater,40,16:30,Lankershim Arts Center,5108 Lankershim Boulevard,
Los Angeles,3/7/2019,Benji Hughes,Theater,60,16:30,The Teragram Ballroom,1234 West 7th Street,
Los Angeles,3/7/2019,Crabbe And Goyle,Theater,25,19:30,studio/stage,520 North Western Avenue,
Los Angeles,3/7/2019,Extraordinary,Theater,55,16:30,Studio C Artists,6448 California 2,
Los Angeles,3/7/2019,Funeral Bouquet,Theater,55,16:30,Lyric Hyperion Theatre & Cafe,2106 Hyperion Avenue,
Los Angeles,3/7/2019,Lavender Men,Theater,40,16:00,Skylight Theatre Company,1816 1/2 North Vermont Avenue,
Los Angeles,3/7/2019,Legitimate Goddamn Theatre,Theater,25,17:30,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,
Los Angeles,3/7/2019,Mamma Mia,Theater,30,19:30,East West Players,120 Judge John Aiso Street,
Phoenix,3/2/2019,Bad Suns,Music,55,16:30,The Van Buren,401 West Van Buren Street,
Phoenix,3/4/2019,Dodie,Music,20,19:00,The Van Buren,401 West Van Buren Street,
Phoenix,3/3/2019,Dreamers,Music,40,16:30,The Van Buren,401 West Van Buren Street,
Phoenix,3/5/2019,Greensky Bluegrass,Music,55,18:30,The Van Buren,401 West Van Buren Street,
Phoenix,3/4/2019,Gus Dapperton,Music,45,16:30,The Van Buren,401 West Van Buren Street,
Phoenix,3/4/2019,Jenny Lewis,Music,20,16:00,The Van Buren,401 West Van Buren Street,
Phoenix,3/14/2019,Johnnyswim,Music,40,19:30,The Van Buren,401 West Van Buren Street,
Phoenix,3/1/2019,Melanie Martinez,Music,40,19:30,The Van Buren,401 West Van Buren Street,
Phoenix,3/1/2019,Motion City Soundtrack,Music,30,16:30,The Van Buren,401 West Van Buren Street,
Phoenix,3/5/2019,Oliver Tree,Music,30,19:30,The Van Buren,401 West Van Buren Street,
Portland,3/2/2019,Annual School Performance,Theater,45,17:00,Newmark Theatre,1111 Southwest Broadway,
Portland,3/11/2019,Beirut By Alan Bowne,Theater,50,18:30,Shoe Box Theater,2110 Southeast 10th Avenue,
Portland,3/7/2019,Escaped Alone,Theater,35,16:00,Shaking the Tree Theatre,823 Southeast Grant Street,
Portland,3/4/2019,Heathers The Musical,Theater,25,19:30,Funhouse Lounge,2432 Southeast 11th Avenue,
Portland,3/10/2019,Mala By Melinda Lopez,Theater,25,19:30,CoHo Productions,2257 Northwest Raleigh Street,
Portland,3/4/2019,Oregon Ballet Theatre,Theater,55,18:30,Newmark Theatre,1111 Southwest Broadway,
Portland,3/1/2019,Pdx Improv All Stars,Theater,50,17:00,Curious Comedy Annex,5229 Northeast Martin Luther King Junior Boulevard,
Portland,3/5/2019,Princess Ida,Theater,45,18:30,Alpenrose Opera House,6149 Southwest Shattuck Road,
Portland,3/13/2019,Red By John Logan,Theater,50,18:00,Shaking the Tree Theatre,823 Southeast Grant Street,
Portland,3/10/2019,Summer Improv Intensive,Theater,40,19:00,Curious Comedy Theater,5225 Northeast Martin Luther King Junior Boulevard,
Seattle,3/10/2019,Beatleconcert,Theater,50,17:00,12th Avenue Arts,1620 12th Avenue,
Seattle,3/2/2019,Blood Water Paint,Theater,30,18:00,12th Avenue Arts,1620 12th Avenue,
Seattle,3/11/2019,Comedysportz,Theater,20,18:00,CSz Seattle - Home of ComedySportz,3509 Fremont Avenue North,
Seattle,3/4/2019,Digi Boi The Musical,Theater,55,17:30,The Pocket Theater,8312 Greenwood Avenue North,
