average_rating,city,is_unisex,phone_number,street_address,stylist_name,appointment_date,appointment_time
5,,TRUE,510-838-2426,2509 Broadway,Bibo Salon,,
4.7,Fremont,FALSE,510-574-0881,5154 Mowry Avenue,3Sixty Salon And Boutique,,
4.7,Fremont,TRUE,510-623-1635,"4175, 42151 Blacow Road",Alex'S Classic Barber Shop,,
4.2,Fremont,FALSE,510-794-4526,5371 Mowry Avenue,Beauology,,
4.3,Fremont,FALSE,510-790-9900,37485 Fremont Boulevard B,Beauty Spot Salon,,
4.9,Fremont,TRUE,510-656-1955,40645 Fremont Boulevard,Fremont Barber Shop,,
4.1,Fremont,FALSE,510-739-6666,241 Fremont Hub Courtyard,Little Scissors - Kids Hair Salon,,
3.5,Fremont,FALSE,510-494-1531,34119 Fremont Boulevard,Passion Salon,,
4.1,Fremont,TRUE,510-505-9605,37477 Fremont Boulevard,Prince Barber Shop,,
4.6,Fremont,TRUE,510-694-0208,40811 Grimmer Boulevard,Rehab Parlour,,
4.8,Fremont,TRUE,510-498-1090,43360 Mission Boulevard #130,Salon Valenti Hair Nails Skin,,
4,Corte Madera,TRUE,415-891-3571,208 Redwood Avenue,Colour Bar,,
3.5,Corte Madera,TRUE,415-924-2288,127 Corte Madera Town Center,Panda Room,,
3,Corte Madera,TRUE,415-924-1166,141 Corte Madera Town Center,Supercuts,,
4,,TRUE,415-891-3571,208 Redwood Avenue,Colour Bar,,
4.5,,TRUE,415-824-1335,2737 20th Street,20Th Salon And Barber,,
5,Redwood City,TRUE,650-679-0457,704 Winslow Street,August Barbershop,,
4.3,Redwood City,TRUE,650-298-8586,2606 Broadway,Natalie'S Salon,,
4.6,Redwood City,TRUE,650-257-7017,1766 Broadway,Redwood Barber Co,,
4.8,Redwood City,FALSE,650-666-3025,2072 Broadway,Retreat Salon,,
3.7,Redwood City,TRUE,650-369-8992,1057 El Camino Real,Supercuts Sequoia Station,,
4.3,,TRUE,650-298-8586,2606 Broadway,Natalie'S Salon,,
4.3,Pleasanton,TRUE,925-462-2695,4275 First Street,Cosmo'S Barber Shop,,
4.8,Pleasanton,TRUE,925-600-0080,722 Main Street,Fusion 3 Salon Pleasanton,,
4.7,Pleasanton,FALSE,925-462-4348,350 Main Street # J,Gary Patrick Salon,,
5,Pleasanton,FALSE,925-426-1250,363 Saint Mary Street,House Of Cabelo,,
4.3,Pleasanton,TRUE,925-399-6870,5424 Sunol Boulevard #2,Pleasanton Barber Shop,,
4.8,Pleasanton,TRUE,925-426-1750,77 West Angela Street,Salon 77 West,,
4.4,Pleasanton,TRUE,925-847-3090,4001 Santa Rita Road Suite 3,Sport Clips Haircuts Of Pleasanton,,
3.3,Pleasanton,TRUE,925-461-1438,1737 Santa Rita Road #200,Supercuts,,
2.9,Pleasanton,TRUE,925-425-7700,2243 Stoneridge Mall Road,Urban Barber Barbershop,,
5,,TRUE,650-679-0457,704 Winslow Street,August Barbershop,,
3.9,Foster City,TRUE,650-522-8433,929 East Hillsdale Boulevard,Great Clips,,
3.9,,TRUE,650-522-8433,929 East Hillsdale Boulevard,Great Clips,,
4.4,Walnut Creek,TRUE,925-837-2990,1639 North California Boulevard,Blow Dry Bar,,
4.7,Walnut Creek,TRUE,925-938-3648,1919 Mount Diablo Boulevard,Dipietro Todd Salon,,
4.7,Walnut Creek,TRUE,925-822-9826,1634 Bonanza Street,Drybar Walnut Creek,,
4,Walnut Creek,TRUE,925-210-0613,1833 Ygnacio Valley Road,Great Clips,,
5,Walnut Creek,TRUE,925-788-7105,1280 Boulevard Way #214,Hi-Definition Salon,,
4.9,Walnut Creek,TRUE,925-357-8818,94596 2341 Boulevard Circle,Rare Byrd Salon,,
4.6,Walnut Creek,TRUE,925-222-5210,2252 Oak Grove Road,Snip-Its Haircuts For Kids,,
4.8,Walnut Creek,TRUE,925-274-1985,2815 Ygnacio Valley Road,Sport Clips Haircuts Of Walnut Creek - Encina Grande,,
4.1,Walnut Creek,TRUE,925-933-7836,1698 Bonanza Street,Stem Salon,,
4.6,Walnut Creek,TRUE,925-448-2967,2854 Ygnacio Valley Road,"The Grove Salon- Walnut Creek, Ca- An Aveda Salon",,
4.7,,TRUE,925-822-9826,1634 Bonanza Street,Drybar Walnut Creek,,
4.3,Fremont,TRUE,510-252-0924,46543 Mission Boulevard,Sean'S Barber Shop,,
3.5,Fremont,TRUE,510-623-1015,43321 Christy Street,Sport Clips Haircuts Of Fremont,,
4.5,Fremont,TRUE,510-792-5922,5200 Mowry Avenue,Visual Image Salon,,
4.7,,TRUE,510-623-1635,"4175, 42151 Blacow Road",Alex'S Classic Barber Shop,,
4.3,San Jose,TRUE,408-293-3494,1047 Lincoln Highway suite 101,Atelier Salon Willow Glen,,
5,San Jose,TRUE,669-258-9601,1775 Park Avenue,Barba & Co. San Jose,,
4.5,San Jose,TRUE,408-460-8070,1186 South 2nd Street,Beautique Salon,,
4.7,San Jose,TRUE,408-271-1970,200 South 1st Street #70,Bedlam Beauty & Barber,,
4.7,San Jose,TRUE,408-421-8035,892 Emory Street,Bellarmine Barber Shop,,
4.2,San Jose,TRUE,408-947-9926,448 East Santa Clara Street,Braid It Up,,
4.6,San Jose,TRUE,408-216-9649,2314 Stevens Creek Boulevard,Concept Barbershop,,
4.8,San Jose,TRUE,408-821-6847,4750 Almaden Expressway Suite 128 Suite 128,Cookie Cutters Haircuts For Kids - San Jose,,
4.5,San Jose,TRUE,408-418-3299,111 North Market Street #140,Crewners Barber Shop,,
4.5,San Jose,TRUE,408-218-4644,1918 Alum Rock Avenue,Delabay Kutz,,
3.8,Los Gatos,TRUE,408-358-2232,15992 Los Gatos Boulevard,Great Clips,,
4.9,Los Gatos,TRUE,408-395-1314,130 North Santa Cruz Avenue # E,Los Gatos Beauty Bar,,
4.9,Los Gatos,TRUE,408-354-7717,65 West Main Street,Nimbus Salon,,
4.4,Los Gatos,TRUE,408-702-2322,15466 Los Gatos Boulevard #113,Rocks Blow Dry Bar,,
5,Los Gatos,TRUE,408-395-1234,227 North Santa Cruz Avenue,Royal Shaving Parlor,,
4.6,Los Gatos,TRUE,408-340-5435,14107 Winchester Boulevard,Wildflower Salon,,
3.8,,TRUE,408-358-2232,15992 Los Gatos Boulevard,Great Clips,,
4.8,Santa Clara,TRUE,408-727-2200,2485 De La Cruz Boulevard,About Time Barber Shop,,
4.2,Santa Clara,FALSE,408-244-3888,1274 Benton Street,Hunny Hair & Nail Spa,,
4.2,Santa Clara,TRUE,408-663-0137,2803 El Camino Real,Jimmy Hair Team,,
4.8,Santa Clara,TRUE,408-216-9065,3407 El Camino Real,Krystal Hair Salon,,
4.3,Santa Clara,TRUE,408-296-7777,1064 Kiely Boulevard,Mr.T Barber Shop,,
4.6,Santa Clara,TRUE,408-296-0496,"4808, 977 Monroe Street",Sam & Roy'S University Barber,,
4.1,Santa Clara,TRUE,408-241-4271,65 Washington Street,Santa Clara Barber Shop,,
3.7,Santa Clara,TRUE,408-247-1775,2094 El Camino Real,Santa Clara Hair Studio,,
2.9,Santa Clara,TRUE,408-486-9806,3966 Rivermark Plaza,Supercuts Santa Clara,,
5,San Mateo,TRUE,650-345-9882,2260 Palm Avenue,Elite Hair Design,,
3.4,San Mateo,TRUE,650-685-1888,207 East 4th Avenue,Great Clips,,
4.2,San Mateo,TRUE,650-513-6884,602 East 4th Avenue,Headlinerz Barbershop,,
4.1,San Mateo,TRUE,650-212-3233,"4404, 61 37th Avenue",Hitters Barber Shop,,
4.4,San Mateo,TRUE,650-342-6668,"4037, 223 South San Mateo Drive",L Salon & Color Group,,
5,San Mateo,FALSE,650-570-5750,113 De Anza Boulevard,Les Amis - Salon Et Spa,,
4.5,San Mateo,TRUE,650-578-8700,1100 Park Place #80,Salon Kavi,,
4.5,San Mateo,TRUE,650-347-3762,302 East 5th Avenue,Shane'S Barbershop & Shave Parlour,,
3.8,San Mateo,TRUE,650-212-1350,2017 Chess Drive,Sport Clips Haircuts Of San Mateo,,
4.6,San Mateo,FALSE,650-437-2271,2335 South El Camino Real,Sunesy Hair Design,,
3.7,San Mateo,TRUE,650-389-2253,854 North Delaware Street,Supercuts - San Mateo,,
3.4,,TRUE,650-685-1888,207 East 4th Avenue,Great Clips,,
4.5,Walnut Creek,FALSE,925-943-4944,1613 North Main Street,Phoenix Salon & Day Spa,,
5,Walnut Creek,FALSE,925-939-7425,2400 Olympic Boulevard #5,Salon Cartier,,
4.7,Walnut Creek,FALSE,925-256-9914,1459 Newell Avenue,Salonamour Hair Salon Walnut Creek,,
4.7,,TRUE,925-938-3648,1919 Mount Diablo Boulevard,Dipietro Todd Salon,,
4.1,Sunnyvale,TRUE,408-743-5780,450 East El Camino Real,A+ Haircuts For Men,,
3.8,Sunnyvale,TRUE,408-738-8389,472 North Mathilda Avenue,Alpha Barbershop,,
4.4,Sunnyvale,FALSE,408-595-1467,160 South Murphy Avenue A,Evoke Beauty Salon,,
3.7,Sunnyvale,TRUE,408-457-8453,138 E El Camino Real Ste B,Great Clips,,
4.1,Sunnyvale,TRUE,408-732-1475,1026 East El Camino Real,Hair Focus,,
4.1,Sunnyvale,TRUE,408-738-1563,717 East El Camino Real #4,Impression Spa,,
4.4,Sunnyvale,FALSE,408-416-7353,297 E Washington Ave Near Aloft Hotel Sunnyvale downtown,Jyoti Threading Salon,,
3.9,Sunnyvale,TRUE,408-730-1112,753 East El Camino Real #1,Kanzi Hair Studio,,
3.2,Sunnyvale,FALSE,408-588-1215,1014 East El Camino Real,Khoobsurat Threading Salon,,
4.2,Sunnyvale,FALSE,650-968-0767,1283 West El Camino Real,Lisa'S Perfect Cuts,,
3.9,Millbrae,TRUE,650-552-9316,979 Broadway Ave Ste 108,Great Clips,,
4.6,Millbrae,TRUE,650-583-1773,1727 El Camino Real,Millbrae Hair Salon,,
3.9,,TRUE,650-552-9316,979 Broadway Ave Ste 108,Great Clips,,
4.3,Mountain View,FALSE,650-938-2400,820 East El Camino Real,Bollywood Beauty Salon,,
4.4,Mountain View,TRUE,650-966-8588,2425 California Street # C,Christine'S Salon,,
4.5,Mountain View,TRUE,650-964-5437,1734 El Camino Real,Cubby Cuts For Kids,,
4.6,Mountain View,TRUE,650-988-8822,826 West Dana Street,Essence Salon,,
4,Mountain View,FALSE,650-965-2351,834 West Dana Street,Eyebrow Station,,
3.7,Mountain View,TRUE,650-965-4247,1712 Miramonte Avenue Ste C,Great Clips,,
4.4,Mountain View,TRUE,650-625-9506,80 West El Camino Real,Quality Men'S Haircuts,,
4.9,Mountain View,FALSE,650-961-4247,364 Castro Street,Studio 364,,
4.4,Mountain View,TRUE,650-969-7070,1350 Grant Road #10b,Unique Men Haircuts,,
4.5,,TRUE,650-964-5437,1734 El Camino Real,Cubby Cuts For Kids,,
4.9,Fairfield,TRUE,707-673-7601,2240 North Texas Street,C'S Barber Shop,,
4.2,Fairfield,TRUE,707-421-1107,1359 Oliver Road,Crowns Barber Shop & Hair Salon,,
4.9,,TRUE,707-673-7601,2240 North Texas Street,C'S Barber Shop,,
4.6,San Francisco,TRUE,415-931-4405,1680 Post Street,Arty Hair Salon,,
3.9,,TRUE,415-788-4936,44 Montgomery Street #30,A Businessman'S Haircut,,
4.2,,TRUE,408-663-0137,2803 El Camino Real,Jimmy Hair Team,,
4.1,Pleasant Hill,TRUE,925-798-5214,2255 Contra Costa Boulevard,Cool Tops,,
4.1,Pleasant Hill,TRUE,925-681-2547,2186 Contra Costa Boulevard,Great Clips,,
3.9,Pleasant Hill,TRUE,925-288-1701,2360 Monument Boulevard Suite 1B,Sport Clips Haircuts Of Crossroads At Pleasant Hill,,
4.4,Pleasant Hill,FALSE,925-686-4216,1881 Contra Costa Boulevard,Sue'S Hair Salon,,
4.1,,TRUE,925-798-5214,2255 Contra Costa Boulevard,Cool Tops,,
4.3,,TRUE,925-462-2695,4275 First Street,Cosmo'S Barber Shop,,
4.8,Livermore,FALSE,925-447-1776,1776 First Street,Fusion 3 Salon Livermore,,
4.3,Livermore,TRUE,925-454-0292,1416 First Street,Great Clips,,
4.7,Livermore,TRUE,925-292-5328,2027 Third Street,Livermore Barber Shop Third Street Og,,
4.3,Livermore,TRUE,925-371-2887,4338 Las Positas Road,Sport Clips Haircuts Of Livermore,,
3.7,Livermore,TRUE,925-606-8811,4489 First Street,Supercuts,,
5,Livermore,TRUE,925-667-9161,1549 North Vasco Road,Vasco Barbershop,,
4.7,,TRUE,925-292-5328,2027 Third Street,Livermore Barber Shop Third Street Og,,
4.8,Santa Rosa,TRUE,707-575-1474,205 5th Street D,Elle Lui Hair Salon,,
4.8,Santa Rosa,TRUE,707-528-8266,314 Mendocino Avenue,Exclusive Spa,,
4.7,Santa Rosa,TRUE,707-575-5551,1235 North Dutton Avenue Suite B,Leading Edge Salon,,
4.3,Santa Rosa,TRUE,707-318-7003,2101 West College Avenue,Redline Barbers,,
4.9,Santa Rosa,TRUE,707-542-3380,2330 4th Street,Santa Rosa Barbershop,,
4.3,Santa Rosa,TRUE,707-479-5872,1305 Cleveland Avenue H,The Barbery,,
4.9,Santa Rosa,TRUE,707-595-3420,140 Stony Point Road e,The Den Barber Shop,,
4,Santa Rosa,TRUE,707-843-5069,46 West College Avenue,West Coast Cuts,,
4.8,,TRUE,707-528-8266,314 Mendocino Avenue,Exclusive Spa,,
4.7,El Cerrito,FALSE,510-649-7843,6493 Portola Drive,Chop Salon & Spa,,
4.7,,FALSE,510-649-7843,6493 Portola Drive,Chop Salon & Spa,,
4.7,Campbell,TRUE,408-371-2051,2160 South Bascom Avenue,Bella Capelli Salon,,
4.6,Campbell,TRUE,408-214-6060,513 East Hamilton Avenue,Craft Salon & Barbershop,,
4.7,Campbell,TRUE,408-866-4247,565 East Campbell Avenue,Rage Salon,,
4.9,Campbell,TRUE,408-377-2255,1875 South Bascom Avenue #2430,Salon Rache,,
4.7,Campbell,TRUE,408-502-8367,"Suite #148, 1875 South Bascom Avenue Suite #148",V'S Barbershop Campbell,,
4.7,,TRUE,408-371-2051,2160 South Bascom Avenue,Bella Capelli Salon,,
5,,TRUE,669-258-9601,1775 Park Avenue,Barba & Co. San Jose,,
4.4,Sonoma,FALSE,707-935-8329,18615 California 12,C C Beauty Salon,,
3.9,Sonoma,TRUE,707-935-0100,19217 Sonoma Highway,Great Clips,,
4.7,Sonoma,FALSE,707-939-7647,75 Andrieux Street,Snipz Sonoma,,
4.4,,FALSE,707-935-8329,18615 California 12,C C Beauty Salon,,
4.3,,TRUE,408-293-3494,1047 Lincoln Highway suite 101,Atelier Salon Willow Glen,,
4.7,Burlingame,TRUE,650-342-1602,1012 Oak Grove Avenue,Burlingame Barber Shop,,
4.6,Burlingame,TRUE,650-344-3010,1221 Donnelly Avenue,Didi Salon,,
3.8,Burlingame,TRUE,877-379-2279,245 Primrose Road,Drybar Burlingame,,
3.7,Burlingame,TRUE,650-343-8579,211 Primrose Road,Great Clips,,
4.3,Burlingame,FALSE,650-548-1490,1200 Howard Avenue # 102,Just Kids Cuts & Beauty Market,,
4.8,Burlingame,TRUE,650-581-1270,841 California Drive,Le Reve Salon,,
4.2,Burlingame,TRUE,650-347-4737,1113 Burlingame Avenue,Onyx Salon,,
4.6,Burlingame,TRUE,650-347-1202,256 Lorton Avenue,Reconnect Hair Design,,
4.8,Burlingame,TRUE,650-434-7565,401 Primrose Road g,Salon Revel,,
4.5,Burlingame,TRUE,650-513-1656,1200 Howard Avenue #105,Salon Stilo,,
3.9,Burlingame,TRUE,650-348-4881,1222 Broadway,Supercuts,,
3.9,Palo Alto,TRUE,650-460-8290,855 El Camino Real Building #1 Suite #3,18/8 Fine Men'S Salons - Palo Alto,,
4.4,Palo Alto,TRUE,650-326-4820,441 Cambridge Avenue,California Barber Shop,,
4.2,Palo Alto,TRUE,650-853-8442,475 California Avenue,Campus Barber Shop,,
4.4,Palo Alto,TRUE,650-272-6833,409 California Avenue,Casual Chic Salon,,
4.8,Palo Alto,TRUE,650-328-4855,2307 Birch Street,Dipietro Todd Salon,,
3.9,Palo Alto,TRUE,650-713-3210,180 El Camino Real,Drybar Palo Alto,,
4.1,Palo Alto,TRUE,650-493-2100,3902 Middlefield Road,Great Clips,,
3.7,Palo Alto,TRUE,650-324-2007,232 Stanford Shopping Center,Hair International,,
4.8,Palo Alto,TRUE,650-328-4067,240 University Avenue,Juut Salon Spa,,
4.2,Palo Alto,TRUE,650-462-9856,2786 Middlefield Road,Midtown Hair Studio,,
3.9,,TRUE,650-460-8290,855 El Camino Real Building #1 Suite #3,18/8 Fine Men'S Salons - Palo Alto,,
4,Sunnyvale,TRUE,408-685-2072,330 West El Camino Real,Sport Clips Haircuts Of Sunnyvale - Cherry Orchard,,
3.4,Sunnyvale,TRUE,408-248-6560,1054 East El Camino Real,Supercuts,,
3.7,,TRUE,408-457-8453,138 E El Camino Real Ste B,Great Clips,,
4.9,Napa,TRUE,707-266-1108,1637 Lincoln Avenue,Stags Barbershop,,
3.8,Napa,TRUE,707-257-3744,1806 Soscol Avenue B,Supercuts,,
4.8,Napa,TRUE,707-266-1416,2758 Old Sonoma Road,The Gentlemen'S Parlor,,
4.7,Napa,TRUE,707-255-1606,2105 West Pueblo Avenue,The Industry Napa Valley'S Barbershop,,
4.9,,TRUE,707-266-1108,1637 Lincoln Avenue,Stags Barbershop,,
4.1,,TRUE,408-743-5780,450 East El Camino Real,A+ Haircuts For Men,,
4.8,Berkeley,TRUE,510-540-1261,2556 Telegraph Avenue #4,Berkeley Hair Studio,,
4.3,Berkeley,TRUE,510-843-4919,2492 Channing Way,Edge Hair Salon,,
4.7,Berkeley,TRUE,510-526-1700,1599 Hopkins Street,Elixir Salon An Aveda And Eufora Eco Boutique Salon,,
5,Berkeley,TRUE,510-705-1582,911 University Avenue,Fox And Belle Salon,,
3.2,Berkeley,TRUE,510-845-2322,2415 Shattuck Avenue,Great Clips,,
4.6,Berkeley,TRUE,510-601-0102,1600 Shattuck Avenue # 108,La Peluqueria Hair Salon,,
4.7,Berkeley,TRUE,510-883-9010,2302 Ellsworth Street,La Petite Hair Salon,,
4.7,Berkeley,TRUE,510-849-3197,2510 Shattuck Avenue,Lili Hair Salon,,
4.6,Berkeley,TRUE,510-646-8338,1887 Solano Avenue,Lola Salon,,
4.8,Berkeley,TRUE,510-859-8112,2211 San Pablo Avenue,"Mark-Jason Solofa, Men'S Grooming",,
4.8,,TRUE,510-540-1261,2556 Telegraph Avenue #4,Berkeley Hair Studio,,
4.4,Oakland,TRUE,510-594-6887,5030 Telegraph Avenue,Harper Paige Salon East,,
4.3,Oakland,TRUE,510-208-3449,3351 Grand Avenue,Jaujou Studio,,
4.7,,TRUE,510-653-1059,4801 Telegraph Avenue,17 Jewels Salon,,
4.3,Castro Valley,TRUE,510-582-6310,4045 East Castro Valley Boulevard,Great Clips,,
3.7,Castro Valley,FALSE,510-538-4111,20627 Rustic Drive,Rae Talbot Salon,,
4.4,Castro Valley,FALSE,510-537-8084,20590 Redwood Road,Stacy Monroe'S Salon,,
4.4,Castro Valley,TRUE,510-881-9555,3372 Village Drive,Village Barber Shop,,
4.6,Castro Valley,FALSE,510-886-8839,2970 Castro Valley Boulevard,Wink Hair Salon,,
3.7,,FALSE,510-538-4111,20627 Rustic Drive,Rae Talbot Salon,,
4.6,Martinez,TRUE,925-228-2010,620 Main Street,Citrus Salon,,
3.6,Martinez,TRUE,925-229-2177,542 Center Avenue,Great Clips,,
3.9,San Leandro,TRUE,510-415-3420,15208 East 14th Street,Sofia African Hair Braiding,,
3.3,San Leandro,TRUE,510-278-4672,15100 Hesperian Boulevard Suite 212,Supercuts,,
4.6,Santa Rosa,FALSE,707-575-5123,122 4th Street,Daredevils & Queens,,
5,San Rafael,TRUE,415-250-4370,294 North San Pedro Road,Best Coast Cuts,,
4,San Rafael,TRUE,415-479-1961,216 Northgate One,Great Clips,,
4,,TRUE,415-479-1961,216 Northgate One,Great Clips,,
3.6,Cupertino,TRUE,408-255-2178,20686 Homestead Road,Great Clips,,
4.3,Cupertino,TRUE,408-725-2588,7335 Bollinger Road B,New Fashion Hair,,
4.4,Cupertino,TRUE,408-569-9654,10095 Saich Way #2,Parlour 17,,
3.8,Cupertino,TRUE,669-342-7762,19655 Stevens Creek Boulevard,Sassy Hair,,
3.6,Cupertino,TRUE,408-996-3300,20735 Stevens Creek Boulevard Ste F,Supercuts,,
4.6,Cupertino,TRUE,408-418-3638,19505 Stevens Creek Boulevard,Vjones Salon,,
3.6,,TRUE,408-255-2178,20686 Homestead Road,Great Clips,,
4.1,Benicia,TRUE,707-751-1775,808 Southampton Road,Sport Clips Haircuts Of Benicia,,
3.5,Benicia,TRUE,707-747-0659,868 Southampton Road,Supercuts,,
4.1,,TRUE,707-751-1775,808 Southampton Road,Sport Clips Haircuts Of Benicia,,
4.8,,TRUE,707-575-1474,205 5th Street D,Elle Lui Hair Salon,,
4.6,San Mateo,TRUE,650-638-1624,1226 South El Camino Real,The San Mateo Zoo,,
4.8,,TRUE,707-266-1416,2758 Old Sonoma Road,The Gentlemen'S Parlor,,
4.9,,TRUE,408-395-1314,130 North Santa Cruz Avenue # E,Los Gatos Beauty Bar,,
4.7,Saratoga,TRUE,408-605-6261,14531 Big Basin Way,D & H Hair Salon,,
4.4,Saratoga,TRUE,408-255-2895,1821 Saratoga Avenue #102,Viange Hair Saratoga,,
4.4,,TRUE,408-255-2895,1821 Saratoga Avenue #102,Viange Hair Saratoga,,
3.8,,TRUE,707-257-3744,1806 Soscol Avenue B,Supercuts,,
4.4,,TRUE,510-881-9555,3372 Village Drive,Village Barber Shop,,
4.8,,TRUE,408-727-2200,2485 De La Cruz Boulevard,About Time Barber Shop,,
3.7,,TRUE,925-446-4144,4330 Clayton Road suite j,Breds Barbershop,,
4.9,Petaluma,TRUE,707-769-8000,25 Kentucky Street,Dukes And Dolls Salon,,
5,Petaluma,TRUE,707-364-6469,410 Petaluma Boulevard South,Modern Classics Barber Shop,,
4.7,Petaluma,TRUE,707-981-8469,145 1st Street,Salon Method,,
3.7,Petaluma,TRUE,707-766-7100,401 Kenilworth Drive Ste 640,Sport Clips Haircuts Of Petaluma,,
3.9,Petaluma,TRUE,707-765-6300,"401 Kenilworth Drive, suite 610",Style Bar,,
4.2,Petaluma,TRUE,707-765-1055,367 South McDowell Boulevard,Supercuts,,
4.6,Petaluma,TRUE,707-773-1258,139 Kentucky Street,The Shop - Cuts For Men & Women,,
4.9,,TRUE,707-769-8000,25 Kentucky Street,Dukes And Dolls Salon,,
4.7,San Bruno,TRUE,650-273-4409,430 San Bruno Avenue West,Cut Right Barber Shop,,
4.7,San Bruno,TRUE,650-808-9828,725 Camino Plaza,Salon Mia Bella,,
4.7,,TRUE,650-273-4409,430 San Bruno Avenue West,Cut Right Barber Shop,,
2.9,Stanford,FALSE,650-853-9659,459 Lagunita Drive,Stanford Hair,,
2.9,,FALSE,650-853-9659,459 Lagunita Drive,Stanford Hair,,
5,,TRUE,415-250-4370,294 North San Pedro Road,Best Coast Cuts,,
5,Alameda,TRUE,510-473-7869,1502 1/2 Webster St,Al'S Barber Shop,,
3.8,Alameda,TRUE,510-522-7587,2221 South Shore Center,Great Clips,,
4.9,Alameda,FALSE,510-995-8937,2327 Blanding Avenue STE D,Isalon,,
4.2,Alameda,TRUE,510-522-2881,1500 Encinal Avenue,Salon 1500,,
4,Alameda,TRUE,510-521-9100,1912 Clement Avenue,Spank Salon,,
4.1,Alameda,TRUE,510-521-2887,2640 5th Street Suite #C,Sport Clips Haircuts Of Alameda Landing,,
4.9,Alameda,TRUE,510-769-9909,1906 Encinal Avenue,Twist Salon,,
4.4,Alameda,FALSE,510-523-4355,1343 Park Street,We Are Hair Of Alameda,,
4.6,Hayward,TRUE,510-247-9087,27659 Mission Boulevard,King Of Kutz Barbershop,,
4.4,Hayward,TRUE,510-780-9735,24891 Santa Clara Street,Santa Clara Sports Barber Shop,,
4.3,Hayward,TRUE,510-397-6997,1093 Turner Court,The Cutz Barbershop,,
5,Healdsburg,TRUE,707-395-0931,340 Healdsburg Avenue,Wash & Brushup Co.,,
4.3,Vallejo,FALSE,707-643-3358,930 Admiral Callaghan Lane,Eyebrow Hub - Vallejo,,
4.4,Vallejo,FALSE,707-557-8930,3315 Sonoma Boulevard #60,Glamour Beauty Supply,,
4.4,Vallejo,TRUE,707-980-6819,1752 Tuolumne Street,Kenny Le Salon,,
3.5,Vallejo,TRUE,707-644-6618,962 Admiral Callaghan Lane,Supercuts,,
5,Petaluma,FALSE,707-775-3355,855 Lakeville Street #106,Mockingbird Heights Salon,,
3.4,Pinole,TRUE,510-243-0808,1386 Fitzgerald Drive,Great Clips,,
4.6,Pinole,TRUE,510-223-2900,1406 Pinole Valley Road,Jovance Salon & Barbering,,
