departure_date,departure_time,destination,destination_station_name,fare_type,group_size,origin,origin_station_name,price
3/6/2019,7:30,Fresno,Fresno Station,Flexible,,Sacramento,Sacramento Valley Station,51
3/6/2019,10:40,Fresno,Fresno Station,Flexible,,Sacramento,Sacramento Valley Station,53
3/6/2019,11:00,Fresno,Fresno Station,Flexible,,Sacramento,Sacramento Valley Station,50
3/6/2019,13:30,Fresno,Fresno Station,Flexible,,Sacramento,Sacramento Valley Station,48
3/10/2019,10:50,San Francisco,Salesforce Transit Center,Economy,,Las Vegas,Union Plaza,49
3/10/2019,12:50,San Francisco,Salesforce Transit Center,Economy,,Las Vegas,Union Plaza,50
3/10/2019,14:40,San Francisco,Salesforce Transit Center,Economy,,Las Vegas,Union Plaza,50
3/10/2019,14:50,San Francisco,Salesforce Transit Center,Economy,,Las Vegas,Union Plaza,44
3/10/2019,15:50,San Francisco,Salesforce Transit Center,Economy,,Las Vegas,Union Plaza,51
3/10/2019,19:40,San Francisco,Salesforce Transit Center,Economy,,Las Vegas,Union Plaza,51
3/12/2019,9:20,Fresno,Fresno Station,Economy extra,,San Francisco,Salesforce Transit Center,43
3/12/2019,10:20,Fresno,Fresno Station,Economy extra,,San Francisco,Salesforce Transit Center,45
3/12/2019,12:20,Fresno,Fresno Station,Economy extra,,San Francisco,Salesforce Transit Center,40
3/12/2019,14:30,Fresno,Fresno Station,Economy extra,,San Francisco,Salesforce Transit Center,39
3/12/2019,16:30,Fresno,Fresno Station,Economy extra,,San Francisco,Salesforce Transit Center,44
3/12/2019,17:30,Fresno,Fresno Station,Economy extra,,San Francisco,Salesforce Transit Center,41
3/12/2019,18:20,Fresno,Fresno Station,Economy extra,,San Francisco,Salesforce Transit Center,41
3/12/2019,11:10,Fresno,Fresno Station,Economy extra,,Long Beach,Downtown Station,50
3/12/2019,13:50,Fresno,Fresno Station,Economy extra,,Long Beach,Downtown Station,50
3/12/2019,14:50,Fresno,Fresno Station,Economy extra,,Long Beach,Downtown Station,49
3/12/2019,15:20,Fresno,Fresno Station,Economy extra,,Long Beach,Downtown Station,44
3/12/2019,16:10,Fresno,Fresno Station,Economy extra,,Long Beach,Downtown Station,51
3/12/2019,19:50,Fresno,Fresno Station,Economy extra,,Long Beach,Downtown Station,49
3/1/2019,9:20,Portland,Portland Bus Station,Flexible,,Vancouver,Pacific Central Station,62
3/1/2019,9:30,Portland,Portland Bus Station,Flexible,,Vancouver,Pacific Central Station,56
3/1/2019,15:10,Portland,Portland Bus Station,Flexible,,Vancouver,Pacific Central Station,55
3/1/2019,16:10,Portland,Portland Bus Station,Flexible,,Vancouver,Pacific Central Station,58
3/1/2019,16:50,Portland,Portland Bus Station,Flexible,,Vancouver,Pacific Central Station,60
3/1/2019,17:10,Portland,Portland Bus Station,Flexible,,Vancouver,Pacific Central Station,58
3/1/2019,18:20,Portland,Portland Bus Station,Flexible,,Vancouver,Pacific Central Station,61
3/1/2019,19:20,Portland,Portland Bus Station,Flexible,,Vancouver,Pacific Central Station,59
3/9/2019,10:50,San Francisco,Salesforce Transit Center,Economy,,Las Vegas,Union Plaza,53
3/9/2019,12:50,San Francisco,Salesforce Transit Center,Economy,,Las Vegas,Union Plaza,47
3/9/2019,14:40,San Francisco,Salesforce Transit Center,Economy,,Las Vegas,Union Plaza,52
3/9/2019,14:50,San Francisco,Salesforce Transit Center,Economy,,Las Vegas,Union Plaza,59
3/9/2019,15:50,San Francisco,Salesforce Transit Center,Economy,,Las Vegas,Union Plaza,54
3/9/2019,19:40,San Francisco,Salesforce Transit Center,Economy,,Las Vegas,Union Plaza,51
3/2/2019,7:30,Fresno,Fresno Station,Economy,,Los Angeles,Union Station,36
3/2/2019,10:40,Fresno,Fresno Station,Economy,,Los Angeles,Union Station,35
3/2/2019,12:40,Fresno,Fresno Station,Economy,,Los Angeles,Union Station,35
3/2/2019,13:10,Fresno,Fresno Station,Economy,,Los Angeles,Union Station,35
3/2/2019,15:30,Fresno,Fresno Station,Economy,,Los Angeles,Union Station,38
3/2/2019,17:30,Fresno,Fresno Station,Economy,,Los Angeles,Union Station,36
3/2/2019,17:40,Fresno,Fresno Station,Economy,,Los Angeles,Union Station,35
3/2/2019,18:10,Fresno,Fresno Station,Economy,,Los Angeles,Union Station,33
3/2/2019,19:20,Fresno,Fresno Station,Economy,,Los Angeles,Union Station,35
3/2/2019,6:40,Fresno,Fresno Station,Economy,,Anaheim,Anaheim Intermodal Center,40
3/2/2019,8:20,Fresno,Fresno Station,Economy,,Anaheim,Anaheim Intermodal Center,36
3/2/2019,14:20,Fresno,Fresno Station,Economy,,Anaheim,Anaheim Intermodal Center,36
3/2/2019,15:10,Fresno,Fresno Station,Economy,,Anaheim,Anaheim Intermodal Center,37
3/14/2019,11:10,Fresno,Fresno Station,Economy,,Long Beach,Downtown Station,40
3/14/2019,13:50,Fresno,Fresno Station,Economy,,Long Beach,Downtown Station,38
3/14/2019,14:50,Fresno,Fresno Station,Economy,,Long Beach,Downtown Station,26
3/14/2019,15:20,Fresno,Fresno Station,Economy,,Long Beach,Downtown Station,36
3/14/2019,16:10,Fresno,Fresno Station,Economy,,Long Beach,Downtown Station,40
3/14/2019,19:50,Fresno,Fresno Station,Economy,,Long Beach,Downtown Station,39
3/9/2019,6:50,Sacramento,Sacramento Valley Station,Economy,,Long Beach,Downtown Station,62
3/9/2019,7:00,Sacramento,Sacramento Valley Station,Economy,,Long Beach,Downtown Station,68
3/9/2019,8:30,Sacramento,Sacramento Valley Station,Economy,,Long Beach,Downtown Station,68
3/9/2019,10:20,Sacramento,Sacramento Valley Station,Economy,,Long Beach,Downtown Station,58
3/9/2019,10:30,Sacramento,Sacramento Valley Station,Economy,,Long Beach,Downtown Station,63
3/9/2019,10:40,Sacramento,Sacramento Valley Station,Economy,,Long Beach,Downtown Station,55
3/9/2019,13:40,Sacramento,Sacramento Valley Station,Economy,,Long Beach,Downtown Station,55
3/9/2019,13:50,Sacramento,Sacramento Valley Station,Economy,,Long Beach,Downtown Station,56
3/9/2019,15:20,Sacramento,Sacramento Valley Station,Economy,,Long Beach,Downtown Station,54
3/7/2019,10:10,Anaheim,Anaheim Intermodal Center,Economy,,San Diego,Santa Fe Depot,25
3/7/2019,10:40,Anaheim,Anaheim Intermodal Center,Economy,,San Diego,Santa Fe Depot,24
3/7/2019,13:20,Anaheim,Anaheim Intermodal Center,Economy,,San Diego,Santa Fe Depot,22
3/7/2019,14:00,Anaheim,Anaheim Intermodal Center,Economy,,San Diego,Santa Fe Depot,24
3/7/2019,14:10,Anaheim,Anaheim Intermodal Center,Economy,,San Diego,Santa Fe Depot,25
3/7/2019,16:50,Anaheim,Anaheim Intermodal Center,Economy,,San Diego,Santa Fe Depot,24
3/7/2019,18:00,Anaheim,Anaheim Intermodal Center,Economy,,San Diego,Santa Fe Depot,22
3/7/2019,18:10,Anaheim,Anaheim Intermodal Center,Economy,,San Diego,Santa Fe Depot,23
3/7/2019,18:40,Anaheim,Anaheim Intermodal Center,Economy,,San Diego,Santa Fe Depot,27
3/1/2019,7:00,San Francisco,Salesforce Transit Center,Economy extra,,Fresno,Fresno Station,37
3/1/2019,7:50,San Francisco,Salesforce Transit Center,Economy extra,,Fresno,Fresno Station,47
3/1/2019,9:00,San Francisco,Salesforce Transit Center,Economy extra,,Fresno,Fresno Station,42
3/1/2019,10:20,San Francisco,Salesforce Transit Center,Economy extra,,Fresno,Fresno Station,38
3/1/2019,11:20,San Francisco,Salesforce Transit Center,Economy extra,,Fresno,Fresno Station,41
3/1/2019,12:20,San Francisco,Salesforce Transit Center,Economy extra,,Fresno,Fresno Station,48
3/1/2019,13:10,San Francisco,Salesforce Transit Center,Economy extra,,Fresno,Fresno Station,43
3/1/2019,13:30,San Francisco,Salesforce Transit Center,Economy extra,,Fresno,Fresno Station,42
3/1/2019,16:50,San Francisco,Salesforce Transit Center,Economy extra,,Fresno,Fresno Station,43
3/1/2019,9:50,Long Beach,Downtown Station,Economy extra,,Fresno,Fresno Station,51
3/1/2019,12:30,Long Beach,Downtown Station,Economy extra,,Fresno,Fresno Station,49
3/1/2019,13:40,Long Beach,Downtown Station,Economy extra,,Fresno,Fresno Station,49
3/1/2019,17:10,Long Beach,Downtown Station,Economy extra,,Fresno,Fresno Station,48
3/1/2019,18:40,Long Beach,Downtown Station,Economy extra,,Fresno,Fresno Station,47
3/1/2019,19:00,Long Beach,Downtown Station,Economy extra,,Fresno,Fresno Station,47
3/14/2019,7:00,San Diego,Santa Fe Depot,Economy,,Long Beach,Downtown Station,20
3/14/2019,8:40,San Diego,Santa Fe Depot,Economy,,Long Beach,Downtown Station,26
3/14/2019,10:30,San Diego,Santa Fe Depot,Economy,,Long Beach,Downtown Station,26
3/14/2019,11:30,San Diego,Santa Fe Depot,Economy,,Long Beach,Downtown Station,25
3/14/2019,11:40,San Diego,Santa Fe Depot,Economy,,Long Beach,Downtown Station,24
3/14/2019,11:50,San Diego,Santa Fe Depot,Economy,,Long Beach,Downtown Station,23
3/14/2019,13:00,San Diego,Santa Fe Depot,Economy,,Long Beach,Downtown Station,30
3/14/2019,15:40,San Diego,Santa Fe Depot,Economy,,Long Beach,Downtown Station,24
3/14/2019,15:50,San Diego,Santa Fe Depot,Economy,,Long Beach,Downtown Station,23
3/14/2019,19:40,San Diego,Santa Fe Depot,Economy,,Long Beach,Downtown Station,24
3/2/2019,7:10,Fresno,Fresno Station,Flexible,,Las Vegas,Union Plaza,64
3/2/2019,7:50,Fresno,Fresno Station,Flexible,,Las Vegas,Union Plaza,62
3/2/2019,11:20,Fresno,Fresno Station,Flexible,,Las Vegas,Union Plaza,61
3/2/2019,12:20,Fresno,Fresno Station,Flexible,,Las Vegas,Union Plaza,60
3/2/2019,14:00,Fresno,Fresno Station,Flexible,,Las Vegas,Union Plaza,63
3/2/2019,14:10,Fresno,Fresno Station,Flexible,,Las Vegas,Union Plaza,61
3/2/2019,14:50,Fresno,Fresno Station,Flexible,,Las Vegas,Union Plaza,61
3/2/2019,15:40,Fresno,Fresno Station,Flexible,,Las Vegas,Union Plaza,62
3/2/2019,16:00,Fresno,Fresno Station,Flexible,,Las Vegas,Union Plaza,56
3/2/2019,16:20,Fresno,Fresno Station,Flexible,,Las Vegas,Union Plaza,59
3/11/2019,9:20,Fresno,Fresno Station,Economy,,San Francisco,Salesforce Transit Center,31
3/11/2019,10:20,Fresno,Fresno Station,Economy,,San Francisco,Salesforce Transit Center,37
3/11/2019,12:20,Fresno,Fresno Station,Economy,,San Francisco,Salesforce Transit Center,31
3/11/2019,14:30,Fresno,Fresno Station,Economy,,San Francisco,Salesforce Transit Center,31
3/11/2019,16:30,Fresno,Fresno Station,Economy,,San Francisco,Salesforce Transit Center,35
3/11/2019,17:30,Fresno,Fresno Station,Economy,,San Francisco,Salesforce Transit Center,33
3/11/2019,18:20,Fresno,Fresno Station,Economy,,San Francisco,Salesforce Transit Center,33
3/3/2019,14:40,Los Angeles,Union Station,Economy,,Sacramento,Sacramento Valley Station,49
3/3/2019,17:00,Los Angeles,Union Station,Economy,,Sacramento,Sacramento Valley Station,43
3/3/2019,18:50,Los Angeles,Union Station,Economy,,Sacramento,Sacramento Valley Station,47
3/3/2019,14:40,Los Angeles,Union Station,Economy extra,,Sacramento,Sacramento Valley Station,59
3/3/2019,17:00,Los Angeles,Union Station,Economy extra,,Sacramento,Sacramento Valley Station,53
3/3/2019,18:50,Los Angeles,Union Station,Economy extra,,Sacramento,Sacramento Valley Station,57
3/2/2019,7:20,Las Vegas,Union Plaza,Economy,,Fresno,Fresno Station,40
3/2/2019,8:50,Las Vegas,Union Plaza,Economy,,Fresno,Fresno Station,42
3/2/2019,9:10,Las Vegas,Union Plaza,Economy,,Fresno,Fresno Station,39
3/2/2019,11:50,Las Vegas,Union Plaza,Economy,,Fresno,Fresno Station,42
3/2/2019,12:00,Las Vegas,Union Plaza,Economy,,Fresno,Fresno Station,36
3/2/2019,12:40,Las Vegas,Union Plaza,Economy,,Fresno,Fresno Station,45
3/2/2019,14:30,Las Vegas,Union Plaza,Economy,,Fresno,Fresno Station,43
3/2/2019,15:00,Las Vegas,Union Plaza,Economy,,Fresno,Fresno Station,46
3/2/2019,17:30,Las Vegas,Union Plaza,Economy,,Fresno,Fresno Station,42
3/2/2019,18:50,Las Vegas,Union Plaza,Economy,,Fresno,Fresno Station,41
3/2/2019,7:40,Philadelphia,Intercity Terminal,Economy,,New York,Port Authority Station,24
3/2/2019,8:00,Philadelphia,Intercity Terminal,Economy,,New York,Port Authority Station,24
3/2/2019,11:30,Philadelphia,Intercity Terminal,Economy,,New York,Port Authority Station,21
3/2/2019,14:10,Philadelphia,Intercity Terminal,Economy,,New York,Port Authority Station,23
3/2/2019,16:30,Philadelphia,Intercity Terminal,Economy,,New York,Port Authority Station,18
3/2/2019,18:30,Philadelphia,Intercity Terminal,Economy,,New York,Port Authority Station,20
3/2/2019,19:40,Philadelphia,Intercity Terminal,Economy,,New York,Port Authority Station,25
3/4/2019,8:50,Fresno,Fresno Station,Flexible,,San Diego,Santa Fe Depot,63
3/4/2019,10:30,Fresno,Fresno Station,Flexible,,San Diego,Santa Fe Depot,68
3/4/2019,13:30,Fresno,Fresno Station,Flexible,,San Diego,Santa Fe Depot,69
3/4/2019,13:40,Fresno,Fresno Station,Flexible,,San Diego,Santa Fe Depot,61
3/4/2019,17:20,Fresno,Fresno Station,Flexible,,San Diego,Santa Fe Depot,62
3/4/2019,19:50,Fresno,Fresno Station,Flexible,,San Diego,Santa Fe Depot,70
3/11/2019,7:00,Los Angeles,Union Station,Economy,,San Francisco,Salesforce Transit Center,43
3/11/2019,7:40,Los Angeles,Union Station,Economy,,San Francisco,Salesforce Transit Center,54
3/11/2019,8:40,Los Angeles,Union Station,Economy,,San Francisco,Salesforce Transit Center,47
3/11/2019,8:50,Los Angeles,Union Station,Economy,,San Francisco,Salesforce Transit Center,44
3/11/2019,10:40,Los Angeles,Union Station,Economy,,San Francisco,Salesforce Transit Center,48
3/11/2019,11:10,Los Angeles,Union Station,Economy,,San Francisco,Salesforce Transit Center,52
3/11/2019,13:10,Los Angeles,Union Station,Economy,,San Francisco,Salesforce Transit Center,44
3/11/2019,14:10,Los Angeles,Union Station,Economy,,San Francisco,Salesforce Transit Center,37
3/11/2019,16:20,Los Angeles,Union Station,Economy,,San Francisco,Salesforce Transit Center,47
3/11/2019,17:50,Los Angeles,Union Station,Economy,,San Francisco,Salesforce Transit Center,43
3/6/2019,6:40,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,66
3/6/2019,8:00,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,72
3/6/2019,8:40,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,52
3/6/2019,10:10,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,64
3/6/2019,11:40,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,71
3/6/2019,11:50,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,66
3/6/2019,12:10,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,58
3/6/2019,13:30,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,59
3/6/2019,13:50,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,56
3/6/2019,14:00,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,65
3/13/2019,6:00,Washington,Union Station,Economy,,New York,Port Authority Station,40
3/13/2019,9:40,Washington,Union Station,Economy,,New York,Port Authority Station,34
3/13/2019,11:10,Washington,Union Station,Economy,,New York,Port Authority Station,36
3/13/2019,12:40,Washington,Union Station,Economy,,New York,Port Authority Station,35
3/13/2019,12:50,Washington,Union Station,Economy,,New York,Port Authority Station,32
3/13/2019,13:10,Washington,Union Station,Economy,,New York,Port Authority Station,39
3/13/2019,14:30,Washington,Union Station,Economy,,New York,Port Authority Station,36
3/13/2019,17:10,Washington,Union Station,Economy,,New York,Port Authority Station,35
3/11/2019,6:40,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,68
3/11/2019,8:00,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,75
3/11/2019,8:40,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,56
3/11/2019,10:10,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,63
3/11/2019,11:40,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,67
3/11/2019,11:50,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,68
3/11/2019,12:10,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,65
3/11/2019,13:30,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,56
3/11/2019,13:50,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,66
3/11/2019,14:00,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,65
3/7/2019,6:40,Vancouver,Pacific Central Station,Economy,,Seattle,King Street Station,27
3/7/2019,7:40,Vancouver,Pacific Central Station,Economy,,Seattle,King Street Station,27
3/7/2019,8:40,Vancouver,Pacific Central Station,Economy,,Seattle,King Street Station,25
3/7/2019,8:50,Vancouver,Pacific Central Station,Economy,,Seattle,King Street Station,25
3/7/2019,10:10,Vancouver,Pacific Central Station,Economy,,Seattle,King Street Station,25
3/7/2019,12:30,Vancouver,Pacific Central Station,Economy,,Seattle,King Street Station,29
3/7/2019,14:00,Vancouver,Pacific Central Station,Economy,,Seattle,King Street Station,24
3/7/2019,16:20,Vancouver,Pacific Central Station,Economy,,Seattle,King Street Station,28
3/7/2019,19:10,Vancouver,Pacific Central Station,Economy,,Seattle,King Street Station,27
3/1/2019,7:20,Sacramento,Sacramento Valley Station,Flexible,,Las Vegas,Union Plaza,112
3/1/2019,7:50,Sacramento,Sacramento Valley Station,Flexible,,Las Vegas,Union Plaza,92
3/1/2019,10:50,Sacramento,Sacramento Valley Station,Flexible,,Las Vegas,Union Plaza,94
3/1/2019,12:50,Sacramento,Sacramento Valley Station,Flexible,,Las Vegas,Union Plaza,84
3/4/2019,7:30,Las Vegas,Union Plaza,Economy extra,,Sacramento,Sacramento Valley Station,83
3/4/2019,10:20,Las Vegas,Union Plaza,Economy extra,,Sacramento,Sacramento Valley Station,80
3/4/2019,10:40,Las Vegas,Union Plaza,Economy extra,,Sacramento,Sacramento Valley Station,81
3/4/2019,10:50,Las Vegas,Union Plaza,Economy extra,,Sacramento,Sacramento Valley Station,78
3/4/2019,11:00,Las Vegas,Union Plaza,Economy extra,,Sacramento,Sacramento Valley Station,80
3/4/2019,12:50,Las Vegas,Union Plaza,Economy extra,,Sacramento,Sacramento Valley Station,74
3/4/2019,13:00,Las Vegas,Union Plaza,Economy extra,,Sacramento,Sacramento Valley Station,80
3/4/2019,13:20,Las Vegas,Union Plaza,Economy extra,,Sacramento,Sacramento Valley Station,85
3/4/2019,13:30,Las Vegas,Union Plaza,Economy extra,,Sacramento,Sacramento Valley Station,81
3/4/2019,19:40,Las Vegas,Union Plaza,Economy extra,,Sacramento,Sacramento Valley Station,76
3/12/2019,6:40,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,61
3/12/2019,8:00,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,62
3/12/2019,8:40,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,61
3/12/2019,10:10,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,65
3/12/2019,11:40,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,69
3/12/2019,11:50,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,65
3/12/2019,12:10,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,62
3/12/2019,13:30,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,61
3/12/2019,13:50,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,64
3/12/2019,14:00,Sacramento,Sacramento Valley Station,Economy,,Anaheim,Anaheim Intermodal Center,74
3/5/2019,6:00,Washington,Union Station,Economy,,New York,Port Authority Station,39
3/5/2019,9:40,Washington,Union Station,Economy,,New York,Port Authority Station,33
3/5/2019,11:10,Washington,Union Station,Economy,,New York,Port Authority Station,34
3/5/2019,12:40,Washington,Union Station,Economy,,New York,Port Authority Station,33
3/5/2019,12:50,Washington,Union Station,Economy,,New York,Port Authority Station,41
3/5/2019,13:10,Washington,Union Station,Economy,,New York,Port Authority Station,36
3/5/2019,14:30,Washington,Union Station,Economy,,New York,Port Authority Station,35
3/5/2019,17:10,Washington,Union Station,Economy,,New York,Port Authority Station,34
3/6/2019,7:20,Sacramento,Sacramento Valley Station,Economy,,Las Vegas,Union Plaza,76
3/6/2019,7:50,Sacramento,Sacramento Valley Station,Economy,,Las Vegas,Union Plaza,67
3/6/2019,10:50,Sacramento,Sacramento Valley Station,Economy,,Las Vegas,Union Plaza,70
3/6/2019,12:50,Sacramento,Sacramento Valley Station,Economy,,Las Vegas,Union Plaza,78
3/5/2019,7:10,Fresno,Fresno Station,Economy,,Las Vegas,Union Plaza,39
3/5/2019,7:50,Fresno,Fresno Station,Economy,,Las Vegas,Union Plaza,36
3/5/2019,11:20,Fresno,Fresno Station,Economy,,Las Vegas,Union Plaza,45
3/5/2019,12:20,Fresno,Fresno Station,Economy,,Las Vegas,Union Plaza,43
3/5/2019,14:00,Fresno,Fresno Station,Economy,,Las Vegas,Union Plaza,40
3/5/2019,14:10,Fresno,Fresno Station,Economy,,Las Vegas,Union Plaza,40
3/5/2019,14:50,Fresno,Fresno Station,Economy,,Las Vegas,Union Plaza,36
3/5/2019,15:40,Fresno,Fresno Station,Economy,,Las Vegas,Union Plaza,42
3/5/2019,16:00,Fresno,Fresno Station,Economy,,Las Vegas,Union Plaza,42
3/5/2019,16:20,Fresno,Fresno Station,Economy,,Las Vegas,Union Plaza,40
3/5/2019,6:10,Los Angeles,Union Station,Economy,,San Diego,Santa Fe Depot,32
3/5/2019,6:50,Los Angeles,Union Station,Economy,,San Diego,Santa Fe Depot,27
3/5/2019,8:30,Los Angeles,Union Station,Economy,,San Diego,Santa Fe Depot,27
3/5/2019,9:50,Los Angeles,Union Station,Economy,,San Diego,Santa Fe Depot,31
3/5/2019,10:00,Los Angeles,Union Station,Economy,,San Diego,Santa Fe Depot,26
3/5/2019,12:40,Los Angeles,Union Station,Economy,,San Diego,Santa Fe Depot,24
3/5/2019,12:50,Los Angeles,Union Station,Economy,,San Diego,Santa Fe Depot,24
3/5/2019,13:30,Los Angeles,Union Station,Economy,,San Diego,Santa Fe Depot,28
3/5/2019,14:10,Los Angeles,Union Station,Economy,,San Diego,Santa Fe Depot,25
3/5/2019,16:30,Los Angeles,Union Station,Economy,,San Diego,Santa Fe Depot,28
3/14/2019,12:40,Anaheim,Anaheim Intermodal Center,Economy,,Fresno,Fresno Station,42
3/14/2019,16:00,Anaheim,Anaheim Intermodal Center,Economy,,Fresno,Fresno Station,43
3/14/2019,18:00,Anaheim,Anaheim Intermodal Center,Economy,,Fresno,Fresno Station,38
3/14/2019,18:40,Anaheim,Anaheim Intermodal Center,Economy,,Fresno,Fresno Station,40
3/14/2019,12:40,Anaheim,Anaheim Intermodal Center,Economy extra,,Fresno,Fresno Station,52
3/14/2019,16:00,Anaheim,Anaheim Intermodal Center,Economy extra,,Fresno,Fresno Station,53
3/14/2019,18:00,Anaheim,Anaheim Intermodal Center,Economy extra,,Fresno,Fresno Station,48
3/14/2019,18:40,Anaheim,Anaheim Intermodal Center,Economy extra,,Fresno,Fresno Station,50
3/13/2019,10:10,Anaheim,Anaheim Intermodal Center,Flexible,,San Diego,Santa Fe Depot,42
3/13/2019,10:40,Anaheim,Anaheim Intermodal Center,Flexible,,San Diego,Santa Fe Depot,44
3/13/2019,13:20,Anaheim,Anaheim Intermodal Center,Flexible,,San Diego,Santa Fe Depot,46
3/13/2019,14:00,Anaheim,Anaheim Intermodal Center,Flexible,,San Diego,Santa Fe Depot,45
3/13/2019,14:10,Anaheim,Anaheim Intermodal Center,Flexible,,San Diego,Santa Fe Depot,42
3/13/2019,16:50,Anaheim,Anaheim Intermodal Center,Flexible,,San Diego,Santa Fe Depot,44
3/13/2019,18:00,Anaheim,Anaheim Intermodal Center,Flexible,,San Diego,Santa Fe Depot,42
3/13/2019,18:10,Anaheim,Anaheim Intermodal Center,Flexible,,San Diego,Santa Fe Depot,45
3/13/2019,18:40,Anaheim,Anaheim Intermodal Center,Flexible,,San Diego,Santa Fe Depot,41
3/1/2019,6:20,San Francisco,Salesforce Transit Center,Economy,,Los Angeles,Union Station,45
3/1/2019,8:20,San Francisco,Salesforce Transit Center,Economy,,Los Angeles,Union Station,52
3/1/2019,8:30,San Francisco,Salesforce Transit Center,Economy,,Los Angeles,Union Station,48
3/1/2019,9:50,San Francisco,Salesforce Transit Center,Economy,,Los Angeles,Union Station,53
3/1/2019,13:30,San Francisco,Salesforce Transit Center,Economy,,Los Angeles,Union Station,46
3/1/2019,14:20,San Francisco,Salesforce Transit Center,Economy,,Los Angeles,Union Station,44
