address_of_location,category,city_of_event,date,event_location,event_name,subcategory,time,number_of_seats
1 Blue Jays Way,Sports,Toronto,3/6/2019,Rogers Centre,Blue Jays Vs Yankees,Baseball,19:00,
170 Princes' Boulevard,Sports,Toronto,3/8/2019,BMO Field,Toronto Fc Vs Crew,Football,20:30,
1 Blue Jays Way,Sports,Toronto,3/1/2019,Rogers Centre,Blue Jays Vs Braves,Baseball,20:00,
1 Blue Jays Way,Sports,Toronto,3/1/2019,Rogers Centre,Blue Jays Vs Indians,Baseball,18:30,
1 Blue Jays Way,Sports,Toronto,3/1/2019,Rogers Centre,Blue Jays Vs Rays,Baseball,18:30,
1 Blue Jays Way,Sports,Toronto,3/1/2019,Rogers Centre,Blue Jays Vs Yankees,Baseball,18:30,
1 Blue Jays Way,,Toronto,3/1/2019,Rogers Centre,Blue Jays Vs Braves,,20:00,
123-01 Roosevelt Avenue,Sports,New York,3/13/2019,Citi Field,Mets Vs Braves,Baseball,18:00,
123-01 Roosevelt Avenue,Sports,New York,3/2/2019,Citi Field,Mets Vs Cubs,Baseball,19:30,
123-01 Roosevelt Avenue,Sports,New York,3/1/2019,Citi Field,Mets Vs Diamondbacks,Baseball,18:00,
123-01 Roosevelt Avenue,Sports,New York,3/3/2019,Citi Field,Mets Vs Dodgers,Baseball,19:00,
123-01 Roosevelt Avenue,Sports,New York,3/12/2019,Citi Field,Mets Vs Indians,Baseball,20:30,
123-01 Roosevelt Avenue,Sports,New York,3/8/2019,Citi Field,Mets Vs Padres,Baseball,19:30,
123-01 Roosevelt Avenue,Sports,New York,3/2/2019,Citi Field,Mets Vs Phillies,Baseball,19:00,
123-01 Roosevelt Avenue,Sports,New York,3/14/2019,Citi Field,Mets Vs Pirates,Baseball,20:00,
123-01 Roosevelt Avenue,Sports,New York,3/10/2019,Citi Field,Mets Vs Rockies,Baseball,18:30,
123-01 Roosevelt Avenue,Sports,New York,3/1/2019,Citi Field,Mets Vs Yankees,Baseball,18:30,
1 Blue Jays Way,Sports,Toronto,3/8/2019,Rogers Centre,Blue Jays Vs Indians,Baseball,19:30,
1 Blue Jays Way,Sports,Toronto,3/8/2019,Rogers Centre,Blue Jays Vs Royals,Baseball,18:00,
1 Blue Jays Way,Sports,Toronto,3/8/2019,Rogers Centre,Blue Jays Vs Yankees,Baseball,20:30,
170 Princes' Boulevard,Sports,Toronto,3/8/2019,BMO Field,Toronto Vs Ottawa,Football,18:00,
1 Blue Jays Way,,Toronto,3/8/2019,Rogers Centre,Blue Jays Vs Indians,,19:30,
100 Potomac Avenue Southwest,Sports,Washington D.C.,3/2/2019,Audi Field,Dc United Vs Revolution,Football,20:30,
2400 East Capitol Street Southeast,Sports,Washington D.C.,3/1/2019,RFK Stadium,El Salvador Vs Haiti,Football,18:00,
601 F Street Northwest,Sports,Washington D.C.,3/14/2019,Capital One Arena,Mystics Vs Sky,Basketball,18:30,
1100 Oak Drive SE,Sports,Washington D.C.,3/6/2019,Entertainment & Sports Arena,Mystics Vs Sun,Basketball,20:30,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/12/2019,Nationals Park,Nationals Vs Braves,Baseball,20:00,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/14/2019,Nationals Park,Nationals Vs Brewers,Baseball,18:00,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/14/2019,Nationals Park,Nationals Vs Diamondbacks,Baseball,19:30,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/13/2019,Nationals Park,Nationals Vs Dodgers,Baseball,20:30,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/9/2019,Nationals Park,Nationals Vs Indians,Baseball,18:30,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/2/2019,Nationals Park,Nationals Vs Orioles,Baseball,18:00,
100 Potomac Avenue Southwest,,Washington D.C.,3/2/2019,Audi Field,Dc United Vs Revolution,,20:30,
1 Oxford Street,Sports,Sydney,3/2/2019,Football Federation Australia,Melbourne Knights Vs Avondale,Football,20:30,
1 Oxford Street,,Sydney,3/2/2019,Football Federation Australia,Melbourne Knights Vs Avondale,,20:30,
420 Mason Street,Music,San Francisco,3/9/2019,August Hall,Allan Rayman,Hip Hop,18:00,
201 Van Ness Avenue,Music,San Francisco,3/12/2019,San Francisco Symphony,Carmina Burana,Classical,20:30,
500 Terry A Francois Boulevard Suite 73,Music,San Francisco,3/13/2019,Chase Center Experience,Celine Dion,Pop,20:30,
500 Terry A Francois Boulevard Suite 73,Music,San Francisco,3/12/2019,Chase Center Experience,Cher,Pop,18:30,
420 Mason Street,Music,San Francisco,3/7/2019,August Hall,Electric Feels,Electronica,19:00,
420 Mason Street,Music,San Francisco,3/4/2019,August Hall,Matt Corby,Christian,18:30,
777 Valencia Street,Music,San Francisco,3/14/2019,The Chapel,Okkervil River,Country,19:00,
777 Valencia Street,Music,San Francisco,3/2/2019,The Chapel,Remo Drive,Pop,20:30,
201 Van Ness Avenue,Music,San Francisco,3/12/2019,San Francisco Symphony,San Francisco Symphony,Classical,18:00,
420 Mason Street,Music,San Francisco,3/11/2019,August Hall,The Drums,Pop,18:30,
420 Mason Street,,San Francisco,3/9/2019,August Hall,Allan Rayman,,18:00,
"261 Driggs Avenue, Brooklyn",Music,New York,3/5/2019,Warsaw,Amber Run Brooklyn,Pop,19:30,
"56-15 Northern Boulevard, Woodside",Music,New York,3/5/2019,La Boom,Americo,International,19:00,
"52-19 Flushing Avenue, Maspeth",Music,New York,3/5/2019,Knockdown Center,Blowout Music Festival,Hip Hop,18:00,
"64 North 9th Street, Brooklyn",Music,New York,3/5/2019,Rough Trade NYC,Crooked Colours,Electronica,20:00,
61 West 62nd Street,Music,New York,3/5/2019,David Rubenstein Atrium at Lincoln Center,France Rocks Festival,International,20:30,
235 West 46th Street,Music,New York,3/5/2019,Sony Hall,Jamey Johnson,Country,18:30,
881 7th Avenue,Music,New York,3/5/2019,Stern Auditorium / Perelman Stage,Joe Hisaishi,Classical,19:00,
"17 Eastern Parkway, Brooklyn",Music,New York,3/5/2019,Murmrr,Kishi Bashi,Electronica,18:00,
235 West 46th Street,Music,New York,3/5/2019,Sony Hall,Lyfe Jennings,Blues,20:00,
"1 Tennis Place, Forest Hills",Music,New York,3/5/2019,Forest Hills Stadium,Outlaw Music Festival,Country,18:00,
"261 Driggs Avenue, Brooklyn",,New York,3/5/2019,Warsaw,Amber Run Brooklyn,,19:30,
"261 Driggs Avenue, Brooklyn",Music,New York,3/14/2019,Warsaw,Amber Run Brooklyn,Pop,18:00,
"56-15 Northern Boulevard, Woodside",Music,New York,3/6/2019,La Boom,Americo,International,18:30,
89 South Street,Music,New York,3/9/2019,Pier 17,Ben Harper,Blues,18:00,
89 South Street,Music,New York,3/9/2019,Pier 17,Blackbear,Hip Hop,18:30,
235 West 46th Street,Music,New York,3/10/2019,Sony Hall,Buddy Guy,Blues,19:30,
"1 Tennis Place, Forest Hills",Music,New York,3/11/2019,Forest Hills Stadium,Chemical Brothers,Rock,20:00,
235 West 46th Street,Music,New York,3/2/2019,Sony Hall,Chris Botti,Jazz,19:30,
"64 North 9th Street, Brooklyn",Music,New York,3/6/2019,Rough Trade NYC,Crooked Colours,Electronica,18:30,
3608 33rd Street,Music,New York,3/6/2019,Melrose Ballroom,Esscalation Music Festival,Electronica,18:00,
"261 Driggs Avenue, Brooklyn",,New York,3/14/2019,Warsaw,Amber Run Brooklyn,,18:00,
1 AMB Drive Northwest,Sports,Atlanta,3/1/2019,Mercedes-Benz Stadium,United Vs Earthquakes,Football,19:00,
1 AMB Drive Northwest,Sports,Atlanta,3/1/2019,Mercedes-Benz Stadium,United Vs Revolution,Football,20:00,
1 AMB Drive Northwest,Sports,Atlanta,3/8/2019,Mercedes-Benz Stadium,United Vs Revolution,Football,18:00,
1 AMB Drive Northwest,Sports,Atlanta,3/5/2019,Mercedes-Benz Stadium,United Vs United,Football,18:00,
1 AMB Drive Northwest,,Atlanta,3/10/2019,Mercedes-Benz Stadium,United Vs Red Bulls,,19:30,
1 AMB Drive Northwest,,Atlanta,3/4/2019,Mercedes-Benz Stadium,Falcons Vs Buccaneers,,19:30,
"104 N. Ave 56, 2nd Floor",Music,Los Angeles,3/2/2019,Lodge Room,Bill Callahan,Country,20:30,
1234 West 7th Street,Music,Los Angeles,3/7/2019,The Teragram Ballroom,Girl In Red,Pop,19:00,
1720 East 16th Street,Music,Los Angeles,3/14/2019,1720(tm),Gloryhammer,Rock,20:30,
1234 West 7th Street,Music,Los Angeles,3/8/2019,The Teragram Ballroom,Guided By Voices,Rock,18:00,
448 South Main Street,Music,Los Angeles,3/11/2019,Regent Theater DTLA,Jordan Rakei,Jazz,20:30,
5970 Santa Monica Boulevard,Music,Los Angeles,3/4/2019,Masonic Lodge at Hollywood Forever,Kishi Bashi,Electronica,20:30,
1234 West 7th Street,Music,Los Angeles,3/10/2019,The Teragram Ballroom,Lights,Electronica,18:00,
1234 West 7th Street,Music,Los Angeles,3/9/2019,The Teragram Ballroom,Murder City Devils,Rock,18:00,
1720 East 16th Street,Music,Los Angeles,3/11/2019,1720(tm),Spose,Hip Hop,18:00,
448 South Main Street,Music,Los Angeles,3/2/2019,Regent Theater DTLA,Starset,Rock,20:00,
1234 West 7th Street,,Los Angeles,3/7/2019,The Teragram Ballroom,Girl In Red,,19:00,
3800 Montlake Boulevard Northeast,Sports,Seattle,3/5/2019,Husky Stadium,Huskies Vs Cougars,Basketball,20:00,
3800 Montlake Boulevard Northeast,Sports,Seattle,3/5/2019,Husky Stadium,Huskies Vs Utes,Basketball,18:30,
3800 Montlake Boulevard Northeast,Sports,Seattle,3/13/2019,Husky Stadium,Huskies Vs Warriors,Basketball,18:30,
1250 1st Avenue South,Sports,Seattle,3/10/2019,T-Mobile Park,Mariners Vs Angels,Baseball,20:30,
1250 1st Avenue South,Sports,Seattle,3/5/2019,T-Mobile Park,Mariners Vs Blue Jays,Baseball,18:00,
1250 1st Avenue South,Sports,Seattle,3/4/2019,T-Mobile Park,Mariners Vs Rangers,Baseball,20:00,
1250 1st Avenue South,Sports,Seattle,3/12/2019,T-Mobile Park,Mariners Vs Rays,Baseball,20:30,
1250 1st Avenue South,Sports,Seattle,3/1/2019,T-Mobile Park,Mariners Vs Tigers,Baseball,20:00,
1250 1st Avenue South,Sports,Seattle,3/6/2019,T-Mobile Park,Mariners Vs White Sox,Baseball,20:00,
800 Occidental Avenue South,Sports,Seattle,3/1/2019,CenturyLink Field,Seahawks Vs Cardinals,American Football,19:00,
100 Park Boulevard,Sports,San Diego,3/2/2019,Petco Park,Padres Vs Brewers,Baseball,20:30,
100 Park Boulevard,Sports,San Diego,3/4/2019,Petco Park,Padres Vs Diamondbacks,Baseball,18:00,
100 Park Boulevard,Sports,San Diego,3/6/2019,Petco Park,Padres Vs Orioles,Baseball,18:30,
100 Park Boulevard,Sports,San Diego,3/5/2019,Petco Park,Padres Vs Rays,Baseball,18:00,
100 Park Boulevard,,San Diego,3/2/2019,Petco Park,Padres Vs Brewers,,20:30,
100 Park Boulevard,,San Diego,3/4/2019,Petco Park,Padres Vs Diamondbacks,,18:00,
1 Lincoln Financial Field Way,Sports,Philadelphia,3/14/2019,Lincoln Financial Field,Eagles Vs Cowboys,American Football,20:00,
1 Lincoln Financial Field Way,Sports,Philadelphia,3/3/2019,Lincoln Financial Field,Owls Vs Bison,American Football,19:30,
1 Lincoln Financial Field Way,Sports,Philadelphia,3/13/2019,Lincoln Financial Field,Owls Vs Huskies,American Football,18:30,
1 Lincoln Financial Field Way,Sports,Philadelphia,3/8/2019,Lincoln Financial Field,Owls Vs Knights,American Football,20:30,
1 Lincoln Financial Field Way,Sports,Philadelphia,3/4/2019,Lincoln Financial Field,Owls Vs Terrapins,American Football,19:30,
1 Lincoln Financial Field Way,Sports,Philadelphia,3/7/2019,Lincoln Financial Field,Owls Vs Tigers,American Football,19:00,
1 Lincoln Financial Field Way,Sports,Philadelphia,3/9/2019,Lincoln Financial Field,Owls Vs Yellow Jackets,American Football,19:00,
1 Citizens Bank Way,Sports,Philadelphia,3/10/2019,Citizens Bank Park,Phillies Vs Braves,Baseball,18:00,
1 Citizens Bank Way,Sports,Philadelphia,3/7/2019,Citizens Bank Park,Phillies Vs Cubs,Baseball,18:30,
1 Citizens Bank Way,Sports,Philadelphia,3/14/2019,Citizens Bank Park,Phillies Vs Diamondbacks,Baseball,18:30,
1 Citizens Bank Way,Sports,Philadelphia,3/8/2019,Citizens Bank Park,Phillies Vs Mets,Baseball,18:00,
1 Citizens Bank Way,Sports,Philadelphia,3/2/2019,Citizens Bank Park,Phillies Vs Padres,Baseball,20:00,
1 Citizens Bank Way,Sports,Philadelphia,3/12/2019,Citizens Bank Park,Phillies Vs Pirates,Baseball,20:00,
1 Citizens Bank Way,Sports,Philadelphia,3/11/2019,Citizens Bank Park,Phillies Vs White Sox,Baseball,20:30,
1 Citizens Bank Way,,Philadelphia,3/10/2019,Citizens Bank Park,Phillies Vs Braves,,18:00,
123-01 Roosevelt Avenue,,New York,3/13/2019,Citi Field,Mets Vs Braves,,18:00,
24 Willie Mays Plaza,Sports,San Francisco,3/5/2019,Oracle Park,Giants Vs Brewers,Baseball,19:00,
24 Willie Mays Plaza,Sports,San Francisco,3/7/2019,Oracle Park,Giants Vs Cardinals,Baseball,19:30,
24 Willie Mays Plaza,Sports,San Francisco,3/3/2019,Oracle Park,Giants Vs Diamondbacks,Baseball,20:30,
24 Willie Mays Plaza,Sports,San Francisco,3/12/2019,Oracle Park,Giants Vs Dodgers,Baseball,19:30,
24 Willie Mays Plaza,Sports,San Francisco,3/10/2019,Oracle Park,Giants Vs Marlins,Baseball,20:30,
24 Willie Mays Plaza,Sports,San Francisco,3/12/2019,Oracle Park,Giants Vs Nationals,Baseball,18:30,
24 Willie Mays Plaza,Sports,San Francisco,3/8/2019,Oracle Park,Giants Vs Phillies,Baseball,18:00,
24 Willie Mays Plaza,Sports,San Francisco,3/11/2019,Oracle Park,Giants Vs Rockies,Baseball,18:30,
24 Willie Mays Plaza,,San Francisco,3/5/2019,Oracle Park,Giants Vs Brewers,,19:00,
401 East Jefferson Street,Sports,Phoenix,3/1/2019,Chase Field,Arizona Vs La Dodgers,Baseball,18:00,
401 East Jefferson Street,Sports,Phoenix,3/9/2019,Chase Field,Arizona Vs Milwaukee,Baseball,20:00,
401 East Jefferson Street,Sports,Phoenix,3/13/2019,Chase Field,Diamondbacks Vs Brewers,Baseball,18:00,
401 East Jefferson Street,Sports,Phoenix,3/11/2019,Chase Field,Diamondbacks Vs Cardinals,Baseball,18:00,
401 East Jefferson Street,Sports,Phoenix,3/1/2019,Chase Field,Diamondbacks Vs Dodgers,Baseball,20:30,
401 East Jefferson Street,Sports,Phoenix,3/11/2019,Chase Field,Diamondbacks Vs Giants,Baseball,18:00,
401 East Jefferson Street,Sports,Phoenix,3/3/2019,Chase Field,Diamondbacks Vs Marlins,Baseball,19:30,
401 East Jefferson Street,Sports,Phoenix,3/9/2019,Chase Field,Diamondbacks Vs Mets,Baseball,19:00,
401 East Jefferson Street,Sports,Phoenix,3/6/2019,Chase Field,Diamondbacks Vs Nationals,Baseball,18:30,
401 East Jefferson Street,Sports,Phoenix,3/7/2019,Chase Field,Diamondbacks Vs Orioles,Baseball,20:00,
401 East Jefferson Street,Sports,Phoenix,3/7/2019,Chase Field,Arizona Vs Milwaukee,Baseball,20:00,
401 East Jefferson Street,Sports,Phoenix,3/7/2019,Chase Field,Diamondbacks Vs Dodgers,Baseball,18:30,
401 East Jefferson Street,Sports,Phoenix,3/7/2019,Chase Field,Diamondbacks Vs Giants,Baseball,20:30,
401 East Jefferson Street,Sports,Phoenix,3/7/2019,Chase Field,Diamondbacks Vs Mets,Baseball,20:30,
401 East Jefferson Street,,Phoenix,3/7/2019,Chase Field,Diamondbacks Vs Dodgers,,18:30,
1016-1098 North Center Court Street,Music,Portland,3/2/2019,Theater Of The Clouds,Bryan Adams,Pop,20:30,
1422 Southwest 11th Avenue,Music,Portland,3/5/2019,The Old Church Concert Hall,Damien Jurado,Blues,19:30,
1111 Southwest Broadway,Music,Portland,3/13/2019,Newmark Theatre,Erica Fernandez,Pop,18:30,
1111 Southwest Broadway,Music,Portland,3/12/2019,Newmark Theatre,Friends,Pop,18:00,
1016-1098 North Center Court Street,Music,Portland,3/7/2019,Theater Of The Clouds,Hozier,Blues,18:00,
1422 Southwest 11th Avenue,Music,Portland,3/4/2019,The Old Church Concert Hall,Kishi Bashi,Electronica,20:00,
1016-1098 North Center Court Street,Music,Portland,3/7/2019,Theater Of The Clouds,Rob Thomas,Rock,19:30,
5500 Phinney Avenue North,Music,Seattle,3/6/2019,Flamingo Lot,Cody Johnson,Country,19:00,
5500 Phinney Avenue North,Music,Seattle,3/6/2019,Flamingo Lot,Greensky Bluegrass,Blues,20:30,
5500 Phinney Avenue North,,Seattle,3/6/2019,Flamingo Lot,Cody Johnson,,19:00,
123-01 Roosevelt Avenue,Sports,New York,3/1/2019,Citi Field,Mets Vs Braves,Baseball,19:30,
123-01 Roosevelt Avenue,Sports,New York,3/1/2019,Citi Field,Mets Vs Padres,Baseball,20:00,
123-01 Roosevelt Avenue,Sports,New York,3/1/2019,Citi Field,Mets Vs Pirates,Baseball,18:30,
123-01 Roosevelt Avenue,Sports,New York,3/1/2019,Citi Field,Mets Vs Rockies,Baseball,20:00,
1 East 161 Street,Sports,New York,3/1/2019,Yankee Stadium,Nycfc Vs Earthquakes,Baseball,19:30,
1 East 161 Street,Sports,New York,3/1/2019,Yankee Stadium,Nycfc Vs Red Bulls,Baseball,20:30,
1 East 161 Street,Sports,New York,3/1/2019,Yankee Stadium,Yankees Vs Blue Jays,Baseball,19:30,
1 East 161 Street,Sports,New York,3/1/2019,Yankee Stadium,Yankees Vs Diamondbacks,Baseball,20:00,
123-01 Roosevelt Avenue,,New York,3/1/2019,Citi Field,Mets Vs Braves,,19:30,
24 Willie Mays Plaza,,San Francisco,3/7/2019,Oracle Park,Giants Vs Cardinals,,19:30,
"1 Tennis Place, Forest Hills",Music,New York,3/10/2019,Forest Hills Stadium,Jethro Tull,Rock,19:30,
"17 Eastern Parkway, Brooklyn",Music,New York,3/11/2019,Murmrr,Low,Rock,20:30,
235 West 46th Street,Music,New York,3/2/2019,Sony Hall,Panteon Rococo,Rock,19:30,
"261 Driggs Avenue, Brooklyn",Music,New York,3/6/2019,Warsaw,Russian Circles,Rock,19:00,
89 South Street,Music,New York,3/12/2019,Pier 17,Squeeze,Rock,19:30,
"141 Prospect Park West, Brooklyn",Music,New York,3/7/2019,Prospect Park Bandshell,The National,Rock,19:30,
"17 Eastern Parkway, Brooklyn",Music,New York,3/8/2019,Murmrr,The Paper Kites,Rock,20:30,
89 South Street,Music,New York,3/3/2019,Pier 17,The Struts,Rock,20:00,
"261 Driggs Avenue, Brooklyn",Music,New York,3/12/2019,Warsaw,Thee Oh Sees,Rock,20:00,
"1 Tennis Place, Forest Hills",,New York,3/11/2019,Forest Hills Stadium,Chemical Brothers,,20:00,
178 Junction Road,Music,London,3/1/2019,Boston Music Room,Beyond The Black,Rock,19:30,
178 Junction Road,Music,London,3/13/2019,Boston Music Room,Crystal Lake,Rock,20:30,
451 Queensbridge Road,Music,London,3/14/2019,The Victoria Dalston,Imperial Daze,Pop,18:00,
2A Dartmouth Park Hill,Music,London,3/3/2019,The Dome,Shakey Graves,Blues,19:30,
Town Hall Parade,Music,London,3/14/2019,Electric Brixton,Wallows,Rock,20:30,
178 Junction Road,,London,3/1/2019,Boston Music Room,Beyond The Black,,19:30,
"261 Driggs Avenue, Brooklyn",Music,New York,3/13/2019,Warsaw,Amber Run Brooklyn,Pop,19:30,
"56-15 Northern Boulevard, Woodside",Music,New York,3/13/2019,La Boom,Americo,International,18:30,
89 South Street,Music,New York,3/13/2019,Pier 17,Ben Harper,Blues,20:00,
"52-19 Flushing Avenue, Maspeth",Music,New York,3/13/2019,Knockdown Center,Blowout Music Festival,Hip Hop,18:30,
235 West 46th Street,Music,New York,3/13/2019,Sony Hall,Chris Botti,Jazz,19:30,
89 South Street,Music,New York,3/13/2019,Pier 17,Greensky Bluegrass,Blues,19:00,
"141 Prospect Park West, Brooklyn",Music,New York,3/13/2019,Prospect Park Bandshell,Jason Isbell,Country,19:00,
"1 Tennis Place, Forest Hills",Music,New York,3/13/2019,Forest Hills Stadium,Jethro Tull,Rock,20:30,
"1 Tennis Place, Forest Hills",Music,New York,3/13/2019,Forest Hills Stadium,Jojo Siwa,Pop,18:30,
235 West 46th Street,Music,New York,3/13/2019,Sony Hall,Lyfe Jennings,Blues,20:00,
420 Mason Street,Music,San Francisco,3/13/2019,August Hall,Allan Rayman,Hip Hop,20:00,
201 Van Ness Avenue,Music,San Francisco,3/13/2019,San Francisco Symphony,Carmina Burana,Classical,20:30,
420 Mason Street,Music,San Francisco,3/13/2019,August Hall,Electric Feels,Electronica,19:00,
420 Mason Street,Music,San Francisco,3/13/2019,August Hall,Matt Corby,Christian,20:30,
777 Valencia Street,Music,San Francisco,3/13/2019,The Chapel,Thee Oh Sees,Rock,18:00,
420 Mason Street,,San Francisco,3/13/2019,August Hall,Allan Rayman,,20:00,
123-01 Roosevelt Avenue,,New York,3/2/2019,Citi Field,Mets Vs Cubs,,19:30,
100 Park Boulevard,Sports,San Diego,3/2/2019,Petco Park,Padres Vs Orioles,Baseball,18:00,
100 Park Boulevard,Sports,San Diego,3/2/2019,Petco Park,Padres Vs Rays,Baseball,19:30,
100 Park Boulevard,,San Diego,3/2/2019,Petco Park,Padres Vs Orioles,,18:00,
448 South Main Street,Music,Los Angeles,3/8/2019,Regent Theater DTLA,The Acid,Electronica,20:30,
1234 West 7th Street,,Los Angeles,3/10/2019,The Teragram Ballroom,Lights,,18:00,
5500 Campanile Drive,Music,San Diego,3/6/2019,Cal Coast Credit Union Amphitheater,Alejandro Sanz,International,18:30,
2891 University Avenue,Music,San Diego,3/13/2019,The Observatory North Park,Aly And Aj,Pop,18:30,
5500 Campanile Drive,Music,San Diego,3/5/2019,Cal Coast Credit Union Amphitheater,Bastille,Pop,20:30,
2891 University Avenue,Music,San Diego,3/1/2019,The Observatory North Park,Fidlar,Rock,19:30,
5500 Campanile Drive,Music,San Diego,3/7/2019,Cal Coast Credit Union Amphitheater,Greta Van Fleet,Blues,19:00,
5500 Campanile Drive,Music,San Diego,3/5/2019,Cal Coast Credit Union Amphitheater,Hozier,Blues,19:30,
5500 Campanile Drive,Music,San Diego,3/14/2019,Cal Coast Credit Union Amphitheater,Jon Bellion,Hip Hop,19:30,
5500 Campanile Drive,Music,San Diego,3/9/2019,Cal Coast Credit Union Amphitheater,Lizzo,Hip Hop,19:00,
2891 University Avenue,Music,San Diego,3/14/2019,The Observatory North Park,Local Natives,Rock,20:30,
5500 Campanile Drive,Music,San Diego,3/3/2019,Cal Coast Credit Union Amphitheater,Prettymuch,Pop,19:30,
5500 Campanile Drive,,San Diego,3/5/2019,Cal Coast Credit Union Amphitheater,Bastille,,20:30,
3800 Montlake Boulevard Northeast,,Seattle,3/5/2019,Husky Stadium,Huskies Vs Cougars,,20:00,
2901 East Hastings Street,Music,Vancouver,3/3/2019,PNE Amphitheatre,Billy Idol,Rock,18:30,
2901 East Hastings Street,Music,Vancouver,3/8/2019,PNE Amphitheatre,Colin James,Blues,19:30,
319 Main Street,Music,Vancouver,3/9/2019,Imperial Vancouver,Last Dinosaurs,Electronica,18:00,
2901 East Hastings Street,Music,Vancouver,3/13/2019,PNE Amphitheatre,Smokey Robinson,Blues,18:30,
2901 East Hastings Street,Music,Vancouver,3/2/2019,PNE Amphitheatre,Styx,Rock,18:30,
2901 East Hastings Street,Music,Vancouver,3/10/2019,PNE Amphitheatre,Zz Top,Blues,20:00,
2901 East Hastings Street,,Vancouver,3/8/2019,PNE Amphitheatre,Colin James,,19:30,
3800 Montlake Boulevard Northeast,Sports,Seattle,3/4/2019,Husky Stadium,Huskies Vs Warriors,Basketball,20:30,
